# _root_ * Να περάσετε μια νύχτα στο Ξενοδοχείο Loriet , ένα ανακαινισμένο αρχοντικό , στην Χρυσή Ακτή της Μυτιλήνης .
#goldHeads=0,3,0,5,3,3,8,9,6,12,12,9,3,12,16,14,18,16,0,
#predictedHeads=0,3,0,5,3,3,6,7,3,12,16,11,14,3,16,14,18,16,0,
(0,1),1.40062 # DEPENDENCYPART_ARC
(0,3),0.288676 # DEPENDENCYPART_ARC
(0,5),-0.466467 # DEPENDENCYPART_ARC
(0,6),-0.732744 # DEPENDENCYPART_ARC
(0,7),-0.758428 # DEPENDENCYPART_ARC
(0,8),-0.479486 # DEPENDENCYPART_ARC
(0,9),0.14973 # DEPENDENCYPART_ARC
(0,11),-0.752404 # DEPENDENCYPART_ARC
(0,12),-1.52336 # DEPENDENCYPART_ARC
(0,13),0.350623 # DEPENDENCYPART_ARC
(0,14),-1.27511 # DEPENDENCYPART_ARC
(0,16),-0.679369 # DEPENDENCYPART_ARC
(0,18),-0.744638 # DEPENDENCYPART_ARC
(0,19),3.3009 # DEPENDENCYPART_ARC
(1,3),-1.07024 # DEPENDENCYPART_ARC
(1,5),-1.89079 # DEPENDENCYPART_ARC
(1,6),-1.6723 # DEPENDENCYPART_ARC
(1,7),-2.11069 # DEPENDENCYPART_ARC
(1,9),-1.21755 # DEPENDENCYPART_ARC
(1,11),-1.65704 # DEPENDENCYPART_ARC
(1,12),-1.81653 # DEPENDENCYPART_ARC
(1,13),-1.3237 # DEPENDENCYPART_ARC
(1,18),-2.17302 # DEPENDENCYPART_ARC
(2,5),-0.568647 # DEPENDENCYPART_ARC
(3,1),0.121002 # DEPENDENCYPART_ARC
(3,2),1.96419 # DEPENDENCYPART_ARC
(3,5),2.22178 # DEPENDENCYPART_ARC
(3,6),1.60655 # DEPENDENCYPART_ARC
(3,7),-0.615128 # DEPENDENCYPART_ARC
(3,9),0.679692 # DEPENDENCYPART_ARC
(3,11),-4.5525 # DEPENDENCYPART_ARC
