# _root_ Η περιοχή ( ανάμεσα στη Σαγιάδα , το Ράγιο και την Ηγουμενίτσα ) φιλοξενεί έναν από τους σημαντικότερους υγροβιότοπους της Ελλάδας , στον οποίο βρίσκουν προστασία σπάνια είδη πουλιών και λουλουδιών .
#goldHeads=2,14,4,2,4,10,10,9,10,5,12,10,4,0,14,15,19,19,16,21,19,25,25,23,15,25,28,25,30,28,30,0,
#predictedHeads=2,10,4,2,4,5,10,9,10,14,12,10,14,0,14,15,19,19,16,21,19,25,25,23,19,25,26,27,30,28,30,0,
(0,2),-0.739071 # DEPENDENCYPART_ARC
(0,3),-0.330455 # DEPENDENCYPART_ARC
(0,4),-1.36457 # DEPENDENCYPART_ARC
(0,5),-1.46824 # DEPENDENCYPART_ARC
(0,6),-0.825512 # DEPENDENCYPART_ARC
(0,7),-0.468424 # DEPENDENCYPART_ARC
(0,10),-1.01044 # DEPENDENCYPART_ARC
(0,12),-0.561859 # DEPENDENCYPART_ARC
(0,13),-1.51484 # DEPENDENCYPART_ARC
(0,14),0.89702 # DEPENDENCYPART_ARC
(0,19),-1.95868 # DEPENDENCYPART_ARC
(0,23),-1.83154 # DEPENDENCYPART_ARC
(0,25),-1.13254 # DEPENDENCYPART_ARC
(0,27),-2.00443 # DEPENDENCYPART_ARC
(0,30),-1.94793 # DEPENDENCYPART_ARC
(0,31),-2.10893 # DEPENDENCYPART_ARC
(0,32),3.56868 # DEPENDENCYPART_ARC
(2,1),3.12481 # DEPENDENCYPART_ARC
(2,3),0.525013 # DEPENDENCYPART_ARC
(2,4),0.149399 # DEPENDENCYPART_ARC
(2,5),-0.136928 # DEPENDENCYPART_ARC
(2,6),-0.649958 # DEPENDENCYPART_ARC
(3,2),0.221591 # DEPENDENCYPART_ARC
(3,4),-0.102873 # DEPENDENCYPART_ARC
(3,5),-0.00165436 # DEPENDENCYPART_ARC
(3,6),0.240637 # DEPENDENCYPART_ARC
(3,7),0.16098 # DEPENDENCYPART_ARC
(3,9),-0.409112 # DEPENDENCYPART_ARC
(3,10),0.104742 # DEPENDENCYPART_ARC
(3,12),-0.487464 # DEPENDENCYPART_ARC
(3,13),0.570977 # DEPENDENCYPART_ARC
(3,14),-0.446811 # DEPENDENCYPART_ARC
(3,21),-0.696523 # DEPENDENCYPART_ARC
(4,1),-0.0845603 # DEPENDENCYPART_ARC
(4,2),-0.275515 # DEPENDENCYPART_ARC
(4,3),0.944326 # DEPENDENCYPART_ARC
(4,5),0.993823 # DEPENDENCYPART_ARC
(4,6),0.43997 # DEPENDENCYPART_ARC
(4,7),0.813217 # DEPENDENCYPART_ARC
(4,9),-0.337812 # DEPENDENCYPART_ARC
(4,10),0.177406 # DEPENDENCYPART_ARC
(4,13),0.27605 # DEPENDENCYPART_ARC
(4,14),-0.860828 # DEPENDENCYPART_ARC
(5,3),0.350788 # DEPENDENCYPART_ARC
(5,4),0.518376 # DEPENDENCYPART_ARC
(5,6),3.19288 # DEPENDENCYPART_ARC
(5,7),0.114766 # DEPENDENCYPART_ARC
(5,9),-1.33033 # DEPENDENCYPART_ARC
(5,10),0.176376 # DEPENDENCYPART_ARC
(6,1),-0.186847 # DEPENDENCYPART_ARC
(6,2),-2.15907 # DEPENDENCYPART_ARC
(6,3),-0.917823 # DEPENDENCYPART_ARC
(6,4),-0.716484 # DEPENDENCYPART_ARC
(6,5),0.309443 # DEPENDENCYPART_ARC
(6,7),-0.158449 # DEPENDENCYPART_ARC
(6,8),-1.15891 # DEPENDENCYPART_ARC
(6,9),-1.40953 # DEPENDENCYPART_ARC
(6,10),-0.111114 # DEPENDENCYPART_ARC
(6,12),-2.4904 # DEPENDENCYPART_ARC
(7,2),-0.30565 # DEPENDENCYPART_ARC
(7,3),-0.0218447 # DEPENDENCYPART_ARC
(7,4),-0.257243 # DEPENDENCYPART_ARC
(7,5),-0.266524 # DEPENDENCYPART_ARC
(7,6),0.614915 # DEPENDENCYPART_ARC
(7,9),0.260263 # DEPENDENCYPART_ARC
(7,10),0.207352 # DEPENDENCYPART_ARC
(7,12),-0.238047 # DEPENDENCYPART_ARC
(7,13),0.447998 # DEPENDENCYPART_ARC
(7,14),-0.798296 # DEPENDENCYPART_ARC
(7,16),-0.8588 # DEPENDENCYPART_ARC
(7,21),-0.910216 # DEPENDENCYPART_ARC
(9,1),-0.873435 # DEPENDENCYPART_ARC
(9,6),-2.03098 # DEPENDENCYPART_ARC
(9,7),-0.284431 # DEPENDENCYPART_ARC
(9,8),3.18274 # DEPENDENCYPART_ARC
(9,11),-1.12273 # DEPENDENCYPART_ARC
(9,12),-0.519103 # DEPENDENCYPART_ARC
(9,14),-1.67949 # DEPENDENCYPART_ARC
(9,15),-1.93102 # DEPENDENCYPART_ARC
(9,23),-2.08732 # DEPENDENCYPART_ARC
(10,2),1.04115 # DEPENDENCYPART_ARC
