# _root_ Από την δεκαετία του '70 , η Κως έχει μετατραπεί σε σημαντικό τουριστικό προορισμό και έχει δει το τοπίο της να αλλάζει , με την ανέγερση πολυτελών ξενοδοχειακών θερέτρων πάνω στις κατάλευκες αμμουδιές της .
#goldHeads=10,3,1,5,3,15,8,15,10,15,10,14,14,11,0,17,15,19,22,19,22,17,24,22,26,24,29,29,26,26,30,33,31,33,0,
#predictedHeads=10,3,1,5,3,10,8,3,10,15,10,14,14,11,0,17,15,19,17,19,22,19,24,22,26,24,29,29,26,29,30,33,31,33,0,
(0,1),-1.32959 # DEPENDENCYPART_ARC
(0,3),-0.590021 # DEPENDENCYPART_ARC
(0,5),-0.831584 # DEPENDENCYPART_ARC
(0,6),-0.350309 # DEPENDENCYPART_ARC
(0,8),-1.73681 # DEPENDENCYPART_ARC
(0,9),0.122769 # DEPENDENCYPART_ARC
(0,10),-0.841887 # DEPENDENCYPART_ARC
(0,15),-0.273978 # DEPENDENCYPART_ARC
(0,16),-1.51741 # DEPENDENCYPART_ARC
(0,17),-2.11373 # DEPENDENCYPART_ARC
(0,22),-1.63504 # DEPENDENCYPART_ARC
(0,23),-0.492133 # DEPENDENCYPART_ARC
(0,35),4.5199 # DEPENDENCYPART_ARC
(1,2),0.143876 # DEPENDENCYPART_ARC
(1,3),2.52169 # DEPENDENCYPART_ARC
(1,6),-0.0688877 # DEPENDENCYPART_ARC
(1,8),-0.72318 # DEPENDENCYPART_ARC
(3,1),-0.291309 # DEPENDENCYPART_ARC
(3,2),3.01497 # DEPENDENCYPART_ARC
(3,4),0.41799 # DEPENDENCYPART_ARC
(3,5),0.988342 # DEPENDENCYPART_ARC
(3,6),0.077935 # DEPENDENCYPART_ARC
(3,8),1.24264 # DEPENDENCYPART_ARC
(3,9),-1.10413 # DEPENDENCYPART_ARC
(3,10),-0.725695 # DEPENDENCYPART_ARC
(3,11),-0.940859 # DEPENDENCYPART_ARC
(3,14),-1.40527 # DEPENDENCYPART_ARC
(3,15),-0.682438 # DEPENDENCYPART_ARC
(3,17),-2.11436 # DEPENDENCYPART_ARC
(3,22),-3.0783 # DEPENDENCYPART_ARC
(5,4),2.51815 # DEPENDENCYPART_ARC
(6,1),-0.940461 # DEPENDENCYPART_ARC
(6,3),-0.216128 # DEPENDENCYPART_ARC
(6,8),-0.266978 # DEPENDENCYPART_ARC
(6,9),-0.683351 # DEPENDENCYPART_ARC
(8,4),-0.822594 # DEPENDENCYPART_ARC
(8,6),-0.270939 # DEPENDENCYPART_ARC
(8,7),2.0875 # DEPENDENCYPART_ARC
(8,9),-1.83649 # DEPENDENCYPART_ARC
(8,10),-1.82696 # DEPENDENCYPART_ARC
(8,12),-3.02536 # DEPENDENCYPART_ARC
(9,1),-0.193383 # DEPENDENCYPART_ARC
(9,3),-1.68484 # DEPENDENCYPART_ARC
(9,4),-2.3398 # DEPENDENCYPART_ARC
(9,5),-1.18305 # DEPENDENCYPART_ARC
(9,6),0.406907 # DEPENDENCYPART_ARC
(9,7),-1.37758 # DEPENDENCYPART_ARC
(9,8),-1.5064 # DEPENDENCYPART_ARC
(9,10),-1.40289 # DEPENDENCYPART_ARC
(9,11),-0.517735 # DEPENDENCYPART_ARC
(9,12),-2.76397 # DEPENDENCYPART_ARC
(9,13),-3.23935 # DEPENDENCYPART_ARC
(9,14),-0.312563 # DEPENDENCYPART_ARC
(9,19),-1.68092 # DEPENDENCYPART_ARC
(9,23),-0.582609 # DEPENDENCYPART_ARC
(10,1),0.823655 # DEPENDENCYPART_ARC
(10,3),0.262382 # DEPENDENCYPART_ARC
