# _root_ Καθορίσαμε ορισμένους επιμέρους στόχους , ορισμένες τιμές στόχους για το έτος 2010 , τις οποίες πρέπει να σεβαστούμε .
#goldHeads=0,4,4,5,1,7,5,7,8,11,9,11,16,15,18,7,18,16,0,
#predictedHeads=0,4,4,1,1,7,5,7,8,11,9,11,16,15,18,11,18,16,0,
(0,1),0.324726 # DEPENDENCYPART_ARC
(0,2),-1.46116 # DEPENDENCYPART_ARC
(0,3),-1.30324 # DEPENDENCYPART_ARC
(0,4),-1.47167 # DEPENDENCYPART_ARC
(0,5),-0.788294 # DEPENDENCYPART_ARC
(0,6),-1.43635 # DEPENDENCYPART_ARC
(0,12),-1.69971 # DEPENDENCYPART_ARC
(0,16),-0.468388 # DEPENDENCYPART_ARC
(0,18),-1.51506 # DEPENDENCYPART_ARC
(0,19),2.90036 # DEPENDENCYPART_ARC
(1,2),1.63957 # DEPENDENCYPART_ARC
(1,3),0.924682 # DEPENDENCYPART_ARC
(1,4),0.7727 # DEPENDENCYPART_ARC
(1,5),0.330652 # DEPENDENCYPART_ARC
(1,6),-0.935364 # DEPENDENCYPART_ARC
(1,7),-0.530819 # DEPENDENCYPART_ARC
(1,8),-0.165079 # DEPENDENCYPART_ARC
(1,9),0.265255 # DEPENDENCYPART_ARC
(1,11),-1.15988 # DEPENDENCYPART_ARC
(1,12),-0.461732 # DEPENDENCYPART_ARC
(1,13),-0.211046 # DEPENDENCYPART_ARC
(1,18),-2.47769 # DEPENDENCYPART_ARC
(1,19),-0.227836 # DEPENDENCYPART_ARC
(2,1),-0.898209 # DEPENDENCYPART_ARC
(2,3),0.694845 # DEPENDENCYPART_ARC
(2,4),-0.30209 # DEPENDENCYPART_ARC
(2,5),0.169992 # DEPENDENCYPART_ARC
(2,7),-1.33248 # DEPENDENCYPART_ARC
(2,8),-1.89831 # DEPENDENCYPART_ARC
(2,9),-0.157568 # DEPENDENCYPART_ARC
(3,1),-0.860573 # DEPENDENCYPART_ARC
(3,2),0.527683 # DEPENDENCYPART_ARC
(3,4),0.414737 # DEPENDENCYPART_ARC
(3,5),-0.0912554 # DEPENDENCYPART_ARC
(3,6),-0.642681 # DEPENDENCYPART_ARC
(3,7),-0.763889 # DEPENDENCYPART_ARC
(3,8),-1.21956 # DEPENDENCYPART_ARC
(3,9),-1.06283 # DEPENDENCYPART_ARC
(3,11),-1.62861 # DEPENDENCYPART_ARC
(3,13),-0.33955 # DEPENDENCYPART_ARC
(3,18),-1.62769 # DEPENDENCYPART_ARC
(3,19),-1.2018 # DEPENDENCYPART_ARC
(4,1),-1.83985 # DEPENDENCYPART_ARC
(4,2),2.3856 # DEPENDENCYPART_ARC
(4,3),1.13458 # DEPENDENCYPART_ARC
(4,5),0.139929 # DEPENDENCYPART_ARC
(4,6),-0.111998 # DEPENDENCYPART_ARC
(4,7),-1.28877 # DEPENDENCYPART_ARC
(4,8),-1.47688 # DEPENDENCYPART_ARC
(4,9),0.0802945 # DEPENDENCYPART_ARC
(4,12),-0.687326 # DEPENDENCYPART_ARC
(4,16),-0.678787 # DEPENDENCYPART_ARC
(5,1),-0.417311 # DEPENDENCYPART_ARC
(5,2),0.0735286 # DEPENDENCYPART_ARC
(5,3),-0.103982 # DEPENDENCYPART_ARC
(5,4),0.487226 # DEPENDENCYPART_ARC
(5,6),0.220953 # DEPENDENCYPART_ARC
(5,7),0.0856743 # DEPENDENCYPART_ARC
(5,8),-0.161987 # DEPENDENCYPART_ARC
(5,9),-0.121437 # DEPENDENCYPART_ARC
(5,13),-0.356364 # DEPENDENCYPART_ARC
(5,19),-0.57801 # DEPENDENCYPART_ARC
(6,3),-0.625545 # DEPENDENCYPART_ARC
(6,4),-0.525647 # DEPENDENCYPART_ARC
(6,5),0.0430374 # DEPENDENCYPART_ARC
(6,7),-0.478908 # DEPENDENCYPART_ARC
(6,8),-0.689932 # DEPENDENCYPART_ARC
(6,9),-0.140475 # DEPENDENCYPART_ARC
(6,11),-1.78437 # DEPENDENCYPART_ARC
(7,1),-3.19086 # DEPENDENCYPART_ARC
(7,2),-0.0139382 # DEPENDENCYPART_ARC
(7,3),-0.489866 # DEPENDENCYPART_ARC
(7,4),-1.21004 # DEPENDENCYPART_ARC
(7,5),0.0822143 # DEPENDENCYPART_ARC
(7,6),3.37257 # DEPENDENCYPART_ARC
(7,8),0.651311 # DEPENDENCYPART_ARC
(7,9),0.822559 # DEPENDENCYPART_ARC
(7,11),-1.01856 # DEPENDENCYPART_ARC
(7,12),0.0458328 # DEPENDENCYPART_ARC
(7,13),-0.0757136 # DEPENDENCYPART_ARC
(7,16),0.171039 # DEPENDENCYPART_ARC
(7,18),-0.830765 # DEPENDENCYPART_ARC
(8,1),-2.6007 # DEPENDENCYPART_ARC
(8,2),0.428105 # DEPENDENCYPART_ARC
(8,3),-0.374217 # DEPENDENCYPART_ARC
(8,4),-0.0160356 # DEPENDENCYPART_ARC
