# _root_ * Η κερκυραϊκή κουζίνα , με το σοφρίτο , την παστιτσάδα και γλυκά και λικέρ όπως το κουμ κουάτ .
#goldHeads=0,4,4,0,0,4,8,12,12,11,12,6,14,12,14,15,18,15,18,0,
#predictedHeads=0,4,4,12,0,14,8,6,12,11,12,6,12,5,14,15,18,19,14,0,
(0,1),1.55526 # DEPENDENCYPART_ARC
(0,3),-0.0926236 # DEPENDENCYPART_ARC
(0,4),0.339559 # DEPENDENCYPART_ARC
(0,5),0.62282 # DEPENDENCYPART_ARC
(0,6),-0.286507 # DEPENDENCYPART_ARC
(0,9),0.489093 # DEPENDENCYPART_ARC
(0,11),0.290274 # DEPENDENCYPART_ARC
(0,12),-0.625011 # DEPENDENCYPART_ARC
(0,13),-0.767373 # DEPENDENCYPART_ARC
(0,14),-0.8041 # DEPENDENCYPART_ARC
(0,15),0.18392 # DEPENDENCYPART_ARC
(0,16),-0.744186 # DEPENDENCYPART_ARC
(0,18),-0.0398142 # DEPENDENCYPART_ARC
(0,19),-0.588921 # DEPENDENCYPART_ARC
(0,20),3.48005 # DEPENDENCYPART_ARC
(1,3),-0.804631 # DEPENDENCYPART_ARC
(1,4),-0.898811 # DEPENDENCYPART_ARC
(1,5),-0.66317 # DEPENDENCYPART_ARC
(1,6),-1.04328 # DEPENDENCYPART_ARC
(1,9),-1.00522 # DEPENDENCYPART_ARC
(1,11),-1.77862 # DEPENDENCYPART_ARC
(1,12),-0.594177 # DEPENDENCYPART_ARC
(1,13),-1.30926 # DEPENDENCYPART_ARC
(1,14),-0.595274 # DEPENDENCYPART_ARC
(1,16),-0.996248 # DEPENDENCYPART_ARC
(3,1),-0.426874 # DEPENDENCYPART_ARC
(3,2),0.868362 # DEPENDENCYPART_ARC
(3,4),-0.425391 # DEPENDENCYPART_ARC
(3,5),-0.517396 # DEPENDENCYPART_ARC
(3,6),-0.481703 # DEPENDENCYPART_ARC
(4,1),-0.144265 # DEPENDENCYPART_ARC
(4,2),3.00983 # DEPENDENCYPART_ARC
(4,3),3.0709 # DEPENDENCYPART_ARC
(4,5),0.30813 # DEPENDENCYPART_ARC
(4,6),0.0472487 # DEPENDENCYPART_ARC
(4,9),-0.493102 # DEPENDENCYPART_ARC
(4,11),-1.92967 # DEPENDENCYPART_ARC
(4,16),-0.616861 # DEPENDENCYPART_ARC
(5,1),-0.368115 # DEPENDENCYPART_ARC
(5,3),-0.36312 # DEPENDENCYPART_ARC
(5,4),-0.253767 # DEPENDENCYPART_ARC
(5,6),-0.3255 # DEPENDENCYPART_ARC
(5,9),-0.321886 # DEPENDENCYPART_ARC
(5,11),-0.767004 # DEPENDENCYPART_ARC
(5,12),0.0433178 # DEPENDENCYPART_ARC
(5,13),-1.0034 # DEPENDENCYPART_ARC
(5,14),0.03389 # DEPENDENCYPART_ARC
(5,15),-0.892146 # DEPENDENCYPART_ARC
(5,19),-0.929099 # DEPENDENCYPART_ARC
(5,20),-0.154643 # DEPENDENCYPART_ARC
(6,4),-1.20545 # DEPENDENCYPART_ARC
(6,5),0.432632 # DEPENDENCYPART_ARC
(6,7),-0.0746598 # DEPENDENCYPART_ARC
(6,8),0.560374 # DEPENDENCYPART_ARC
(6,9),0.618783 # DEPENDENCYPART_ARC
(6,11),0.522231 # DEPENDENCYPART_ARC
(6,12),0.850425 # DEPENDENCYPART_ARC
(6,14),0.123581 # DEPENDENCYPART_ARC
(6,20),-0.234186 # DEPENDENCYPART_ARC
(8,7),1.10742 # DEPENDENCYPART_ARC
(8,9),0.246133 # DEPENDENCYPART_ARC
(9,1),-0.247204 # DEPENDENCYPART_ARC
(9,3),-0.478408 # DEPENDENCYPART_ARC
(9,4),-0.103816 # DEPENDENCYPART_ARC
(9,5),-0.27243 # DEPENDENCYPART_ARC
(9,6),0.0284846 # DEPENDENCYPART_ARC
(9,11),0.00622101 # DEPENDENCYPART_ARC
(9,12),0.0177706 # DEPENDENCYPART_ARC
(9,13),-0.675393 # DEPENDENCYPART_ARC
(9,14),-0.317148 # DEPENDENCYPART_ARC
(9,15),-0.805487 # DEPENDENCYPART_ARC
(9,16),-0.577704 # DEPENDENCYPART_ARC
(9,18),-0.926892 # DEPENDENCYPART_ARC
(9,19),-0.877967 # DEPENDENCYPART_ARC
(9,20),-0.026857 # DEPENDENCYPART_ARC
(11,7),-0.256381 # DEPENDENCYPART_ARC
(11,9),-0.326608 # DEPENDENCYPART_ARC
(11,10),2.80129 # DEPENDENCYPART_ARC
(11,12),-0.129589 # DEPENDENCYPART_ARC
(11,13),-1.19425 # DEPENDENCYPART_ARC
(11,19),-1.97187 # DEPENDENCYPART_ARC
(12,1),-0.541372 # DEPENDENCYPART_ARC
(12,3),0.498652 # DEPENDENCYPART_ARC
(12,4),0.702134 # DEPENDENCYPART_ARC
(12,5),0.464176 # DEPENDENCYPART_ARC
(12,6),0.12392 # DEPENDENCYPART_ARC
(12,7),0.192143 # DEPENDENCYPART_ARC
(12,8),0.30728 # DEPENDENCYPART_ARC
(12,9),1.04001 # DEPENDENCYPART_ARC
(12,10),0.749756 # DEPENDENCYPART_ARC
(12,11),2.13073 # DEPENDENCYPART_ARC
(12,13),1.49196 # DEPENDENCYPART_ARC
(12,14),0.0850271 # DEPENDENCYPART_ARC
(12,15),1.02763 # DEPENDENCYPART_ARC
(12,16),-0.265357 # DEPENDENCYPART_ARC
