# _root_ Πιστεύω , κύριε Πρόεδρε , ότι το Κοινοβούλιο μπορεί να θεωρήσει γενικά ικανοποιητικό το παρόν κείμενο .
#goldHeads=0,4,4,1,4,1,8,9,6,11,9,11,11,16,16,11,0,
#predictedHeads=0,4,4,1,6,1,8,9,6,11,9,11,15,15,16,11,0,
(0,1),0.278748 # DEPENDENCYPART_ARC
(0,2),-0.514514 # DEPENDENCYPART_ARC
(0,3),-0.933424 # DEPENDENCYPART_ARC
(0,4),-0.930141 # DEPENDENCYPART_ARC
(0,5),-0.539117 # DEPENDENCYPART_ARC
(0,6),-1.14141 # DEPENDENCYPART_ARC
(0,9),-0.385765 # DEPENDENCYPART_ARC
(0,11),-1.85273 # DEPENDENCYPART_ARC
(0,12),-1.37507 # DEPENDENCYPART_ARC
(0,13),-2.31207 # DEPENDENCYPART_ARC
(0,16),-1.95001 # DEPENDENCYPART_ARC
(0,17),2.84156 # DEPENDENCYPART_ARC
(1,2),0.362344 # DEPENDENCYPART_ARC
(1,3),1.15739 # DEPENDENCYPART_ARC
(1,4),0.381766 # DEPENDENCYPART_ARC
(1,5),-0.0144141 # DEPENDENCYPART_ARC
(1,6),0.560262 # DEPENDENCYPART_ARC
(1,8),-2.23325 # DEPENDENCYPART_ARC
(1,9),-3.37775 # DEPENDENCYPART_ARC
(1,11),-1.76883 # DEPENDENCYPART_ARC
(1,12),-1.13893 # DEPENDENCYPART_ARC
(1,15),-2.99028 # DEPENDENCYPART_ARC
(1,16),-2.94741 # DEPENDENCYPART_ARC
(1,17),-0.833242 # DEPENDENCYPART_ARC
(2,1),-0.207818 # DEPENDENCYPART_ARC
(2,3),-0.0233974 # DEPENDENCYPART_ARC
(2,4),-0.329808 # DEPENDENCYPART_ARC
(2,5),0.132426 # DEPENDENCYPART_ARC
(2,6),-0.915968 # DEPENDENCYPART_ARC
(2,8),-1.29027 # DEPENDENCYPART_ARC
(2,9),-0.827127 # DEPENDENCYPART_ARC
(2,13),-1.66298 # DEPENDENCYPART_ARC
(3,1),-1.93563 # DEPENDENCYPART_ARC
(3,2),0.02884 # DEPENDENCYPART_ARC
(3,4),-0.303029 # DEPENDENCYPART_ARC
(3,5),0.170398 # DEPENDENCYPART_ARC
(3,6),-0.212717 # DEPENDENCYPART_ARC
