# _root_ Χάρη στο Κοινοβούλιο , η οδηγία θα μπορέσει τελικά να καλύψει όλους τους οδηγούς όλων των κατηγοριών , αυτοαπασχολούμενους και μη .
#goldHeads=8,1,2,8,6,8,8,0,8,11,8,14,14,18,17,17,14,11,20,18,20,0,
#predictedHeads=8,1,2,8,6,8,8,0,8,11,8,14,14,11,17,17,14,20,20,14,20,0,
(0,1),-0.906246 # DEPENDENCYPART_ARC
(0,2),-1.15472 # DEPENDENCYPART_ARC
(0,3),-0.224646 # DEPENDENCYPART_ARC
(0,4),-0.39068 # DEPENDENCYPART_ARC
(0,6),-0.940724 # DEPENDENCYPART_ARC
(0,8),-0.552625 # DEPENDENCYPART_ARC
(0,9),-1.27627 # DEPENDENCYPART_ARC
(0,11),-1.01212 # DEPENDENCYPART_ARC
(0,12),-1.72871 # DEPENDENCYPART_ARC
(0,15),-1.42582 # DEPENDENCYPART_ARC
(0,18),-0.451273 # DEPENDENCYPART_ARC
(0,19),-2.07698 # DEPENDENCYPART_ARC
(0,20),-1.01954 # DEPENDENCYPART_ARC
(0,22),3.1351 # DEPENDENCYPART_ARC
(1,2),0.927532 # DEPENDENCYPART_ARC
(1,3),0.391474 # DEPENDENCYPART_ARC
(1,4),0.251187 # DEPENDENCYPART_ARC
(1,6),-0.894388 # DEPENDENCYPART_ARC
(1,8),-1.05204 # DEPENDENCYPART_ARC
(1,9),-1.28294 # DEPENDENCYPART_ARC
(1,11),-1.55954 # DEPENDENCYPART_ARC
(2,1),-0.0250742 # DEPENDENCYPART_ARC
(2,3),3.38823 # DEPENDENCYPART_ARC
(2,4),0.257163 # DEPENDENCYPART_ARC
(2,6),-0.853928 # DEPENDENCYPART_ARC
(3,1),-0.652917 # DEPENDENCYPART_ARC
(3,2),-0.375942 # DEPENDENCYPART_ARC
(3,4),-0.547568 # DEPENDENCYPART_ARC
(3,5),-1.16111 # DEPENDENCYPART_ARC
(3,6),-1.21051 # DEPENDENCYPART_ARC
(3,8),-1.41286 # DEPENDENCYPART_ARC
(4,1),-0.366526 # DEPENDENCYPART_ARC
(4,2),-0.0640618 # DEPENDENCYPART_ARC
(4,3),0.541775 # DEPENDENCYPART_ARC
(4,6),-0.0739084 # DEPENDENCYPART_ARC
(4,8),-1.07325 # DEPENDENCYPART_ARC
(4,9),-1.13291 # DEPENDENCYPART_ARC
(4,11),-1.74934 # DEPENDENCYPART_ARC
(4,12),-1.46185 # DEPENDENCYPART_ARC
(4,15),-1.40279 # DEPENDENCYPART_ARC
(4,19),-1.35205 # DEPENDENCYPART_ARC
(6,1),-1.08188 # DEPENDENCYPART_ARC
(6,3),-1.56973 # DEPENDENCYPART_ARC
(6,4),-0.340335 # DEPENDENCYPART_ARC
(6,5),3.13539 # DEPENDENCYPART_ARC
(6,8),-0.365805 # DEPENDENCYPART_ARC
(6,9),-0.497032 # DEPENDENCYPART_ARC
(6,11),-1.80613 # DEPENDENCYPART_ARC
(6,12),-2.28177 # DEPENDENCYPART_ARC
(6,14),-2.16871 # DEPENDENCYPART_ARC
(8,1),0.717485 # DEPENDENCYPART_ARC
(8,2),-0.26605 # DEPENDENCYPART_ARC
(8,3),-0.83156 # DEPENDENCYPART_ARC
(8,4),0.845295 # DEPENDENCYPART_ARC
(8,5),-0.290468 # DEPENDENCYPART_ARC
(8,6),2.47153 # DEPENDENCYPART_ARC
(8,7),2.49293 # DEPENDENCYPART_ARC
(8,9),2.05684 # DEPENDENCYPART_ARC
(8,10),0.64502 # DEPENDENCYPART_ARC
(8,11),1.20622 # DEPENDENCYPART_ARC
(8,12),-0.536136 # DEPENDENCYPART_ARC
(8,14),0.280316 # DEPENDENCYPART_ARC
(8,15),-2.08381 # DEPENDENCYPART_ARC
(8,17),-2.1188 # DEPENDENCYPART_ARC
(8,18),0.471183 # DEPENDENCYPART_ARC
(8,20),-0.0928467 # DEPENDENCYPART_ARC
(8,22),0.311629 # DEPENDENCYPART_ARC
(9,1),-0.871814 # DEPENDENCYPART_ARC
(9,2),-0.13666 # DEPENDENCYPART_ARC
(9,3),-0.90488 # DEPENDENCYPART_ARC
(9,4),-0.577201 # DEPENDENCYPART_ARC
(9,6),-0.879421 # DEPENDENCYPART_ARC
(9,8),-0.623202 # DEPENDENCYPART_ARC
(9,11),0.110357 # DEPENDENCYPART_ARC
(9,12),-0.956065 # DEPENDENCYPART_ARC
(9,14),-1.56861 # DEPENDENCYPART_ARC
(9,17),-1.56634 # DEPENDENCYPART_ARC
(9,18),-0.669013 # DEPENDENCYPART_ARC
(10,11),0.244668 # DEPENDENCYPART_ARC
(11,1),-0.543128 # DEPENDENCYPART_ARC
(11,2),-1.1733 # DEPENDENCYPART_ARC
(11,3),-1.82721 # DEPENDENCYPART_ARC
(11,4),-0.226248 # DEPENDENCYPART_ARC
(11,6),1.14484 # DEPENDENCYPART_ARC
(11,8),-3.5379 # DEPENDENCYPART_ARC
(11,9),0.2971 # DEPENDENCYPART_ARC
(11,10),1.93956 # DEPENDENCYPART_ARC
