# _root_ Τέλος , κύριε Πρόεδρε , θα αναφερθώ στη συζήτηση σχετικά με τη Συνέλευση και τη διακυβέρνηση .
#goldHeads=7,4,4,7,4,7,0,7,8,9,10,13,14,11,16,14,0,
#predictedHeads=7,7,4,7,7,7,0,7,8,7,10,13,14,11,16,14,0,
(0,1),-0.432343 # DEPENDENCYPART_ARC
(0,2),-0.276314 # DEPENDENCYPART_ARC
(0,3),0.0117131 # DEPENDENCYPART_ARC
(0,4),0.00602387 # DEPENDENCYPART_ARC
(0,5),-0.313787 # DEPENDENCYPART_ARC
(0,7),0.265997 # DEPENDENCYPART_ARC
(0,8),-1.75824 # DEPENDENCYPART_ARC
(0,9),-1.11905 # DEPENDENCYPART_ARC
(0,10),-1.3661 # DEPENDENCYPART_ARC
(0,11),-1.8092 # DEPENDENCYPART_ARC
(0,13),-1.30456 # DEPENDENCYPART_ARC
(0,14),-0.660363 # DEPENDENCYPART_ARC
(0,16),-1.31249 # DEPENDENCYPART_ARC
(0,17),2.75838 # DEPENDENCYPART_ARC
(1,2),0.120963 # DEPENDENCYPART_ARC
(1,3),0.0277615 # DEPENDENCYPART_ARC
(1,4),-0.737327 # DEPENDENCYPART_ARC
(1,5),-0.388164 # DEPENDENCYPART_ARC
(1,7),-1.11174 # DEPENDENCYPART_ARC
(1,11),-1.38781 # DEPENDENCYPART_ARC
(2,1),-0.291457 # DEPENDENCYPART_ARC
(2,3),0.0328324 # DEPENDENCYPART_ARC
(2,4),-0.273034 # DEPENDENCYPART_ARC
(2,5),0.0985221 # DEPENDENCYPART_ARC
(2,7),-1.1931 # DEPENDENCYPART_ARC
(2,8),-1.19576 # DEPENDENCYPART_ARC
(3,1),-0.377474 # DEPENDENCYPART_ARC
(3,2),0.139164 # DEPENDENCYPART_ARC
(3,4),-0.301358 # DEPENDENCYPART_ARC
(3,5),0.153997 # DEPENDENCYPART_ARC
(3,7),-1.62845 # DEPENDENCYPART_ARC
(3,8),-1.44049 # DEPENDENCYPART_ARC
(3,9),-2.6097 # DEPENDENCYPART_ARC
(3,10),-0.585229 # DEPENDENCYPART_ARC
(3,11),-1.55413 # DEPENDENCYPART_ARC
(3,14),-0.625065 # DEPENDENCYPART_ARC
(3,17),0.0797844 # DEPENDENCYPART_ARC
(4,1),0.309468 # DEPENDENCYPART_ARC
(4,2),1.22221 # DEPENDENCYPART_ARC
(4,3),3.46141 # DEPENDENCYPART_ARC
(4,5),1.03006 # DEPENDENCYPART_ARC
(4,7),-1.08306 # DEPENDENCYPART_ARC
(4,8),-1.29509 # DEPENDENCYPART_ARC
(4,9),-1.91504 # DEPENDENCYPART_ARC
(4,10),-0.511458 # DEPENDENCYPART_ARC
(5,1),-0.599664 # DEPENDENCYPART_ARC
(5,2),0.140615 # DEPENDENCYPART_ARC
(5,3),-0.387459 # DEPENDENCYPART_ARC
(5,4),-0.139208 # DEPENDENCYPART_ARC
(5,7),-1.24738 # DEPENDENCYPART_ARC
(5,8),-1.09702 # DEPENDENCYPART_ARC
(5,9),-1.27585 # DEPENDENCYPART_ARC
(5,10),-1.5885 # DEPENDENCYPART_ARC
(5,13),-1.66883 # DEPENDENCYPART_ARC
(5,17),-0.834954 # DEPENDENCYPART_ARC
(7,1),1.6939 # DEPENDENCYPART_ARC
(7,2),1.30793 # DEPENDENCYPART_ARC
(7,3),0.923051 # DEPENDENCYPART_ARC
(7,4),0.728805 # DEPENDENCYPART_ARC
(7,5),1.57168 # DEPENDENCYPART_ARC
(7,6),3.06275 # DEPENDENCYPART_ARC
(7,8),2.17567 # DEPENDENCYPART_ARC
(7,9),0.293194 # DEPENDENCYPART_ARC
(7,10),1.08497 # DEPENDENCYPART_ARC
(7,11),0.529444 # DEPENDENCYPART_ARC
(7,13),-1.62616 # DEPENDENCYPART_ARC
(7,14),0.0234028 # DEPENDENCYPART_ARC
(7,16),-2.43715 # DEPENDENCYPART_ARC
(7,17),0.21683 # DEPENDENCYPART_ARC
(8,9),3.34898 # DEPENDENCYPART_ARC
(8,11),-0.720637 # DEPENDENCYPART_ARC
(9,1),-2.27254 # DEPENDENCYPART_ARC
(9,2),-1.7138 # DEPENDENCYPART_ARC
(9,3),-2.45027 # DEPENDENCYPART_ARC
(9,4),-2.57321 # DEPENDENCYPART_ARC
(9,5),-1.72691 # DEPENDENCYPART_ARC
(9,8),0.335876 # DEPENDENCYPART_ARC
(9,10),0.885609 # DEPENDENCYPART_ARC
(9,11),-0.0688763 # DEPENDENCYPART_ARC
(9,13),-1.40824 # DEPENDENCYPART_ARC
(9,14),-0.097516 # DEPENDENCYPART_ARC
(9,16),-2.6105 # DEPENDENCYPART_ARC
(9,17),-0.423508 # DEPENDENCYPART_ARC
(10,1),-0.793666 # DEPENDENCYPART_ARC
(10,2),-0.634165 # DEPENDENCYPART_ARC
(10,3),-1.28173 # DEPENDENCYPART_ARC
(10,4),-1.24234 # DEPENDENCYPART_ARC
(10,5),-0.371455 # DEPENDENCYPART_ARC
(10,7),-1.41326 # DEPENDENCYPART_ARC
(10,8),0.186435 # DEPENDENCYPART_ARC
(10,9),-0.249721 # DEPENDENCYPART_ARC
(10,11),1.94085 # DEPENDENCYPART_ARC
(10,13),-0.497675 # DEPENDENCYPART_ARC
(10,14),-0.137834 # DEPENDENCYPART_ARC
(10,16),-1.33648 # DEPENDENCYPART_ARC
(10,17),-0.537531 # DEPENDENCYPART_ARC
(11,7),-1.19273 # DEPENDENCYPART_ARC
(11,9),-1.10736 # DEPENDENCYPART_ARC
(11,10),0.0441036 # DEPENDENCYPART_ARC
(11,12),-0.0613804 # DEPENDENCYPART_ARC
(11,13),2.05589 # DEPENDENCYPART_ARC
(11,14),1.08666 # DEPENDENCYPART_ARC
(11,16),0.0536863 # DEPENDENCYPART_ARC
(11,17),-0.506275 # DEPENDENCYPART_ARC
(12,13),0.303286 # DEPENDENCYPART_ARC
(12,14),-0.00952032 # DEPENDENCYPART_ARC
(13,1),-1.79155 # DEPENDENCYPART_ARC
(13,5),-1.4614 # DEPENDENCYPART_ARC
(13,9),-1.07331 # DEPENDENCYPART_ARC
(13,10),-0.739948 # DEPENDENCYPART_ARC
(13,11),-0.059787 # DEPENDENCYPART_ARC
(13,12),3.1245 # DEPENDENCYPART_ARC
(13,14),0.162609 # DEPENDENCYPART_ARC
(13,15),-0.816554 # DEPENDENCYPART_ARC
(13,16),-1.19718 # DEPENDENCYPART_ARC
(13,17),-0.782318 # DEPENDENCYPART_ARC
(14,1),-0.612094 # DEPENDENCYPART_ARC
(14,2),-0.468559 # DEPENDENCYPART_ARC
(14,3),-0.829753 # DEPENDENCYPART_ARC
(14,4),-0.948133 # DEPENDENCYPART_ARC
(14,5),-0.147383 # DEPENDENCYPART_ARC
(14,7),-0.063848 # DEPENDENCYPART_ARC
(14,8),0.255184 # DEPENDENCYPART_ARC
(14,9),0.199073 # DEPENDENCYPART_ARC
(14,10),-0.436356 # DEPENDENCYPART_ARC
(14,11),0.536264 # DEPENDENCYPART_ARC
(14,12),0.442014 # DEPENDENCYPART_ARC
(14,13),2.55466 # DEPENDENCYPART_ARC
(14,15),-0.0337634 # DEPENDENCYPART_ARC
(14,16),1.95711 # DEPENDENCYPART_ARC
(14,17),0.166258 # DEPENDENCYPART_ARC
(15,16),0.107992 # DEPENDENCYPART_ARC
(16,12),0.866392 # DEPENDENCYPART_ARC
(16,13),-0.786708 # DEPENDENCYPART_ARC
(16,14),0.240069 # DEPENDENCYPART_ARC
(16,15),2.86442 # DEPENDENCYPART_ARC
(16,17),0.231318 # DEPENDENCYPART_ARC
(17,2),-2.20546 # DEPENDENCYPART_ARC
(17,3),-2.88259 # DEPENDENCYPART_ARC
(17,4),-3.13363 # DEPENDENCYPART_ARC
(17,7),-2.93894 # DEPENDENCYPART_ARC
(17,8),-2.4341 # DEPENDENCYPART_ARC
(17,10),-1.86776 # DEPENDENCYPART_ARC
