# _root_ Επίσης , επικροτούμε τον στόχο να συμπεριληφθούν και μικροί οργανισμοί χωρίς διεθνή εμπειρία , προκειμένου να έχουν ευκολότερη πρόσβαση στο πρόγραμμα και νέοι που βρίσκονται εκτός οργανισμών .
#goldHeads=3,1,0,5,3,7,5,10,10,7,10,13,11,15,7,17,15,19,17,19,20,23,17,25,23,25,26,0,
#predictedHeads=3,3,0,5,3,7,5,10,10,7,10,13,11,15,7,17,15,19,17,19,20,20,22,25,22,25,26,0,
(0,1),-0.480967 # DEPENDENCYPART_ARC
(0,2),-0.463458 # DEPENDENCYPART_ARC
(0,3),0.938657 # DEPENDENCYPART_ARC
(0,5),-1.40557 # DEPENDENCYPART_ARC
(0,7),-0.703619 # DEPENDENCYPART_ARC
(0,8),-1.13763 # DEPENDENCYPART_ARC
(0,9),-1.89697 # DEPENDENCYPART_ARC
(0,14),-0.480061 # DEPENDENCYPART_ARC
(0,17),-0.585168 # DEPENDENCYPART_ARC
(0,18),-1.54173 # DEPENDENCYPART_ARC
(0,22),-1.24444 # DEPENDENCYPART_ARC
(0,23),-2.32897 # DEPENDENCYPART_ARC
(0,25),-1.00522 # DEPENDENCYPART_ARC
(0,26),-0.952919 # DEPENDENCYPART_ARC
(0,27),-2.18577 # DEPENDENCYPART_ARC
(0,28),3.92162 # DEPENDENCYPART_ARC
(1,2),0.160617 # DEPENDENCYPART_ARC
(1,3),-0.208544 # DEPENDENCYPART_ARC
(1,5),-1.68861 # DEPENDENCYPART_ARC
(1,7),-1.38967 # DEPENDENCYPART_ARC
(2,1),-0.520825 # DEPENDENCYPART_ARC
(2,3),-0.586637 # DEPENDENCYPART_ARC
(3,1),1.82114 # DEPENDENCYPART_ARC
(3,2),1.25803 # DEPENDENCYPART_ARC
(3,4),-1.33162 # DEPENDENCYPART_ARC
(3,5),1.76819 # DEPENDENCYPART_ARC
(3,6),-0.0786018 # DEPENDENCYPART_ARC
(3,7),-0.572827 # DEPENDENCYPART_ARC
(3,8),-0.491777 # DEPENDENCYPART_ARC
(3,9),-2.01117 # DEPENDENCYPART_ARC
(3,10),-1.05694 # DEPENDENCYPART_ARC
(3,11),-0.538583 # DEPENDENCYPART_ARC
(3,13),-1.40597 # DEPENDENCYPART_ARC
(3,14),-0.0316604 # DEPENDENCYPART_ARC
(3,15),0.0201638 # DEPENDENCYPART_ARC
(3,17),-3.81384 # DEPENDENCYPART_ARC
(3,19),-1.28488 # DEPENDENCYPART_ARC
(3,20),-2.94979 # DEPENDENCYPART_ARC
(3,22),-0.395828 # DEPENDENCYPART_ARC
(3,26),-1.38912 # DEPENDENCYPART_ARC
(3,27),-4.85243 # DEPENDENCYPART_ARC
(5,1),-0.938426 # DEPENDENCYPART_ARC
(5,2),-0.673001 # DEPENDENCYPART_ARC
(5,3),-1.92171 # DEPENDENCYPART_ARC
(5,4),2.89007 # DEPENDENCYPART_ARC
(5,6),0.0467264 # DEPENDENCYPART_ARC
