# _root_ Οι βακτηριακές αποικίες , που παραμένουν στο ίζημα εκατομμύρια χρόνια , φαίνονται μάλιστα να αναπτύσσονται με ρυθμό παρόμοιο με των βακτηρίων της επιφάνειας .
#goldHeads=3,3,12,6,6,3,6,7,10,6,6,0,12,15,12,15,16,17,18,21,19,23,21,0,
#predictedHeads=3,3,12,6,6,3,6,7,10,6,12,0,12,15,13,15,16,17,18,21,19,23,21,0,
(0,2),-0.613798 # DEPENDENCYPART_ARC
(0,3),-0.549555 # DEPENDENCYPART_ARC
(0,4),-0.338302 # DEPENDENCYPART_ARC
(0,6),-0.33309 # DEPENDENCYPART_ARC
(0,7),-1.61467 # DEPENDENCYPART_ARC
(0,8),-1.81111 # DEPENDENCYPART_ARC
(0,11),-0.966296 # DEPENDENCYPART_ARC
(0,12),0.575777 # DEPENDENCYPART_ARC
(0,13),-1.38492 # DEPENDENCYPART_ARC
(0,15),-1.09341 # DEPENDENCYPART_ARC
(0,18),-2.10424 # DEPENDENCYPART_ARC
(0,24),3.29874 # DEPENDENCYPART_ARC
(2,1),1.53121 # DEPENDENCYPART_ARC
(2,3),-0.441461 # DEPENDENCYPART_ARC
(2,4),-0.338675 # DEPENDENCYPART_ARC
(2,6),-1.41072 # DEPENDENCYPART_ARC
(2,7),-1.58927 # DEPENDENCYPART_ARC
(3,1),3.92527 # DEPENDENCYPART_ARC
(3,2),4.18538 # DEPENDENCYPART_ARC
(3,4),0.220436 # DEPENDENCYPART_ARC
(3,5),-0.594639 # DEPENDENCYPART_ARC
(3,6),1.29864 # DEPENDENCYPART_ARC
(3,7),-1.36158 # DEPENDENCYPART_ARC
(3,9),-2.12619 # DEPENDENCYPART_ARC
(4,2),-0.42235 # DEPENDENCYPART_ARC
(4,3),-0.299482 # DEPENDENCYPART_ARC
(4,5),-0.583441 # DEPENDENCYPART_ARC
(4,6),-0.365844 # DEPENDENCYPART_ARC
(4,7),-0.615337 # DEPENDENCYPART_ARC
(4,8),-0.660072 # DEPENDENCYPART_ARC
(4,9),-0.877269 # DEPENDENCYPART_ARC
(4,10),-0.823934 # DEPENDENCYPART_ARC
(4,11),0.16587 # DEPENDENCYPART_ARC
(4,12),-0.929851 # DEPENDENCYPART_ARC
(4,13),-0.714294 # DEPENDENCYPART_ARC
(4,15),-1.1243 # DEPENDENCYPART_ARC
(4,18),-1.05619 # DEPENDENCYPART_ARC
(4,19),-0.328038 # DEPENDENCYPART_ARC
(5,4),-0.0474887 # DEPENDENCYPART_ARC
(5,6),-1.01976 # DEPENDENCYPART_ARC
