# _root_ * Τα ρέηβ πάρτυ στο κλαμπ Cavo Paradiso , κοντά στη Χώρα , που τελειώνουν με την ανατολή του ηλίου .
#goldHeads=0,4,4,0,4,5,6,7,10,6,10,11,15,15,4,15,18,16,20,18,0,
#predictedHeads=0,4,0,3,4,5,6,7,10,15,10,11,15,15,0,15,18,16,20,18,0,
(0,1),1.55526 # DEPENDENCYPART_ARC
(0,3),0.197462 # DEPENDENCYPART_ARC
(0,4),0.364033 # DEPENDENCYPART_ARC
(0,5),-0.170102 # DEPENDENCYPART_ARC
(0,6),0.15465 # DEPENDENCYPART_ARC
(0,7),-0.281854 # DEPENDENCYPART_ARC
(0,8),-0.112601 # DEPENDENCYPART_ARC
(0,9),0.248595 # DEPENDENCYPART_ARC
(0,10),-0.452911 # DEPENDENCYPART_ARC
(0,11),-0.57768 # DEPENDENCYPART_ARC
(0,12),0.718278 # DEPENDENCYPART_ARC
(0,13),0.278074 # DEPENDENCYPART_ARC
(0,15),0.732981 # DEPENDENCYPART_ARC
(0,16),-1.29405 # DEPENDENCYPART_ARC
(0,18),-0.0705666 # DEPENDENCYPART_ARC
(0,20),-0.628242 # DEPENDENCYPART_ARC
(0,21),2.97274 # DEPENDENCYPART_ARC
(1,3),-0.871362 # DEPENDENCYPART_ARC
(1,4),-1.14381 # DEPENDENCYPART_ARC
(1,5),-1.06603 # DEPENDENCYPART_ARC
(1,6),-1.26456 # DEPENDENCYPART_ARC
(1,9),-0.820749 # DEPENDENCYPART_ARC
(1,10),-1.16427 # DEPENDENCYPART_ARC
(1,13),-0.985356 # DEPENDENCYPART_ARC
(1,15),-1.05454 # DEPENDENCYPART_ARC
(1,16),-1.51718 # DEPENDENCYPART_ARC
(2,4),0.241715 # DEPENDENCYPART_ARC
(3,1),0.202809 # DEPENDENCYPART_ARC
(3,2),1.99208 # DEPENDENCYPART_ARC
(3,4),1.22266 # DEPENDENCYPART_ARC
(3,6),0.120793 # DEPENDENCYPART_ARC
(4,1),-0.403499 # DEPENDENCYPART_ARC
(4,2),2.1185 # DEPENDENCYPART_ARC
