# _root_ Τα νέα στοιχεία υποδεικνύουν μάλιστα ότι οι ιζηματογενείς αποθέσεις των ωκεανών , οι οποίες καλύπτουν το 70% της επιφάνειας της Γης , περιέχουν περίπου τους μισούς μικροοργανισμούς του πλανήτη .
#goldHeads=3,3,4,0,4,4,9,9,23,11,9,15,14,15,9,17,15,19,17,21,19,15,6,26,27,27,23,29,27,0,
#predictedHeads=3,3,4,0,4,4,9,9,4,11,9,15,14,15,6,17,15,19,17,21,19,23,6,23,27,27,23,29,27,0,
(0,2),-0.948797 # DEPENDENCYPART_ARC
(0,3),-1.1109 # DEPENDENCYPART_ARC
(0,4),0.598548 # DEPENDENCYPART_ARC
(0,5),-1.55248 # DEPENDENCYPART_ARC
(0,6),-1.7005 # DEPENDENCYPART_ARC
(0,8),-1.55231 # DEPENDENCYPART_ARC
(0,12),-0.873954 # DEPENDENCYPART_ARC
(0,15),-1.1284 # DEPENDENCYPART_ARC
(0,17),-1.68218 # DEPENDENCYPART_ARC
(0,22),-0.964413 # DEPENDENCYPART_ARC
(0,23),-0.34241 # DEPENDENCYPART_ARC
(0,30),4.22492 # DEPENDENCYPART_ARC
(2,1),1.42712 # DEPENDENCYPART_ARC
(2,3),-0.462368 # DEPENDENCYPART_ARC
(2,4),-1.45347 # DEPENDENCYPART_ARC
(2,5),-1.13218 # DEPENDENCYPART_ARC
(2,6),-1.01897 # DEPENDENCYPART_ARC
(2,9),-2.91972 # DEPENDENCYPART_ARC
(2,11),-1.90885 # DEPENDENCYPART_ARC
(3,1),3.78044 # DEPENDENCYPART_ARC
(3,2),3.9841 # DEPENDENCYPART_ARC
(3,4),-0.92802 # DEPENDENCYPART_ARC
(3,5),-0.799754 # DEPENDENCYPART_ARC
(3,6),-0.570985 # DEPENDENCYPART_ARC
(3,8),-1.51625 # DEPENDENCYPART_ARC
(3,9),-2.89955 # DEPENDENCYPART_ARC
(3,11),-2.33095 # DEPENDENCYPART_ARC
(4,1),0.460482 # DEPENDENCYPART_ARC
(4,2),-0.151253 # DEPENDENCYPART_ARC
(4,3),1.96155 # DEPENDENCYPART_ARC
(4,5),1.49976 # DEPENDENCYPART_ARC
(4,6),1.54615 # DEPENDENCYPART_ARC
(4,8),-0.613001 # DEPENDENCYPART_ARC
(4,9),0.920436 # DEPENDENCYPART_ARC
(4,11),-1.78457 # DEPENDENCYPART_ARC
(4,12),0.160049 # DEPENDENCYPART_ARC
(4,15),-2.91223 # DEPENDENCYPART_ARC
(4,17),-0.447467 # DEPENDENCYPART_ARC
(4,19),-3.06628 # DEPENDENCYPART_ARC
(4,21),-3.43557 # DEPENDENCYPART_ARC
(4,22),-0.0983999 # DEPENDENCYPART_ARC
(4,23),-4.93985 # DEPENDENCYPART_ARC
(4,24),-1.47819 # DEPENDENCYPART_ARC
(4,27),-1.78201 # DEPENDENCYPART_ARC
(4,29),-4.16951 # DEPENDENCYPART_ARC
(5,2),-0.711689 # DEPENDENCYPART_ARC
(5,3),-0.390856 # DEPENDENCYPART_ARC
(5,4),-0.242598 # DEPENDENCYPART_ARC
(5,6),0.0490993 # DEPENDENCYPART_ARC
(5,8),-1.15234 # DEPENDENCYPART_ARC
(5,9),-1.21029 # DEPENDENCYPART_ARC
(5,11),-1.55535 # DEPENDENCYPART_ARC
(5,12),-0.986744 # DEPENDENCYPART_ARC
(5,15),-1.90288 # DEPENDENCYPART_ARC
(6,5),-0.269383 # DEPENDENCYPART_ARC
(6,7),-0.19708 # DEPENDENCYPART_ARC
(6,12),-0.197576 # DEPENDENCYPART_ARC
(6,15),1.06769 # DEPENDENCYPART_ARC
(6,22),-1.20116 # DEPENDENCYPART_ARC
(6,23),0.306635 # DEPENDENCYPART_ARC
(8,3),-1.32329 # DEPENDENCYPART_ARC
(8,5),-0.66641 # DEPENDENCYPART_ARC
(8,6),-0.519973 # DEPENDENCYPART_ARC
(8,7),1.92005 # DEPENDENCYPART_ARC
(8,9),-0.661416 # DEPENDENCYPART_ARC
(8,11),-0.487955 # DEPENDENCYPART_ARC
(8,12),-0.559216 # DEPENDENCYPART_ARC
(9,1),-0.197208 # DEPENDENCYPART_ARC
(9,3),-1.85601 # DEPENDENCYPART_ARC
(9,4),-3.13657 # DEPENDENCYPART_ARC
(9,5),-0.277484 # DEPENDENCYPART_ARC
(9,7),3.71117 # DEPENDENCYPART_ARC
(9,8),4.48566 # DEPENDENCYPART_ARC
(9,10),-0.236424 # DEPENDENCYPART_ARC
(9,11),2.03378 # DEPENDENCYPART_ARC
(9,12),0.277528 # DEPENDENCYPART_ARC
(9,15),0.809324 # DEPENDENCYPART_ARC
(9,17),-0.598011 # DEPENDENCYPART_ARC
(9,19),-0.851616 # DEPENDENCYPART_ARC
(9,21),-1.12956 # DEPENDENCYPART_ARC
(9,23),-1.67338 # DEPENDENCYPART_ARC
(9,24),-0.92966 # DEPENDENCYPART_ARC
(11,1),-2.11127 # DEPENDENCYPART_ARC
(11,7),-0.365982 # DEPENDENCYPART_ARC
(11,8),-0.590538 # DEPENDENCYPART_ARC
(11,9),-1.29391 # DEPENDENCYPART_ARC
(11,10),3.22841 # DEPENDENCYPART_ARC
(11,12),-0.247475 # DEPENDENCYPART_ARC
(11,13),-0.98736 # DEPENDENCYPART_ARC
(11,14),-2.3228 # DEPENDENCYPART_ARC
(11,15),0.499323 # DEPENDENCYPART_ARC
(11,17),-1.09506 # DEPENDENCYPART_ARC
(12,3),-0.854555 # DEPENDENCYPART_ARC
(12,4),-0.778678 # DEPENDENCYPART_ARC
(12,5),-0.339535 # DEPENDENCYPART_ARC
(12,8),-0.500817 # DEPENDENCYPART_ARC
(12,9),0.0675207 # DEPENDENCYPART_ARC
(12,11),0.310832 # DEPENDENCYPART_ARC
(12,15),-0.563932 # DEPENDENCYPART_ARC
(12,19),-1.20762 # DEPENDENCYPART_ARC
(12,22),-0.570888 # DEPENDENCYPART_ARC
(12,23),-1.122 # DEPENDENCYPART_ARC
(14,12),0.140283 # DEPENDENCYPART_ARC
(14,13),3.35659 # DEPENDENCYPART_ARC
(14,15),-1.06962 # DEPENDENCYPART_ARC
(14,23),-2.78474 # DEPENDENCYPART_ARC
(15,2),-2.19849 # DEPENDENCYPART_ARC
(15,3),-0.183263 # DEPENDENCYPART_ARC
(15,4),-2.67279 # DEPENDENCYPART_ARC
(15,5),-0.705921 # DEPENDENCYPART_ARC
(15,6),-0.751895 # DEPENDENCYPART_ARC
(15,8),-0.777263 # DEPENDENCYPART_ARC
(15,9),0.353299 # DEPENDENCYPART_ARC
(15,10),-1.51717 # DEPENDENCYPART_ARC
(15,11),-2.16472 # DEPENDENCYPART_ARC
(15,12),1.17351 # DEPENDENCYPART_ARC
(15,13),-0.399471 # DEPENDENCYPART_ARC
(15,14),2.71324 # DEPENDENCYPART_ARC
(15,16),-1.07543 # DEPENDENCYPART_ARC
(15,17),0.70934 # DEPENDENCYPART_ARC
(15,19),-0.455023 # DEPENDENCYPART_ARC
(15,21),-1.7585 # DEPENDENCYPART_ARC
(15,22),0.798443 # DEPENDENCYPART_ARC
(15,23),-2.90851 # DEPENDENCYPART_ARC
(15,24),-0.784516 # DEPENDENCYPART_ARC
(15,27),-0.434458 # DEPENDENCYPART_ARC
(15,29),-3.11722 # DEPENDENCYPART_ARC
(17,15),0.166492 # DEPENDENCYPART_ARC
(17,16),2.1516 # DEPENDENCYPART_ARC
(17,19),0.955538 # DEPENDENCYPART_ARC
(17,21),0.577674 # DEPENDENCYPART_ARC
(19,10),-2.94102 # DEPENDENCYPART_ARC
(19,13),-2.36786 # DEPENDENCYPART_ARC
(19,14),-1.7365 # DEPENDENCYPART_ARC
(19,16),-1.33504 # DEPENDENCYPART_ARC
(19,17),0.15185 # DEPENDENCYPART_ARC
(19,18),2.95804 # DEPENDENCYPART_ARC
(19,20),0.488723 # DEPENDENCYPART_ARC
(19,21),2.39647 # DEPENDENCYPART_ARC
(19,22),-0.0652649 # DEPENDENCYPART_ARC
(19,23),-1.73171 # DEPENDENCYPART_ARC
(19,24),-0.902683 # DEPENDENCYPART_ARC
(19,27),-2.41317 # DEPENDENCYPART_ARC
(19,29),-1.3323 # DEPENDENCYPART_ARC
(21,13),-2.90659 # DEPENDENCYPART_ARC
(21,14),-1.83223 # DEPENDENCYPART_ARC
(21,16),-2.118 # DEPENDENCYPART_ARC
(21,18),0.989119 # DEPENDENCYPART_ARC
(21,19),-0.0534393 # DEPENDENCYPART_ARC
(21,20),3.23116 # DEPENDENCYPART_ARC
(21,22),-0.233353 # DEPENDENCYPART_ARC
(21,23),-1.78534 # DEPENDENCYPART_ARC
(21,24),-1.09648 # DEPENDENCYPART_ARC
(21,26),-2.44428 # DEPENDENCYPART_ARC
(21,27),-2.88135 # DEPENDENCYPART_ARC
(21,29),-1.72437 # DEPENDENCYPART_ARC
(22,3),-1.87945 # DEPENDENCYPART_ARC
(22,4),-0.88317 # DEPENDENCYPART_ARC
(22,9),-1.48659 # DEPENDENCYPART_ARC
(22,11),-1.57254 # DEPENDENCYPART_ARC
(22,17),-0.59566 # DEPENDENCYPART_ARC
(22,19),-0.466153 # DEPENDENCYPART_ARC
(22,21),-0.371566 # DEPENDENCYPART_ARC
(22,23),-0.537259 # DEPENDENCYPART_ARC
(22,24),-1.11273 # DEPENDENCYPART_ARC
(22,26),-1.30897 # DEPENDENCYPART_ARC
(22,27),-1.0642 # DEPENDENCYPART_ARC
(22,29),-1.34261 # DEPENDENCYPART_ARC
(23,3),-0.895796 # DEPENDENCYPART_ARC
(23,4),-2.48412 # DEPENDENCYPART_ARC
(23,5),-0.717223 # DEPENDENCYPART_ARC
(23,6),-1.06805 # DEPENDENCYPART_ARC
(23,8),-1.26082 # DEPENDENCYPART_ARC
(23,9),-0.160185 # DEPENDENCYPART_ARC
(23,11),-2.66159 # DEPENDENCYPART_ARC
(23,12),0.0357577 # DEPENDENCYPART_ARC
(23,14),-0.355614 # DEPENDENCYPART_ARC
(23,15),-1.77263 # DEPENDENCYPART_ARC
(23,17),-0.0260402 # DEPENDENCYPART_ARC
(23,18),-1.45549 # DEPENDENCYPART_ARC
(23,19),-2.31836 # DEPENDENCYPART_ARC
(23,20),-1.16407 # DEPENDENCYPART_ARC
(23,21),-2.11155 # DEPENDENCYPART_ARC
(23,22),0.810544 # DEPENDENCYPART_ARC
(23,24),1.67656 # DEPENDENCYPART_ARC
(23,25),-0.794265 # DEPENDENCYPART_ARC
(23,26),-0.285225 # DEPENDENCYPART_ARC
(23,27),1.82946 # DEPENDENCYPART_ARC
(23,29),-1.52257 # DEPENDENCYPART_ARC
(23,30),0.728566 # DEPENDENCYPART_ARC
(24,4),-1.41775 # DEPENDENCYPART_ARC
(24,14),-2.15669 # DEPENDENCYPART_ARC
(24,19),-1.3346 # DEPENDENCYPART_ARC
(24,21),-1.07084 # DEPENDENCYPART_ARC
(24,22),-0.525589 # DEPENDENCYPART_ARC
(24,25),-0.0400655 # DEPENDENCYPART_ARC
