# _root_ Τα νέα κτίσματα των τελευταίων ετών , που ανεγέρθηκαν κυρίως κοντά στις παραλίες , είναι μονόροφα ή διώροφα κυκλαδίτικα σπίτια τα περισσότερα με ιδιωτικές πισίνες .
#goldHeads=3,3,15,6,6,3,9,9,3,11,9,11,12,9,0,17,20,17,20,15,22,20,20,25,23,0,
#predictedHeads=3,3,15,6,6,3,9,9,3,9,9,11,12,15,0,17,20,20,20,15,25,20,22,25,23,0,
(0,2),-0.948797 # DEPENDENCYPART_ARC
(0,3),-1.00019 # DEPENDENCYPART_ARC
(0,5),-1.38232 # DEPENDENCYPART_ARC
(0,6),-1.58098 # DEPENDENCYPART_ARC
(0,7),-0.357083 # DEPENDENCYPART_ARC
(0,9),-0.0725687 # DEPENDENCYPART_ARC
(0,14),-1.0197 # DEPENDENCYPART_ARC
(0,15),0.409473 # DEPENDENCYPART_ARC
(0,16),-2.20583 # DEPENDENCYPART_ARC
(0,17),-1.67704 # DEPENDENCYPART_ARC
(0,18),-1.94449 # DEPENDENCYPART_ARC
(0,19),-2.07181 # DEPENDENCYPART_ARC
(0,26),3.36635 # DEPENDENCYPART_ARC
(2,1),1.41441 # DEPENDENCYPART_ARC
(2,3),-0.567996 # DEPENDENCYPART_ARC
(2,5),-0.958967 # DEPENDENCYPART_ARC
(2,6),-0.562798 # DEPENDENCYPART_ARC
(2,12),-1.33131 # DEPENDENCYPART_ARC
(3,1),3.68956 # DEPENDENCYPART_ARC
(3,2),3.9058 # DEPENDENCYPART_ARC
(3,4),-0.494323 # DEPENDENCYPART_ARC
(3,5),0.89698 # DEPENDENCYPART_ARC
(3,6),1.07713 # DEPENDENCYPART_ARC
(3,7),0.315247 # DEPENDENCYPART_ARC
(3,9),0.480185 # DEPENDENCYPART_ARC
(3,10),-0.641522 # DEPENDENCYPART_ARC
(3,11),-0.499035 # DEPENDENCYPART_ARC
(3,12),-1.76622 # DEPENDENCYPART_ARC
(3,13),-2.28667 # DEPENDENCYPART_ARC
(3,15),-1.50655 # DEPENDENCYPART_ARC
(3,17),-0.498546 # DEPENDENCYPART_ARC
(5,3),-0.691585 # DEPENDENCYPART_ARC
(5,4),1.62158 # DEPENDENCYPART_ARC
(5,6),0.650723 # DEPENDENCYPART_ARC
(5,7),-0.744094 # DEPENDENCYPART_ARC
(5,9),-1.21397 # DEPENDENCYPART_ARC
(6,1),0.822404 # DEPENDENCYPART_ARC
(6,2),-0.0618282 # DEPENDENCYPART_ARC
(6,3),-1.27183 # DEPENDENCYPART_ARC
(6,4),3.09072 # DEPENDENCYPART_ARC
(6,5),2.87199 # DEPENDENCYPART_ARC
(6,7),-0.172711 # DEPENDENCYPART_ARC
(6,8),-2.86112 # DEPENDENCYPART_ARC
(6,9),0.225271 # DEPENDENCYPART_ARC
(6,10),-1.35397 # DEPENDENCYPART_ARC
(7,2),-0.75033 # DEPENDENCYPART_ARC
(7,3),-0.578149 # DEPENDENCYPART_ARC
(7,5),-0.543198 # DEPENDENCYPART_ARC
(7,6),-0.43682 # DEPENDENCYPART_ARC
(7,8),-0.593217 # DEPENDENCYPART_ARC
(7,9),-0.334041 # DEPENDENCYPART_ARC
(7,10),-0.483175 # DEPENDENCYPART_ARC
(7,11),-0.68097 # DEPENDENCYPART_ARC
(7,12),-0.696789 # DEPENDENCYPART_ARC
(7,13),-0.886936 # DEPENDENCYPART_ARC
(7,14),0.232086 # DEPENDENCYPART_ARC
(7,16),-1.01283 # DEPENDENCYPART_ARC
(7,18),-0.866881 # DEPENDENCYPART_ARC
(7,19),-0.720112 # DEPENDENCYPART_ARC
(7,22),-0.809771 # DEPENDENCYPART_ARC
(8,7),-0.0493499 # DEPENDENCYPART_ARC
(8,9),-0.158629 # DEPENDENCYPART_ARC
(9,2),-1.36308 # DEPENDENCYPART_ARC
(9,3),-0.0364609 # DEPENDENCYPART_ARC
(9,4),-2.14006 # DEPENDENCYPART_ARC
(9,5),-2.52935 # DEPENDENCYPART_ARC
(9,6),-2.77218 # DEPENDENCYPART_ARC
(9,7),1.06206 # DEPENDENCYPART_ARC
(9,8),4.04465 # DEPENDENCYPART_ARC
(9,10),1.81172 # DEPENDENCYPART_ARC
(9,11),1.59226 # DEPENDENCYPART_ARC
(9,12),1.53438 # DEPENDENCYPART_ARC
(9,13),-0.33586 # DEPENDENCYPART_ARC
(9,14),0.805913 # DEPENDENCYPART_ARC
(9,15),-2.32572 # DEPENDENCYPART_ARC
(9,16),0.0129601 # DEPENDENCYPART_ARC
(9,17),0.0159933 # DEPENDENCYPART_ARC
(9,20),-1.0024 # DEPENDENCYPART_ARC
(9,23),-0.535696 # DEPENDENCYPART_ARC
(9,25),-2.13283 # DEPENDENCYPART_ARC
(10,6),-0.795333 # DEPENDENCYPART_ARC
(10,7),-0.519873 # DEPENDENCYPART_ARC
(10,8),-1.17513 # DEPENDENCYPART_ARC
(10,9),-0.685138 # DEPENDENCYPART_ARC
(10,11),-0.440699 # DEPENDENCYPART_ARC
(10,12),-0.409915 # DEPENDENCYPART_ARC
(10,13),-1.30225 # DEPENDENCYPART_ARC
(10,14),-0.710744 # DEPENDENCYPART_ARC
(10,15),-1.38272 # DEPENDENCYPART_ARC
(11,3),-0.519218 # DEPENDENCYPART_ARC
(11,6),-0.550884 # DEPENDENCYPART_ARC
(11,7),-0.109467 # DEPENDENCYPART_ARC
(11,8),-1.14882 # DEPENDENCYPART_ARC
(11,9),-0.759266 # DEPENDENCYPART_ARC
(11,10),1.77553 # DEPENDENCYPART_ARC
(11,12),1.6522 # DEPENDENCYPART_ARC
(11,13),0.30154 # DEPENDENCYPART_ARC
(11,14),0.633667 # DEPENDENCYPART_ARC
(11,15),-0.283456 # DEPENDENCYPART_ARC
(12,10),-0.339339 # DEPENDENCYPART_ARC
(12,11),-0.0852888 # DEPENDENCYPART_ARC
(12,13),3.21129 # DEPENDENCYPART_ARC
(12,14),0.169935 # DEPENDENCYPART_ARC
(12,15),-0.513242 # DEPENDENCYPART_ARC
(12,17),-0.862699 # DEPENDENCYPART_ARC
(13,4),-1.72656 # DEPENDENCYPART_ARC
(13,8),-2.56658 # DEPENDENCYPART_ARC
(13,10),-1.20006 # DEPENDENCYPART_ARC
(13,11),-0.432596 # DEPENDENCYPART_ARC
(13,12),0.275081 # DEPENDENCYPART_ARC
(13,14),-0.154419 # DEPENDENCYPART_ARC
(13,15),-0.151895 # DEPENDENCYPART_ARC
(13,16),-1.09809 # DEPENDENCYPART_ARC
(13,18),-1.50338 # DEPENDENCYPART_ARC
(13,19),-1.53451 # DEPENDENCYPART_ARC
(14,3),-1.35049 # DEPENDENCYPART_ARC
(14,10),-0.489976 # DEPENDENCYPART_ARC
(14,11),-0.46556 # DEPENDENCYPART_ARC
(14,12),-0.42528 # DEPENDENCYPART_ARC
(14,13),-0.128137 # DEPENDENCYPART_ARC
(14,15),-0.830632 # DEPENDENCYPART_ARC
(14,16),-1.24717 # DEPENDENCYPART_ARC
(14,18),-1.51595 # DEPENDENCYPART_ARC
(14,19),-1.50469 # DEPENDENCYPART_ARC
(14,22),-1.76243 # DEPENDENCYPART_ARC
(15,2),-0.825284 # DEPENDENCYPART_ARC
(15,3),0.692401 # DEPENDENCYPART_ARC
(15,5),-2.43139 # DEPENDENCYPART_ARC
(15,6),-2.1504 # DEPENDENCYPART_ARC
(15,7),0.793773 # DEPENDENCYPART_ARC
(15,8),1.42823 # DEPENDENCYPART_ARC
(15,9),-2.92148 # DEPENDENCYPART_ARC
