# _root_ Στους πρόποδές του , αξίζει να επισκεφθείτε το Δασικό Χωριό της Ελευθερούπολης , στο οποίο μπορείτε να κλείσετε και δωμάτιο για διαμονή .
#goldHeads=5,1,2,5,0,7,5,10,10,7,12,10,7,18,14,10,18,16,18,18,20,21,0,
#predictedHeads=5,1,2,5,0,7,5,10,10,7,12,10,16,16,14,10,18,16,20,18,20,21,0,
(0,1),-1.40089 # DEPENDENCYPART_ARC
(0,2),-0.572922 # DEPENDENCYPART_ARC
(0,4),-0.61802 # DEPENDENCYPART_ARC
(0,5),1.22628 # DEPENDENCYPART_ARC
(0,7),-1.06205 # DEPENDENCYPART_ARC
(0,10),-1.80654 # DEPENDENCYPART_ARC
(0,12),-1.97602 # DEPENDENCYPART_ARC
(0,13),-0.605337 # DEPENDENCYPART_ARC
(0,14),-1.80447 # DEPENDENCYPART_ARC
(0,16),-1.16137 # DEPENDENCYPART_ARC
(0,18),-1.41346 # DEPENDENCYPART_ARC
(0,19),-1.40722 # DEPENDENCYPART_ARC
(0,20),-1.88353 # DEPENDENCYPART_ARC
(0,23),3.31257 # DEPENDENCYPART_ARC
(1,2),2.66219 # DEPENDENCYPART_ARC
(1,4),0.287719 # DEPENDENCYPART_ARC
(2,1),-0.891576 # DEPENDENCYPART_ARC
(2,3),2.49878 # DEPENDENCYPART_ARC
(2,4),-0.150032 # DEPENDENCYPART_ARC
(2,5),-0.162974 # DEPENDENCYPART_ARC
(2,7),-0.820347 # DEPENDENCYPART_ARC
(2,10),-2.713 # DEPENDENCYPART_ARC
(2,14),-1.72648 # DEPENDENCYPART_ARC
(2,16),-1.13567 # DEPENDENCYPART_ARC
(2,18),-2.5487 # DEPENDENCYPART_ARC
(2,19),-0.744083 # DEPENDENCYPART_ARC
(2,21),-1.46542 # DEPENDENCYPART_ARC
(4,1),-0.251543 # DEPENDENCYPART_ARC
(4,2),-0.196065 # DEPENDENCYPART_ARC
(4,5),-0.615201 # DEPENDENCYPART_ARC
(4,7),-1.6122 # DEPENDENCYPART_ARC
(4,12),-1.94462 # DEPENDENCYPART_ARC
(5,1),0.779161 # DEPENDENCYPART_ARC
(5,2),-0.851091 # DEPENDENCYPART_ARC
(5,4),1.42977 # DEPENDENCYPART_ARC
(5,7),3.34883 # DEPENDENCYPART_ARC
(5,9),-1.6738 # DEPENDENCYPART_ARC
(5,10),0.307244 # DEPENDENCYPART_ARC
(5,13),0.611248 # DEPENDENCYPART_ARC
(5,16),-2.07783 # DEPENDENCYPART_ARC
(5,18),-0.221991 # DEPENDENCYPART_ARC
(5,19),-0.805663 # DEPENDENCYPART_ARC
(5,20),-1.78133 # DEPENDENCYPART_ARC
(5,21),-1.36498 # DEPENDENCYPART_ARC
(5,23),0.512363 # DEPENDENCYPART_ARC
(7,1),0.751114 # DEPENDENCYPART_ARC
(7,2),-0.794944 # DEPENDENCYPART_ARC
(7,4),-0.565845 # DEPENDENCYPART_ARC
(7,5),-3.08046 # DEPENDENCYPART_ARC
(7,6),2.24322 # DEPENDENCYPART_ARC
(7,8),-1.10401 # DEPENDENCYPART_ARC
(7,9),-0.588949 # DEPENDENCYPART_ARC
(7,10),0.992717 # DEPENDENCYPART_ARC
(7,12),-1.49599 # DEPENDENCYPART_ARC
(7,13),0.736713 # DEPENDENCYPART_ARC
(7,14),1.06771 # DEPENDENCYPART_ARC
(7,16),-3.16752 # DEPENDENCYPART_ARC
(7,18),-2.93966 # DEPENDENCYPART_ARC
(7,19),-0.772491 # DEPENDENCYPART_ARC
(7,20),-2.27686 # DEPENDENCYPART_ARC
(7,21),-0.971086 # DEPENDENCYPART_ARC
(7,23),0.032177 # DEPENDENCYPART_ARC
(9,2),-2.32294 # DEPENDENCYPART_ARC
(9,8),0.923441 # DEPENDENCYPART_ARC
(9,10),0.222989 # DEPENDENCYPART_ARC
(9,12),-0.0887865 # DEPENDENCYPART_ARC
(9,14),-1.30762 # DEPENDENCYPART_ARC
(10,4),-0.680035 # DEPENDENCYPART_ARC
(10,7),-1.38197 # DEPENDENCYPART_ARC
(10,8),3.21915 # DEPENDENCYPART_ARC
(10,9),3.97965 # DEPENDENCYPART_ARC
(10,11),0.257764 # DEPENDENCYPART_ARC
(10,12),2.69943 # DEPENDENCYPART_ARC
(10,13),0.206894 # DEPENDENCYPART_ARC
(10,14),-0.240262 # DEPENDENCYPART_ARC
(10,16),-0.720088 # DEPENDENCYPART_ARC
(10,18),-2.18049 # DEPENDENCYPART_ARC
(10,19),-0.438315 # DEPENDENCYPART_ARC
(10,21),-0.684509 # DEPENDENCYPART_ARC
