# _root_ Αργότερα κατακτήθηκε από τους Αθηναίους , τους Μακεδόνες , τους Πτολεμαίους και τους Ρωμαίους .
#goldHeads=2,0,2,5,12,12,8,12,12,11,12,3,14,12,0,
#predictedHeads=2,0,2,5,3,12,8,12,12,11,12,4,14,12,0,
(0,1),-0.463542 # DEPENDENCYPART_ARC
(0,2),-0.0331957 # DEPENDENCYPART_ARC
(0,3),-1.5376 # DEPENDENCYPART_ARC
(0,5),-1.32963 # DEPENDENCYPART_ARC
(0,6),-0.406716 # DEPENDENCYPART_ARC
(0,8),-1.5447 # DEPENDENCYPART_ARC
(0,9),-0.451555 # DEPENDENCYPART_ARC
(0,11),-1.56246 # DEPENDENCYPART_ARC
(0,12),-0.836445 # DEPENDENCYPART_ARC
(0,14),-1.43858 # DEPENDENCYPART_ARC
(0,15),2.83409 # DEPENDENCYPART_ARC
(1,2),-1.10778 # DEPENDENCYPART_ARC
(1,3),-0.33222 # DEPENDENCYPART_ARC
(1,6),-0.645403 # DEPENDENCYPART_ARC
(1,8),-2.60109 # DEPENDENCYPART_ARC
(1,9),-0.772628 # DEPENDENCYPART_ARC
(1,15),-1.16281 # DEPENDENCYPART_ARC
(2,1),1.93754 # DEPENDENCYPART_ARC
(2,3),1.50205 # DEPENDENCYPART_ARC
(2,4),-1.33905 # DEPENDENCYPART_ARC
(2,5),-0.73516 # DEPENDENCYPART_ARC
(2,6),0.69289 # DEPENDENCYPART_ARC
(2,8),-2.22009 # DEPENDENCYPART_ARC
(2,9),0.449105 # DEPENDENCYPART_ARC
(2,11),-2.68189 # DEPENDENCYPART_ARC
(2,12),0.316056 # DEPENDENCYPART_ARC
(2,14),-3.2651 # DEPENDENCYPART_ARC
(2,15),0.24508 # DEPENDENCYPART_ARC
(3,1),-0.829587 # DEPENDENCYPART_ARC
(3,2),-0.689595 # DEPENDENCYPART_ARC
(3,4),0.139617 # DEPENDENCYPART_ARC
(3,5),2.65273 # DEPENDENCYPART_ARC
(3,6),0.282746 # DEPENDENCYPART_ARC
(3,8),0.220279 # DEPENDENCYPART_ARC
(3,9),-0.213766 # DEPENDENCYPART_ARC
(3,11),-1.82709 # DEPENDENCYPART_ARC
(3,12),0.285762 # DEPENDENCYPART_ARC
(3,14),-2.43742 # DEPENDENCYPART_ARC
(3,15),-1.07689 # DEPENDENCYPART_ARC
(4,12),0.381989 # DEPENDENCYPART_ARC
(5,1),-0.836103 # DEPENDENCYPART_ARC
(5,2),-1.60011 # DEPENDENCYPART_ARC
(5,4),2.85087 # DEPENDENCYPART_ARC
(5,6),-0.763889 # DEPENDENCYPART_ARC
(5,8),-1.59779 # DEPENDENCYPART_ARC
(5,12),-0.859761 # DEPENDENCYPART_ARC
(6,1),-0.605467 # DEPENDENCYPART_ARC
(6,2),-0.575224 # DEPENDENCYPART_ARC
(6,3),0.131164 # DEPENDENCYPART_ARC
(6,5),0.574542 # DEPENDENCYPART_ARC
(6,8),0.461223 # DEPENDENCYPART_ARC
(6,9),0.299566 # DEPENDENCYPART_ARC
(6,11),-0.117581 # DEPENDENCYPART_ARC
(6,12),0.339384 # DEPENDENCYPART_ARC
(6,14),-0.404746 # DEPENDENCYPART_ARC
(6,15),-0.0895543 # DEPENDENCYPART_ARC
(7,8),-0.0851379 # DEPENDENCYPART_ARC
(8,1),-1.1451 # DEPENDENCYPART_ARC
