# _root_ Επιπλέον , η ισπανική κοινωνία έχει να αντιμετωπίσει και τη βασκική ΕΤΑ , η οποία συνεχίζει τη δράση της παρά τις προσπάθειες εξάρθρωσής της .
#goldHeads=6,6,5,5,6,0,8,6,12,12,12,8,16,15,16,12,18,16,18,16,22,20,22,23,0,
#predictedHeads=6,6,5,5,6,0,8,6,8,12,9,13,16,15,16,9,18,16,18,16,22,20,22,23,0,
(0,1),-0.331127 # DEPENDENCYPART_ARC
(0,2),-0.351267 # DEPENDENCYPART_ARC
(0,4),-0.898685 # DEPENDENCYPART_ARC
(0,5),-0.853236 # DEPENDENCYPART_ARC
(0,6),0.991416 # DEPENDENCYPART_ARC
(0,8),-0.761278 # DEPENDENCYPART_ARC
(0,9),-1.03521 # DEPENDENCYPART_ARC
(0,11),-1.47364 # DEPENDENCYPART_ARC
(0,12),-1.03547 # DEPENDENCYPART_ARC
(0,13),-0.392349 # DEPENDENCYPART_ARC
(0,16),-1.49193 # DEPENDENCYPART_ARC
(0,23),-2.10976 # DEPENDENCYPART_ARC
(0,25),3.40578 # DEPENDENCYPART_ARC
(1,2),0.302026 # DEPENDENCYPART_ARC
(1,4),-0.904839 # DEPENDENCYPART_ARC
(1,5),-0.820777 # DEPENDENCYPART_ARC
(1,6),-0.647167 # DEPENDENCYPART_ARC
(1,8),-1.62906 # DEPENDENCYPART_ARC
(1,9),-1.11121 # DEPENDENCYPART_ARC
(1,13),-0.73527 # DEPENDENCYPART_ARC
(1,16),-1.89392 # DEPENDENCYPART_ARC
(2,1),-0.415777 # DEPENDENCYPART_ARC
(2,4),-0.411074 # DEPENDENCYPART_ARC
(2,5),-0.479757 # DEPENDENCYPART_ARC
(2,6),-0.916226 # DEPENDENCYPART_ARC
(2,8),-1.52457 # DEPENDENCYPART_ARC
(2,9),-0.583689 # DEPENDENCYPART_ARC
(2,11),-1.58071 # DEPENDENCYPART_ARC
(2,13),-0.591124 # DEPENDENCYPART_ARC
(2,16),-1.21546 # DEPENDENCYPART_ARC
(3,9),-0.36298 # DEPENDENCYPART_ARC
(4,1),-0.97958 # DEPENDENCYPART_ARC
(4,2),-0.649617 # DEPENDENCYPART_ARC
(4,3),0.721667 # DEPENDENCYPART_ARC
(4,5),-0.260027 # DEPENDENCYPART_ARC
(4,6),-1.24755 # DEPENDENCYPART_ARC
(4,8),-1.9195 # DEPENDENCYPART_ARC
(5,1),-0.369848 # DEPENDENCYPART_ARC
(5,2),-0.0187693 # DEPENDENCYPART_ARC
(5,3),3.446 # DEPENDENCYPART_ARC
(5,4),3.62747 # DEPENDENCYPART_ARC
(5,6),-0.98408 # DEPENDENCYPART_ARC
(5,7),-1.23074 # DEPENDENCYPART_ARC
(5,8),-2.09089 # DEPENDENCYPART_ARC
(5,9),-1.09669 # DEPENDENCYPART_ARC
(5,11),-2.88947 # DEPENDENCYPART_ARC
(5,16),-2.47088 # DEPENDENCYPART_ARC
(5,20),-1.82201 # DEPENDENCYPART_ARC
(6,1),0.437509 # DEPENDENCYPART_ARC
(6,2),0.827003 # DEPENDENCYPART_ARC
(6,3),-1.44633 # DEPENDENCYPART_ARC
(6,4),-0.505792 # DEPENDENCYPART_ARC
(6,5),1.54416 # DEPENDENCYPART_ARC
(6,7),0.0404783 # DEPENDENCYPART_ARC
(6,8),2.5461 # DEPENDENCYPART_ARC
(6,9),-0.357738 # DEPENDENCYPART_ARC
(6,11),-2.15029 # DEPENDENCYPART_ARC
(6,12),-0.980765 # DEPENDENCYPART_ARC
(6,13),-0.130394 # DEPENDENCYPART_ARC
(6,16),-2.80007 # DEPENDENCYPART_ARC
(6,18),-0.642758 # DEPENDENCYPART_ARC
(6,20),-0.852542 # DEPENDENCYPART_ARC
(6,22),-2.23523 # DEPENDENCYPART_ARC
(6,23),-3.33602 # DEPENDENCYPART_ARC
(6,25),0.44924 # DEPENDENCYPART_ARC
(7,8),0.148993 # DEPENDENCYPART_ARC
(8,1),-0.170324 # DEPENDENCYPART_ARC
(8,2),-0.33978 # DEPENDENCYPART_ARC
(8,3),-1.5606 # DEPENDENCYPART_ARC
(8,4),-2.50247 # DEPENDENCYPART_ARC
(8,5),1.24199 # DEPENDENCYPART_ARC
(8,6),-1.03066 # DEPENDENCYPART_ARC
(8,7),2.24116 # DEPENDENCYPART_ARC
(8,9),0.614664 # DEPENDENCYPART_ARC
(8,10),-0.788717 # DEPENDENCYPART_ARC
(8,11),-1.21626 # DEPENDENCYPART_ARC
(8,12),-0.253331 # DEPENDENCYPART_ARC
(8,13),0.291231 # DEPENDENCYPART_ARC
(8,16),-2.89033 # DEPENDENCYPART_ARC
(8,18),-1.11039 # DEPENDENCYPART_ARC
(8,20),-0.681186 # DEPENDENCYPART_ARC
(8,22),-2.46638 # DEPENDENCYPART_ARC
(8,23),-4.11042 # DEPENDENCYPART_ARC
(8,25),-0.0308941 # DEPENDENCYPART_ARC
(9,1),-0.182629 # DEPENDENCYPART_ARC
(9,2),0.30909 # DEPENDENCYPART_ARC
(9,3),-0.497775 # DEPENDENCYPART_ARC
(9,4),-0.402187 # DEPENDENCYPART_ARC
(9,5),0.17703 # DEPENDENCYPART_ARC
(9,6),0.250093 # DEPENDENCYPART_ARC
(9,7),0.193718 # DEPENDENCYPART_ARC
(9,8),1.0906 # DEPENDENCYPART_ARC
(9,10),-0.340444 # DEPENDENCYPART_ARC
(9,11),0.783545 # DEPENDENCYPART_ARC
(9,13),0.0951418 # DEPENDENCYPART_ARC
(9,16),0.0625841 # DEPENDENCYPART_ARC
(9,18),-1.79102 # DEPENDENCYPART_ARC
(9,20),-1.02072 # DEPENDENCYPART_ARC
(11,5),-1.91784 # DEPENDENCYPART_ARC
(11,9),-0.115186 # DEPENDENCYPART_ARC
(11,10),1.16794 # DEPENDENCYPART_ARC
(11,13),-0.00874434 # DEPENDENCYPART_ARC
(11,16),-0.725153 # DEPENDENCYPART_ARC
(11,18),-2.17648 # DEPENDENCYPART_ARC
(11,20),-0.766124 # DEPENDENCYPART_ARC
(12,10),1.68434 # DEPENDENCYPART_ARC
(12,13),0.209082 # DEPENDENCYPART_ARC
(12,16),-0.40156 # DEPENDENCYPART_ARC
