# _root_ Εκεί στοχάζονται , αναπέμπουν ψαλμωδίες , προσεύχονται .
#goldHeads=2,6,6,6,4,0,6,0,
#predictedHeads=2,0,4,0,4,7,5,0,
(0,1),-0.65641 # DEPENDENCYPART_ARC
(0,2),0.117837 # DEPENDENCYPART_ARC
(0,3),-0.138992 # DEPENDENCYPART_ARC
(0,4),0.211283 # DEPENDENCYPART_ARC
(0,5),-0.895448 # DEPENDENCYPART_ARC
(0,6),-0.127993 # DEPENDENCYPART_ARC
(0,7),-0.00218803 # DEPENDENCYPART_ARC
(0,8),2.19399 # DEPENDENCYPART_ARC
(1,2),0.274133 # DEPENDENCYPART_ARC
(1,3),-0.313548 # DEPENDENCYPART_ARC
(1,4),-1.08763 # DEPENDENCYPART_ARC
(1,5),-1.55308 # DEPENDENCYPART_ARC
(1,6),-0.681196 # DEPENDENCYPART_ARC
(1,7),-1.65617 # DEPENDENCYPART_ARC
(1,8),-1.01448 # DEPENDENCYPART_ARC
(2,1),2.05378 # DEPENDENCYPART_ARC
(2,3),0.730637 # DEPENDENCYPART_ARC
(2,4),-0.501695 # DEPENDENCYPART_ARC
(2,5),0.0897899 # DEPENDENCYPART_ARC
(2,6),-0.0754437 # DEPENDENCYPART_ARC
(2,7),-2.72559 # DEPENDENCYPART_ARC
(2,8),-0.566281 # DEPENDENCYPART_ARC
(3,1),-0.902686 # DEPENDENCYPART_ARC
(3,2),-0.385786 # DEPENDENCYPART_ARC
(3,4),-0.804698 # DEPENDENCYPART_ARC
(3,5),-1.09132 # DEPENDENCYPART_ARC
(3,6),-0.513822 # DEPENDENCYPART_ARC
(3,7),-1.63388 # DEPENDENCYPART_ARC
(3,8),-1.16062 # DEPENDENCYPART_ARC
(4,1),0.988624 # DEPENDENCYPART_ARC
(4,2),-1.15207 # DEPENDENCYPART_ARC
(4,3),1.24356 # DEPENDENCYPART_ARC
(4,5),2.56975 # DEPENDENCYPART_ARC
(4,6),0.780212 # DEPENDENCYPART_ARC
(4,7),-0.99965 # DEPENDENCYPART_ARC
(4,8),-0.30808 # DEPENDENCYPART_ARC
(5,1),-0.840333 # DEPENDENCYPART_ARC
(5,2),-2.24069 # DEPENDENCYPART_ARC
(5,3),0.239316 # DEPENDENCYPART_ARC
(5,4),-1.22974 # DEPENDENCYPART_ARC
(5,6),0.0687301 # DEPENDENCYPART_ARC
(5,7),0.0166775 # DEPENDENCYPART_ARC
(5,8),-0.619973 # DEPENDENCYPART_ARC
(6,1),-0.876158 # DEPENDENCYPART_ARC
(6,2),-1.00487 # DEPENDENCYPART_ARC
(6,3),-0.22128 # DEPENDENCYPART_ARC
(6,4),-0.540237 # DEPENDENCYPART_ARC
(6,5),-0.268483 # DEPENDENCYPART_ARC
(6,7),-0.529211 # DEPENDENCYPART_ARC
(6,8),-0.749655 # DEPENDENCYPART_ARC
(7,1),0.660112 # DEPENDENCYPART_ARC
(7,2),-2.41915 # DEPENDENCYPART_ARC
(7,3),0.182921 # DEPENDENCYPART_ARC
(7,4),-0.877312 # DEPENDENCYPART_ARC
(7,5),0.121471 # DEPENDENCYPART_ARC
(7,6),1.32934 # DEPENDENCYPART_ARC
(7,8),0.803469 # DEPENDENCYPART_ARC
(8,2),-2.96877 # DEPENDENCYPART_ARC
(8,3),-2.05779 # DEPENDENCYPART_ARC
(8,4),-2.65366 # DEPENDENCYPART_ARC
(8,5),-2.55882 # DEPENDENCYPART_ARC
(8,6),-1.95555 # DEPENDENCYPART_ARC
(8,7),-1.92545 # DEPENDENCYPART_ARC
