# _root_ Ειδικούς φακούς επαφής , που στοχεύουν στο να αποτρέψουν την αύξησή της , δημιούργησαν Βρετανοί επιστήμονες
#goldHeads=3,14,2,6,6,2,6,9,7,11,9,11,6,0,16,14,
#predictedHeads=3,3,0,6,6,0,6,9,7,11,9,11,14,11,16,14,
(0,1),0.205746 # DEPENDENCYPART_ARC
(0,2),-0.363042 # DEPENDENCYPART_ARC
(0,3),-0.302501 # DEPENDENCYPART_ARC
(0,4),-0.0258393 # DEPENDENCYPART_ARC
(0,6),0.274362 # DEPENDENCYPART_ARC
(0,7),-1.1085 # DEPENDENCYPART_ARC
(0,9),-0.973221 # DEPENDENCYPART_ARC
(0,11),-1.48763 # DEPENDENCYPART_ARC
(0,13),-0.617207 # DEPENDENCYPART_ARC
(0,14),-0.177591 # DEPENDENCYPART_ARC
(0,15),-1.60173 # DEPENDENCYPART_ARC
(0,16),-1.55947 # DEPENDENCYPART_ARC
(1,2),-0.545143 # DEPENDENCYPART_ARC
(1,3),0.188837 # DEPENDENCYPART_ARC
(1,4),-0.274408 # DEPENDENCYPART_ARC
(1,6),-1.65382 # DEPENDENCYPART_ARC
(1,7),-1.46974 # DEPENDENCYPART_ARC
(1,9),-2.27412 # DEPENDENCYPART_ARC
(1,13),-0.803878 # DEPENDENCYPART_ARC
(2,1),0.850075 # DEPENDENCYPART_ARC
(2,3),0.586124 # DEPENDENCYPART_ARC
(2,4),-0.551209 # DEPENDENCYPART_ARC
(2,6),-1.78904 # DEPENDENCYPART_ARC
(2,7),-1.76006 # DEPENDENCYPART_ARC
(2,11),-3.1206 # DEPENDENCYPART_ARC
(2,13),-1.03177 # DEPENDENCYPART_ARC
(3,1),2.39656 # DEPENDENCYPART_ARC
(3,2),2.74676 # DEPENDENCYPART_ARC
(3,4),-0.0659707 # DEPENDENCYPART_ARC
(3,5),-2.45532 # DEPENDENCYPART_ARC
(3,6),0.122709 # DEPENDENCYPART_ARC
(3,7),-1.61172 # DEPENDENCYPART_ARC
(3,9),-2.24162 # DEPENDENCYPART_ARC
(3,14),-2.88618 # DEPENDENCYPART_ARC
(4,1),-0.548354 # DEPENDENCYPART_ARC
(4,2),-0.423467 # DEPENDENCYPART_ARC
(4,3),-0.30422 # DEPENDENCYPART_ARC
(4,5),-0.551944 # DEPENDENCYPART_ARC
(4,6),-0.334347 # DEPENDENCYPART_ARC
(4,7),-0.648242 # DEPENDENCYPART_ARC
(4,9),-1.26228 # DEPENDENCYPART_ARC
(4,11),-1.21755 # DEPENDENCYPART_ARC
(4,13),-0.0770575 # DEPENDENCYPART_ARC
(4,14),-1.1147 # DEPENDENCYPART_ARC
(4,15),-1.28308 # DEPENDENCYPART_ARC
(5,4),-0.0917139 # DEPENDENCYPART_ARC
(5,6),-1.01185 # DEPENDENCYPART_ARC
(5,9),-1.0521 # DEPENDENCYPART_ARC
(5,14),-1.6738 # DEPENDENCYPART_ARC
(6,1),-3.05524 # DEPENDENCYPART_ARC
(6,2),-3.00087 # DEPENDENCYPART_ARC
(6,3),-3.32267 # DEPENDENCYPART_ARC
(6,4),1.29796 # DEPENDENCYPART_ARC
(6,5),3.51955 # DEPENDENCYPART_ARC
(6,7),2.10801 # DEPENDENCYPART_ARC
(6,8),0.0846868 # DEPENDENCYPART_ARC
(6,9),0.191147 # DEPENDENCYPART_ARC
(6,11),-0.155683 # DEPENDENCYPART_ARC
(6,13),0.252213 # DEPENDENCYPART_ARC
(6,14),-3.65029 # DEPENDENCYPART_ARC
(6,15),-1.71668 # DEPENDENCYPART_ARC
(6,16),-1.63224 # DEPENDENCYPART_ARC
(7,9),0.442113 # DEPENDENCYPART_ARC
(7,11),0.397771 # DEPENDENCYPART_ARC
(8,11),-0.848128 # DEPENDENCYPART_ARC
(9,1),-4.64436 # DEPENDENCYPART_ARC
(9,2),-4.70026 # DEPENDENCYPART_ARC
(9,3),-3.3915 # DEPENDENCYPART_ARC
(9,4),-0.176264 # DEPENDENCYPART_ARC
(9,5),2.14159 # DEPENDENCYPART_ARC
(9,6),-2.02634 # DEPENDENCYPART_ARC
(9,7),0.263153 # DEPENDENCYPART_ARC
(9,8),2.07226 # DEPENDENCYPART_ARC
(9,10),-0.831822 # DEPENDENCYPART_ARC
(9,11),2.31695 # DEPENDENCYPART_ARC
(9,13),0.667159 # DEPENDENCYPART_ARC
(9,14),-2.57348 # DEPENDENCYPART_ARC
(9,15),-0.468103 # DEPENDENCYPART_ARC
(9,16),-0.597207 # DEPENDENCYPART_ARC
(11,4),-1.6473 # DEPENDENCYPART_ARC
(11,5),-2.69356 # DEPENDENCYPART_ARC
(11,6),-4.28735 # DEPENDENCYPART_ARC
(11,9),-2.69177 # DEPENDENCYPART_ARC
(11,10),2.99058 # DEPENDENCYPART_ARC
(11,12),2.09221 # DEPENDENCYPART_ARC
(11,13),0.0392896 # DEPENDENCYPART_ARC
(11,14),0.169892 # DEPENDENCYPART_ARC
(11,15),-1.4877 # DEPENDENCYPART_ARC
(11,16),-1.54549 # DEPENDENCYPART_ARC
(13,3),-1.32956 # DEPENDENCYPART_ARC
(13,4),-0.733003 # DEPENDENCYPART_ARC
(13,6),-0.541984 # DEPENDENCYPART_ARC
(13,7),-0.232836 # DEPENDENCYPART_ARC
(13,9),-0.398418 # DEPENDENCYPART_ARC
(13,11),-0.389553 # DEPENDENCYPART_ARC
(13,14),-0.477366 # DEPENDENCYPART_ARC
(13,15),-0.891382 # DEPENDENCYPART_ARC
(13,16),-1.05817 # DEPENDENCYPART_ARC
(14,1),-3.97921 # DEPENDENCYPART_ARC
(14,2),-3.99984 # DEPENDENCYPART_ARC
(14,3),-3.8667 # DEPENDENCYPART_ARC
(14,4),-0.461999 # DEPENDENCYPART_ARC
(14,5),0.684554 # DEPENDENCYPART_ARC
(14,6),-1.57319 # DEPENDENCYPART_ARC
(14,7),-0.589694 # DEPENDENCYPART_ARC
(14,9),-2.08987 # DEPENDENCYPART_ARC
(14,10),-1.38253 # DEPENDENCYPART_ARC
(14,11),-0.887927 # DEPENDENCYPART_ARC
(14,13),0.83263 # DEPENDENCYPART_ARC
(14,15),1.7951 # DEPENDENCYPART_ARC
(14,16),1.48204 # DEPENDENCYPART_ARC
(15,13),-0.148952 # DEPENDENCYPART_ARC
(15,14),-0.824446 # DEPENDENCYPART_ARC
(15,16),0.341195 # DEPENDENCYPART_ARC
(16,10),-1.29484 # DEPENDENCYPART_ARC
(16,11),-1.72454 # DEPENDENCYPART_ARC
(16,13),-0.16321 # DEPENDENCYPART_ARC
(16,14),-1.02254 # DEPENDENCYPART_ARC
(16,15),2.80474 # DEPENDENCYPART_ARC
