# _root_ Επισκεφθείτε επίσης το Απολιθωμένο Δάσος , το μεγαλύτερο στην Ευρώπη , που δημιουργήθηκε από μια ηφαιστιακή έκρηξη πριν από περίπου 15 με 20 εκατομμύρια χρόνια .
#goldHeads=0,1,5,5,1,1,8,5,8,9,13,13,5,13,17,17,14,13,18,22,22,25,22,25,19,0,
#predictedHeads=0,1,5,5,6,1,8,5,8,9,13,13,10,13,17,17,14,17,18,19,19,18,24,25,22,0,
(0,1),0.0130443 # DEPENDENCYPART_ARC
(0,2),-1.33331 # DEPENDENCYPART_ARC
(0,4),-1.8711 # DEPENDENCYPART_ARC
(0,5),-1.63393 # DEPENDENCYPART_ARC
(0,6),-0.416609 # DEPENDENCYPART_ARC
(0,8),-2.16392 # DEPENDENCYPART_ARC
(0,9),-2.20135 # DEPENDENCYPART_ARC
(0,10),-1.62418 # DEPENDENCYPART_ARC
(0,11),-0.571429 # DEPENDENCYPART_ARC
(0,13),-1.58877 # DEPENDENCYPART_ARC
(0,21),-1.88669 # DEPENDENCYPART_ARC
(0,23),-1.99019 # DEPENDENCYPART_ARC
(0,26),3.10559 # DEPENDENCYPART_ARC
(1,2),1.87715 # DEPENDENCYPART_ARC
(1,3),-1.05822 # DEPENDENCYPART_ARC
(1,4),-1.82279 # DEPENDENCYPART_ARC
(1,5),-0.196571 # DEPENDENCYPART_ARC
(1,6),0.123779 # DEPENDENCYPART_ARC
(1,8),-0.578103 # DEPENDENCYPART_ARC
(1,9),0.637126 # DEPENDENCYPART_ARC
(1,10),-2.70096 # DEPENDENCYPART_ARC
(1,11),-0.0454129 # DEPENDENCYPART_ARC
(1,13),-5.54281 # DEPENDENCYPART_ARC
(1,14),-0.917677 # DEPENDENCYPART_ARC
(1,17),-2.9375 # DEPENDENCYPART_ARC
(1,18),-0.267156 # DEPENDENCYPART_ARC
(1,19),-1.06837 # DEPENDENCYPART_ARC
(1,20),-0.962795 # DEPENDENCYPART_ARC
(1,22),-0.633134 # DEPENDENCYPART_ARC
(1,26),-0.144996 # DEPENDENCYPART_ARC
(2,1),-1.04475 # DEPENDENCYPART_ARC
(2,3),-0.252401 # DEPENDENCYPART_ARC
(2,4),-0.389451 # DEPENDENCYPART_ARC
(2,5),-0.949982 # DEPENDENCYPART_ARC
(2,6),-0.839237 # DEPENDENCYPART_ARC
(2,13),-2.15235 # DEPENDENCYPART_ARC
(3,5),-0.344455 # DEPENDENCYPART_ARC
(4,1),-6.12744 # DEPENDENCYPART_ARC
(4,2),-0.0219055 # DEPENDENCYPART_ARC
(4,3),-0.402317 # DEPENDENCYPART_ARC
(4,5),-1.55453 # DEPENDENCYPART_ARC
(4,6),-0.441234 # DEPENDENCYPART_ARC
(4,8),-0.474785 # DEPENDENCYPART_ARC
(4,9),-0.252538 # DEPENDENCYPART_ARC
(4,10),-5.04881 # DEPENDENCYPART_ARC
(4,11),-0.849742 # DEPENDENCYPART_ARC
(4,13),-7.25432 # DEPENDENCYPART_ARC
(4,14),-1.79626 # DEPENDENCYPART_ARC
(4,18),-1.52548 # DEPENDENCYPART_ARC
(4,21),-1.89399 # DEPENDENCYPART_ARC
