# _root_ Το χρονικό πλαίσιο είναι ήδη επαρκώς δομημένο διότι , μετά τη διαβούλευση , ο τελικός κανονισμός της Επιτροπής θα εγκριθεί πριν από το καλοκαίρι αυτού του έτους .
#goldHeads=3,3,4,0,4,7,4,4,10,20,12,10,10,16,16,20,18,16,20,8,20,21,24,22,24,27,25,0,
#predictedHeads=3,3,4,0,4,4,4,7,10,20,12,10,10,16,16,20,18,16,20,8,20,21,24,22,27,27,24,0,
(0,2),-1.10239 # DEPENDENCYPART_ARC
(0,3),-1.07912 # DEPENDENCYPART_ARC
(0,4),1.00343 # DEPENDENCYPART_ARC
(0,5),-1.53746 # DEPENDENCYPART_ARC
(0,6),-1.20368 # DEPENDENCYPART_ARC
(0,7),-1.6332 # DEPENDENCYPART_ARC
(0,8),-0.702933 # DEPENDENCYPART_ARC
(0,9),-0.570865 # DEPENDENCYPART_ARC
(0,13),-0.758372 # DEPENDENCYPART_ARC
(0,20),-1.43364 # DEPENDENCYPART_ARC
(0,21),-1.61859 # DEPENDENCYPART_ARC
(0,25),-2.73412 # DEPENDENCYPART_ARC
(0,28),3.72662 # DEPENDENCYPART_ARC
(1,3),0.289772 # DEPENDENCYPART_ARC
(2,1),0.890603 # DEPENDENCYPART_ARC
(2,3),-0.055524 # DEPENDENCYPART_ARC
(2,4),-1.20164 # DEPENDENCYPART_ARC
(2,5),-0.704524 # DEPENDENCYPART_ARC
(2,7),-2.21381 # DEPENDENCYPART_ARC
(3,1),3.38057 # DEPENDENCYPART_ARC
(3,2),3.41334 # DEPENDENCYPART_ARC
(3,4),-1.37396 # DEPENDENCYPART_ARC
(3,5),-1.12868 # DEPENDENCYPART_ARC
(3,6),-1.48773 # DEPENDENCYPART_ARC
(3,7),-1.10427 # DEPENDENCYPART_ARC
(3,8),-1.5702 # DEPENDENCYPART_ARC
(4,1),-0.442594 # DEPENDENCYPART_ARC
(4,2),0.410128 # DEPENDENCYPART_ARC
(4,3),2.06961 # DEPENDENCYPART_ARC
(4,5),1.42777 # DEPENDENCYPART_ARC
(4,6),0.937458 # DEPENDENCYPART_ARC
(4,7),2.08797 # DEPENDENCYPART_ARC
(4,8),-0.21533 # DEPENDENCYPART_ARC
(4,9),0.200713 # DEPENDENCYPART_ARC
(4,10),-0.805299 # DEPENDENCYPART_ARC
(4,12),-1.94649 # DEPENDENCYPART_ARC
(4,13),-0.303981 # DEPENDENCYPART_ARC
(4,16),-1.74324 # DEPENDENCYPART_ARC
(4,18),-3.22971 # DEPENDENCYPART_ARC
(4,20),-3.10875 # DEPENDENCYPART_ARC
(4,21),-0.498573 # DEPENDENCYPART_ARC
(4,24),-2.6872 # DEPENDENCYPART_ARC
(4,27),-4.63769 # DEPENDENCYPART_ARC
(5,2),-1.13668 # DEPENDENCYPART_ARC
(5,3),-1.01071 # DEPENDENCYPART_ARC
(5,4),-0.702481 # DEPENDENCYPART_ARC
(5,6),0.0733892 # DEPENDENCYPART_ARC
(5,7),-0.310099 # DEPENDENCYPART_ARC
(5,9),-0.743226 # DEPENDENCYPART_ARC
(5,10),-1.51114 # DEPENDENCYPART_ARC
(5,12),-2.23527 # DEPENDENCYPART_ARC
(5,20),-1.84623 # DEPENDENCYPART_ARC
(6,3),-0.580943 # DEPENDENCYPART_ARC
(6,4),-0.645223 # DEPENDENCYPART_ARC
(6,5),1.03664 # DEPENDENCYPART_ARC
(6,7),-0.0988251 # DEPENDENCYPART_ARC
(6,9),-0.633621 # DEPENDENCYPART_ARC
(6,10),-1.49184 # DEPENDENCYPART_ARC
(7,2),-0.691314 # DEPENDENCYPART_ARC
(7,3),-0.422824 # DEPENDENCYPART_ARC
(7,4),-5.31266 # DEPENDENCYPART_ARC
(7,5),0.250383 # DEPENDENCYPART_ARC
(7,6),0.779841 # DEPENDENCYPART_ARC
(7,8),0.748985 # DEPENDENCYPART_ARC
(7,9),0.223838 # DEPENDENCYPART_ARC
(7,10),0.122088 # DEPENDENCYPART_ARC
(7,12),-4.05034 # DEPENDENCYPART_ARC
(7,13),-0.0258219 # DEPENDENCYPART_ARC
(7,15),-2.60721 # DEPENDENCYPART_ARC
(7,16),-4.97467 # DEPENDENCYPART_ARC
(7,18),-6.79703 # DEPENDENCYPART_ARC
(7,20),-3.18232 # DEPENDENCYPART_ARC
(7,21),-1.46147 # DEPENDENCYPART_ARC
(7,22),-2.13453 # DEPENDENCYPART_ARC
(7,27),-8.69072 # DEPENDENCYPART_ARC
(8,6),0.215645 # DEPENDENCYPART_ARC
(8,9),0.660804 # DEPENDENCYPART_ARC
(8,13),0.183171 # DEPENDENCYPART_ARC
(8,20),0.997526 # DEPENDENCYPART_ARC
(9,2),-1.48126 # DEPENDENCYPART_ARC
(9,3),-1.95792 # DEPENDENCYPART_ARC
(9,4),-1.09953 # DEPENDENCYPART_ARC
(9,5),-1.10063 # DEPENDENCYPART_ARC
(9,6),-1.01153 # DEPENDENCYPART_ARC
(9,7),-1.02799 # DEPENDENCYPART_ARC
(9,8),-0.429983 # DEPENDENCYPART_ARC
(9,10),-0.534366 # DEPENDENCYPART_ARC
(9,12),-0.481274 # DEPENDENCYPART_ARC
(9,13),-0.451343 # DEPENDENCYPART_ARC
(9,15),-0.935763 # DEPENDENCYPART_ARC
(9,16),-1.20304 # DEPENDENCYPART_ARC
(9,18),-1.19251 # DEPENDENCYPART_ARC
(9,20),-0.920062 # DEPENDENCYPART_ARC
(10,7),-0.878732 # DEPENDENCYPART_ARC
(10,9),0.772059 # DEPENDENCYPART_ARC
(10,11),0.0672773 # DEPENDENCYPART_ARC
(10,12),2.17215 # DEPENDENCYPART_ARC
(10,13),0.723999 # DEPENDENCYPART_ARC
(10,16),-0.428471 # DEPENDENCYPART_ARC
(10,18),-1.68033 # DEPENDENCYPART_ARC
(12,9),-0.575456 # DEPENDENCYPART_ARC
(12,10),-0.0529046 # DEPENDENCYPART_ARC
(12,11),3.13893 # DEPENDENCYPART_ARC
(12,13),-0.247888 # DEPENDENCYPART_ARC
(12,14),-0.983724 # DEPENDENCYPART_ARC
(12,15),-1.08961 # DEPENDENCYPART_ARC
(12,16),-1.47077 # DEPENDENCYPART_ARC
(12,18),-0.829246 # DEPENDENCYPART_ARC
(12,20),-1.52453 # DEPENDENCYPART_ARC
(12,22),-1.86625 # DEPENDENCYPART_ARC
(13,3),-1.28772 # DEPENDENCYPART_ARC
(13,4),-0.513249 # DEPENDENCYPART_ARC
(13,5),-0.280964 # DEPENDENCYPART_ARC
(13,6),-0.402174 # DEPENDENCYPART_ARC
(13,7),-0.687444 # DEPENDENCYPART_ARC
(13,8),-0.365717 # DEPENDENCYPART_ARC
(13,9),-0.296003 # DEPENDENCYPART_ARC
(13,10),0.1076 # DEPENDENCYPART_ARC
(13,12),0.472149 # DEPENDENCYPART_ARC
(13,15),-0.181745 # DEPENDENCYPART_ARC
(13,16),0.28179 # DEPENDENCYPART_ARC
(13,18),-0.298946 # DEPENDENCYPART_ARC
(13,20),-0.887095 # DEPENDENCYPART_ARC
(13,21),-0.842707 # DEPENDENCYPART_ARC
(13,22),-0.593544 # DEPENDENCYPART_ARC
(15,12),-2.26085 # DEPENDENCYPART_ARC
(15,13),-0.856045 # DEPENDENCYPART_ARC
(15,14),0.854884 # DEPENDENCYPART_ARC
(15,16),-0.265763 # DEPENDENCYPART_ARC
(15,18),-0.0851195 # DEPENDENCYPART_ARC
(15,22),-1.09483 # DEPENDENCYPART_ARC
(15,24),-3.06623 # DEPENDENCYPART_ARC
(16,10),-0.529748 # DEPENDENCYPART_ARC
(16,11),0.26529 # DEPENDENCYPART_ARC
(16,12),-1.55262 # DEPENDENCYPART_ARC
(16,13),-0.222084 # DEPENDENCYPART_ARC
(16,14),3.19089 # DEPENDENCYPART_ARC
(16,15),3.48236 # DEPENDENCYPART_ARC
(16,17),-0.544023 # DEPENDENCYPART_ARC
(16,18),2.11245 # DEPENDENCYPART_ARC
(16,20),-0.564331 # DEPENDENCYPART_ARC
(16,21),-0.499529 # DEPENDENCYPART_ARC
(16,22),-1.26406 # DEPENDENCYPART_ARC
(16,24),-1.95157 # DEPENDENCYPART_ARC
(16,27),-0.967016 # DEPENDENCYPART_ARC
(18,11),-1.42867 # DEPENDENCYPART_ARC
(18,14),-0.665998 # DEPENDENCYPART_ARC
(18,15),-1.54653 # DEPENDENCYPART_ARC
(18,16),-0.947664 # DEPENDENCYPART_ARC
(18,17),3.31704 # DEPENDENCYPART_ARC
(18,20),-1.32224 # DEPENDENCYPART_ARC
(18,21),-1.20399 # DEPENDENCYPART_ARC
(18,22),-1.93079 # DEPENDENCYPART_ARC
(18,24),-3.07874 # DEPENDENCYPART_ARC
(18,27),-1.90998 # DEPENDENCYPART_ARC
(20,2),-2.37154 # DEPENDENCYPART_ARC
(20,3),0.18204 # DEPENDENCYPART_ARC
