# _root_ Έτσι απαγορεύουμε με κοινοτικό νόμο σε ένα δημοκρατικά εκλεγμένο όργανο , σε έναν δήμο ή μια κοινότητα , να αποφασίσει τη συνέχιση ή την καθιέρωση μιας πολιτικής προμηθειών φιλικής προς το περιβάλλον .
#goldHeads=2,0,2,5,3,11,10,9,10,6,2,11,14,15,12,17,15,20,20,2,22,23,20,25,23,27,25,27,27,29,32,30,0,
#predictedHeads=2,0,2,5,3,2,10,9,10,15,2,2,14,15,12,17,15,23,20,15,22,23,20,25,23,28,28,25,28,29,32,30,0,
(0,1),-0.620569 # DEPENDENCYPART_ARC
(0,2),-0.212929 # DEPENDENCYPART_ARC
(0,3),-1.35787 # DEPENDENCYPART_ARC
(0,4),-1.59433 # DEPENDENCYPART_ARC
(0,11),-0.74728 # DEPENDENCYPART_ARC
(0,15),-0.989311 # DEPENDENCYPART_ARC
(0,17),-1.53512 # DEPENDENCYPART_ARC
(0,18),-0.95248 # DEPENDENCYPART_ARC
(0,20),-1.12712 # DEPENDENCYPART_ARC
(0,25),-1.73366 # DEPENDENCYPART_ARC
(0,29),-2.20242 # DEPENDENCYPART_ARC
(0,33),4.52288 # DEPENDENCYPART_ARC
(1,2),0.149432 # DEPENDENCYPART_ARC
(1,3),-0.258215 # DEPENDENCYPART_ARC
(1,4),-1.34558 # DEPENDENCYPART_ARC
(2,1),2.16438 # DEPENDENCYPART_ARC
(2,3),1.79383 # DEPENDENCYPART_ARC
(2,4),-0.748306 # DEPENDENCYPART_ARC
(2,5),0.931918 # DEPENDENCYPART_ARC
(2,6),1.00575 # DEPENDENCYPART_ARC
(2,8),-1.78797 # DEPENDENCYPART_ARC
(2,9),-1.39817 # DEPENDENCYPART_ARC
(2,10),-2.05329 # DEPENDENCYPART_ARC
(2,11),0.805835 # DEPENDENCYPART_ARC
(2,12),0.725518 # DEPENDENCYPART_ARC
(2,14),-2.20643 # DEPENDENCYPART_ARC
(2,15),0.51995 # DEPENDENCYPART_ARC
(2,17),-3.05612 # DEPENDENCYPART_ARC
(2,18),0.274006 # DEPENDENCYPART_ARC
(2,20),-3.0394 # DEPENDENCYPART_ARC
(2,23),-0.266648 # DEPENDENCYPART_ARC
(3,1),-0.440915 # DEPENDENCYPART_ARC
(3,2),-0.265495 # DEPENDENCYPART_ARC
(3,4),1.01276 # DEPENDENCYPART_ARC
(3,5),2.40342 # DEPENDENCYPART_ARC
(3,6),-0.251927 # DEPENDENCYPART_ARC
(3,9),-0.288824 # DEPENDENCYPART_ARC
(3,10),-0.829928 # DEPENDENCYPART_ARC
(3,11),-0.0957248 # DEPENDENCYPART_ARC
(3,15),-1.15719 # DEPENDENCYPART_ARC
(3,18),-0.0489395 # DEPENDENCYPART_ARC
(4,1),-1.24571 # DEPENDENCYPART_ARC
(4,3),-0.389322 # DEPENDENCYPART_ARC
(4,5),0.3618 # DEPENDENCYPART_ARC
(4,6),-0.328159 # DEPENDENCYPART_ARC
(5,1),-0.743376 # DEPENDENCYPART_ARC
(5,2),-2.76933 # DEPENDENCYPART_ARC
(5,3),0.161931 # DEPENDENCYPART_ARC
(5,4),2.87565 # DEPENDENCYPART_ARC
(5,6),0.539924 # DEPENDENCYPART_ARC
(5,8),-0.702686 # DEPENDENCYPART_ARC
(5,9),-0.757687 # DEPENDENCYPART_ARC
(5,10),-1.20707 # DEPENDENCYPART_ARC
(5,12),-0.710259 # DEPENDENCYPART_ARC
(5,15),-0.269314 # DEPENDENCYPART_ARC
(5,20),-1.49727 # DEPENDENCYPART_ARC
(5,23),-0.814401 # DEPENDENCYPART_ARC
(6,3),-0.172671 # DEPENDENCYPART_ARC
(6,5),-1.10469 # DEPENDENCYPART_ARC
(6,7),-0.0460909 # DEPENDENCYPART_ARC
(6,8),0.756271 # DEPENDENCYPART_ARC
(6,9),1.42956 # DEPENDENCYPART_ARC
(6,10),0.823598 # DEPENDENCYPART_ARC
(6,11),-0.0553751 # DEPENDENCYPART_ARC
(6,14),-1.36415 # DEPENDENCYPART_ARC
(6,15),0.913716 # DEPENDENCYPART_ARC
(6,18),-0.181719 # DEPENDENCYPART_ARC
(6,23),0.114383 # DEPENDENCYPART_ARC
(8,6),-0.794763 # DEPENDENCYPART_ARC
(8,7),-0.190499 # DEPENDENCYPART_ARC
(8,9),0.941758 # DEPENDENCYPART_ARC
(8,10),-0.14877 # DEPENDENCYPART_ARC
(8,12),-0.633355 # DEPENDENCYPART_ARC
(8,17),-1.9914 # DEPENDENCYPART_ARC
(9,7),2.67058 # DEPENDENCYPART_ARC
(9,8),2.35551 # DEPENDENCYPART_ARC
(9,10),0.95498 # DEPENDENCYPART_ARC
