# _root_ Στα νερά του , ο επισκέπτης μπορεί να κάνει καγιάκ ή ράφτινγκ , ενώ η γύρω περιοχή είναι ιδανική για περιηγητικούς περιπάτους στη φύση .
#goldHeads=7,1,2,7,6,7,14,9,7,11,9,11,14,0,17,17,18,14,18,19,22,20,22,23,0,
#predictedHeads=7,1,2,7,6,7,0,9,7,9,9,11,14,0,17,17,18,14,18,19,22,20,22,23,0,
(0,1),-1.23706 # DEPENDENCYPART_ARC
(0,2),-0.664325 # DEPENDENCYPART_ARC
(0,4),-0.615201 # DEPENDENCYPART_ARC
(0,6),-1.42575 # DEPENDENCYPART_ARC
(0,7),0.937104 # DEPENDENCYPART_ARC
(0,9),-0.958205 # DEPENDENCYPART_ARC
(0,11),-1.53445 # DEPENDENCYPART_ARC
(0,12),-1.45151 # DEPENDENCYPART_ARC
(0,13),-0.639613 # DEPENDENCYPART_ARC
(0,14),0.677474 # DEPENDENCYPART_ARC
(0,18),-0.142906 # DEPENDENCYPART_ARC
(0,25),3.398 # DEPENDENCYPART_ARC
(1,2),2.90644 # DEPENDENCYPART_ARC
(1,4),0.38803 # DEPENDENCYPART_ARC
(2,1),-0.933461 # DEPENDENCYPART_ARC
(2,3),2.4196 # DEPENDENCYPART_ARC
(2,4),-0.215783 # DEPENDENCYPART_ARC
(2,6),-0.601137 # DEPENDENCYPART_ARC
(2,7),-0.537915 # DEPENDENCYPART_ARC
(2,9),-2.20122 # DEPENDENCYPART_ARC
(2,11),-0.704174 # DEPENDENCYPART_ARC
(4,1),-0.138156 # DEPENDENCYPART_ARC
(4,2),0.310978 # DEPENDENCYPART_ARC
(4,6),-0.308373 # DEPENDENCYPART_ARC
(4,7),-0.522961 # DEPENDENCYPART_ARC
(6,2),-2.43629 # DEPENDENCYPART_ARC
(6,3),-0.360269 # DEPENDENCYPART_ARC
(6,4),-0.302335 # DEPENDENCYPART_ARC
(6,5),2.85497 # DEPENDENCYPART_ARC
(6,7),-1.36988 # DEPENDENCYPART_ARC
(6,8),-1.18412 # DEPENDENCYPART_ARC
(6,9),-2.23196 # DEPENDENCYPART_ARC
(6,10),-1.2198 # DEPENDENCYPART_ARC
(7,1),0.890239 # DEPENDENCYPART_ARC
(7,2),-1.26866 # DEPENDENCYPART_ARC
(7,4),1.05272 # DEPENDENCYPART_ARC
(7,5),-0.44065 # DEPENDENCYPART_ARC
(7,6),2.67333 # DEPENDENCYPART_ARC
(7,8),0.518905 # DEPENDENCYPART_ARC
(7,9),3.30255 # DEPENDENCYPART_ARC
(7,10),0.834 # DEPENDENCYPART_ARC
(7,11),0.511399 # DEPENDENCYPART_ARC
(7,12),-0.0854549 # DEPENDENCYPART_ARC
(7,13),0.342142 # DEPENDENCYPART_ARC
(7,14),0.383894 # DEPENDENCYPART_ARC
(7,16),-0.604052 # DEPENDENCYPART_ARC
(7,18),-2.73982 # DEPENDENCYPART_ARC
(7,20),-1.2002 # DEPENDENCYPART_ARC
(7,22),-1.8225 # DEPENDENCYPART_ARC
(7,23),-1.65849 # DEPENDENCYPART_ARC
(7,25),0.107574 # DEPENDENCYPART_ARC
