# _root_ Επομένως όταν οι άνθρωποι βρίσκονται κοντά σε πηγές , ο οργανισμός τους αντιδρά , αυξάνοντας τον καρδιακό παλμό και την αρτηριακή πίεση ή προκαλώντας ορμονικές αλλαγές .
#goldHeads=13,13,4,5,2,5,6,7,2,11,13,11,0,23,23,18,18,19,15,22,22,19,13,23,26,24,0,
#predictedHeads=5,13,4,5,2,5,5,7,13,11,13,11,0,13,13,18,18,19,15,22,22,19,15,23,26,24,0,
(0,1),-0.701092 # DEPENDENCYPART_ARC
(0,2),-0.955696 # DEPENDENCYPART_ARC
(0,4),-1.02385 # DEPENDENCYPART_ARC
(0,5),0.596801 # DEPENDENCYPART_ARC
(0,9),-0.659063 # DEPENDENCYPART_ARC
(0,13),-1.07272 # DEPENDENCYPART_ARC
(0,14),-0.66279 # DEPENDENCYPART_ARC
(0,15),-1.78535 # DEPENDENCYPART_ARC
(0,19),-1.13706 # DEPENDENCYPART_ARC
(0,21),-1.82997 # DEPENDENCYPART_ARC
(0,23),-1.50842 # DEPENDENCYPART_ARC
(0,24),-2.7132 # DEPENDENCYPART_ARC
(0,26),-1.7821 # DEPENDENCYPART_ARC
(0,27),4.23241 # DEPENDENCYPART_ARC
(1,2),0.138914 # DEPENDENCYPART_ARC
(1,4),-0.896186 # DEPENDENCYPART_ARC
(1,5),-0.648994 # DEPENDENCYPART_ARC
(2,1),0.710065 # DEPENDENCYPART_ARC
(2,3),0.160309 # DEPENDENCYPART_ARC
(2,5),1.82387 # DEPENDENCYPART_ARC
(2,6),-0.423701 # DEPENDENCYPART_ARC
(2,9),0.139432 # DEPENDENCYPART_ARC
(2,13),-0.269362 # DEPENDENCYPART_ARC
(2,14),0.149084 # DEPENDENCYPART_ARC
(2,15),-1.0221 # DEPENDENCYPART_ARC
(2,19),-0.823973 # DEPENDENCYPART_ARC
(2,23),-1.15304 # DEPENDENCYPART_ARC
(2,24),-1.32075 # DEPENDENCYPART_ARC
(4,1),-0.426024 # DEPENDENCYPART_ARC
(4,3),2.94957 # DEPENDENCYPART_ARC
(4,5),-0.468824 # DEPENDENCYPART_ARC
(4,6),-0.49286 # DEPENDENCYPART_ARC
(4,7),-1.17836 # DEPENDENCYPART_ARC
(4,8),-2.5017 # DEPENDENCYPART_ARC
(5,1),0.826665 # DEPENDENCYPART_ARC
(5,2),0.696444 # DEPENDENCYPART_ARC
(5,3),-0.38907 # DEPENDENCYPART_ARC
(5,4),2.20274 # DEPENDENCYPART_ARC
(5,6),1.72139 # DEPENDENCYPART_ARC
(5,7),1.10285 # DEPENDENCYPART_ARC
(5,8),-0.186394 # DEPENDENCYPART_ARC
(5,9),-0.0217152 # DEPENDENCYPART_ARC
(5,11),-1.11631 # DEPENDENCYPART_ARC
(5,13),-3.47397 # DEPENDENCYPART_ARC
(5,14),-0.343275 # DEPENDENCYPART_ARC
(5,15),0.416873 # DEPENDENCYPART_ARC
(5,18),-2.5869 # DEPENDENCYPART_ARC
(5,19),-0.331684 # DEPENDENCYPART_ARC
(5,23),-0.927284 # DEPENDENCYPART_ARC
(6,1),-0.526341 # DEPENDENCYPART_ARC
(6,3),0.102651 # DEPENDENCYPART_ARC
(6,4),-0.785539 # DEPENDENCYPART_ARC
(6,5),-0.384264 # DEPENDENCYPART_ARC
(6,7),0.980162 # DEPENDENCYPART_ARC
(6,8),0.0433659 # DEPENDENCYPART_ARC
(6,9),0.211038 # DEPENDENCYPART_ARC
(6,11),-0.933073 # DEPENDENCYPART_ARC
(6,13),-1.45792 # DEPENDENCYPART_ARC
(6,14),-0.386843 # DEPENDENCYPART_ARC
(7,4),-1.29012 # DEPENDENCYPART_ARC
(7,6),-0.149251 # DEPENDENCYPART_ARC
(7,8),3.1354 # DEPENDENCYPART_ARC
(7,9),0.543358 # DEPENDENCYPART_ARC
(7,11),-0.0975295 # DEPENDENCYPART_ARC
(8,3),-1.95735 # DEPENDENCYPART_ARC
(8,6),-0.610967 # DEPENDENCYPART_ARC
(8,7),-0.130567 # DEPENDENCYPART_ARC
(8,9),0.168162 # DEPENDENCYPART_ARC
(8,10),-0.886303 # DEPENDENCYPART_ARC
(8,11),-1.35059 # DEPENDENCYPART_ARC
(8,13),-0.00299958 # DEPENDENCYPART_ARC
(9,4),-0.834979 # DEPENDENCYPART_ARC
(9,5),-0.612216 # DEPENDENCYPART_ARC
(9,6),-0.19056 # DEPENDENCYPART_ARC
(9,7),-0.156706 # DEPENDENCYPART_ARC
(9,8),0.601857 # DEPENDENCYPART_ARC
(9,11),-0.0361917 # DEPENDENCYPART_ARC
(11,3),-1.93626 # DEPENDENCYPART_ARC
(11,8),-2.96225 # DEPENDENCYPART_ARC
(11,10),2.65999 # DEPENDENCYPART_ARC
(11,12),2.1403 # DEPENDENCYPART_ARC
(11,13),0.901301 # DEPENDENCYPART_ARC
(11,14),0.0345449 # DEPENDENCYPART_ARC
(11,15),-0.583923 # DEPENDENCYPART_ARC
(11,17),-1.73805 # DEPENDENCYPART_ARC
(11,18),-1.37313 # DEPENDENCYPART_ARC
(11,23),-0.672013 # DEPENDENCYPART_ARC
(13,1),0.348281 # DEPENDENCYPART_ARC
(13,2),0.855213 # DEPENDENCYPART_ARC
(13,4),0.412677 # DEPENDENCYPART_ARC
