# _root_ Σήμερα , περισσότερο από ποτέ , χρειάζονται συγκεκριμένες ενέργειες για την αντιμετώπισή του .
#goldHeads=7,3,1,3,4,3,0,9,7,7,12,10,12,0,
#predictedHeads=3,7,7,3,4,7,0,9,7,9,12,10,12,0,
(0,1),-0.405493 # DEPENDENCYPART_ARC
(0,2),-0.345556 # DEPENDENCYPART_ARC
(0,3),-0.64047 # DEPENDENCYPART_ARC
(0,4),-1.25416 # DEPENDENCYPART_ARC
(0,5),-0.819672 # DEPENDENCYPART_ARC
(0,6),-0.150846 # DEPENDENCYPART_ARC
(0,7),1.01283 # DEPENDENCYPART_ARC
(0,8),-1.31295 # DEPENDENCYPART_ARC
(0,9),-1.52564 # DEPENDENCYPART_ARC
(0,10),-2.0806 # DEPENDENCYPART_ARC
(0,12),-1.55537 # DEPENDENCYPART_ARC
(0,14),2.10552 # DEPENDENCYPART_ARC
(1,2),0.366269 # DEPENDENCYPART_ARC
(1,3),-0.491953 # DEPENDENCYPART_ARC
(1,4),-0.124934 # DEPENDENCYPART_ARC
(1,5),-0.930281 # DEPENDENCYPART_ARC
(1,6),-0.278445 # DEPENDENCYPART_ARC
(1,7),-0.996907 # DEPENDENCYPART_ARC
(1,10),-1.89701 # DEPENDENCYPART_ARC
(1,14),-1.1297 # DEPENDENCYPART_ARC
(2,1),0.149175 # DEPENDENCYPART_ARC
(2,3),-0.671895 # DEPENDENCYPART_ARC
(2,4),-0.648621 # DEPENDENCYPART_ARC
(2,5),-0.831535 # DEPENDENCYPART_ARC
(2,6),-0.314366 # DEPENDENCYPART_ARC
(2,7),-1.26336 # DEPENDENCYPART_ARC
(2,8),-1.34648 # DEPENDENCYPART_ARC
(2,12),-1.93483 # DEPENDENCYPART_ARC
(3,1),1.25176 # DEPENDENCYPART_ARC
(3,2),1.06084 # DEPENDENCYPART_ARC
(3,4),1.47656 # DEPENDENCYPART_ARC
(3,5),0.146031 # DEPENDENCYPART_ARC
(3,6),1.00616 # DEPENDENCYPART_ARC
(3,7),-1.59302 # DEPENDENCYPART_ARC
(3,9),-1.86886 # DEPENDENCYPART_ARC
(3,10),-1.1908 # DEPENDENCYPART_ARC
(3,14),-0.346792 # DEPENDENCYPART_ARC
(4,2),0.405411 # DEPENDENCYPART_ARC
(4,3),0.55949 # DEPENDENCYPART_ARC
(4,5),1.65037 # DEPENDENCYPART_ARC
(4,6),0.726872 # DEPENDENCYPART_ARC
(4,7),0.0726486 # DEPENDENCYPART_ARC
(4,8),-0.054677 # DEPENDENCYPART_ARC
(4,9),0.505552 # DEPENDENCYPART_ARC
(4,12),-1.32038 # DEPENDENCYPART_ARC
(4,14),-0.448776 # DEPENDENCYPART_ARC
(5,1),-0.92193 # DEPENDENCYPART_ARC
(5,2),-0.516492 # DEPENDENCYPART_ARC
(5,3),-0.438697 # DEPENDENCYPART_ARC
(5,4),-0.0768441 # DEPENDENCYPART_ARC
(5,6),0.36834 # DEPENDENCYPART_ARC
(5,7),-0.0286795 # DEPENDENCYPART_ARC
(5,8),-1.21635 # DEPENDENCYPART_ARC
(5,9),-1.33886 # DEPENDENCYPART_ARC
(5,10),-1.54838 # DEPENDENCYPART_ARC
(5,12),-2.26081 # DEPENDENCYPART_ARC
(5,14),-1.04491 # DEPENDENCYPART_ARC
(6,1),-0.723442 # DEPENDENCYPART_ARC
(6,2),-0.684814 # DEPENDENCYPART_ARC
(6,3),-0.559707 # DEPENDENCYPART_ARC
(6,4),-0.236974 # DEPENDENCYPART_ARC
(6,5),-0.206707 # DEPENDENCYPART_ARC
(6,7),-0.625003 # DEPENDENCYPART_ARC
(6,8),-1.06693 # DEPENDENCYPART_ARC
(6,9),-1.40177 # DEPENDENCYPART_ARC
(6,10),-1.30705 # DEPENDENCYPART_ARC
(6,12),-1.93139 # DEPENDENCYPART_ARC
(7,1),0.598022 # DEPENDENCYPART_ARC
(7,2),1.15505 # DEPENDENCYPART_ARC
(7,3),0.234218 # DEPENDENCYPART_ARC
(7,4),0.448819 # DEPENDENCYPART_ARC
(7,5),0.899521 # DEPENDENCYPART_ARC
(7,6),1.44857 # DEPENDENCYPART_ARC
(7,8),1.45432 # DEPENDENCYPART_ARC
(7,9),2.69487 # DEPENDENCYPART_ARC
(7,10),0.763949 # DEPENDENCYPART_ARC
(7,12),-0.341166 # DEPENDENCYPART_ARC
(7,14),0.157135 # DEPENDENCYPART_ARC
(8,3),-0.373588 # DEPENDENCYPART_ARC
(8,4),-0.870625 # DEPENDENCYPART_ARC
(8,5),-0.975643 # DEPENDENCYPART_ARC
(8,6),-0.630493 # DEPENDENCYPART_ARC
(8,7),-1.47463 # DEPENDENCYPART_ARC
(8,9),-0.736943 # DEPENDENCYPART_ARC
(8,10),-0.118949 # DEPENDENCYPART_ARC
(8,12),-1.60702 # DEPENDENCYPART_ARC
(8,14),-0.377589 # DEPENDENCYPART_ARC
(9,1),-1.09393 # DEPENDENCYPART_ARC
(9,2),-0.416772 # DEPENDENCYPART_ARC
(9,3),-0.778688 # DEPENDENCYPART_ARC
(9,4),-0.577355 # DEPENDENCYPART_ARC
(9,5),-0.48622 # DEPENDENCYPART_ARC
(9,6),-0.349807 # DEPENDENCYPART_ARC
(9,7),-1.16753 # DEPENDENCYPART_ARC
(9,8),4.32783 # DEPENDENCYPART_ARC
(9,10),1.19377 # DEPENDENCYPART_ARC
(9,11),-0.928815 # DEPENDENCYPART_ARC
(9,12),-1.05434 # DEPENDENCYPART_ARC
(9,14),-0.172288 # DEPENDENCYPART_ARC
(10,9),-1.26683 # DEPENDENCYPART_ARC
(10,11),-0.20507 # DEPENDENCYPART_ARC
(10,12),2.27195 # DEPENDENCYPART_ARC
(10,14),-0.325398 # DEPENDENCYPART_ARC
(12,1),-1.71519 # DEPENDENCYPART_ARC
(12,2),-1.12129 # DEPENDENCYPART_ARC
(12,3),-1.56419 # DEPENDENCYPART_ARC
(12,4),-1.43315 # DEPENDENCYPART_ARC
(12,5),-1.47738 # DEPENDENCYPART_ARC
(12,6),-1.31253 # DEPENDENCYPART_ARC
(12,8),-1.99721 # DEPENDENCYPART_ARC
(12,9),-2.532 # DEPENDENCYPART_ARC
(12,10),-0.103326 # DEPENDENCYPART_ARC
(12,11),3.02591 # DEPENDENCYPART_ARC
(12,13),2.90159 # DEPENDENCYPART_ARC
(12,14),-0.128713 # DEPENDENCYPART_ARC
(14,2),-2.08044 # DEPENDENCYPART_ARC
(14,7),-2.26573 # DEPENDENCYPART_ARC
(14,9),-2.26467 # DEPENDENCYPART_ARC
(14,10),-1.90442 # DEPENDENCYPART_ARC
(14,12),-2.07872 # DEPENDENCYPART_ARC
