# _root_ * Επισκεφθείτε τις ερημικές παραλίες της νότιας Ρόδου , από το Πρασονήσι έως το Πλυμήρι , που προσφέρονται για απομόνωση και ηρεμία .
#goldHeads=0,0,5,5,2,8,8,5,2,5,12,10,5,15,13,18,18,5,18,21,19,21,0,
#predictedHeads=0,0,5,5,2,8,8,5,2,2,12,10,12,15,13,18,18,5,18,21,19,21,0,
(0,1),1.28462 # DEPENDENCYPART_ARC
(0,2),1.03599 # DEPENDENCYPART_ARC
(0,4),-0.50694 # DEPENDENCYPART_ARC
(0,5),-0.492209 # DEPENDENCYPART_ARC
(0,7),-1.10123 # DEPENDENCYPART_ARC
(0,8),-1.21441 # DEPENDENCYPART_ARC
(0,9),0.361405 # DEPENDENCYPART_ARC
(0,16),-0.134163 # DEPENDENCYPART_ARC
(0,18),-0.254137 # DEPENDENCYPART_ARC
(0,20),-0.979475 # DEPENDENCYPART_ARC
(0,21),-0.769212 # DEPENDENCYPART_ARC
(0,22),-0.760999 # DEPENDENCYPART_ARC
(0,23),3.64176 # DEPENDENCYPART_ARC
(1,2),-0.880416 # DEPENDENCYPART_ARC
(1,4),-1.68157 # DEPENDENCYPART_ARC
(1,5),-2.19819 # DEPENDENCYPART_ARC
(1,8),-2.60837 # DEPENDENCYPART_ARC
(2,1),0.314702 # DEPENDENCYPART_ARC
(2,3),-0.907566 # DEPENDENCYPART_ARC
(2,4),-0.196081 # DEPENDENCYPART_ARC
(2,5),0.784357 # DEPENDENCYPART_ARC
(2,7),-2.26919 # DEPENDENCYPART_ARC
(2,8),-1.82034 # DEPENDENCYPART_ARC
(2,9),0.974944 # DEPENDENCYPART_ARC
(2,10),0.55539 # DEPENDENCYPART_ARC
(2,12),-1.35168 # DEPENDENCYPART_ARC
(2,13),-0.0233083 # DEPENDENCYPART_ARC
(2,15),-2.71823 # DEPENDENCYPART_ARC
(2,16),0.160005 # DEPENDENCYPART_ARC
(2,18),-4.85077 # DEPENDENCYPART_ARC
(2,19),-0.569411 # DEPENDENCYPART_ARC
(2,20),-4.56584 # DEPENDENCYPART_ARC
(2,21),0.66442 # DEPENDENCYPART_ARC
(2,22),-4.80785 # DEPENDENCYPART_ARC
(2,23),-0.0527878 # DEPENDENCYPART_ARC
(4,1),-0.734146 # DEPENDENCYPART_ARC
(4,3),0.894296 # DEPENDENCYPART_ARC
(4,5),-0.134308 # DEPENDENCYPART_ARC
(4,7),-1.35005 # DEPENDENCYPART_ARC
(4,10),-0.408251 # DEPENDENCYPART_ARC
(5,1),-0.457809 # DEPENDENCYPART_ARC
(5,2),-1.68321 # DEPENDENCYPART_ARC
(5,3),3.87287 # DEPENDENCYPART_ARC
(5,4),4.0121 # DEPENDENCYPART_ARC
(5,6),0.450025 # DEPENDENCYPART_ARC
(5,7),0.448471 # DEPENDENCYPART_ARC
(5,8),1.99049 # DEPENDENCYPART_ARC
(5,9),0.207131 # DEPENDENCYPART_ARC
(5,10),0.099275 # DEPENDENCYPART_ARC
(5,12),-1.65659 # DEPENDENCYPART_ARC
(5,13),0.502418 # DEPENDENCYPART_ARC
(5,15),-2.00352 # DEPENDENCYPART_ARC
(5,16),-0.0496907 # DEPENDENCYPART_ARC
(5,18),0.769746 # DEPENDENCYPART_ARC
(5,19),-0.584702 # DEPENDENCYPART_ARC
(5,21),0.0107063 # DEPENDENCYPART_ARC
(7,5),-2.59203 # DEPENDENCYPART_ARC
(7,6),0.126181 # DEPENDENCYPART_ARC
(7,8),0.580882 # DEPENDENCYPART_ARC
(7,9),-0.662412 # DEPENDENCYPART_ARC
(7,10),-0.456658 # DEPENDENCYPART_ARC
(7,12),-2.44958 # DEPENDENCYPART_ARC
(7,13),-0.834416 # DEPENDENCYPART_ARC
(7,15),-3.17019 # DEPENDENCYPART_ARC
(8,6),2.84245 # DEPENDENCYPART_ARC
(8,7),2.83725 # DEPENDENCYPART_ARC
(8,9),-0.554942 # DEPENDENCYPART_ARC
(8,10),-1.08209 # DEPENDENCYPART_ARC
(9,1),-0.390705 # DEPENDENCYPART_ARC
(9,2),-0.509728 # DEPENDENCYPART_ARC
(9,4),-0.364301 # DEPENDENCYPART_ARC
(9,5),-0.122987 # DEPENDENCYPART_ARC
(9,7),-0.0987368 # DEPENDENCYPART_ARC
(9,8),0.0106158 # DEPENDENCYPART_ARC
(9,10),0.138445 # DEPENDENCYPART_ARC
(9,12),-0.00199392 # DEPENDENCYPART_ARC
(9,13),-0.0316325 # DEPENDENCYPART_ARC
(9,15),-0.302 # DEPENDENCYPART_ARC
(9,16),0.0290868 # DEPENDENCYPART_ARC
(9,18),-0.516974 # DEPENDENCYPART_ARC
(9,19),-0.622966 # DEPENDENCYPART_ARC
(10,9),0.201391 # DEPENDENCYPART_ARC
(10,11),-0.0262265 # DEPENDENCYPART_ARC
(10,12),2.21866 # DEPENDENCYPART_ARC
(10,13),-0.0847469 # DEPENDENCYPART_ARC
(10,15),-0.0425685 # DEPENDENCYPART_ARC
(10,16),0.26764 # DEPENDENCYPART_ARC
(10,21),-0.617895 # DEPENDENCYPART_ARC
(12,2),-2.7085 # DEPENDENCYPART_ARC
(12,3),-2.02599 # DEPENDENCYPART_ARC
(12,5),-3.85073 # DEPENDENCYPART_ARC
(12,6),-1.59294 # DEPENDENCYPART_ARC
(12,7),-1.1892 # DEPENDENCYPART_ARC
(12,8),-1.91726 # DEPENDENCYPART_ARC
(12,9),-0.810515 # DEPENDENCYPART_ARC
(12,11),3.0792 # DEPENDENCYPART_ARC
(12,13),0.670229 # DEPENDENCYPART_ARC
(12,14),-0.81807 # DEPENDENCYPART_ARC
(12,15),-0.58124 # DEPENDENCYPART_ARC
(12,18),-0.352823 # DEPENDENCYPART_ARC
(12,19),-0.97379 # DEPENDENCYPART_ARC
(12,21),-0.326963 # DEPENDENCYPART_ARC
(12,22),-2.86738 # DEPENDENCYPART_ARC
(13,10),-0.131563 # DEPENDENCYPART_ARC
(13,11),0.0706346 # DEPENDENCYPART_ARC
(13,12),-0.765468 # DEPENDENCYPART_ARC
(13,14),0.0648076 # DEPENDENCYPART_ARC
(13,15),2.61296 # DEPENDENCYPART_ARC
(13,16),0.325554 # DEPENDENCYPART_ARC
(13,18),-0.552415 # DEPENDENCYPART_ARC
(13,20),-1.11078 # DEPENDENCYPART_ARC
(13,21),0.0208959 # DEPENDENCYPART_ARC
(15,2),-2.39664 # DEPENDENCYPART_ARC
(15,6),-2.34571 # DEPENDENCYPART_ARC
(15,11),0.636092 # DEPENDENCYPART_ARC
(15,12),-0.581025 # DEPENDENCYPART_ARC
(15,13),0.0831059 # DEPENDENCYPART_ARC
(15,14),3.17662 # DEPENDENCYPART_ARC
(15,16),-0.0866711 # DEPENDENCYPART_ARC
(15,17),-2.13254 # DEPENDENCYPART_ARC
(15,18),0.313725 # DEPENDENCYPART_ARC
(15,19),-0.789224 # DEPENDENCYPART_ARC
