# _root_ Εκτός από την σωρεία καταχρήσεων μεγάλης κλίμακας , διαπράττονται και πολλές καταχρήσεις σε μικρή κλίμακα , διότι ο τομέας των μεταφορών χαρακτηρίζεται σε μεγάλο βαθμό από καταχρήσεις .
#goldHeads=9,1,5,5,2,7,5,9,0,12,12,9,9,15,13,17,9,19,22,21,19,17,22,25,23,22,26,0,
#predictedHeads=9,1,4,2,4,7,5,9,0,12,12,9,12,15,13,17,9,19,22,21,19,17,22,25,23,22,26,0,
(0,1),-0.930153 # DEPENDENCYPART_ARC
(0,2),-1.25352 # DEPENDENCYPART_ARC
(0,4),-0.628907 # DEPENDENCYPART_ARC
(0,6),-0.906854 # DEPENDENCYPART_ARC
(0,8),-0.497351 # DEPENDENCYPART_ARC
(0,9),1.2597 # DEPENDENCYPART_ARC
(0,10),-0.666072 # DEPENDENCYPART_ARC
(0,11),-1.20781 # DEPENDENCYPART_ARC
(0,12),-1.6512 # DEPENDENCYPART_ARC
(0,13),-1.27591 # DEPENDENCYPART_ARC
(0,15),-1.48341 # DEPENDENCYPART_ARC
(0,16),-0.960444 # DEPENDENCYPART_ARC
(0,17),-1.04731 # DEPENDENCYPART_ARC
(0,22),0.324735 # DEPENDENCYPART_ARC
(0,28),3.93948 # DEPENDENCYPART_ARC
(1,2),1.35627 # DEPENDENCYPART_ARC
(1,4),-0.421751 # DEPENDENCYPART_ARC
(1,5),-0.228385 # DEPENDENCYPART_ARC
(1,7),-0.764412 # DEPENDENCYPART_ARC
(1,8),0.0629304 # DEPENDENCYPART_ARC
(1,9),-0.860889 # DEPENDENCYPART_ARC
(1,16),-0.341299 # DEPENDENCYPART_ARC
(1,22),-1.4062 # DEPENDENCYPART_ARC
(2,1),-0.135904 # DEPENDENCYPART_ARC
(2,3),0.0694679 # DEPENDENCYPART_ARC
(2,4),2.16573 # DEPENDENCYPART_ARC
(2,5),0.745294 # DEPENDENCYPART_ARC
(2,6),-0.141707 # DEPENDENCYPART_ARC
(2,7),0.165199 # DEPENDENCYPART_ARC
(2,8),-0.119819 # DEPENDENCYPART_ARC
(2,9),-1.40921 # DEPENDENCYPART_ARC
(2,10),-1.01212 # DEPENDENCYPART_ARC
(3,5),0.294958 # DEPENDENCYPART_ARC
(4,2),-0.288893 # DEPENDENCYPART_ARC
(4,3),2.68461 # DEPENDENCYPART_ARC
(4,5),2.29458 # DEPENDENCYPART_ARC
(4,6),0.00525937 # DEPENDENCYPART_ARC
(4,7),1.31985 # DEPENDENCYPART_ARC
(4,8),-0.0335827 # DEPENDENCYPART_ARC
(4,9),-1.48551 # DEPENDENCYPART_ARC
(4,10),-0.110879 # DEPENDENCYPART_ARC
(4,13),-1.10605 # DEPENDENCYPART_ARC
(5,1),-0.720774 # DEPENDENCYPART_ARC
(5,2),-0.435377 # DEPENDENCYPART_ARC
(5,3),0.300911 # DEPENDENCYPART_ARC
(5,4),-0.354653 # DEPENDENCYPART_ARC
(5,6),1.01659 # DEPENDENCYPART_ARC
(5,7),2.23148 # DEPENDENCYPART_ARC
(5,8),0.238447 # DEPENDENCYPART_ARC
(5,9),-0.541487 # DEPENDENCYPART_ARC
(5,10),-0.397129 # DEPENDENCYPART_ARC
(5,11),-1.23967 # DEPENDENCYPART_ARC
(5,13),-1.16921 # DEPENDENCYPART_ARC
(6,1),-0.875105 # DEPENDENCYPART_ARC
(6,2),-0.304627 # DEPENDENCYPART_ARC
(6,3),-0.301335 # DEPENDENCYPART_ARC
(6,4),-1.74161 # DEPENDENCYPART_ARC
(6,5),-1.30976 # DEPENDENCYPART_ARC
(6,7),0.382017 # DEPENDENCYPART_ARC
(6,8),-0.588946 # DEPENDENCYPART_ARC
(6,9),-2.14831 # DEPENDENCYPART_ARC
(7,1),-0.461125 # DEPENDENCYPART_ARC
(7,2),-0.100187 # DEPENDENCYPART_ARC
(7,3),0.476845 # DEPENDENCYPART_ARC
(7,4),-1.03538 # DEPENDENCYPART_ARC
(7,5),0.108036 # DEPENDENCYPART_ARC
(7,6),3.16899 # DEPENDENCYPART_ARC
(7,8),-0.0740441 # DEPENDENCYPART_ARC
(7,9),-1.27999 # DEPENDENCYPART_ARC
(7,11),-2.12867 # DEPENDENCYPART_ARC
(8,1),-0.631572 # DEPENDENCYPART_ARC
(8,2),-0.246866 # DEPENDENCYPART_ARC
(8,4),-0.351778 # DEPENDENCYPART_ARC
(8,5),-0.22041 # DEPENDENCYPART_ARC
(8,6),-0.359182 # DEPENDENCYPART_ARC
(8,7),-0.381312 # DEPENDENCYPART_ARC
(8,9),-0.55436 # DEPENDENCYPART_ARC
