# _root_ Ο μικρός δωρικός ναός της Ίσιδος , βρίσκεται στο Ιερό των Ξένων Θεών , στούς πρόποδες του Κύνθου .
#goldHeads=4,4,4,8,6,4,8,0,14,9,13,13,10,8,14,15,18,16,0,
#predictedHeads=4,4,4,8,6,8,8,0,8,9,13,13,10,8,16,14,18,16,0,
(0,2),-1.46977 # DEPENDENCYPART_ARC
(0,3),-1.44652 # DEPENDENCYPART_ARC
(0,4),-1.55232 # DEPENDENCYPART_ARC
(0,6),-1.93213 # DEPENDENCYPART_ARC
(0,7),-0.530466 # DEPENDENCYPART_ARC
(0,8),0.886642 # DEPENDENCYPART_ARC
(0,9),-1.71434 # DEPENDENCYPART_ARC
(0,10),-2.09975 # DEPENDENCYPART_ARC
(0,14),-0.881324 # DEPENDENCYPART_ARC
(0,15),-2.27926 # DEPENDENCYPART_ARC
(0,18),-2.5875 # DEPENDENCYPART_ARC
(0,19),2.87189 # DEPENDENCYPART_ARC
(2,1),0.840584 # DEPENDENCYPART_ARC
(2,3),-0.0114776 # DEPENDENCYPART_ARC
(2,4),-0.657963 # DEPENDENCYPART_ARC
(2,7),-0.337516 # DEPENDENCYPART_ARC
(2,8),-2.07607 # DEPENDENCYPART_ARC
(2,9),-1.78711 # DEPENDENCYPART_ARC
(3,1),0.908973 # DEPENDENCYPART_ARC
(3,2),1.39892 # DEPENDENCYPART_ARC
(3,4),0.0354705 # DEPENDENCYPART_ARC
(3,6),-0.681148 # DEPENDENCYPART_ARC
(3,7),-0.33883 # DEPENDENCYPART_ARC
(3,8),-2.12439 # DEPENDENCYPART_ARC
(3,9),-1.86928 # DEPENDENCYPART_ARC
(4,1),2.84256 # DEPENDENCYPART_ARC
(4,2),3.10883 # DEPENDENCYPART_ARC
(4,3),2.97421 # DEPENDENCYPART_ARC
(4,5),-0.299097 # DEPENDENCYPART_ARC
(4,6),0.451352 # DEPENDENCYPART_ARC
(4,7),0.350223 # DEPENDENCYPART_ARC
(4,8),-0.0852501 # DEPENDENCYPART_ARC
(4,9),-0.594915 # DEPENDENCYPART_ARC
(4,10),-1.40773 # DEPENDENCYPART_ARC
(4,13),-0.494072 # DEPENDENCYPART_ARC
(4,14),-0.0365383 # DEPENDENCYPART_ARC
(4,16),-1.89781 # DEPENDENCYPART_ARC
(6,4),-0.233846 # DEPENDENCYPART_ARC
(6,5),1.21858 # DEPENDENCYPART_ARC
(6,7),0.0058817 # DEPENDENCYPART_ARC
(6,8),-1.32303 # DEPENDENCYPART_ARC
(6,9),-1.64074 # DEPENDENCYPART_ARC
(6,13),-1.06001 # DEPENDENCYPART_ARC
(7,2),-0.84072 # DEPENDENCYPART_ARC
(7,3),-0.687722 # DEPENDENCYPART_ARC
(7,4),-0.383151 # DEPENDENCYPART_ARC
(7,6),-0.200376 # DEPENDENCYPART_ARC
(7,8),-0.445113 # DEPENDENCYPART_ARC
(7,9),-1.26022 # DEPENDENCYPART_ARC
(7,10),-0.98748 # DEPENDENCYPART_ARC
(7,14),-0.484613 # DEPENDENCYPART_ARC
(7,15),-1.07145 # DEPENDENCYPART_ARC
(7,16),-1.78568 # DEPENDENCYPART_ARC
(7,18),-1.51574 # DEPENDENCYPART_ARC
(8,2),-0.483388 # DEPENDENCYPART_ARC
(8,3),-0.234849 # DEPENDENCYPART_ARC
(8,4),0.9447 # DEPENDENCYPART_ARC
(8,5),-1.47407 # DEPENDENCYPART_ARC
(8,6),0.635888 # DEPENDENCYPART_ARC
(8,7),1.19849 # DEPENDENCYPART_ARC
(8,9),1.70733 # DEPENDENCYPART_ARC
(8,10),-0.526253 # DEPENDENCYPART_ARC
(8,12),-2.1417 # DEPENDENCYPART_ARC
(8,13),-1.90474 # DEPENDENCYPART_ARC
(8,14),0.587233 # DEPENDENCYPART_ARC
(8,15),-3.05379 # DEPENDENCYPART_ARC
(8,16),-2.00006 # DEPENDENCYPART_ARC
(8,18),-2.74791 # DEPENDENCYPART_ARC
(8,19),0.16173 # DEPENDENCYPART_ARC
(9,7),-0.435253 # DEPENDENCYPART_ARC
(9,10),1.62689 # DEPENDENCYPART_ARC
(9,13),-0.13447 # DEPENDENCYPART_ARC
(9,14),-0.0661998 # DEPENDENCYPART_ARC
(10,4),-1.78282 # DEPENDENCYPART_ARC
(10,7),-1.09748 # DEPENDENCYPART_ARC
(10,11),0.904873 # DEPENDENCYPART_ARC
(10,12),0.899748 # DEPENDENCYPART_ARC
(10,13),1.41156 # DEPENDENCYPART_ARC
(10,14),0.352642 # DEPENDENCYPART_ARC
(10,16),-0.296323 # DEPENDENCYPART_ARC
(10,19),0.261205 # DEPENDENCYPART_ARC
(11,13),0.370989 # DEPENDENCYPART_ARC
(12,4),-2.23764 # DEPENDENCYPART_ARC
(12,10),-0.849052 # DEPENDENCYPART_ARC
(12,11),1.38525 # DEPENDENCYPART_ARC
(12,13),0.400497 # DEPENDENCYPART_ARC
(12,14),-0.641306 # DEPENDENCYPART_ARC
(12,15),-1.90882 # DEPENDENCYPART_ARC
(12,16),-1.75641 # DEPENDENCYPART_ARC
(13,5),-0.21497 # DEPENDENCYPART_ARC
(13,7),-0.486533 # DEPENDENCYPART_ARC
(13,8),-1.53215 # DEPENDENCYPART_ARC
(13,10),-2.03676 # DEPENDENCYPART_ARC
(13,11),3.35066 # DEPENDENCYPART_ARC
(13,12),3.49698 # DEPENDENCYPART_ARC
(13,14),-0.0353319 # DEPENDENCYPART_ARC
(13,15),-0.812503 # DEPENDENCYPART_ARC
(13,16),-1.51209 # DEPENDENCYPART_ARC
(13,18),0.162478 # DEPENDENCYPART_ARC
(14,4),-0.374561 # DEPENDENCYPART_ARC
(14,6),-0.369403 # DEPENDENCYPART_ARC
(14,7),-0.264276 # DEPENDENCYPART_ARC
(14,8),-0.384321 # DEPENDENCYPART_ARC
(14,9),0.0607004 # DEPENDENCYPART_ARC
(14,10),-0.0588099 # DEPENDENCYPART_ARC
(14,12),0.192993 # DEPENDENCYPART_ARC
(14,13),0.493356 # DEPENDENCYPART_ARC
(14,15),0.27648 # DEPENDENCYPART_ARC
(14,16),0.230175 # DEPENDENCYPART_ARC
(14,18),-0.0631894 # DEPENDENCYPART_ARC
(14,19),-0.0381337 # DEPENDENCYPART_ARC
(15,13),-1.57353 # DEPENDENCYPART_ARC
(15,14),0.0522128 # DEPENDENCYPART_ARC
(15,16),0.0674443 # DEPENDENCYPART_ARC
(15,18),0.291526 # DEPENDENCYPART_ARC
(15,19),-0.341206 # DEPENDENCYPART_ARC
(16,8),-1.83433 # DEPENDENCYPART_ARC
(16,10),-0.542391 # DEPENDENCYPART_ARC
(16,11),1.35052 # DEPENDENCYPART_ARC
(16,12),0.641187 # DEPENDENCYPART_ARC
(16,13),0.051697 # DEPENDENCYPART_ARC
(16,14),0.498531 # DEPENDENCYPART_ARC
(16,15),3.35067 # DEPENDENCYPART_ARC
(16,17),-0.28045 # DEPENDENCYPART_ARC
(16,18),2.49756 # DEPENDENCYPART_ARC
(16,19),0.346954 # DEPENDENCYPART_ARC
(18,16),-2.7497 # DEPENDENCYPART_ARC
(18,17),2.11146 # DEPENDENCYPART_ARC
(18,19),-0.534107 # DEPENDENCYPART_ARC
(19,4),-2.62465 # DEPENDENCYPART_ARC
(19,8),-2.44053 # DEPENDENCYPART_ARC
(19,15),-1.95486 # DEPENDENCYPART_ARC
(19,16),-1.95104 # DEPENDENCYPART_ARC
(19,18),-2.02468 # DEPENDENCYPART_ARC
