# _root_ Τη Μύκονο την λατρεύεις ή τη μισείς : όχι μόνο δεν υπάρχει ενδιάμεση αντίδραση , αλλά συνήθως , το αρχικό συναίσθημα διαρκεί για πάντα .
#goldHeads=2,5,4,5,8,7,5,0,10,12,12,16,14,12,16,8,22,16,21,21,22,16,22,23,0,
#predictedHeads=2,5,4,5,22,7,5,0,10,12,12,16,14,12,16,8,22,22,21,21,22,16,22,23,0,
(0,2),-1.08714 # DEPENDENCYPART_ARC
(0,4),0.176478 # DEPENDENCYPART_ARC
(0,5),-1.22214 # DEPENDENCYPART_ARC
(0,7),-2.00242 # DEPENDENCYPART_ARC
(0,8),0.131509 # DEPENDENCYPART_ARC
(0,12),-0.566806 # DEPENDENCYPART_ARC
(0,13),-1.78503 # DEPENDENCYPART_ARC
(0,15),-0.309749 # DEPENDENCYPART_ARC
(0,16),-0.779179 # DEPENDENCYPART_ARC
(0,17),-1.25113 # DEPENDENCYPART_ARC
(0,18),-0.593215 # DEPENDENCYPART_ARC
(0,20),-2.53097 # DEPENDENCYPART_ARC
(0,22),-1.40973 # DEPENDENCYPART_ARC
(0,24),-1.32143 # DEPENDENCYPART_ARC
(0,25),3.21234 # DEPENDENCYPART_ARC
(2,1),3.10435 # DEPENDENCYPART_ARC
(2,4),0.251637 # DEPENDENCYPART_ARC
(2,5),-0.765506 # DEPENDENCYPART_ARC
(2,7),-1.75321 # DEPENDENCYPART_ARC
(4,1),-0.147751 # DEPENDENCYPART_ARC
(4,2),0.13182 # DEPENDENCYPART_ARC
(4,3),3.64954 # DEPENDENCYPART_ARC
(4,5),0.438201 # DEPENDENCYPART_ARC
(4,6),-1.55048 # DEPENDENCYPART_ARC
(4,7),-1.08044 # DEPENDENCYPART_ARC
(4,8),0.032871 # DEPENDENCYPART_ARC
(4,10),-1.27849 # DEPENDENCYPART_ARC
(4,12),-3.06125 # DEPENDENCYPART_ARC
(4,15),-0.511518 # DEPENDENCYPART_ARC
(4,16),-0.660936 # DEPENDENCYPART_ARC
(4,24),-2.41788 # DEPENDENCYPART_ARC
(5,1),0.0101597 # DEPENDENCYPART_ARC
(5,2),0.82511 # DEPENDENCYPART_ARC
(5,3),0.666751 # DEPENDENCYPART_ARC
(5,4),1.30511 # DEPENDENCYPART_ARC
(5,6),-0.0643484 # DEPENDENCYPART_ARC
(5,7),0.94122 # DEPENDENCYPART_ARC
(5,8),0.505682 # DEPENDENCYPART_ARC
(5,10),-0.169063 # DEPENDENCYPART_ARC
(5,12),0.179958 # DEPENDENCYPART_ARC
(5,13),-0.586729 # DEPENDENCYPART_ARC
(5,14),-1.06361 # DEPENDENCYPART_ARC
(5,15),-0.080858 # DEPENDENCYPART_ARC
(5,16),-0.5075 # DEPENDENCYPART_ARC
(5,18),-0.288456 # DEPENDENCYPART_ARC
(5,22),-1.24178 # DEPENDENCYPART_ARC
(5,23),-0.103474 # DEPENDENCYPART_ARC
(5,25),-0.457583 # DEPENDENCYPART_ARC
(7,5),-0.219612 # DEPENDENCYPART_ARC
