# _root_ Στην αρχή υπήρξαν , επίσης , προβλήματα στην κατανομή των πόρων του προγράμματος στις εθνικές υπηρεσίες .
#goldHeads=3,1,0,5,3,5,3,7,8,11,9,13,11,9,16,14,0,
#predictedHeads=3,1,0,5,3,5,3,3,8,11,9,13,11,9,16,14,0,
(0,1),-1.22544 # DEPENDENCYPART_ARC
(0,2),-0.576572 # DEPENDENCYPART_ARC
(0,3),0.767531 # DEPENDENCYPART_ARC
(0,4),-0.557967 # DEPENDENCYPART_ARC
(0,5),-1.23244 # DEPENDENCYPART_ARC
(0,6),-0.307185 # DEPENDENCYPART_ARC
(0,7),-1.22472 # DEPENDENCYPART_ARC
(0,8),-1.68571 # DEPENDENCYPART_ARC
(0,9),-1.51165 # DEPENDENCYPART_ARC
(0,11),-2.13251 # DEPENDENCYPART_ARC
(0,14),-1.71294 # DEPENDENCYPART_ARC
(0,16),-1.62773 # DEPENDENCYPART_ARC
(0,17),2.48588 # DEPENDENCYPART_ARC
(1,2),3.37209 # DEPENDENCYPART_ARC
(1,3),-0.738654 # DEPENDENCYPART_ARC
(1,4),-0.372497 # DEPENDENCYPART_ARC
(1,6),-0.614493 # DEPENDENCYPART_ARC
(2,1),0.291965 # DEPENDENCYPART_ARC
(2,3),-0.813588 # DEPENDENCYPART_ARC
(2,4),-0.681419 # DEPENDENCYPART_ARC
(2,5),-1.14885 # DEPENDENCYPART_ARC
(2,6),-0.956251 # DEPENDENCYPART_ARC
(2,7),-2.46155 # DEPENDENCYPART_ARC
(2,8),-1.87787 # DEPENDENCYPART_ARC
(2,14),-1.61744 # DEPENDENCYPART_ARC
(3,1),1.64971 # DEPENDENCYPART_ARC
(3,2),0.192268 # DEPENDENCYPART_ARC
(3,4),0.516159 # DEPENDENCYPART_ARC
(3,5),1.15993 # DEPENDENCYPART_ARC
(3,6),0.279737 # DEPENDENCYPART_ARC
(3,7),1.01065 # DEPENDENCYPART_ARC
(3,8),1.36737 # DEPENDENCYPART_ARC
(3,9),-1.48881 # DEPENDENCYPART_ARC
(3,11),-3.08992 # DEPENDENCYPART_ARC
(3,13),-2.84774 # DEPENDENCYPART_ARC
(3,14),0.392579 # DEPENDENCYPART_ARC
(3,16),-1.99769 # DEPENDENCYPART_ARC
(3,17),-0.366697 # DEPENDENCYPART_ARC
(4,1),-0.659719 # DEPENDENCYPART_ARC
(4,2),-0.874393 # DEPENDENCYPART_ARC
(4,3),-0.216065 # DEPENDENCYPART_ARC
(4,5),-0.296487 # DEPENDENCYPART_ARC
(4,6),0.0385767 # DEPENDENCYPART_ARC
(4,7),-0.402504 # DEPENDENCYPART_ARC
(4,8),-0.236397 # DEPENDENCYPART_ARC
(4,9),-0.639112 # DEPENDENCYPART_ARC
(4,11),-0.845837 # DEPENDENCYPART_ARC
(4,13),-1.08024 # DEPENDENCYPART_ARC
(4,15),-0.807369 # DEPENDENCYPART_ARC
(5,1),-0.512453 # DEPENDENCYPART_ARC
(5,2),-0.736914 # DEPENDENCYPART_ARC
(5,3),-0.680217 # DEPENDENCYPART_ARC
(5,4),1.16114 # DEPENDENCYPART_ARC
(5,6),0.711285 # DEPENDENCYPART_ARC
(5,7),0.0962336 # DEPENDENCYPART_ARC
(5,8),-0.850878 # DEPENDENCYPART_ARC
(5,9),-1.07028 # DEPENDENCYPART_ARC
(5,11),-1.4318 # DEPENDENCYPART_ARC
(5,13),-1.23664 # DEPENDENCYPART_ARC
(5,17),-0.510836 # DEPENDENCYPART_ARC
(6,1),-0.829926 # DEPENDENCYPART_ARC
(6,2),-0.699412 # DEPENDENCYPART_ARC
(6,3),-0.722587 # DEPENDENCYPART_ARC
(6,4),-0.190521 # DEPENDENCYPART_ARC
(6,5),-0.276702 # DEPENDENCYPART_ARC
(6,7),0.218768 # DEPENDENCYPART_ARC
(6,8),-0.373161 # DEPENDENCYPART_ARC
(6,9),-0.30065 # DEPENDENCYPART_ARC
(6,11),-0.481355 # DEPENDENCYPART_ARC
(6,13),-1.01436 # DEPENDENCYPART_ARC
(6,14),-0.368223 # DEPENDENCYPART_ARC
(6,15),-1.00032 # DEPENDENCYPART_ARC
(6,16),-0.789205 # DEPENDENCYPART_ARC
(7,2),-2.4568 # DEPENDENCYPART_ARC
(7,3),-2.76841 # DEPENDENCYPART_ARC
(7,4),-0.300566 # DEPENDENCYPART_ARC
(7,5),0.0473722 # DEPENDENCYPART_ARC
(7,6),0.603403 # DEPENDENCYPART_ARC
(7,8),0.987789 # DEPENDENCYPART_ARC
(7,9),0.651346 # DEPENDENCYPART_ARC
(7,11),0.373677 # DEPENDENCYPART_ARC
(7,13),-0.426991 # DEPENDENCYPART_ARC
(7,14),-0.20858 # DEPENDENCYPART_ARC
(7,16),-2.91784 # DEPENDENCYPART_ARC
(7,17),1.08141 # DEPENDENCYPART_ARC
(8,6),-0.0992111 # DEPENDENCYPART_ARC
(8,9),3.16381 # DEPENDENCYPART_ARC
(8,11),-1.48412 # DEPENDENCYPART_ARC
(9,4),-1.41149 # DEPENDENCYPART_ARC
(9,5),-1.80712 # DEPENDENCYPART_ARC
(9,6),-1.3275 # DEPENDENCYPART_ARC
(9,7),-1.8786 # DEPENDENCYPART_ARC
(9,8),0.0350742 # DEPENDENCYPART_ARC
(9,10),0.240589 # DEPENDENCYPART_ARC
(9,11),2.10447 # DEPENDENCYPART_ARC
(9,13),0.504238 # DEPENDENCYPART_ARC
(9,14),0.416996 # DEPENDENCYPART_ARC
(9,15),-0.866842 # DEPENDENCYPART_ARC
(9,16),-1.51138 # DEPENDENCYPART_ARC
(9,17),0.15469 # DEPENDENCYPART_ARC
(11,3),-2.84359 # DEPENDENCYPART_ARC
(11,4),-0.715465 # DEPENDENCYPART_ARC
(11,5),-1.19895 # DEPENDENCYPART_ARC
(11,6),-0.689747 # DEPENDENCYPART_ARC
(11,7),-2.56985 # DEPENDENCYPART_ARC
(11,9),-2.03208 # DEPENDENCYPART_ARC
(11,10),3.44201 # DEPENDENCYPART_ARC
(11,12),-0.400196 # DEPENDENCYPART_ARC
(11,13),2.04598 # DEPENDENCYPART_ARC
(11,14),-0.149937 # DEPENDENCYPART_ARC
(11,15),-0.263969 # DEPENDENCYPART_ARC
(11,16),-0.970569 # DEPENDENCYPART_ARC
(11,17),-0.0653647 # DEPENDENCYPART_ARC
(12,13),0.723669 # DEPENDENCYPART_ARC
(13,4),-0.677277 # DEPENDENCYPART_ARC
(13,5),-1.35815 # DEPENDENCYPART_ARC
(13,10),-0.246431 # DEPENDENCYPART_ARC
(13,11),-0.65614 # DEPENDENCYPART_ARC
(13,12),2.99552 # DEPENDENCYPART_ARC
(13,14),0.221043 # DEPENDENCYPART_ARC
(13,15),-0.266629 # DEPENDENCYPART_ARC
(13,16),-0.0227545 # DEPENDENCYPART_ARC
(13,17),0.0756542 # DEPENDENCYPART_ARC
(14,15),1.54116 # DEPENDENCYPART_ARC
(14,16),2.78777 # DEPENDENCYPART_ARC
