# _root_ Στις διάφορες δράσεις κατέστη δυνατόν , όπως επιθυμούσαμε , να γίνει ισόρροπη κατανομή πόρων μεταξύ ανταλλαγής νέων και εθελοντικής υπηρεσίας .
#goldHeads=4,3,1,0,4,8,8,4,8,11,4,13,11,13,13,18,16,15,20,18,0,
#predictedHeads=4,3,1,0,4,8,8,4,8,11,8,13,11,13,14,15,18,20,18,16,0,
(0,1),-1.2946 # DEPENDENCYPART_ARC
(0,2),-0.35837 # DEPENDENCYPART_ARC
(0,3),-0.655188 # DEPENDENCYPART_ARC
(0,4),1.26518 # DEPENDENCYPART_ARC
(0,5),-1.87657 # DEPENDENCYPART_ARC
(0,6),-0.62871 # DEPENDENCYPART_ARC
(0,7),-1.29374 # DEPENDENCYPART_ARC
(0,8),-0.639054 # DEPENDENCYPART_ARC
(0,9),-0.529099 # DEPENDENCYPART_ARC
(0,11),-1.10826 # DEPENDENCYPART_ARC
(0,18),-0.968769 # DEPENDENCYPART_ARC
(0,20),-2.2476 # DEPENDENCYPART_ARC
(0,21),3.00235 # DEPENDENCYPART_ARC
(1,2),1.45986 # DEPENDENCYPART_ARC
(1,3),3.0546 # DEPENDENCYPART_ARC
(1,6),-0.304586 # DEPENDENCYPART_ARC
(2,3),0.0540803 # DEPENDENCYPART_ARC
(2,4),-0.910952 # DEPENDENCYPART_ARC
(2,5),-1.58445 # DEPENDENCYPART_ARC
(3,1),0.474026 # DEPENDENCYPART_ARC
(3,2),3.68042 # DEPENDENCYPART_ARC
(3,4),-1.09127 # DEPENDENCYPART_ARC
(3,5),-1.19814 # DEPENDENCYPART_ARC
(3,6),-0.809257 # DEPENDENCYPART_ARC
(3,7),-1.2314 # DEPENDENCYPART_ARC
(3,8),-2.58063 # DEPENDENCYPART_ARC
(4,1),1.32362 # DEPENDENCYPART_ARC
(4,3),-0.504275 # DEPENDENCYPART_ARC
(4,5),2.91225 # DEPENDENCYPART_ARC
(4,6),0.843469 # DEPENDENCYPART_ARC
(4,7),0.797598 # DEPENDENCYPART_ARC
(4,8),-0.51924 # DEPENDENCYPART_ARC
(4,9),0.00271903 # DEPENDENCYPART_ARC
(4,11),-1.24491 # DEPENDENCYPART_ARC
(4,12),-0.289244 # DEPENDENCYPART_ARC
(4,13),0.0619306 # DEPENDENCYPART_ARC
(4,14),-2.4079 # DEPENDENCYPART_ARC
(4,15),-0.686552 # DEPENDENCYPART_ARC
(4,16),-1.89665 # DEPENDENCYPART_ARC
(4,17),-1.63627 # DEPENDENCYPART_ARC
(4,18),-0.262596 # DEPENDENCYPART_ARC
(4,19),-2.26075 # DEPENDENCYPART_ARC
(4,20),-1.83029 # DEPENDENCYPART_ARC
(4,21),-0.0502232 # DEPENDENCYPART_ARC
(5,3),-1.13437 # DEPENDENCYPART_ARC
(5,6),0.0682574 # DEPENDENCYPART_ARC
(5,7),-0.0696228 # DEPENDENCYPART_ARC
(5,8),-0.831871 # DEPENDENCYPART_ARC
(5,11),-1.94561 # DEPENDENCYPART_ARC
(6,1),-0.630933 # DEPENDENCYPART_ARC
(6,2),-0.683095 # DEPENDENCYPART_ARC
(6,3),-0.424748 # DEPENDENCYPART_ARC
(6,4),-0.392904 # DEPENDENCYPART_ARC
(6,5),0.0666378 # DEPENDENCYPART_ARC
(6,7),-0.162124 # DEPENDENCYPART_ARC
(6,8),-0.269586 # DEPENDENCYPART_ARC
(6,9),0.0824755 # DEPENDENCYPART_ARC
(6,11),-1.36308 # DEPENDENCYPART_ARC
(6,12),-0.817594 # DEPENDENCYPART_ARC
(7,1),-0.361226 # DEPENDENCYPART_ARC
(7,5),-0.31237 # DEPENDENCYPART_ARC
(7,6),0.512413 # DEPENDENCYPART_ARC
(7,8),-0.165574 # DEPENDENCYPART_ARC
(7,9),-0.438145 # DEPENDENCYPART_ARC
(7,11),-1.35745 # DEPENDENCYPART_ARC
(8,1),0.654917 # DEPENDENCYPART_ARC
(8,2),-1.41464 # DEPENDENCYPART_ARC
(8,3),-0.0482144 # DEPENDENCYPART_ARC
(8,4),-3.41145 # DEPENDENCYPART_ARC
(8,5),-1.23207 # DEPENDENCYPART_ARC
(8,6),1.17827 # DEPENDENCYPART_ARC
