# _root_ Αξίζει να επισκεφθείτε το Διοικητήριο , σημείο αναφοράς του οικισμού , κτισμένο κατά την περίοδο της Bενετοκρατίας .
#goldHeads=0,3,1,5,6,3,6,7,10,8,6,6,12,15,13,17,15,0,
#predictedHeads=0,3,1,5,3,3,6,7,10,8,3,10,12,15,13,17,15,0,
(0,1),0.397457 # DEPENDENCYPART_ARC
(0,3),-1.33108 # DEPENDENCYPART_ARC
(0,5),-1.59692 # DEPENDENCYPART_ARC
(0,6),-0.220628 # DEPENDENCYPART_ARC
(0,7),-1.56643 # DEPENDENCYPART_ARC
(0,8),-2.12457 # DEPENDENCYPART_ARC
(0,11),-0.629638 # DEPENDENCYPART_ARC
(0,12),-1.83549 # DEPENDENCYPART_ARC
(0,17),-2.23399 # DEPENDENCYPART_ARC
(0,18),3.02126 # DEPENDENCYPART_ARC
(1,3),3.3626 # DEPENDENCYPART_ARC
(1,5),0.237387 # DEPENDENCYPART_ARC
(1,6),0.0860142 # DEPENDENCYPART_ARC
(1,7),-0.956012 # DEPENDENCYPART_ARC
(1,8),-2.6313 # DEPENDENCYPART_ARC
(1,10),-3.03053 # DEPENDENCYPART_ARC
(1,11),0.168976 # DEPENDENCYPART_ARC
(1,12),-0.616881 # DEPENDENCYPART_ARC
(1,13),-0.770984 # DEPENDENCYPART_ARC
(1,15),-2.12844 # DEPENDENCYPART_ARC
(1,17),-4.26141 # DEPENDENCYPART_ARC
(1,18),0.0820725 # DEPENDENCYPART_ARC
(2,5),-0.80192 # DEPENDENCYPART_ARC
(3,1),-3.00251 # DEPENDENCYPART_ARC
(3,2),2.28159 # DEPENDENCYPART_ARC
(3,4),-1.14663 # DEPENDENCYPART_ARC
(3,5),1.15048 # DEPENDENCYPART_ARC
(3,6),0.756557 # DEPENDENCYPART_ARC
(3,7),-0.294368 # DEPENDENCYPART_ARC
(3,8),-1.63582 # DEPENDENCYPART_ARC
(3,10),-3.12511 # DEPENDENCYPART_ARC
(3,11),0.462382 # DEPENDENCYPART_ARC
(3,12),-1.96042 # DEPENDENCYPART_ARC
(3,13),-0.580724 # DEPENDENCYPART_ARC
(3,15),-3.10231 # DEPENDENCYPART_ARC
(3,17),-4.82525 # DEPENDENCYPART_ARC
(3,18),-0.188471 # DEPENDENCYPART_ARC
(5,3),-0.856012 # DEPENDENCYPART_ARC
(5,4),3.1727 # DEPENDENCYPART_ARC
(5,6),-0.231788 # DEPENDENCYPART_ARC
(5,7),-0.163174 # DEPENDENCYPART_ARC
(5,8),0.539418 # DEPENDENCYPART_ARC
(5,10),0.150857 # DEPENDENCYPART_ARC
(5,11),-0.658243 # DEPENDENCYPART_ARC
(5,12),-1.48437 # DEPENDENCYPART_ARC
(5,13),-1.78577 # DEPENDENCYPART_ARC
(6,1),-0.703954 # DEPENDENCYPART_ARC
(6,3),-0.458688 # DEPENDENCYPART_ARC
(6,5),0.357423 # DEPENDENCYPART_ARC
(6,7),0.467338 # DEPENDENCYPART_ARC
(6,8),0.306835 # DEPENDENCYPART_ARC
(6,10),-0.124713 # DEPENDENCYPART_ARC
(6,11),0.226993 # DEPENDENCYPART_ARC
(6,12),-0.725719 # DEPENDENCYPART_ARC
(6,13),-0.84083 # DEPENDENCYPART_ARC
(6,15),-1.16384 # DEPENDENCYPART_ARC
(7,3),-1.9209 # DEPENDENCYPART_ARC
(7,4),1.41554 # DEPENDENCYPART_ARC
(7,5),0.23246 # DEPENDENCYPART_ARC
(7,6),0.175202 # DEPENDENCYPART_ARC
(7,8),3.02903 # DEPENDENCYPART_ARC
(7,9),-0.215561 # DEPENDENCYPART_ARC
(7,10),1.31248 # DEPENDENCYPART_ARC
(7,11),0.326517 # DEPENDENCYPART_ARC
(7,12),-0.13312 # DEPENDENCYPART_ARC
(7,13),-0.861654 # DEPENDENCYPART_ARC
(7,17),-1.38452 # DEPENDENCYPART_ARC
(8,3),-1.86882 # DEPENDENCYPART_ARC
(8,4),-0.783808 # DEPENDENCYPART_ARC
(8,5),-1.71912 # DEPENDENCYPART_ARC
(8,6),0.213707 # DEPENDENCYPART_ARC
(8,7),0.274948 # DEPENDENCYPART_ARC
(8,9),0.369145 # DEPENDENCYPART_ARC
(8,10),1.76577 # DEPENDENCYPART_ARC
(8,11),0.183885 # DEPENDENCYPART_ARC
(8,12),-0.10513 # DEPENDENCYPART_ARC
(8,13),-0.959872 # DEPENDENCYPART_ARC
(8,15),-2.29794 # DEPENDENCYPART_ARC
(8,17),-1.27777 # DEPENDENCYPART_ARC
(8,18),0.0115 # DEPENDENCYPART_ARC
(10,3),-1.90991 # DEPENDENCYPART_ARC
(10,4),-1.77638 # DEPENDENCYPART_ARC
(10,5),-2.60867 # DEPENDENCYPART_ARC
(10,6),-0.708983 # DEPENDENCYPART_ARC
(10,7),-1.65194 # DEPENDENCYPART_ARC
(10,8),-0.084147 # DEPENDENCYPART_ARC
(10,9),2.95672 # DEPENDENCYPART_ARC
(10,11),-0.285608 # DEPENDENCYPART_ARC
(10,12),0.403337 # DEPENDENCYPART_ARC
(10,13),-1.37419 # DEPENDENCYPART_ARC
(10,15),-1.90842 # DEPENDENCYPART_ARC
(11,3),-1.06106 # DEPENDENCYPART_ARC
(11,5),-0.574817 # DEPENDENCYPART_ARC
(11,6),-0.235842 # DEPENDENCYPART_ARC
(11,7),-0.34919 # DEPENDENCYPART_ARC
(11,8),-0.328076 # DEPENDENCYPART_ARC
(11,10),-0.425614 # DEPENDENCYPART_ARC
