# _root_ Σε ποσοστό 76,73% οι Ισπανοί είπαν ηχηρό " ναι " υπέρ του Ευρωπαϊκού Συντάγματος , στο δημοψήφισμα που διενεργήθηκε την Κυριακή .
#goldHeads=6,1,2,5,6,0,9,9,6,9,9,14,14,11,6,6,16,19,17,21,19,0,
#predictedHeads=6,1,2,5,6,0,6,9,6,9,6,14,14,11,11,6,16,19,17,21,19,0,
(0,1),-1.34339 # DEPENDENCYPART_ARC
(0,2),-0.60046 # DEPENDENCYPART_ARC
(0,3),-0.833631 # DEPENDENCYPART_ARC
(0,5),-1.41871 # DEPENDENCYPART_ARC
(0,6),0.928277 # DEPENDENCYPART_ARC
(0,7),-2.04457 # DEPENDENCYPART_ARC
(0,8),-0.470431 # DEPENDENCYPART_ARC
(0,9),-1.35225 # DEPENDENCYPART_ARC
(0,10),-0.387933 # DEPENDENCYPART_ARC
(0,15),-0.73188 # DEPENDENCYPART_ARC
(0,19),-0.61173 # DEPENDENCYPART_ARC
(0,21),-1.45102 # DEPENDENCYPART_ARC
(0,22),2.61371 # DEPENDENCYPART_ARC
(1,2),2.78568 # DEPENDENCYPART_ARC
(1,3),0.598342 # DEPENDENCYPART_ARC
(1,5),-0.28943 # DEPENDENCYPART_ARC
(1,6),-1.03884 # DEPENDENCYPART_ARC
(2,1),-0.142799 # DEPENDENCYPART_ARC
(2,3),1.07479 # DEPENDENCYPART_ARC
(2,4),-0.340875 # DEPENDENCYPART_ARC
(2,5),-0.0314723 # DEPENDENCYPART_ARC
(2,6),-0.623367 # DEPENDENCYPART_ARC
(2,7),-0.912158 # DEPENDENCYPART_ARC
(2,8),-0.0948449 # DEPENDENCYPART_ARC
(2,9),-0.992351 # DEPENDENCYPART_ARC
(2,11),-1.34863 # DEPENDENCYPART_ARC
(2,16),-1.65418 # DEPENDENCYPART_ARC
(2,19),-0.815954 # DEPENDENCYPART_ARC
(3,2),0.0716334 # DEPENDENCYPART_ARC
(3,5),0.453347 # DEPENDENCYPART_ARC
(5,3),0.11986 # DEPENDENCYPART_ARC
(5,4),3.19925 # DEPENDENCYPART_ARC
(5,6),-1.49717 # DEPENDENCYPART_ARC
(5,7),-1.94992 # DEPENDENCYPART_ARC
(6,1),1.35953 # DEPENDENCYPART_ARC
(6,2),-1.25259 # DEPENDENCYPART_ARC
(6,3),0.0695509 # DEPENDENCYPART_ARC
(6,4),-0.753953 # DEPENDENCYPART_ARC
(6,5),2.18456 # DEPENDENCYPART_ARC
(6,7),1.19434 # DEPENDENCYPART_ARC
(6,8),0.551614 # DEPENDENCYPART_ARC
(6,9),0.728386 # DEPENDENCYPART_ARC
(6,10),0.192995 # DEPENDENCYPART_ARC
(6,11),0.630965 # DEPENDENCYPART_ARC
(6,13),-3.36527 # DEPENDENCYPART_ARC
(6,14),-2.27029 # DEPENDENCYPART_ARC
(6,15),-0.00833785 # DEPENDENCYPART_ARC
(6,16),0.574748 # DEPENDENCYPART_ARC
(6,17),-1.81405 # DEPENDENCYPART_ARC
(6,19),-3.93883 # DEPENDENCYPART_ARC
(6,21),-0.802358 # DEPENDENCYPART_ARC
(6,22),-0.637402 # DEPENDENCYPART_ARC
(7,2),-0.862819 # DEPENDENCYPART_ARC
(7,4),1.08581 # DEPENDENCYPART_ARC
(7,6),-0.72455 # DEPENDENCYPART_ARC
(7,8),0.55953 # DEPENDENCYPART_ARC
(7,9),0.201551 # DEPENDENCYPART_ARC
(7,10),0.292689 # DEPENDENCYPART_ARC
(7,11),-0.0992578 # DEPENDENCYPART_ARC
(7,14),-0.239359 # DEPENDENCYPART_ARC
(7,16),-0.723397 # DEPENDENCYPART_ARC
(7,22),-0.510127 # DEPENDENCYPART_ARC
(8,1),-1.13032 # DEPENDENCYPART_ARC
(8,2),-1.12025 # DEPENDENCYPART_ARC
(8,3),-1.02959 # DEPENDENCYPART_ARC
(8,5),-1.00604 # DEPENDENCYPART_ARC
(8,6),-0.793966 # DEPENDENCYPART_ARC
(8,7),-0.367222 # DEPENDENCYPART_ARC
(8,9),-0.512547 # DEPENDENCYPART_ARC
(8,10),-0.445857 # DEPENDENCYPART_ARC
(8,11),-0.740912 # DEPENDENCYPART_ARC
(8,13),-0.824521 # DEPENDENCYPART_ARC
(8,14),-1.2786 # DEPENDENCYPART_ARC
(8,15),-0.597391 # DEPENDENCYPART_ARC
(8,16),-0.993904 # DEPENDENCYPART_ARC
(8,17),-1.41298 # DEPENDENCYPART_ARC
(8,19),-0.837121 # DEPENDENCYPART_ARC
(8,22),-1.08833 # DEPENDENCYPART_ARC
(9,1),-0.078797 # DEPENDENCYPART_ARC
(9,2),-0.0683209 # DEPENDENCYPART_ARC
(9,6),-0.231198 # DEPENDENCYPART_ARC
(9,7),0.727976 # DEPENDENCYPART_ARC
(9,8),1.72361 # DEPENDENCYPART_ARC
(9,10),1.315 # DEPENDENCYPART_ARC
(9,11),0.196409 # DEPENDENCYPART_ARC
(9,14),0.36886 # DEPENDENCYPART_ARC
(9,15),0.459678 # DEPENDENCYPART_ARC
(9,17),-0.859484 # DEPENDENCYPART_ARC
(9,19),-0.65222 # DEPENDENCYPART_ARC
(9,22),-0.336758 # DEPENDENCYPART_ARC
(10,1),-1.08116 # DEPENDENCYPART_ARC
(10,2),-1.46445 # DEPENDENCYPART_ARC
(10,3),-1.02937 # DEPENDENCYPART_ARC
(10,5),-1.49525 # DEPENDENCYPART_ARC
(10,6),-1.17945 # DEPENDENCYPART_ARC
(10,7),-1.05861 # DEPENDENCYPART_ARC
(10,8),-0.608374 # DEPENDENCYPART_ARC
(10,9),-0.538732 # DEPENDENCYPART_ARC
(10,11),-1.05228 # DEPENDENCYPART_ARC
(10,13),-1.08639 # DEPENDENCYPART_ARC
(10,14),-1.41645 # DEPENDENCYPART_ARC
(10,15),-1.10749 # DEPENDENCYPART_ARC
(10,16),-1.50307 # DEPENDENCYPART_ARC
(10,17),-1.91159 # DEPENDENCYPART_ARC
(10,22),-1.49947 # DEPENDENCYPART_ARC
(11,8),-0.00425133 # DEPENDENCYPART_ARC
(11,9),-0.138484 # DEPENDENCYPART_ARC
(11,10),0.402813 # DEPENDENCYPART_ARC
(11,12),0.574066 # DEPENDENCYPART_ARC
(11,13),1.36527 # DEPENDENCYPART_ARC
(11,14),2.08859 # DEPENDENCYPART_ARC
(11,15),0.905972 # DEPENDENCYPART_ARC
(11,17),0.686788 # DEPENDENCYPART_ARC
(11,22),-0.0612052 # DEPENDENCYPART_ARC
(13,9),-1.153 # DEPENDENCYPART_ARC
(13,10),-0.649089 # DEPENDENCYPART_ARC
(13,11),-0.497132 # DEPENDENCYPART_ARC
(13,12),0.824752 # DEPENDENCYPART_ARC
(13,14),0.680829 # DEPENDENCYPART_ARC
(13,16),-1.61643 # DEPENDENCYPART_ARC
(13,17),-1.75143 # DEPENDENCYPART_ARC
(14,4),-2.17616 # DEPENDENCYPART_ARC
(14,8),0.14449 # DEPENDENCYPART_ARC
(14,9),-0.868254 # DEPENDENCYPART_ARC
(14,10),0.224692 # DEPENDENCYPART_ARC
(14,11),-0.278518 # DEPENDENCYPART_ARC
(14,12),2.69332 # DEPENDENCYPART_ARC
(14,13),2.89314 # DEPENDENCYPART_ARC
(14,15),-0.113991 # DEPENDENCYPART_ARC
(14,16),-0.528147 # DEPENDENCYPART_ARC
(14,17),-1.02873 # DEPENDENCYPART_ARC
(14,19),0.042895 # DEPENDENCYPART_ARC
(15,2),-1.03398 # DEPENDENCYPART_ARC
(15,5),-1.13805 # DEPENDENCYPART_ARC
(15,6),-1.02976 # DEPENDENCYPART_ARC
(15,7),-0.782077 # DEPENDENCYPART_ARC
(15,8),-0.270942 # DEPENDENCYPART_ARC
(15,10),-0.483126 # DEPENDENCYPART_ARC
(15,11),-0.138349 # DEPENDENCYPART_ARC
(15,13),-0.364081 # DEPENDENCYPART_ARC
(15,14),-0.254729 # DEPENDENCYPART_ARC
(15,16),-0.185842 # DEPENDENCYPART_ARC
(15,17),-0.0734274 # DEPENDENCYPART_ARC
(15,19),-0.786924 # DEPENDENCYPART_ARC
(15,22),-0.596262 # DEPENDENCYPART_ARC
(16,15),0.119251 # DEPENDENCYPART_ARC
(16,17),3.1609 # DEPENDENCYPART_ARC
(16,19),-1.2419 # DEPENDENCYPART_ARC
(17,12),-0.520545 # DEPENDENCYPART_ARC
(17,13),-1.07417 # DEPENDENCYPART_ARC
(17,14),-1.13991 # DEPENDENCYPART_ARC
(17,15),-0.824477 # DEPENDENCYPART_ARC
(17,16),-0.31013 # DEPENDENCYPART_ARC
(17,18),0.514231 # DEPENDENCYPART_ARC
(17,19),2.19251 # DEPENDENCYPART_ARC
(17,21),-0.146096 # DEPENDENCYPART_ARC
(17,22),-0.0975411 # DEPENDENCYPART_ARC
(18,19),-0.789327 # DEPENDENCYPART_ARC
(19,1),-0.416493 # DEPENDENCYPART_ARC
(19,2),-2.75618 # DEPENDENCYPART_ARC
(19,3),-1.16836 # DEPENDENCYPART_ARC
(19,5),-1.30621 # DEPENDENCYPART_ARC
(19,6),-1.97621 # DEPENDENCYPART_ARC
(19,7),-1.86814 # DEPENDENCYPART_ARC
(19,8),-0.758675 # DEPENDENCYPART_ARC
(19,9),-0.610491 # DEPENDENCYPART_ARC
(19,10),-0.411726 # DEPENDENCYPART_ARC
(19,11),-0.28449 # DEPENDENCYPART_ARC
(19,13),-3.54577 # DEPENDENCYPART_ARC
(19,14),-3.10722 # DEPENDENCYPART_ARC
(19,15),0.202096 # DEPENDENCYPART_ARC
(19,16),-0.324577 # DEPENDENCYPART_ARC
(19,17),-0.908916 # DEPENDENCYPART_ARC
(19,18),3.65568 # DEPENDENCYPART_ARC
(19,20),-0.551832 # DEPENDENCYPART_ARC
(19,21),0.927815 # DEPENDENCYPART_ARC
(19,22),0.536603 # DEPENDENCYPART_ARC
(21,20),2.76374 # DEPENDENCYPART_ARC
