# _root_ Από αυτή την άποψη , θέλω να εξετάσω την ισορροπία μεταξύ των οικονομικών , των περιβαλλοντικών και των κοινωνικών ζητημάτων .
#goldHeads=6,4,4,1,6,0,8,6,10,8,10,13,17,17,16,17,20,19,17,11,0,
#predictedHeads=6,4,4,1,6,0,8,6,10,8,10,13,17,17,16,17,6,20,20,17,0,
(0,1),-1.23462 # DEPENDENCYPART_ARC
(0,2),-0.942997 # DEPENDENCYPART_ARC
(0,4),-0.596657 # DEPENDENCYPART_ARC
(0,5),-0.709024 # DEPENDENCYPART_ARC
(0,6),1.10329 # DEPENDENCYPART_ARC
(0,8),-1.24317 # DEPENDENCYPART_ARC
(0,11),-1.44932 # DEPENDENCYPART_ARC
(0,13),-1.69528 # DEPENDENCYPART_ARC
(0,14),-0.6445 # DEPENDENCYPART_ARC
(0,16),-2.47532 # DEPENDENCYPART_ARC
(0,17),-1.49078 # DEPENDENCYPART_ARC
(0,20),-2.252 # DEPENDENCYPART_ARC
(0,21),3.15368 # DEPENDENCYPART_ARC
(1,2),1.46876 # DEPENDENCYPART_ARC
(1,4),1.54108 # DEPENDENCYPART_ARC
(1,5),0.224816 # DEPENDENCYPART_ARC
(1,6),-0.48949 # DEPENDENCYPART_ARC
(1,8),-1.25145 # DEPENDENCYPART_ARC
(1,14),-0.788052 # DEPENDENCYPART_ARC
(1,17),-1.03004 # DEPENDENCYPART_ARC
(2,4),-0.0991281 # DEPENDENCYPART_ARC
(2,5),0.254259 # DEPENDENCYPART_ARC
(2,6),-0.99721 # DEPENDENCYPART_ARC
(3,2),0.600313 # DEPENDENCYPART_ARC
(4,1),-0.31729 # DEPENDENCYPART_ARC
(4,2),3.34332 # DEPENDENCYPART_ARC
(4,3),3.38591 # DEPENDENCYPART_ARC
(4,5),0.00830165 # DEPENDENCYPART_ARC
(4,6),-0.913606 # DEPENDENCYPART_ARC
(4,7),-1.2264 # DEPENDENCYPART_ARC
(4,8),-1.21423 # DEPENDENCYPART_ARC
(5,1),-0.86932 # DEPENDENCYPART_ARC
(5,4),-0.534284 # DEPENDENCYPART_ARC
(5,6),-0.587868 # DEPENDENCYPART_ARC
(5,8),-1.58239 # DEPENDENCYPART_ARC
(5,10),-1.31915 # DEPENDENCYPART_ARC
(5,13),-1.76181 # DEPENDENCYPART_ARC
(5,16),-1.60841 # DEPENDENCYPART_ARC
(6,1),1.17537 # DEPENDENCYPART_ARC
(6,2),-1.53157 # DEPENDENCYPART_ARC
(6,3),-0.523967 # DEPENDENCYPART_ARC
(6,4),-0.0282002 # DEPENDENCYPART_ARC
(6,5),1.4896 # DEPENDENCYPART_ARC
(6,7),0.866293 # DEPENDENCYPART_ARC
(6,8),3.66361 # DEPENDENCYPART_ARC
(6,10),0.68993 # DEPENDENCYPART_ARC
