# _root_ Η πρόταση , κατά την άποψή μας , βελτιώνει και δεν υπονομεύει την ασφαλή και αξιόπιστη επισκευή των αυτοκινήτων .
#goldHeads=2,10,4,10,6,4,6,4,10,0,12,10,17,15,17,15,12,19,17,0,
#predictedHeads=2,9,4,9,6,4,6,9,10,0,12,10,17,15,17,15,12,19,17,0,
(0,2),-0.753978 # DEPENDENCYPART_ARC
(0,3),-0.0813231 # DEPENDENCYPART_ARC
(0,4),-0.820657 # DEPENDENCYPART_ARC
(0,6),-1.63292 # DEPENDENCYPART_ARC
(0,8),-0.525396 # DEPENDENCYPART_ARC
(0,9),1.1102 # DEPENDENCYPART_ARC
(0,10),-0.586036 # DEPENDENCYPART_ARC
(0,12),-0.911406 # DEPENDENCYPART_ARC
(0,14),-1.85967 # DEPENDENCYPART_ARC
(0,15),-1.61578 # DEPENDENCYPART_ARC
(0,16),-2.01248 # DEPENDENCYPART_ARC
(0,17),-1.95596 # DEPENDENCYPART_ARC
(0,19),-2.33189 # DEPENDENCYPART_ARC
(0,20),3.12197 # DEPENDENCYPART_ARC
(1,2),0.037111 # DEPENDENCYPART_ARC
(2,1),2.94512 # DEPENDENCYPART_ARC
(2,3),0.207255 # DEPENDENCYPART_ARC
(2,4),0.146034 # DEPENDENCYPART_ARC
(2,6),-1.04723 # DEPENDENCYPART_ARC
(2,8),-0.236802 # DEPENDENCYPART_ARC
(2,9),-1.29482 # DEPENDENCYPART_ARC
(2,10),-0.168231 # DEPENDENCYPART_ARC
(2,12),-1.86794 # DEPENDENCYPART_ARC
(3,2),-0.3238 # DEPENDENCYPART_ARC
(3,4),-0.261141 # DEPENDENCYPART_ARC
(3,6),-0.227021 # DEPENDENCYPART_ARC
(3,8),-0.18283 # DEPENDENCYPART_ARC
(3,9),-0.819791 # DEPENDENCYPART_ARC
(3,10),-0.198354 # DEPENDENCYPART_ARC
(3,12),-1.44405 # DEPENDENCYPART_ARC
(3,14),-1.40049 # DEPENDENCYPART_ARC
(3,16),-1.31047 # DEPENDENCYPART_ARC
(4,2),-1.03061 # DEPENDENCYPART_ARC
(4,3),0.577494 # DEPENDENCYPART_ARC
(4,5),-0.0694638 # DEPENDENCYPART_ARC
(4,6),2.19582 # DEPENDENCYPART_ARC
(4,8),0.615156 # DEPENDENCYPART_ARC
(4,9),-0.854297 # DEPENDENCYPART_ARC
(4,10),-1.08718 # DEPENDENCYPART_ARC
(4,15),-1.85309 # DEPENDENCYPART_ARC
(4,20),-0.836569 # DEPENDENCYPART_ARC
(6,1),-0.313904 # DEPENDENCYPART_ARC
(6,2),-1.97082 # DEPENDENCYPART_ARC
(6,3),-1.02126 # DEPENDENCYPART_ARC
(6,4),-0.195757 # DEPENDENCYPART_ARC
(6,5),2.84426 # DEPENDENCYPART_ARC
(6,7),2.13987 # DEPENDENCYPART_ARC
(6,8),-0.247359 # DEPENDENCYPART_ARC
(6,9),-0.20922 # DEPENDENCYPART_ARC
(6,10),-0.620685 # DEPENDENCYPART_ARC
(6,12),-1.38762 # DEPENDENCYPART_ARC
(6,15),-0.952317 # DEPENDENCYPART_ARC
(6,17),-2.5833 # DEPENDENCYPART_ARC
(6,19),-1.32235 # DEPENDENCYPART_ARC
(8,2),-0.398417 # DEPENDENCYPART_ARC
(8,3),-0.275082 # DEPENDENCYPART_ARC
(8,4),-0.254272 # DEPENDENCYPART_ARC
(8,6),-0.263018 # DEPENDENCYPART_ARC
(8,9),-0.358807 # DEPENDENCYPART_ARC
(8,10),-0.719675 # DEPENDENCYPART_ARC
(8,12),-1.53809 # DEPENDENCYPART_ARC
(8,14),-1.56928 # DEPENDENCYPART_ARC
(9,2),0.105417 # DEPENDENCYPART_ARC
(9,3),0.250541 # DEPENDENCYPART_ARC
(9,4),0.632999 # DEPENDENCYPART_ARC
(9,5),-1.16273 # DEPENDENCYPART_ARC
(9,6),-0.512995 # DEPENDENCYPART_ARC
(9,8),0.964678 # DEPENDENCYPART_ARC
(9,10),0.35888 # DEPENDENCYPART_ARC
(9,12),-0.434256 # DEPENDENCYPART_ARC
(9,14),-2.18951 # DEPENDENCYPART_ARC
(9,15),-0.536101 # DEPENDENCYPART_ARC
(9,16),-3.03664 # DEPENDENCYPART_ARC
(9,17),-1.15653 # DEPENDENCYPART_ARC
(9,19),-4.06959 # DEPENDENCYPART_ARC
(9,20),-0.136156 # DEPENDENCYPART_ARC
(10,2),0.0746923 # DEPENDENCYPART_ARC
(10,3),0.292646 # DEPENDENCYPART_ARC
(10,4),-0.0611319 # DEPENDENCYPART_ARC
(10,5),0.0137902 # DEPENDENCYPART_ARC
(10,6),0.364781 # DEPENDENCYPART_ARC
(10,8),0.820014 # DEPENDENCYPART_ARC
(10,9),2.36986 # DEPENDENCYPART_ARC
(10,11),-0.0957716 # DEPENDENCYPART_ARC
(10,12),1.4718 # DEPENDENCYPART_ARC
(10,14),-0.657636 # DEPENDENCYPART_ARC
(10,15),-0.633015 # DEPENDENCYPART_ARC
(10,16),-0.648825 # DEPENDENCYPART_ARC
(10,17),-1.32119 # DEPENDENCYPART_ARC
(10,19),-1.79512 # DEPENDENCYPART_ARC
(10,20),-0.116762 # DEPENDENCYPART_ARC
(12,2),-0.0323137 # DEPENDENCYPART_ARC
(12,3),-0.106084 # DEPENDENCYPART_ARC
(12,4),0.111115 # DEPENDENCYPART_ARC
(12,6),-1.03296 # DEPENDENCYPART_ARC
(12,8),-0.423525 # DEPENDENCYPART_ARC
(12,9),-1.74233 # DEPENDENCYPART_ARC
(12,10),0.141889 # DEPENDENCYPART_ARC
(12,11),2.41697 # DEPENDENCYPART_ARC
(12,13),-0.48407 # DEPENDENCYPART_ARC
(12,14),-0.24363 # DEPENDENCYPART_ARC
(12,15),0.267612 # DEPENDENCYPART_ARC
(12,16),-1.71528 # DEPENDENCYPART_ARC
(12,17),1.74327 # DEPENDENCYPART_ARC
(12,19),-2.27208 # DEPENDENCYPART_ARC
(12,20),0.120976 # DEPENDENCYPART_ARC
(14,6),-2.7026 # DEPENDENCYPART_ARC
(14,13),0.695811 # DEPENDENCYPART_ARC
(14,15),0.299178 # DEPENDENCYPART_ARC
