# _root_ * Πάρτε το ποτό σας και καθίστε κάπου κοντά στο Pierro's , ένα από τα διασημότερα και παλαιότερα gay μπαρ του κόσμου , για να δείτε τον κόσμο που πηγαινοέρχεται τα βράδυα .
#goldHeads=6,6,4,2,4,0,6,9,7,9,12,10,12,13,20,17,20,17,20,14,22,20,24,6,26,24,28,26,30,28,32,30,0,
#predictedHeads=0,6,4,2,4,0,6,9,7,9,10,2,12,13,16,17,20,20,20,14,22,20,2,20,26,24,28,26,30,28,32,30,0,
(0,1),1.28462 # DEPENDENCYPART_ARC
(0,2),0.822693 # DEPENDENCYPART_ARC
(0,4),-0.646526 # DEPENDENCYPART_ARC
(0,6),0.797873 # DEPENDENCYPART_ARC
(0,7),-0.211314 # DEPENDENCYPART_ARC
(0,11),-0.272863 # DEPENDENCYPART_ARC
(0,12),-0.111722 # DEPENDENCYPART_ARC
(0,16),-1.34574 # DEPENDENCYPART_ARC
(0,17),-0.495713 # DEPENDENCYPART_ARC
(0,19),-0.472222 # DEPENDENCYPART_ARC
(0,26),-1.01833 # DEPENDENCYPART_ARC
(0,28),-1.02913 # DEPENDENCYPART_ARC
(0,30),-1.33132 # DEPENDENCYPART_ARC
(0,32),-0.73575 # DEPENDENCYPART_ARC
(0,33),4.09803 # DEPENDENCYPART_ARC
(1,2),-0.91469 # DEPENDENCYPART_ARC
(1,4),-1.99916 # DEPENDENCYPART_ARC
(1,7),-1.91412 # DEPENDENCYPART_ARC
(2,1),0.48819 # DEPENDENCYPART_ARC
(2,3),-0.382142 # DEPENDENCYPART_ARC
(2,4),2.72113 # DEPENDENCYPART_ARC
(2,6),0.350113 # DEPENDENCYPART_ARC
(2,7),-1.28678 # DEPENDENCYPART_ARC
(2,8),-0.745833 # DEPENDENCYPART_ARC
(2,9),-0.492943 # DEPENDENCYPART_ARC
(2,10),0.230656 # DEPENDENCYPART_ARC
(2,12),0.736266 # DEPENDENCYPART_ARC
(2,14),-1.21754 # DEPENDENCYPART_ARC
(2,17),-0.341053 # DEPENDENCYPART_ARC
(2,18),-0.22908 # DEPENDENCYPART_ARC
(2,23),0.608784 # DEPENDENCYPART_ARC
(2,24),-0.858742 # DEPENDENCYPART_ARC
(2,33),0.564283 # DEPENDENCYPART_ARC
(3,6),-0.262707 # DEPENDENCYPART_ARC
(4,1),-0.635525 # DEPENDENCYPART_ARC
(4,2),-1.44685 # DEPENDENCYPART_ARC
(4,3),3.21451 # DEPENDENCYPART_ARC
(4,5),2.45692 # DEPENDENCYPART_ARC
(4,6),0.0332092 # DEPENDENCYPART_ARC
(4,7),-0.95404 # DEPENDENCYPART_ARC
(4,8),-0.970814 # DEPENDENCYPART_ARC
(4,9),-0.960493 # DEPENDENCYPART_ARC
(4,11),-1.38891 # DEPENDENCYPART_ARC
(4,30),-1.96404 # DEPENDENCYPART_ARC
(6,1),-0.286771 # DEPENDENCYPART_ARC
(6,2),1.91954 # DEPENDENCYPART_ARC
(6,3),0.74935 # DEPENDENCYPART_ARC
(6,4),0.722558 # DEPENDENCYPART_ARC
(6,7),1.93813 # DEPENDENCYPART_ARC
(6,8),-0.0853038 # DEPENDENCYPART_ARC
(6,9),-0.473913 # DEPENDENCYPART_ARC
(6,10),-0.334811 # DEPENDENCYPART_ARC
(6,12),-0.129473 # DEPENDENCYPART_ARC
(7,1),-0.773899 # DEPENDENCYPART_ARC
(7,2),-4.41942 # DEPENDENCYPART_ARC
(7,3),0.27352 # DEPENDENCYPART_ARC
(7,4),-1.139 # DEPENDENCYPART_ARC
(7,6),0.653071 # DEPENDENCYPART_ARC
(7,8),1.46897 # DEPENDENCYPART_ARC
(7,9),1.31692 # DEPENDENCYPART_ARC
(7,10),0.906349 # DEPENDENCYPART_ARC
(7,11),0.0885828 # DEPENDENCYPART_ARC
(7,12),0.477028 # DEPENDENCYPART_ARC
(7,14),-0.0701084 # DEPENDENCYPART_ARC
(7,17),-0.0308247 # DEPENDENCYPART_ARC
(7,18),0.123789 # DEPENDENCYPART_ARC
(7,20),-2.68694 # DEPENDENCYPART_ARC
(7,22),-4.06822 # DEPENDENCYPART_ARC
(7,23),0.316714 # DEPENDENCYPART_ARC
(7,24),-0.153158 # DEPENDENCYPART_ARC
(7,26),-1.7351 # DEPENDENCYPART_ARC
(7,28),-4.68905 # DEPENDENCYPART_ARC
(7,32),-5.13412 # DEPENDENCYPART_ARC
(8,1),-0.818048 # DEPENDENCYPART_ARC
(8,2),-1.7158 # DEPENDENCYPART_ARC
(8,4),-0.974032 # DEPENDENCYPART_ARC
(8,6),-0.232735 # DEPENDENCYPART_ARC
(8,7),-0.432891 # DEPENDENCYPART_ARC
(8,9),-0.0483829 # DEPENDENCYPART_ARC
(8,10),-0.0156531 # DEPENDENCYPART_ARC
(8,12),-0.320611 # DEPENDENCYPART_ARC
(8,14),-0.92103 # DEPENDENCYPART_ARC
(8,17),-0.675322 # DEPENDENCYPART_ARC
(8,18),-1.15604 # DEPENDENCYPART_ARC
(9,1),-0.490687 # DEPENDENCYPART_ARC
(9,2),-1.41914 # DEPENDENCYPART_ARC
(9,4),-0.749476 # DEPENDENCYPART_ARC
(9,6),-0.0572998 # DEPENDENCYPART_ARC
(9,7),-0.583274 # DEPENDENCYPART_ARC
(9,8),1.79176 # DEPENDENCYPART_ARC
(9,10),1.47271 # DEPENDENCYPART_ARC
(9,12),0.513096 # DEPENDENCYPART_ARC
