# _root_ Απλουστευτικές ενιαίες λύσεις , όπως η περικοπή του χρόνου εργασίας σε ευρωπαϊκό επίπεδο , είναι άνευ σημαντικής ουσίας .
#goldHeads=3,3,5,5,15,7,5,9,7,9,7,13,11,15,0,15,18,16,0,
#predictedHeads=3,3,0,15,15,7,15,9,7,9,7,13,11,15,0,15,18,16,0,
(0,1),0.595002 # DEPENDENCYPART_ARC
(0,2),0.0262136 # DEPENDENCYPART_ARC
(0,3),0.132454 # DEPENDENCYPART_ARC
(0,4),-0.0637794 # DEPENDENCYPART_ARC
(0,5),-0.755121 # DEPENDENCYPART_ARC
(0,7),-0.768156 # DEPENDENCYPART_ARC
(0,10),-1.02317 # DEPENDENCYPART_ARC
(0,12),-1.0242 # DEPENDENCYPART_ARC
(0,14),-0.438659 # DEPENDENCYPART_ARC
(0,15),1.63019 # DEPENDENCYPART_ARC
(0,18),-1.5778 # DEPENDENCYPART_ARC
(0,19),3.03588 # DEPENDENCYPART_ARC
(1,2),-0.94467 # DEPENDENCYPART_ARC
(1,3),-0.458184 # DEPENDENCYPART_ARC
(1,4),0.0371761 # DEPENDENCYPART_ARC
(1,5),-0.454369 # DEPENDENCYPART_ARC
(1,7),-1.65331 # DEPENDENCYPART_ARC
(1,9),-0.373907 # DEPENDENCYPART_ARC
(1,11),-0.582341 # DEPENDENCYPART_ARC
(2,1),0.666787 # DEPENDENCYPART_ARC
(2,3),-0.092624 # DEPENDENCYPART_ARC
(2,4),-0.261377 # DEPENDENCYPART_ARC
(2,5),-0.524123 # DEPENDENCYPART_ARC
(2,7),-1.47584 # DEPENDENCYPART_ARC
(2,9),-0.567752 # DEPENDENCYPART_ARC
(3,1),3.19048 # DEPENDENCYPART_ARC
(3,2),3.54067 # DEPENDENCYPART_ARC
(3,4),0.233373 # DEPENDENCYPART_ARC
(3,5),0.0245944 # DEPENDENCYPART_ARC
(3,7),-1.5662 # DEPENDENCYPART_ARC
(3,11),-0.650429 # DEPENDENCYPART_ARC
(4,1),-0.400716 # DEPENDENCYPART_ARC
(4,2),-0.252674 # DEPENDENCYPART_ARC
(4,3),-0.0365299 # DEPENDENCYPART_ARC
(4,5),-0.225288 # DEPENDENCYPART_ARC
(4,7),-0.0815021 # DEPENDENCYPART_ARC
(4,9),-0.413592 # DEPENDENCYPART_ARC
(4,12),-0.994713 # DEPENDENCYPART_ARC
(4,14),0.0686878 # DEPENDENCYPART_ARC
(4,15),-0.835649 # DEPENDENCYPART_ARC
(5,2),-0.734646 # DEPENDENCYPART_ARC
(5,3),-0.23787 # DEPENDENCYPART_ARC
(5,4),0.0996473 # DEPENDENCYPART_ARC
(5,6),-0.447566 # DEPENDENCYPART_ARC
