# _root_ Η Κέρκυρα , το βορειότερο νησί της Ελλάδος , είναι ένας υπέροχος τόπος .
#goldHeads=2,3,10,5,6,3,8,6,3,0,13,13,10,0,
#predictedHeads=2,3,10,6,6,10,8,6,10,0,13,13,10,0,
(0,2),-0.723722 # DEPENDENCYPART_ARC
(0,3),-0.245779 # DEPENDENCYPART_ARC
(0,5),-1.62323 # DEPENDENCYPART_ARC
(0,6),-1.46054 # DEPENDENCYPART_ARC
(0,8),-1.69277 # DEPENDENCYPART_ARC
(0,9),-0.422543 # DEPENDENCYPART_ARC
(0,10),1.45414 # DEPENDENCYPART_ARC
(0,13),-2.34047 # DEPENDENCYPART_ARC
(0,14),2.57039 # DEPENDENCYPART_ARC
(2,1),2.95492 # DEPENDENCYPART_ARC
(2,3),-0.531542 # DEPENDENCYPART_ARC
(2,5),-1.85417 # DEPENDENCYPART_ARC
(3,2),0.667461 # DEPENDENCYPART_ARC
(3,5),-0.173072 # DEPENDENCYPART_ARC
(3,6),0.388977 # DEPENDENCYPART_ARC
(3,8),-0.0579154 # DEPENDENCYPART_ARC
(3,9),0.330905 # DEPENDENCYPART_ARC
(3,10),-0.840068 # DEPENDENCYPART_ARC
(3,12),-1.23353 # DEPENDENCYPART_ARC
(3,13),-0.336683 # DEPENDENCYPART_ARC
(3,14),-0.329074 # DEPENDENCYPART_ARC
(4,6),0.331323 # DEPENDENCYPART_ARC
(5,3),-0.300741 # DEPENDENCYPART_ARC
(5,4),1.04337 # DEPENDENCYPART_ARC
(5,6),0.241656 # DEPENDENCYPART_ARC
(5,8),-0.379141 # DEPENDENCYPART_ARC
(5,9),-0.492661 # DEPENDENCYPART_ARC
(5,10),-2.93585 # DEPENDENCYPART_ARC
(5,13),-2.44479 # DEPENDENCYPART_ARC
(6,1),0.650281 # DEPENDENCYPART_ARC
(6,2),-1.35529 # DEPENDENCYPART_ARC
(6,3),-0.365646 # DEPENDENCYPART_ARC
(6,4),3.21128 # DEPENDENCYPART_ARC
(6,5),2.37378 # DEPENDENCYPART_ARC
(6,7),-0.321605 # DEPENDENCYPART_ARC
(6,8),2.6101 # DEPENDENCYPART_ARC
(6,9),0.100824 # DEPENDENCYPART_ARC
(6,10),-0.702068 # DEPENDENCYPART_ARC
(6,12),-1.36413 # DEPENDENCYPART_ARC
(6,13),-1.39795 # DEPENDENCYPART_ARC
(6,14),-0.329021 # DEPENDENCYPART_ARC
(8,4),-0.74136 # DEPENDENCYPART_ARC
(8,6),-0.987089 # DEPENDENCYPART_ARC
(8,7),3.3109 # DEPENDENCYPART_ARC
(8,9),-0.86731 # DEPENDENCYPART_ARC
(8,10),-1.7962 # DEPENDENCYPART_ARC
(9,2),-0.501965 # DEPENDENCYPART_ARC
(9,3),-0.304509 # DEPENDENCYPART_ARC
(9,5),-0.397972 # DEPENDENCYPART_ARC
(9,6),-0.173368 # DEPENDENCYPART_ARC
(9,8),-0.274397 # DEPENDENCYPART_ARC
(9,10),-0.652559 # DEPENDENCYPART_ARC
(9,12),-1.23695 # DEPENDENCYPART_ARC
(9,13),-0.811287 # DEPENDENCYPART_ARC
(9,14),-0.82279 # DEPENDENCYPART_ARC
(10,2),0.659754 # DEPENDENCYPART_ARC
(10,3),0.988188 # DEPENDENCYPART_ARC
(10,5),0.733305 # DEPENDENCYPART_ARC
(10,6),1.40956 # DEPENDENCYPART_ARC
(10,7),-1.19057 # DEPENDENCYPART_ARC
(10,8),-0.699509 # DEPENDENCYPART_ARC
(10,9),1.42143 # DEPENDENCYPART_ARC
(10,12),0.319804 # DEPENDENCYPART_ARC
(10,13),1.60447 # DEPENDENCYPART_ARC
(10,14),0.263832 # DEPENDENCYPART_ARC
(12,6),-1.47194 # DEPENDENCYPART_ARC
(12,9),-0.946199 # DEPENDENCYPART_ARC
(12,11),1.01639 # DEPENDENCYPART_ARC
(12,13),-0.0115693 # DEPENDENCYPART_ARC
(12,14),-0.266388 # DEPENDENCYPART_ARC
(13,3),-0.895002 # DEPENDENCYPART_ARC
(13,4),-0.685457 # DEPENDENCYPART_ARC
(13,6),-1.47907 # DEPENDENCYPART_ARC
(13,7),-0.905952 # DEPENDENCYPART_ARC
(13,8),-1.44063 # DEPENDENCYPART_ARC
(13,9),-0.658228 # DEPENDENCYPART_ARC
(13,10),-1.20781 # DEPENDENCYPART_ARC
(13,11),2.94769 # DEPENDENCYPART_ARC
(13,12),3.08968 # DEPENDENCYPART_ARC
(13,14),0.336479 # DEPENDENCYPART_ARC
(14,2),-3.04908 # DEPENDENCYPART_ARC
(14,3),-2.18956 # DEPENDENCYPART_ARC
(14,6),-2.76153 # DEPENDENCYPART_ARC
(14,9),-2.08343 # DEPENDENCYPART_ARC
(14,10),-2.2867 # DEPENDENCYPART_ARC
(14,12),-1.94422 # DEPENDENCYPART_ARC
(14,13),-2.14258 # DEPENDENCYPART_ARC
