# _root_ Επίσης , μέσα στο Κάστρο υπήρχαν οι απαραίτητες δεξαμενές για νερό , ενώ το Νεκροταφείο βρισκόταν έξω από την πόλη .
#goldHeads=13,13,6,3,4,13,9,9,6,9,10,13,0,15,16,13,16,17,20,18,0,
#predictedHeads=6,6,6,3,4,13,9,9,6,9,10,13,0,15,16,13,16,16,20,18,0,
(0,1),-0.480967 # DEPENDENCYPART_ARC
(0,2),-0.381431 # DEPENDENCYPART_ARC
(0,3),-0.916967 # DEPENDENCYPART_ARC
(0,4),-1.26269 # DEPENDENCYPART_ARC
(0,5),-0.840718 # DEPENDENCYPART_ARC
(0,6),0.642331 # DEPENDENCYPART_ARC
(0,8),-1.35497 # DEPENDENCYPART_ARC
(0,9),-1.76832 # DEPENDENCYPART_ARC
(0,12),-0.530871 # DEPENDENCYPART_ARC
(0,13),0.995934 # DEPENDENCYPART_ARC
(0,16),-0.0126471 # DEPENDENCYPART_ARC
(0,17),-1.46204 # DEPENDENCYPART_ARC
(0,20),-1.54816 # DEPENDENCYPART_ARC
(0,21),3.20187 # DEPENDENCYPART_ARC
(1,2),0.150926 # DEPENDENCYPART_ARC
(1,3),-0.59697 # DEPENDENCYPART_ARC
(1,4),-0.549425 # DEPENDENCYPART_ARC
(1,6),-0.714864 # DEPENDENCYPART_ARC
(2,1),-0.0896906 # DEPENDENCYPART_ARC
(2,3),-0.521023 # DEPENDENCYPART_ARC
(2,4),-0.705419 # DEPENDENCYPART_ARC
(2,5),-0.613508 # DEPENDENCYPART_ARC
(2,6),-0.912884 # DEPENDENCYPART_ARC
(2,8),-1.37902 # DEPENDENCYPART_ARC
(3,1),0.0765681 # DEPENDENCYPART_ARC
(3,2),0.450228 # DEPENDENCYPART_ARC
(3,4),1.18216 # DEPENDENCYPART_ARC
(3,5),0.290407 # DEPENDENCYPART_ARC
(3,6),-0.0317329 # DEPENDENCYPART_ARC
(3,9),-1.60402 # DEPENDENCYPART_ARC
(3,10),-1.01594 # DEPENDENCYPART_ARC
(3,11),-1.65448 # DEPENDENCYPART_ARC
(3,12),0.179262 # DEPENDENCYPART_ARC
(3,13),-0.383303 # DEPENDENCYPART_ARC
(3,16),-1.22627 # DEPENDENCYPART_ARC
(3,17),-1.06422 # DEPENDENCYPART_ARC
(4,2),-0.222283 # DEPENDENCYPART_ARC
(4,3),0.0203282 # DEPENDENCYPART_ARC
(4,5),2.93796 # DEPENDENCYPART_ARC
(4,6),-0.850945 # DEPENDENCYPART_ARC
(5,1),-1.56548 # DEPENDENCYPART_ARC
(5,2),-1.22614 # DEPENDENCYPART_ARC
(5,3),-0.655705 # DEPENDENCYPART_ARC
(5,4),-0.429447 # DEPENDENCYPART_ARC
(5,6),-2.04728 # DEPENDENCYPART_ARC
(5,8),-2.31804 # DEPENDENCYPART_ARC
(6,1),0.895142 # DEPENDENCYPART_ARC
(6,2),0.798056 # DEPENDENCYPART_ARC
(6,3),0.941628 # DEPENDENCYPART_ARC
(6,4),0.584564 # DEPENDENCYPART_ARC
(6,5),-0.296231 # DEPENDENCYPART_ARC
(6,7),-1.76297 # DEPENDENCYPART_ARC
(6,8),0.352814 # DEPENDENCYPART_ARC
(6,9),2.08579 # DEPENDENCYPART_ARC
(6,10),0.935338 # DEPENDENCYPART_ARC
(6,11),-0.0401396 # DEPENDENCYPART_ARC
(6,12),0.589189 # DEPENDENCYPART_ARC
(6,13),0.599154 # DEPENDENCYPART_ARC
(6,15),-1.38366 # DEPENDENCYPART_ARC
(6,16),-4.61999 # DEPENDENCYPART_ARC
(6,17),-0.837116 # DEPENDENCYPART_ARC
(6,18),-1.31067 # DEPENDENCYPART_ARC
(6,20),-2.23815 # DEPENDENCYPART_ARC
(6,21),-0.0303328 # DEPENDENCYPART_ARC
(8,3),-1.27427 # DEPENDENCYPART_ARC
(8,7),1.52174 # DEPENDENCYPART_ARC
(8,9),-0.381481 # DEPENDENCYPART_ARC
(8,10),0.128962 # DEPENDENCYPART_ARC
(8,11),-1.34812 # DEPENDENCYPART_ARC
(8,13),-0.45752 # DEPENDENCYPART_ARC
(8,15),-2.63425 # DEPENDENCYPART_ARC
(8,18),-0.936205 # DEPENDENCYPART_ARC
(9,1),-1.33064 # DEPENDENCYPART_ARC
(9,5),-2.38324 # DEPENDENCYPART_ARC
(9,6),-2.92835 # DEPENDENCYPART_ARC
(9,7),3.68628 # DEPENDENCYPART_ARC
(9,8),4.14737 # DEPENDENCYPART_ARC
(9,10),1.39077 # DEPENDENCYPART_ARC
(9,11),-0.433824 # DEPENDENCYPART_ARC
(9,12),0.272227 # DEPENDENCYPART_ARC
(9,13),-0.0580468 # DEPENDENCYPART_ARC
(9,15),-2.2956 # DEPENDENCYPART_ARC
(9,16),-2.11776 # DEPENDENCYPART_ARC
(9,17),-0.960136 # DEPENDENCYPART_ARC
(9,18),-1.56699 # DEPENDENCYPART_ARC
(10,9),-0.930401 # DEPENDENCYPART_ARC
(10,11),2.58113 # DEPENDENCYPART_ARC
(10,12),0.29467 # DEPENDENCYPART_ARC
(10,13),0.421514 # DEPENDENCYPART_ARC
(10,15),-0.588572 # DEPENDENCYPART_ARC
(10,16),-1.29141 # DEPENDENCYPART_ARC
(10,17),-1.56679 # DEPENDENCYPART_ARC
(11,7),-1.35726 # DEPENDENCYPART_ARC
(11,8),-2.44141 # DEPENDENCYPART_ARC
(11,9),-2.70677 # DEPENDENCYPART_ARC
(11,10),0.00784055 # DEPENDENCYPART_ARC
