# _root_ Για παράδειγμα , η κατάθλιψη αυξάνει την δραστηριότητα των αιμοπεταλίων , των κυττάρων που προάγουν την θρόμβωση .
#goldHeads=6,1,6,5,6,0,8,6,10,11,8,13,11,15,13,17,15,0,
#predictedHeads=6,1,6,5,6,0,8,6,10,8,15,13,8,15,13,17,15,0,
(0,1),-1.52539 # DEPENDENCYPART_ARC
(0,2),-0.470103 # DEPENDENCYPART_ARC
(0,3),-0.494947 # DEPENDENCYPART_ARC
(0,5),-1.21013 # DEPENDENCYPART_ARC
(0,6),0.947957 # DEPENDENCYPART_ARC
(0,8),-1.96571 # DEPENDENCYPART_ARC
(0,10),-2.21767 # DEPENDENCYPART_ARC
(0,11),-0.927564 # DEPENDENCYPART_ARC
(0,13),-2.57381 # DEPENDENCYPART_ARC
(0,15),-0.930487 # DEPENDENCYPART_ARC
(0,17),-1.90952 # DEPENDENCYPART_ARC
(0,18),2.74853 # DEPENDENCYPART_ARC
(1,2),2.94476 # DEPENDENCYPART_ARC
(1,3),0.582908 # DEPENDENCYPART_ARC
(1,5),-0.311413 # DEPENDENCYPART_ARC
(1,6),-1.08445 # DEPENDENCYPART_ARC
(1,8),-2.70724 # DEPENDENCYPART_ARC
(1,11),-0.223002 # DEPENDENCYPART_ARC
(2,1),-0.114681 # DEPENDENCYPART_ARC
(2,3),-0.228323 # DEPENDENCYPART_ARC
(2,4),-0.863928 # DEPENDENCYPART_ARC
(2,5),-0.83951 # DEPENDENCYPART_ARC
(2,6),-1.19388 # DEPENDENCYPART_ARC
(2,8),-2.79163 # DEPENDENCYPART_ARC
(2,11),-1.15454 # DEPENDENCYPART_ARC
(3,1),-0.703546 # DEPENDENCYPART_ARC
(3,2),0.280771 # DEPENDENCYPART_ARC
(3,5),-0.322004 # DEPENDENCYPART_ARC
(3,6),-0.792471 # DEPENDENCYPART_ARC
(3,8),-1.08193 # DEPENDENCYPART_ARC
(3,10),-1.25351 # DEPENDENCYPART_ARC
(3,11),-0.839843 # DEPENDENCYPART_ARC
(3,13),-1.30081 # DEPENDENCYPART_ARC
(3,15),-1.0695 # DEPENDENCYPART_ARC
(4,5),0.200436 # DEPENDENCYPART_ARC
(5,1),-0.992108 # DEPENDENCYPART_ARC
(5,2),-1.60362 # DEPENDENCYPART_ARC
(5,3),-0.44663 # DEPENDENCYPART_ARC
(5,4),3.10451 # DEPENDENCYPART_ARC
(5,6),-1.02859 # DEPENDENCYPART_ARC
(5,7),-1.34166 # DEPENDENCYPART_ARC
(5,8),-1.62158 # DEPENDENCYPART_ARC
(5,10),-0.786874 # DEPENDENCYPART_ARC
(5,11),-0.950654 # DEPENDENCYPART_ARC
(5,13),-2.16665 # DEPENDENCYPART_ARC
(5,15),-2.2055 # DEPENDENCYPART_ARC
(5,17),-3.60988 # DEPENDENCYPART_ARC
(6,1),1.22249 # DEPENDENCYPART_ARC
(6,2),-0.8578 # DEPENDENCYPART_ARC
(6,3),1.40653 # DEPENDENCYPART_ARC
(6,4),-0.379497 # DEPENDENCYPART_ARC
(6,5),2.45253 # DEPENDENCYPART_ARC
(6,7),-0.697215 # DEPENDENCYPART_ARC
(6,8),2.09818 # DEPENDENCYPART_ARC
(6,10),-1.90813 # DEPENDENCYPART_ARC
(6,11),0.0654632 # DEPENDENCYPART_ARC
(6,13),-3.05335 # DEPENDENCYPART_ARC
(6,15),-3.00997 # DEPENDENCYPART_ARC
(6,17),-1.67886 # DEPENDENCYPART_ARC
(6,18),-0.133925 # DEPENDENCYPART_ARC
(8,1),-1.24303 # DEPENDENCYPART_ARC
(8,3),-1.20401 # DEPENDENCYPART_ARC
(8,4),-0.24055 # DEPENDENCYPART_ARC
(8,5),-1.63506 # DEPENDENCYPART_ARC
(8,6),-2.14157 # DEPENDENCYPART_ARC
(8,7),3.22877 # DEPENDENCYPART_ARC
(8,9),0.21979 # DEPENDENCYPART_ARC
(8,10),2.48629 # DEPENDENCYPART_ARC
(8,11),0.149714 # DEPENDENCYPART_ARC
(8,13),0.530596 # DEPENDENCYPART_ARC
(8,15),-0.107692 # DEPENDENCYPART_ARC
(8,17),-2.33585 # DEPENDENCYPART_ARC
(8,18),-0.0623702 # DEPENDENCYPART_ARC
(9,10),0.311609 # DEPENDENCYPART_ARC
(10,1),-1.16849 # DEPENDENCYPART_ARC
(10,3),-1.40748 # DEPENDENCYPART_ARC
(10,4),-3.64134 # DEPENDENCYPART_ARC
(10,5),-3.74156 # DEPENDENCYPART_ARC
(10,7),-2.0051 # DEPENDENCYPART_ARC
(10,8),-2.70987 # DEPENDENCYPART_ARC
(10,9),3.30847 # DEPENDENCYPART_ARC
(10,11),-0.245262 # DEPENDENCYPART_ARC
(10,12),-0.907325 # DEPENDENCYPART_ARC
(10,13),-0.48523 # DEPENDENCYPART_ARC
(10,15),0.14626 # DEPENDENCYPART_ARC
(10,17),-2.41898 # DEPENDENCYPART_ARC
(11,1),-0.84634 # DEPENDENCYPART_ARC
(11,2),-0.39503 # DEPENDENCYPART_ARC
(11,3),-0.799546 # DEPENDENCYPART_ARC
(11,5),-0.536556 # DEPENDENCYPART_ARC
(11,6),-0.569784 # DEPENDENCYPART_ARC
(11,8),0.189667 # DEPENDENCYPART_ARC
(11,10),0.531156 # DEPENDENCYPART_ARC
(11,13),0.476943 # DEPENDENCYPART_ARC
(11,15),-0.30953 # DEPENDENCYPART_ARC
(11,17),-0.713168 # DEPENDENCYPART_ARC
(11,18),-0.0868133 # DEPENDENCYPART_ARC
(13,3),-1.50064 # DEPENDENCYPART_ARC
(13,6),-2.84251 # DEPENDENCYPART_ARC
(13,7),-3.46809 # DEPENDENCYPART_ARC
(13,8),-4.07782 # DEPENDENCYPART_ARC
(13,9),0.927746 # DEPENDENCYPART_ARC
(13,10),-0.577197 # DEPENDENCYPART_ARC
(13,11),-0.314162 # DEPENDENCYPART_ARC
(13,12),3.05233 # DEPENDENCYPART_ARC
(13,14),-0.394983 # DEPENDENCYPART_ARC
(13,15),1.69076 # DEPENDENCYPART_ARC
(13,17),-0.272956 # DEPENDENCYPART_ARC
(13,18),0.0298792 # DEPENDENCYPART_ARC
(14,15),-1.15101 # DEPENDENCYPART_ARC
(15,1),-0.303839 # DEPENDENCYPART_ARC
(15,2),-3.438 # DEPENDENCYPART_ARC
(15,3),-0.410187 # DEPENDENCYPART_ARC
(15,5),-1.23318 # DEPENDENCYPART_ARC
(15,6),-3.01097 # DEPENDENCYPART_ARC
(15,8),-2.24224 # DEPENDENCYPART_ARC
(15,10),-2.93153 # DEPENDENCYPART_ARC
(15,11),0.387552 # DEPENDENCYPART_ARC
(15,12),-1.01099 # DEPENDENCYPART_ARC
(15,13),-1.55969 # DEPENDENCYPART_ARC
(15,14),3.4926 # DEPENDENCYPART_ARC
(15,16),-1.23496 # DEPENDENCYPART_ARC
(15,17),2.01172 # DEPENDENCYPART_ARC
(15,18),0.469845 # DEPENDENCYPART_ARC
(17,9),-3.0014 # DEPENDENCYPART_ARC
(17,10),-3.2327 # DEPENDENCYPART_ARC
(17,12),-2.03409 # DEPENDENCYPART_ARC
(17,13),-2.35449 # DEPENDENCYPART_ARC
(17,14),-2.37231 # DEPENDENCYPART_ARC
(17,15),-2.75424 # DEPENDENCYPART_ARC
(17,16),3.09955 # DEPENDENCYPART_ARC
(17,18),0.218843 # DEPENDENCYPART_ARC
(18,6),-2.79971 # DEPENDENCYPART_ARC
(18,13),-2.71745 # DEPENDENCYPART_ARC
(18,17),-2.13908 # DEPENDENCYPART_ARC
