# _root_ Κύριε Πρόεδρε , καταρχάς θα ήθελα να συγχαρώ τους τρεις εισηγητές - τον κ. Χατζηδάκη , τον κ. van Dam και τον κ. Grosch - για το έργο τους .
#goldHeads=2,6,2,6,6,0,8,6,11,11,12,8,15,15,21,21,20,20,20,21,12,24,24,21,12,8,28,26,28,0,
#predictedHeads=2,6,6,3,6,0,8,6,11,11,8,8,15,15,21,21,20,20,20,21,8,24,24,21,12,8,28,26,28,0,
(0,1),0.111134 # DEPENDENCYPART_ARC
(0,2),0.390539 # DEPENDENCYPART_ARC
(0,3),0.578723 # DEPENDENCYPART_ARC
(0,4),-0.0527046 # DEPENDENCYPART_ARC
(0,6),1.02622 # DEPENDENCYPART_ARC
(0,8),-0.935123 # DEPENDENCYPART_ARC
(0,11),-0.952368 # DEPENDENCYPART_ARC
(0,12),-0.194109 # DEPENDENCYPART_ARC
(0,14),-1.32593 # DEPENDENCYPART_ARC
(0,15),-0.787046 # DEPENDENCYPART_ARC
(0,16),-0.124301 # DEPENDENCYPART_ARC
(0,18),-1.44454 # DEPENDENCYPART_ARC
(0,19),-1.42987 # DEPENDENCYPART_ARC
(0,20),-1.4913 # DEPENDENCYPART_ARC
(0,21),-1.06788 # DEPENDENCYPART_ARC
(0,23),-1.67048 # DEPENDENCYPART_ARC
(0,24),-1.45211 # DEPENDENCYPART_ARC
(0,25),0.176455 # DEPENDENCYPART_ARC
(0,26),-2.459 # DEPENDENCYPART_ARC
(0,28),-0.554675 # DEPENDENCYPART_ARC
(0,30),3.3897 # DEPENDENCYPART_ARC
(1,2),-0.303097 # DEPENDENCYPART_ARC
(1,3),-0.387852 # DEPENDENCYPART_ARC
(1,4),-1.68235 # DEPENDENCYPART_ARC
(1,6),-2.55532 # DEPENDENCYPART_ARC
(1,8),-3.72584 # DEPENDENCYPART_ARC
(1,21),-1.17634 # DEPENDENCYPART_ARC
(2,1),2.81978 # DEPENDENCYPART_ARC
(2,3),0.505952 # DEPENDENCYPART_ARC
(2,4),-0.881578 # DEPENDENCYPART_ARC
(2,6),-2.32346 # DEPENDENCYPART_ARC
(3,1),-0.557643 # DEPENDENCYPART_ARC
(3,2),0.28842 # DEPENDENCYPART_ARC
(3,4),0.280044 # DEPENDENCYPART_ARC
(3,6),-0.885862 # DEPENDENCYPART_ARC
(3,8),-1.72896 # DEPENDENCYPART_ARC
(3,11),-1.43409 # DEPENDENCYPART_ARC
(3,12),-0.505566 # DEPENDENCYPART_ARC
(3,15),-1.12734 # DEPENDENCYPART_ARC
(4,1),-1.12077 # DEPENDENCYPART_ARC
(4,2),-0.79255 # DEPENDENCYPART_ARC
(4,3),0.659237 # DEPENDENCYPART_ARC
(4,6),-1.32828 # DEPENDENCYPART_ARC
(4,7),-1.15574 # DEPENDENCYPART_ARC
(4,8),-2.42981 # DEPENDENCYPART_ARC
(4,10),-2.26691 # DEPENDENCYPART_ARC
(4,11),-2.81275 # DEPENDENCYPART_ARC
(4,12),-0.264713 # DEPENDENCYPART_ARC
(6,1),0.658875 # DEPENDENCYPART_ARC
(6,2),0.451968 # DEPENDENCYPART_ARC
(6,3),0.80598 # DEPENDENCYPART_ARC
(6,4),0.183194 # DEPENDENCYPART_ARC
(6,5),2.57242 # DEPENDENCYPART_ARC
(6,7),0.69311 # DEPENDENCYPART_ARC
(6,8),3.87275 # DEPENDENCYPART_ARC
(6,11),-0.478737 # DEPENDENCYPART_ARC
(6,12),0.194004 # DEPENDENCYPART_ARC
(6,15),-1.11176 # DEPENDENCYPART_ARC
(6,16),0.101034 # DEPENDENCYPART_ARC
(6,21),0.312163 # DEPENDENCYPART_ARC
(6,25),0.0243183 # DEPENDENCYPART_ARC
(6,26),-0.821167 # DEPENDENCYPART_ARC
(6,28),-3.22377 # DEPENDENCYPART_ARC
(6,30),1.02244 # DEPENDENCYPART_ARC
(7,8),0.00273186 # DEPENDENCYPART_ARC
(8,1),-0.647706 # DEPENDENCYPART_ARC
(8,2),-1.07839 # DEPENDENCYPART_ARC
(8,3),-0.729268 # DEPENDENCYPART_ARC
(8,4),-1.60172 # DEPENDENCYPART_ARC
(8,5),0.330321 # DEPENDENCYPART_ARC
(8,6),-1.21759 # DEPENDENCYPART_ARC
(8,7),2.08155 # DEPENDENCYPART_ARC
(8,9),-0.197207 # DEPENDENCYPART_ARC
(8,10),0.131235 # DEPENDENCYPART_ARC
(8,11),0.895513 # DEPENDENCYPART_ARC
(8,12),0.499792 # DEPENDENCYPART_ARC
(8,14),-0.0434635 # DEPENDENCYPART_ARC
(8,15),-0.438108 # DEPENDENCYPART_ARC
(8,16),0.481172 # DEPENDENCYPART_ARC
(8,21),0.629328 # DEPENDENCYPART_ARC
(8,25),0.392972 # DEPENDENCYPART_ARC
(8,26),0.557448 # DEPENDENCYPART_ARC
(8,28),-2.59961 # DEPENDENCYPART_ARC
(8,30),0.389364 # DEPENDENCYPART_ARC
(10,9),1.0665 # DEPENDENCYPART_ARC
(11,3),-0.776654 # DEPENDENCYPART_ARC
(11,4),-1.14595 # DEPENDENCYPART_ARC
(11,6),-1.54152 # DEPENDENCYPART_ARC
(11,8),-1.1178 # DEPENDENCYPART_ARC
(11,9),3.14715 # DEPENDENCYPART_ARC
(11,10),2.72912 # DEPENDENCYPART_ARC
(11,12),0.284334 # DEPENDENCYPART_ARC
(11,13),-0.818611 # DEPENDENCYPART_ARC
(11,14),-0.494034 # DEPENDENCYPART_ARC
(11,15),-0.473064 # DEPENDENCYPART_ARC
(11,16),-0.3719 # DEPENDENCYPART_ARC
(11,21),-0.125649 # DEPENDENCYPART_ARC
(11,26),0.158724 # DEPENDENCYPART_ARC
(12,1),-0.603065 # DEPENDENCYPART_ARC
(12,2),-0.796635 # DEPENDENCYPART_ARC
(12,3),-0.23682 # DEPENDENCYPART_ARC
(12,4),-0.636963 # DEPENDENCYPART_ARC
(12,6),-0.545054 # DEPENDENCYPART_ARC
(12,8),-0.407659 # DEPENDENCYPART_ARC
(12,10),0.0159244 # DEPENDENCYPART_ARC
(12,11),0.438188 # DEPENDENCYPART_ARC
(12,14),-0.235664 # DEPENDENCYPART_ARC
(12,15),0.286092 # DEPENDENCYPART_ARC
(12,16),-0.0270064 # DEPENDENCYPART_ARC
(12,21),-0.00780535 # DEPENDENCYPART_ARC
(12,25),0.716171 # DEPENDENCYPART_ARC
(12,26),-0.475431 # DEPENDENCYPART_ARC
(12,30),0.0168013 # DEPENDENCYPART_ARC
(14,11),-0.931548 # DEPENDENCYPART_ARC
(14,12),-0.542522 # DEPENDENCYPART_ARC
(14,13),1.20563 # DEPENDENCYPART_ARC
(14,16),-0.250345 # DEPENDENCYPART_ARC
(15,12),0.291364 # DEPENDENCYPART_ARC
(15,13),2.59999 # DEPENDENCYPART_ARC
(15,14),1.89353 # DEPENDENCYPART_ARC
(15,16),-0.734563 # DEPENDENCYPART_ARC
(16,1),-0.66621 # DEPENDENCYPART_ARC
(16,2),-0.813462 # DEPENDENCYPART_ARC
(16,3),-0.655144 # DEPENDENCYPART_ARC
(16,4),-0.779946 # DEPENDENCYPART_ARC
(16,6),-0.935389 # DEPENDENCYPART_ARC
(16,8),-0.638329 # DEPENDENCYPART_ARC
(16,11),-0.0386003 # DEPENDENCYPART_ARC
(16,12),-0.132726 # DEPENDENCYPART_ARC
(16,15),0.474924 # DEPENDENCYPART_ARC
(16,18),-0.498519 # DEPENDENCYPART_ARC
(16,19),-0.208834 # DEPENDENCYPART_ARC
(16,21),0.1072 # DEPENDENCYPART_ARC
(16,25),-0.0168679 # DEPENDENCYPART_ARC
