# _root_ Ασφαλώς , η συνόψιση των μέχρι τώρα οδηγιών , η εναρμόνιση και ο εκσυγχρονισμός τους αποτελούν ένα πολύ ουσιαστικό βήμα .
#goldHeads=16,16,4,12,8,8,6,4,12,11,12,16,14,12,14,0,20,19,20,16,0,
#predictedHeads=16,16,4,0,8,4,6,6,12,11,12,4,14,16,14,12,20,19,20,16,0,
(0,1),-0.389966 # DEPENDENCYPART_ARC
(0,2),-0.380041 # DEPENDENCYPART_ARC
(0,4),-0.471054 # DEPENDENCYPART_ARC
(0,6),-0.947206 # DEPENDENCYPART_ARC
(0,7),-1.08144 # DEPENDENCYPART_ARC
(0,8),-1.05044 # DEPENDENCYPART_ARC
(0,9),-0.229455 # DEPENDENCYPART_ARC
(0,11),-0.861459 # DEPENDENCYPART_ARC
(0,12),-0.832452 # DEPENDENCYPART_ARC
(0,14),-1.36858 # DEPENDENCYPART_ARC
(0,16),-0.866448 # DEPENDENCYPART_ARC
(0,18),-1.56787 # DEPENDENCYPART_ARC
(0,19),-1.97694 # DEPENDENCYPART_ARC
(0,20),-1.68677 # DEPENDENCYPART_ARC
(0,21),3.12681 # DEPENDENCYPART_ARC
(1,2),0.240441 # DEPENDENCYPART_ARC
(1,4),-0.634289 # DEPENDENCYPART_ARC
(1,6),-0.758819 # DEPENDENCYPART_ARC
(1,7),-1.05809 # DEPENDENCYPART_ARC
(1,8),-1.14386 # DEPENDENCYPART_ARC
(1,9),-0.564514 # DEPENDENCYPART_ARC
(1,12),-0.803728 # DEPENDENCYPART_ARC
(1,16),-1.09778 # DEPENDENCYPART_ARC
(2,1),-0.402315 # DEPENDENCYPART_ARC
(2,4),-0.456138 # DEPENDENCYPART_ARC
(2,6),-0.691725 # DEPENDENCYPART_ARC
(2,8),-0.843676 # DEPENDENCYPART_ARC
(2,9),-0.446999 # DEPENDENCYPART_ARC
(2,12),-0.255015 # DEPENDENCYPART_ARC
(2,16),-0.415118 # DEPENDENCYPART_ARC
(4,1),-1.02299 # DEPENDENCYPART_ARC
(4,2),-0.413883 # DEPENDENCYPART_ARC
(4,3),2.99384 # DEPENDENCYPART_ARC
