# _root_ Οι επεμβατική αντιμετώπιση της διέγερσης των πυρήνων , που γίνεται και στην Ελλάδα , γίνεται στις περιπτώσεις που οι ασθενείς έχουν κορεστεί από τα φάρμακα .
#goldHeads=3,3,15,5,3,7,5,10,10,3,13,10,12,10,0,15,16,22,20,22,22,17,22,25,23,0,
#predictedHeads=3,3,0,5,3,7,5,10,10,7,12,10,12,15,11,15,16,17,20,21,22,17,22,25,23,0,
(0,2),-0.675339 # DEPENDENCYPART_ARC
(0,3),-0.796269 # DEPENDENCYPART_ARC
(0,8),-0.349883 # DEPENDENCYPART_ARC
(0,10),-0.290899 # DEPENDENCYPART_ARC
(0,11),-0.660865 # DEPENDENCYPART_ARC
(0,13),-1.68708 # DEPENDENCYPART_ARC
(0,14),-0.925656 # DEPENDENCYPART_ARC
(0,15),-0.562894 # DEPENDENCYPART_ARC
(0,17),-1.65713 # DEPENDENCYPART_ARC
(0,18),-1.55263 # DEPENDENCYPART_ARC
(0,20),-2.56372 # DEPENDENCYPART_ARC
(0,21),-0.668432 # DEPENDENCYPART_ARC
(0,22),-1.60953 # DEPENDENCYPART_ARC
(0,26),3.87707 # DEPENDENCYPART_ARC
(2,1),1.00925 # DEPENDENCYPART_ARC
(2,3),0.0371761 # DEPENDENCYPART_ARC
(2,5),-0.175826 # DEPENDENCYPART_ARC
(2,7),-0.34441 # DEPENDENCYPART_ARC
(3,1),2.15818 # DEPENDENCYPART_ARC
(3,2),3.56987 # DEPENDENCYPART_ARC
(3,4),0.492259 # DEPENDENCYPART_ARC
(3,5),2.31562 # DEPENDENCYPART_ARC
(3,7),1.00203 # DEPENDENCYPART_ARC
(3,8),-0.115928 # DEPENDENCYPART_ARC
(3,10),0.180185 # DEPENDENCYPART_ARC
(3,11),-0.398779 # DEPENDENCYPART_ARC
(3,12),-1.04314 # DEPENDENCYPART_ARC
(3,15),-1.94348 # DEPENDENCYPART_ARC
(3,16),-1.20788 # DEPENDENCYPART_ARC
(3,18),-1.32939 # DEPENDENCYPART_ARC
(3,22),-1.89591 # DEPENDENCYPART_ARC
(5,1),-0.501906 # DEPENDENCYPART_ARC
(5,2),-0.940314 # DEPENDENCYPART_ARC
(5,3),-1.57792 # DEPENDENCYPART_ARC
(5,4),3.26678 # DEPENDENCYPART_ARC
(5,6),0.543781 # DEPENDENCYPART_ARC
(5,7),2.04615 # DEPENDENCYPART_ARC
(5,8),-0.0015335 # DEPENDENCYPART_ARC
(5,10),0.124207 # DEPENDENCYPART_ARC
(5,12),-1.12532 # DEPENDENCYPART_ARC
(5,15),-2.24525 # DEPENDENCYPART_ARC
(5,22),-2.47173 # DEPENDENCYPART_ARC
(7,1),-1.28233 # DEPENDENCYPART_ARC
(7,2),-2.64843 # DEPENDENCYPART_ARC
(7,4),0.000160287 # DEPENDENCYPART_ARC
(7,5),-0.420479 # DEPENDENCYPART_ARC
(7,6),3.18769 # DEPENDENCYPART_ARC
(7,8),-0.145271 # DEPENDENCYPART_ARC
(7,9),-1.98184 # DEPENDENCYPART_ARC
(7,10),0.337573 # DEPENDENCYPART_ARC
(8,2),-0.473185 # DEPENDENCYPART_ARC
(8,3),-0.648367 # DEPENDENCYPART_ARC
(8,5),-0.421271 # DEPENDENCYPART_ARC
(8,7),-0.345454 # DEPENDENCYPART_ARC
(8,9),-0.513585 # DEPENDENCYPART_ARC
(8,10),-0.225061 # DEPENDENCYPART_ARC
(8,11),0.216264 # DEPENDENCYPART_ARC
(8,12),-0.709686 # DEPENDENCYPART_ARC
(8,13),-0.590877 # DEPENDENCYPART_ARC
(8,14),0.261207 # DEPENDENCYPART_ARC
(8,16),-0.644626 # DEPENDENCYPART_ARC
(8,17),-1.2167 # DEPENDENCYPART_ARC
(8,18),-0.692934 # DEPENDENCYPART_ARC
(8,20),-0.963197 # DEPENDENCYPART_ARC
(8,21),-0.52743 # DEPENDENCYPART_ARC
(8,22),-0.762191 # DEPENDENCYPART_ARC
(8,23),-0.446412 # DEPENDENCYPART_ARC
(9,8),0.0911458 # DEPENDENCYPART_ARC
(9,10),-1.40398 # DEPENDENCYPART_ARC
(9,21),-2.29251 # DEPENDENCYPART_ARC
(9,22),-1.90247 # DEPENDENCYPART_ARC
(10,2),-1.39025 # DEPENDENCYPART_ARC
(10,3),-1.69776 # DEPENDENCYPART_ARC
(10,5),-2.19714 # DEPENDENCYPART_ARC
(10,6),-3.01416 # DEPENDENCYPART_ARC
(10,7),-3.0003 # DEPENDENCYPART_ARC
(10,8),0.888216 # DEPENDENCYPART_ARC
(10,9),3.16753 # DEPENDENCYPART_ARC
(10,11),0.399084 # DEPENDENCYPART_ARC
(10,12),0.689458 # DEPENDENCYPART_ARC
(10,13),-0.849145 # DEPENDENCYPART_ARC
(10,14),0.54225 # DEPENDENCYPART_ARC
(10,15),-2.7036 # DEPENDENCYPART_ARC
(10,16),-1.16481 # DEPENDENCYPART_ARC
(10,18),-1.13774 # DEPENDENCYPART_ARC
(11,2),-0.878456 # DEPENDENCYPART_ARC
(11,3),-0.761612 # DEPENDENCYPART_ARC
(11,5),-0.542302 # DEPENDENCYPART_ARC
(11,6),-0.360884 # DEPENDENCYPART_ARC
(11,7),-0.27558 # DEPENDENCYPART_ARC
(11,8),0.333208 # DEPENDENCYPART_ARC
(11,9),0.606945 # DEPENDENCYPART_ARC
(11,10),0.907965 # DEPENDENCYPART_ARC
(11,12),0.450769 # DEPENDENCYPART_ARC
(11,13),0.496864 # DEPENDENCYPART_ARC
(11,14),0.335986 # DEPENDENCYPART_ARC
(11,15),0.345731 # DEPENDENCYPART_ARC
(11,16),-0.63914 # DEPENDENCYPART_ARC
(11,17),-1.85686 # DEPENDENCYPART_ARC
(11,18),-0.765542 # DEPENDENCYPART_ARC
(11,21),-1.7416 # DEPENDENCYPART_ARC
(11,22),-1.36427 # DEPENDENCYPART_ARC
(11,23),-1.05358 # DEPENDENCYPART_ARC
(12,11),1.05374 # DEPENDENCYPART_ARC
(12,13),3.26552 # DEPENDENCYPART_ARC
(12,14),0.110305 # DEPENDENCYPART_ARC
(12,15),-2.22873 # DEPENDENCYPART_ARC
(13,9),-3.89833 # DEPENDENCYPART_ARC
(13,11),-0.13262 # DEPENDENCYPART_ARC
(13,14),-0.746953 # DEPENDENCYPART_ARC
(13,15),-1.17692 # DEPENDENCYPART_ARC
(13,20),-2.80186 # DEPENDENCYPART_ARC
(14,3),-0.86235 # DEPENDENCYPART_ARC
(14,5),-0.854742 # DEPENDENCYPART_ARC
(14,7),-0.884768 # DEPENDENCYPART_ARC
