# _root_ Είναι πιθανό να διατηρούμε έγκλειστα δόντια στο στόμα μας , επί χρόνια , και να το αγνοούμε .
#goldHeads=0,1,4,14,6,4,5,7,8,14,14,11,14,2,17,17,14,0,
#predictedHeads=0,1,4,14,6,4,10,7,8,17,17,11,14,1,17,17,14,0,
(0,1),0.744195 # DEPENDENCYPART_ARC
(0,2),-1.64088 # DEPENDENCYPART_ARC
(0,4),-1.00064 # DEPENDENCYPART_ARC
(0,10),-0.641873 # DEPENDENCYPART_ARC
(0,12),-1.67297 # DEPENDENCYPART_ARC
(0,13),-0.822608 # DEPENDENCYPART_ARC
(0,14),-0.337431 # DEPENDENCYPART_ARC
(0,17),-1.67708 # DEPENDENCYPART_ARC
(0,18),2.71435 # DEPENDENCYPART_ARC
(1,2),2.53292 # DEPENDENCYPART_ARC
(1,3),0.222075 # DEPENDENCYPART_ARC
(1,4),0.470526 # DEPENDENCYPART_ARC
(1,5),-1.18522 # DEPENDENCYPART_ARC
(1,6),0.327599 # DEPENDENCYPART_ARC
(1,7),-0.452283 # DEPENDENCYPART_ARC
(1,8),-1.45616 # DEPENDENCYPART_ARC
(1,10),0.076075 # DEPENDENCYPART_ARC
(1,11),-0.644911 # DEPENDENCYPART_ARC
(1,12),-2.6668 # DEPENDENCYPART_ARC
(1,13),-0.278811 # DEPENDENCYPART_ARC
(1,14),0.332936 # DEPENDENCYPART_ARC
(1,17),-2.8205 # DEPENDENCYPART_ARC
(1,18),-0.128095 # DEPENDENCYPART_ARC
(2,1),-2.02213 # DEPENDENCYPART_ARC
(2,4),-0.789673 # DEPENDENCYPART_ARC
(2,5),-0.782732 # DEPENDENCYPART_ARC
(2,6),-1.28275 # DEPENDENCYPART_ARC
(2,7),-1.81275 # DEPENDENCYPART_ARC
(2,11),-0.922068 # DEPENDENCYPART_ARC
(2,14),-0.00593603 # DEPENDENCYPART_ARC
(2,18),-0.529943 # DEPENDENCYPART_ARC
(3,4),0.2789 # DEPENDENCYPART_ARC
(3,6),-0.711276 # DEPENDENCYPART_ARC
(4,1),-2.96448 # DEPENDENCYPART_ARC
(4,2),-0.83348 # DEPENDENCYPART_ARC
(4,3),2.17991 # DEPENDENCYPART_ARC
(4,5),0.577212 # DEPENDENCYPART_ARC
(4,6),2.66704 # DEPENDENCYPART_ARC
(4,7),0.12868 # DEPENDENCYPART_ARC
(4,8),-0.150128 # DEPENDENCYPART_ARC
(4,10),0.396347 # DEPENDENCYPART_ARC
(4,11),0.366353 # DEPENDENCYPART_ARC
(4,12),-1.88094 # DEPENDENCYPART_ARC
(4,13),0.0410596 # DEPENDENCYPART_ARC
(4,14),0.296105 # DEPENDENCYPART_ARC
(4,17),-2.73855 # DEPENDENCYPART_ARC
(4,18),-0.499689 # DEPENDENCYPART_ARC
(5,4),-2.37273 # DEPENDENCYPART_ARC
(5,6),0.0462132 # DEPENDENCYPART_ARC
(5,7),-0.785728 # DEPENDENCYPART_ARC
(5,8),-0.705108 # DEPENDENCYPART_ARC
(5,11),-0.967491 # DEPENDENCYPART_ARC
(5,12),-2.20737 # DEPENDENCYPART_ARC
(6,1),-1.99294 # DEPENDENCYPART_ARC
(6,2),-0.719411 # DEPENDENCYPART_ARC
(6,4),-0.987446 # DEPENDENCYPART_ARC
(6,5),3.60436 # DEPENDENCYPART_ARC
(6,7),0.419481 # DEPENDENCYPART_ARC
(6,8),-0.351935 # DEPENDENCYPART_ARC
(6,11),-0.49465 # DEPENDENCYPART_ARC
(6,13),-0.142983 # DEPENDENCYPART_ARC
(6,14),-0.247039 # DEPENDENCYPART_ARC
(6,17),-0.423426 # DEPENDENCYPART_ARC
(7,5),-0.826656 # DEPENDENCYPART_ARC
(7,8),3.01123 # DEPENDENCYPART_ARC
(7,10),0.0032732 # DEPENDENCYPART_ARC
(8,2),-2.51947 # DEPENDENCYPART_ARC
(8,5),-1.39986 # DEPENDENCYPART_ARC
(8,6),-1.91502 # DEPENDENCYPART_ARC
(8,7),-0.57016 # DEPENDENCYPART_ARC
(8,9),1.85108 # DEPENDENCYPART_ARC
(8,10),-0.440135 # DEPENDENCYPART_ARC
(8,11),-0.325575 # DEPENDENCYPART_ARC
(8,12),-1.1663 # DEPENDENCYPART_ARC
(8,13),-0.467733 # DEPENDENCYPART_ARC
(8,14),-0.432215 # DEPENDENCYPART_ARC
(8,17),-0.939171 # DEPENDENCYPART_ARC
(8,18),-0.842323 # DEPENDENCYPART_ARC
(10,1),-0.517325 # DEPENDENCYPART_ARC
(10,2),-0.566576 # DEPENDENCYPART_ARC
(10,4),-0.490076 # DEPENDENCYPART_ARC
(10,5),-0.304128 # DEPENDENCYPART_ARC
(10,6),-0.170716 # DEPENDENCYPART_ARC
(10,7),0.457719 # DEPENDENCYPART_ARC
(10,8),-0.0676979 # DEPENDENCYPART_ARC
(10,11),-0.268375 # DEPENDENCYPART_ARC
(10,12),-0.134357 # DEPENDENCYPART_ARC
(10,13),0.122576 # DEPENDENCYPART_ARC
(10,14),-0.346781 # DEPENDENCYPART_ARC
(10,18),-0.651011 # DEPENDENCYPART_ARC
(11,8),-0.720789 # DEPENDENCYPART_ARC
(11,10),0.627034 # DEPENDENCYPART_ARC
(11,12),2.71526 # DEPENDENCYPART_ARC
(11,13),0.812528 # DEPENDENCYPART_ARC
(11,14),0.23946 # DEPENDENCYPART_ARC
(11,17),-1.05644 # DEPENDENCYPART_ARC
(11,18),-0.489996 # DEPENDENCYPART_ARC
(12,1),-3.01485 # DEPENDENCYPART_ARC
(12,9),-2.27732 # DEPENDENCYPART_ARC
(12,10),-0.141106 # DEPENDENCYPART_ARC
(12,13),-0.170874 # DEPENDENCYPART_ARC
(12,14),-0.334414 # DEPENDENCYPART_ARC
(12,15),-1.0626 # DEPENDENCYPART_ARC
(12,17),-0.58249 # DEPENDENCYPART_ARC
(13,1),-1.16739 # DEPENDENCYPART_ARC
(13,4),-1.23697 # DEPENDENCYPART_ARC
(13,5),-0.638633 # DEPENDENCYPART_ARC
(13,6),-0.408119 # DEPENDENCYPART_ARC
(13,7),-0.358226 # DEPENDENCYPART_ARC
(13,8),-0.344432 # DEPENDENCYPART_ARC
(13,10),-0.150528 # DEPENDENCYPART_ARC
(13,11),-0.45919 # DEPENDENCYPART_ARC
(13,12),-0.0884768 # DEPENDENCYPART_ARC
(13,18),-0.82909 # DEPENDENCYPART_ARC
(14,1),0.0897015 # DEPENDENCYPART_ARC
(14,2),-0.632355 # DEPENDENCYPART_ARC
(14,4),1.14595 # DEPENDENCYPART_ARC
(14,5),-0.166289 # DEPENDENCYPART_ARC
(14,6),-0.312968 # DEPENDENCYPART_ARC
(14,7),-0.184569 # DEPENDENCYPART_ARC
(14,8),0.200095 # DEPENDENCYPART_ARC
(14,10),0.587241 # DEPENDENCYPART_ARC
(14,11),0.41606 # DEPENDENCYPART_ARC
(14,12),0.58573 # DEPENDENCYPART_ARC
(14,13),1.61489 # DEPENDENCYPART_ARC
(14,15),0.652899 # DEPENDENCYPART_ARC
(14,17),1.58417 # DEPENDENCYPART_ARC
(14,18),0.900623 # DEPENDENCYPART_ARC
(15,17),0.0414104 # DEPENDENCYPART_ARC
(17,1),-3.35089 # DEPENDENCYPART_ARC
(17,2),-1.89817 # DEPENDENCYPART_ARC
(17,4),-2.49041 # DEPENDENCYPART_ARC
(17,5),-1.46145 # DEPENDENCYPART_ARC
(17,6),-1.24398 # DEPENDENCYPART_ARC
(17,7),-0.125625 # DEPENDENCYPART_ARC
(17,8),-2.09994 # DEPENDENCYPART_ARC
(17,10),0.716287 # DEPENDENCYPART_ARC
(17,11),0.477152 # DEPENDENCYPART_ARC
(17,12),-0.920581 # DEPENDENCYPART_ARC
(17,13),0.816346 # DEPENDENCYPART_ARC
(17,14),0.684269 # DEPENDENCYPART_ARC
(17,15),2.30079 # DEPENDENCYPART_ARC
(17,16),4.11899 # DEPENDENCYPART_ARC
(17,18),0.34367 # DEPENDENCYPART_ARC
(18,1),-3.07447 # DEPENDENCYPART_ARC
(18,16),-2.27316 # DEPENDENCYPART_ARC
(18,17),-2.02765 # DEPENDENCYPART_ARC
