# _root_ Τα τελευταία χρόνια , η δημιουργία Συνεδριακού Κέντρου , δυναμικότητας 1000 συνέδρων έδωσε σημαντική ώθηση στην τουριστική ανάπτυξη της περιοχής .
#goldHeads=3,3,13,13,6,13,8,6,13,8,12,10,0,15,13,13,18,16,20,18,0,
#predictedHeads=3,3,4,13,6,13,8,6,13,8,12,10,0,15,13,13,18,16,20,18,0,
(0,2),-0.823356 # DEPENDENCYPART_ARC
(0,3),-0.548887 # DEPENDENCYPART_ARC
(0,4),-0.466768 # DEPENDENCYPART_ARC
(0,6),-1.38906 # DEPENDENCYPART_ARC
(0,7),-1.58875 # DEPENDENCYPART_ARC
(0,8),-1.59884 # DEPENDENCYPART_ARC
(0,9),-0.221147 # DEPENDENCYPART_ARC
(0,10),-1.21569 # DEPENDENCYPART_ARC
(0,11),-1.18924 # DEPENDENCYPART_ARC
(0,12),-1.5365 # DEPENDENCYPART_ARC
(0,13),0.755752 # DEPENDENCYPART_ARC
(0,14),-1.64547 # DEPENDENCYPART_ARC
(0,15),-1.98194 # DEPENDENCYPART_ARC
(0,20),-2.46924 # DEPENDENCYPART_ARC
(0,21),3.15161 # DEPENDENCYPART_ARC
(1,3),-0.217981 # DEPENDENCYPART_ARC
(2,1),1.49158 # DEPENDENCYPART_ARC
(2,3),0.173505 # DEPENDENCYPART_ARC
(2,4),-0.578902 # DEPENDENCYPART_ARC
(2,6),-1.29145 # DEPENDENCYPART_ARC
(2,8),-0.408794 # DEPENDENCYPART_ARC
(3,1),3.78903 # DEPENDENCYPART_ARC
(3,2),3.83261 # DEPENDENCYPART_ARC
(3,4),-0.169704 # DEPENDENCYPART_ARC
(3,5),-1.17127 # DEPENDENCYPART_ARC
(3,6),-0.956056 # DEPENDENCYPART_ARC
(3,7),-0.962537 # DEPENDENCYPART_ARC
(3,8),-0.162098 # DEPENDENCYPART_ARC
(3,9),-0.375495 # DEPENDENCYPART_ARC
(3,11),-1.12806 # DEPENDENCYPART_ARC
(3,13),-2.57705 # DEPENDENCYPART_ARC
(4,2),-0.377221 # DEPENDENCYPART_ARC
