# _root_ Στο σημείο των εκβολών του , στο Ιόνιο , δημιουργείται το δέλτα του ποταμού .
#goldHeads=6,1,4,2,4,10,6,7,10,0,12,10,14,12,0,
#predictedHeads=10,1,4,2,4,10,10,7,10,0,12,10,14,12,0,
(0,1),-1.12059 # DEPENDENCYPART_ARC
(0,2),-0.502089 # DEPENDENCYPART_ARC
(0,4),-1.28735 # DEPENDENCYPART_ARC
(0,6),-0.292854 # DEPENDENCYPART_ARC
(0,7),-0.9401 # DEPENDENCYPART_ARC
(0,8),-0.895155 # DEPENDENCYPART_ARC
(0,9),-0.641272 # DEPENDENCYPART_ARC
(0,10),1.22874 # DEPENDENCYPART_ARC
(0,12),-1.75408 # DEPENDENCYPART_ARC
(0,14),-2.00985 # DEPENDENCYPART_ARC
(0,15),2.46503 # DEPENDENCYPART_ARC
(1,2),3.44029 # DEPENDENCYPART_ARC
(1,4),-1.46775 # DEPENDENCYPART_ARC
(1,6),-0.248003 # DEPENDENCYPART_ARC
(2,1),-0.43748 # DEPENDENCYPART_ARC
(2,3),0.021928 # DEPENDENCYPART_ARC
(2,4),1.61906 # DEPENDENCYPART_ARC
(2,6),-0.216112 # DEPENDENCYPART_ARC
(2,7),-0.423276 # DEPENDENCYPART_ARC
(2,8),-1.23278 # DEPENDENCYPART_ARC
(2,9),-0.302521 # DEPENDENCYPART_ARC
(2,10),-0.97111 # DEPENDENCYPART_ARC
(2,12),-2.50391 # DEPENDENCYPART_ARC
(2,14),-1.22941 # DEPENDENCYPART_ARC
(2,15),-0.319915 # DEPENDENCYPART_ARC
(3,4),0.466613 # DEPENDENCYPART_ARC
(4,2),-2.26917 # DEPENDENCYPART_ARC
(4,3),3.40499 # DEPENDENCYPART_ARC
(4,5),2.40516 # DEPENDENCYPART_ARC
(4,6),-0.297971 # DEPENDENCYPART_ARC
(4,7),-0.115041 # DEPENDENCYPART_ARC
(4,8),-1.21922 # DEPENDENCYPART_ARC
(4,9),-0.315329 # DEPENDENCYPART_ARC
(4,10),-0.996138 # DEPENDENCYPART_ARC
(4,12),-3.12676 # DEPENDENCYPART_ARC
(4,14),-1.58015 # DEPENDENCYPART_ARC
(4,15),-0.578495 # DEPENDENCYPART_ARC
(6,1),-0.411167 # DEPENDENCYPART_ARC
(6,2),-0.158167 # DEPENDENCYPART_ARC
(6,4),-0.253899 # DEPENDENCYPART_ARC
(6,7),-0.44243 # DEPENDENCYPART_ARC
(6,8),-0.188282 # DEPENDENCYPART_ARC
(6,9),0.0734617 # DEPENDENCYPART_ARC
(6,10),-0.793972 # DEPENDENCYPART_ARC
(6,12),-1.63604 # DEPENDENCYPART_ARC
(6,14),-1.57897 # DEPENDENCYPART_ARC
(6,15),-0.800149 # DEPENDENCYPART_ARC
(7,6),0.123607 # DEPENDENCYPART_ARC
(7,8),3.20594 # DEPENDENCYPART_ARC
(7,9),0.655513 # DEPENDENCYPART_ARC
(7,10),-1.88217 # DEPENDENCYPART_ARC
(8,3),-2.14835 # DEPENDENCYPART_ARC
(8,4),-3.17896 # DEPENDENCYPART_ARC
(8,5),-1.906 # DEPENDENCYPART_ARC
(8,6),-0.579507 # DEPENDENCYPART_ARC
(8,7),-0.335411 # DEPENDENCYPART_ARC
(8,9),-0.103889 # DEPENDENCYPART_ARC
(8,10),-0.578616 # DEPENDENCYPART_ARC
