# _root_ Η Κέρκυρα περιήλθε σε Βρετανική κυριαρχία το 1815 , μετά το Βατερλώ , και από τότε άρχισε να διαμορφώνεται ο σημερινός χαρακτήρας του νησιού .
#goldHeads=2,3,14,3,6,4,8,3,3,3,12,10,3,0,17,15,14,19,17,22,22,19,24,22,0,
#predictedHeads=2,3,0,3,6,4,8,6,12,12,12,14,14,0,17,15,14,19,17,22,22,19,24,22,0,
(0,2),-1.19001 # DEPENDENCYPART_ARC
(0,3),0.675047 # DEPENDENCYPART_ARC
(0,8),-1.44615 # DEPENDENCYPART_ARC
(0,9),-0.753965 # DEPENDENCYPART_ARC
(0,12),-0.247495 # DEPENDENCYPART_ARC
(0,13),-0.479706 # DEPENDENCYPART_ARC
(0,14),-0.18748 # DEPENDENCYPART_ARC
(0,15),-1.4489 # DEPENDENCYPART_ARC
(0,17),-0.110983 # DEPENDENCYPART_ARC
(0,19),-1.26781 # DEPENDENCYPART_ARC
(0,25),3.82798 # DEPENDENCYPART_ARC
(2,1),2.99676 # DEPENDENCYPART_ARC
(2,3),-1.37956 # DEPENDENCYPART_ARC
(2,4),-1.41466 # DEPENDENCYPART_ARC
(2,5),-2.88751 # DEPENDENCYPART_ARC
(3,1),-1.02094 # DEPENDENCYPART_ARC
(3,2),2.7192 # DEPENDENCYPART_ARC
(3,4),1.89987 # DEPENDENCYPART_ARC
(3,5),-0.163835 # DEPENDENCYPART_ARC
(3,6),0.00149959 # DEPENDENCYPART_ARC
(3,8),-0.0579702 # DEPENDENCYPART_ARC
(3,9),0.50141 # DEPENDENCYPART_ARC
(3,10),0.592048 # DEPENDENCYPART_ARC
(3,12),-1.82284 # DEPENDENCYPART_ARC
(3,13),-0.278234 # DEPENDENCYPART_ARC
(3,14),-0.462385 # DEPENDENCYPART_ARC
(3,15),-1.46049 # DEPENDENCYPART_ARC
(3,16),-1.48459 # DEPENDENCYPART_ARC
(3,17),-4.98827 # DEPENDENCYPART_ARC
(3,19),-3.77249 # DEPENDENCYPART_ARC
(3,22),-3.40971 # DEPENDENCYPART_ARC
(3,24),-4.91424 # DEPENDENCYPART_ARC
(3,25),-0.30444 # DEPENDENCYPART_ARC
(4,3),-0.3329 # DEPENDENCYPART_ARC
(4,5),0.996972 # DEPENDENCYPART_ARC
(4,6),2.56484 # DEPENDENCYPART_ARC
(4,9),-0.218179 # DEPENDENCYPART_ARC
(4,13),-0.725054 # DEPENDENCYPART_ARC
(4,14),-1.04147 # DEPENDENCYPART_ARC
(5,4),-0.45857 # DEPENDENCYPART_ARC
(5,6),0.284801 # DEPENDENCYPART_ARC
(5,8),-0.317967 # DEPENDENCYPART_ARC
(5,10),-0.717356 # DEPENDENCYPART_ARC
(5,14),-0.780404 # DEPENDENCYPART_ARC
(5,15),-0.975525 # DEPENDENCYPART_ARC
(6,1),0.470993 # DEPENDENCYPART_ARC
(6,2),-1.4338 # DEPENDENCYPART_ARC
(6,3),-1.71747 # DEPENDENCYPART_ARC
(6,4),0.225033 # DEPENDENCYPART_ARC
(6,5),3.13483 # DEPENDENCYPART_ARC
(6,7),-0.231524 # DEPENDENCYPART_ARC
(6,8),0.542626 # DEPENDENCYPART_ARC
(6,9),-0.0773482 # DEPENDENCYPART_ARC
(6,10),-0.271805 # DEPENDENCYPART_ARC
(6,12),-0.581302 # DEPENDENCYPART_ARC
(6,14),-0.394272 # DEPENDENCYPART_ARC
(6,15),-1.66192 # DEPENDENCYPART_ARC
(6,16),-1.10739 # DEPENDENCYPART_ARC
(6,17),-1.63268 # DEPENDENCYPART_ARC
(6,19),-2.26528 # DEPENDENCYPART_ARC
(7,14),-0.562021 # DEPENDENCYPART_ARC
(8,6),-0.149947 # DEPENDENCYPART_ARC
(8,7),2.33201 # DEPENDENCYPART_ARC
(8,9),0.115129 # DEPENDENCYPART_ARC
(8,10),-0.396013 # DEPENDENCYPART_ARC
(9,2),-0.898166 # DEPENDENCYPART_ARC
(9,3),-0.800427 # DEPENDENCYPART_ARC
(9,4),-0.297108 # DEPENDENCYPART_ARC
(9,5),-0.539396 # DEPENDENCYPART_ARC
(9,6),-0.414646 # DEPENDENCYPART_ARC
(9,8),-0.114724 # DEPENDENCYPART_ARC
(9,10),-0.338628 # DEPENDENCYPART_ARC
(9,12),-0.582157 # DEPENDENCYPART_ARC
(10,9),0.603477 # DEPENDENCYPART_ARC
(10,11),0.0619303 # DEPENDENCYPART_ARC
(10,12),0.812638 # DEPENDENCYPART_ARC
(10,13),0.175455 # DEPENDENCYPART_ARC
(10,14),-0.32098 # DEPENDENCYPART_ARC
(10,16),-0.319826 # DEPENDENCYPART_ARC
(10,17),-1.46314 # DEPENDENCYPART_ARC
(12,2),-0.0496192 # DEPENDENCYPART_ARC
(12,3),-2.77563 # DEPENDENCYPART_ARC
(12,4),0.0521799 # DEPENDENCYPART_ARC
(12,5),-1.17842 # DEPENDENCYPART_ARC
(12,6),-1.00072 # DEPENDENCYPART_ARC
(12,7),-0.140302 # DEPENDENCYPART_ARC
(12,8),-0.153251 # DEPENDENCYPART_ARC
(12,9),1.04709 # DEPENDENCYPART_ARC
(12,10),1.21238 # DEPENDENCYPART_ARC
(12,11),1.18809 # DEPENDENCYPART_ARC
(12,13),0.569024 # DEPENDENCYPART_ARC
(12,14),0.378729 # DEPENDENCYPART_ARC
(12,15),0.0916229 # DEPENDENCYPART_ARC
(12,16),-0.261675 # DEPENDENCYPART_ARC
(12,17),-1.45958 # DEPENDENCYPART_ARC
(12,19),-3.23221 # DEPENDENCYPART_ARC
(12,22),-2.24623 # DEPENDENCYPART_ARC
(12,24),-4.34004 # DEPENDENCYPART_ARC
(13,2),-1.5087 # DEPENDENCYPART_ARC
(13,3),-1.35076 # DEPENDENCYPART_ARC
(13,4),-0.870229 # DEPENDENCYPART_ARC
(13,5),-1.00479 # DEPENDENCYPART_ARC
(13,6),-1.29661 # DEPENDENCYPART_ARC
(13,8),-0.953704 # DEPENDENCYPART_ARC
(13,10),-0.409186 # DEPENDENCYPART_ARC
(13,12),-0.374906 # DEPENDENCYPART_ARC
(13,15),-0.890665 # DEPENDENCYPART_ARC
(13,17),-1.19344 # DEPENDENCYPART_ARC
(14,2),-1.04336 # DEPENDENCYPART_ARC
(14,3),0.0455973 # DEPENDENCYPART_ARC
(14,4),0.0357437 # DEPENDENCYPART_ARC
(14,5),-0.278807 # DEPENDENCYPART_ARC
(14,6),-0.322232 # DEPENDENCYPART_ARC
(14,8),-0.226098 # DEPENDENCYPART_ARC
(14,9),-0.0367501 # DEPENDENCYPART_ARC
(14,10),0.385491 # DEPENDENCYPART_ARC
(14,11),0.0102662 # DEPENDENCYPART_ARC
(14,12),0.794283 # DEPENDENCYPART_ARC
(14,13),1.20589 # DEPENDENCYPART_ARC
(14,15),0.889959 # DEPENDENCYPART_ARC
(14,16),0.4938 # DEPENDENCYPART_ARC
