# _root_ Σε αυτό εκτίθενται ευρήματα από τον προϊστορικό οικισμό στο Ντικιλί Τας , την ελληνιστική , ρωμαϊκή και παλιοχριστιανική πόλη των Φιλίππων .
#goldHeads=3,1,0,3,4,8,8,12,8,9,10,5,14,17,17,17,19,17,12,21,19,0,
#predictedHeads=3,1,0,3,4,8,8,5,8,9,14,17,19,17,17,17,19,17,10,21,19,0,
(0,1),-1.33163 # DEPENDENCYPART_ARC
(0,2),-0.97133 # DEPENDENCYPART_ARC
(0,3),0.276903 # DEPENDENCYPART_ARC
(0,4),-1.659 # DEPENDENCYPART_ARC
(0,5),-1.69584 # DEPENDENCYPART_ARC
(0,7),-2.03615 # DEPENDENCYPART_ARC
(0,9),-1.42622 # DEPENDENCYPART_ARC
(0,12),-1.27448 # DEPENDENCYPART_ARC
(0,14),-1.78711 # DEPENDENCYPART_ARC
(0,15),-1.02045 # DEPENDENCYPART_ARC
(0,16),-2.0089 # DEPENDENCYPART_ARC
(0,17),-1.10732 # DEPENDENCYPART_ARC
(0,18),-1.89474 # DEPENDENCYPART_ARC
(0,19),-2.03912 # DEPENDENCYPART_ARC
(0,21),-2.08495 # DEPENDENCYPART_ARC
(0,22),2.91745 # DEPENDENCYPART_ARC
(1,2),2.06784 # DEPENDENCYPART_ARC
(1,3),0.743351 # DEPENDENCYPART_ARC
(1,4),0.523493 # DEPENDENCYPART_ARC
(1,8),-1.23974 # DEPENDENCYPART_ARC
(1,15),-0.333081 # DEPENDENCYPART_ARC
(1,17),-1.44755 # DEPENDENCYPART_ARC
(2,3),-0.667677 # DEPENDENCYPART_ARC
(2,4),-0.256052 # DEPENDENCYPART_ARC
(3,1),1.61255 # DEPENDENCYPART_ARC
(3,2),1.02323 # DEPENDENCYPART_ARC
(3,4),2.75753 # DEPENDENCYPART_ARC
(3,5),0.701137 # DEPENDENCYPART_ARC
(3,7),-2.42568 # DEPENDENCYPART_ARC
(3,8),-0.708918 # DEPENDENCYPART_ARC
(3,9),-0.271262 # DEPENDENCYPART_ARC
(3,10),-2.62801 # DEPENDENCYPART_ARC
(3,12),-0.136645 # DEPENDENCYPART_ARC
(3,15),-0.176644 # DEPENDENCYPART_ARC
(3,17),-0.105823 # DEPENDENCYPART_ARC
(3,19),-2.89537 # DEPENDENCYPART_ARC
(3,22),-0.421386 # DEPENDENCYPART_ARC
(4,1),-0.688279 # DEPENDENCYPART_ARC
(4,2),0.327229 # DEPENDENCYPART_ARC
(4,3),-0.277665 # DEPENDENCYPART_ARC
(4,5),1.28893 # DEPENDENCYPART_ARC
(4,6),-0.741986 # DEPENDENCYPART_ARC
(4,7),-0.71196 # DEPENDENCYPART_ARC
(4,8),-0.615265 # DEPENDENCYPART_ARC
(4,9),0.168593 # DEPENDENCYPART_ARC
(4,10),-1.93729 # DEPENDENCYPART_ARC
(4,12),0.00763114 # DEPENDENCYPART_ARC
(4,17),-0.145974 # DEPENDENCYPART_ARC
(4,22),0.329245 # DEPENDENCYPART_ARC
(5,1),-0.79495 # DEPENDENCYPART_ARC
(5,3),-0.82045 # DEPENDENCYPART_ARC
(5,4),-1.01829 # DEPENDENCYPART_ARC
(5,6),0.186734 # DEPENDENCYPART_ARC
(5,7),1.20958 # DEPENDENCYPART_ARC
(5,8),1.66859 # DEPENDENCYPART_ARC
(5,10),0.754275 # DEPENDENCYPART_ARC
(5,12),0.0883308 # DEPENDENCYPART_ARC
(5,15),-0.21036 # DEPENDENCYPART_ARC
(5,17),-0.623855 # DEPENDENCYPART_ARC
(5,22),-0.714828 # DEPENDENCYPART_ARC
(7,4),-0.519864 # DEPENDENCYPART_ARC
(7,5),-0.396967 # DEPENDENCYPART_ARC
(7,6),0.610045 # DEPENDENCYPART_ARC
(7,8),0.0824866 # DEPENDENCYPART_ARC
(7,9),-0.614856 # DEPENDENCYPART_ARC
(7,10),-1.37836 # DEPENDENCYPART_ARC
(7,17),-0.554938 # DEPENDENCYPART_ARC
(8,1),-0.7944 # DEPENDENCYPART_ARC
(8,2),-0.103888 # DEPENDENCYPART_ARC
(8,3),-2.11154 # DEPENDENCYPART_ARC
(8,4),-1.79295 # DEPENDENCYPART_ARC
(8,5),-0.205796 # DEPENDENCYPART_ARC
(8,6),2.76935 # DEPENDENCYPART_ARC
(8,7),3.2454 # DEPENDENCYPART_ARC
(8,9),1.24857 # DEPENDENCYPART_ARC
(8,10),0.429777 # DEPENDENCYPART_ARC
(8,12),-0.134134 # DEPENDENCYPART_ARC
(8,14),-0.79012 # DEPENDENCYPART_ARC
(8,17),-0.114884 # DEPENDENCYPART_ARC
(9,7),-0.884894 # DEPENDENCYPART_ARC
(9,10),3.0558 # DEPENDENCYPART_ARC
(9,12),-0.160992 # DEPENDENCYPART_ARC
(10,1),-2.16451 # DEPENDENCYPART_ARC
(10,5),-1.83636 # DEPENDENCYPART_ARC
(10,6),-0.183427 # DEPENDENCYPART_ARC
(10,7),-0.883676 # DEPENDENCYPART_ARC
(10,8),-0.668312 # DEPENDENCYPART_ARC
(10,9),-0.569401 # DEPENDENCYPART_ARC
(10,11),0.030831 # DEPENDENCYPART_ARC
(10,12),-0.313882 # DEPENDENCYPART_ARC
(10,14),-0.26165 # DEPENDENCYPART_ARC
(10,15),-0.635265 # DEPENDENCYPART_ARC
(10,16),-0.449748 # DEPENDENCYPART_ARC
(10,17),-0.372689 # DEPENDENCYPART_ARC
(10,19),-1.089 # DEPENDENCYPART_ARC
(12,1),-1.06586 # DEPENDENCYPART_ARC
(12,3),-1.01581 # DEPENDENCYPART_ARC
(12,4),-0.679509 # DEPENDENCYPART_ARC
(12,5),-0.33845 # DEPENDENCYPART_ARC
(12,7),-0.72031 # DEPENDENCYPART_ARC
(12,8),-0.373548 # DEPENDENCYPART_ARC
(12,9),-0.184218 # DEPENDENCYPART_ARC
(12,10),-0.357524 # DEPENDENCYPART_ARC
(12,14),-0.317902 # DEPENDENCYPART_ARC
(12,15),0.212248 # DEPENDENCYPART_ARC
(12,16),-0.490606 # DEPENDENCYPART_ARC
(12,18),-0.508655 # DEPENDENCYPART_ARC
(12,19),-0.927835 # DEPENDENCYPART_ARC
(12,21),-0.718292 # DEPENDENCYPART_ARC
(12,22),0.0257174 # DEPENDENCYPART_ARC
(14,8),-1.40749 # DEPENDENCYPART_ARC
(14,10),-0.884366 # DEPENDENCYPART_ARC
(14,11),0.478467 # DEPENDENCYPART_ARC
(14,12),-0.103026 # DEPENDENCYPART_ARC
(14,13),1.20826 # DEPENDENCYPART_ARC
(14,15),0.0705655 # DEPENDENCYPART_ARC
(14,16),-1.09594 # DEPENDENCYPART_ARC
(15,3),-0.878219 # DEPENDENCYPART_ARC
(15,4),-0.429629 # DEPENDENCYPART_ARC
(15,5),-0.110239 # DEPENDENCYPART_ARC
(15,7),-0.264418 # DEPENDENCYPART_ARC
(15,8),-0.165537 # DEPENDENCYPART_ARC
(15,9),-0.0280444 # DEPENDENCYPART_ARC
(15,10),-0.147767 # DEPENDENCYPART_ARC
(15,12),0.115172 # DEPENDENCYPART_ARC
(15,14),0.553831 # DEPENDENCYPART_ARC
(15,16),0.572389 # DEPENDENCYPART_ARC
(15,17),-0.0309575 # DEPENDENCYPART_ARC
(15,18),0.143504 # DEPENDENCYPART_ARC
(15,19),-0.430159 # DEPENDENCYPART_ARC
(15,21),-0.347883 # DEPENDENCYPART_ARC
(15,22),0.288675 # DEPENDENCYPART_ARC
(16,13),0.150736 # DEPENDENCYPART_ARC
(16,14),0.0683244 # DEPENDENCYPART_ARC
(16,15),0.201218 # DEPENDENCYPART_ARC
(16,18),-1.05412 # DEPENDENCYPART_ARC
(16,19),-0.796701 # DEPENDENCYPART_ARC
(16,22),-0.0309109 # DEPENDENCYPART_ARC
(17,1),-0.934963 # DEPENDENCYPART_ARC
(17,3),-0.928882 # DEPENDENCYPART_ARC
(17,4),-0.0199889 # DEPENDENCYPART_ARC
(17,5),-0.513662 # DEPENDENCYPART_ARC
(17,7),0.396114 # DEPENDENCYPART_ARC
(17,8),0.291352 # DEPENDENCYPART_ARC
(17,9),-0.219794 # DEPENDENCYPART_ARC
(17,10),0.794011 # DEPENDENCYPART_ARC
(17,11),-0.243792 # DEPENDENCYPART_ARC
(17,12),0.506635 # DEPENDENCYPART_ARC
(17,13),0.065823 # DEPENDENCYPART_ARC
(17,14),1.6028 # DEPENDENCYPART_ARC
(17,15),1.4111 # DEPENDENCYPART_ARC
(17,16),2.39846 # DEPENDENCYPART_ARC
(17,18),3.76017 # DEPENDENCYPART_ARC
(17,19),0.352443 # DEPENDENCYPART_ARC
(17,21),0.311643 # DEPENDENCYPART_ARC
(17,22),-0.207715 # DEPENDENCYPART_ARC
(18,16),0.107886 # DEPENDENCYPART_ARC
(18,19),-0.291355 # DEPENDENCYPART_ARC
(18,21),-0.838725 # DEPENDENCYPART_ARC
(19,11),-0.102011 # DEPENDENCYPART_ARC
(19,13),1.25566 # DEPENDENCYPART_ARC
(19,14),0.296667 # DEPENDENCYPART_ARC
(19,15),-0.310558 # DEPENDENCYPART_ARC
(19,16),0.150334 # DEPENDENCYPART_ARC
(19,17),1.62674 # DEPENDENCYPART_ARC
(19,18),2.29291 # DEPENDENCYPART_ARC
(19,20),0.640426 # DEPENDENCYPART_ARC
(19,21),0.693979 # DEPENDENCYPART_ARC
(19,22),0.349826 # DEPENDENCYPART_ARC
(21,19),-2.04158 # DEPENDENCYPART_ARC
(21,20),2.21969 # DEPENDENCYPART_ARC
(21,22),0.184307 # DEPENDENCYPART_ARC
(22,3),-3.01068 # DEPENDENCYPART_ARC
(22,14),-2.52293 # DEPENDENCYPART_ARC
(22,16),-2.33339 # DEPENDENCYPART_ARC
(22,18),-2.19994 # DEPENDENCYPART_ARC
(22,19),-2.07751 # DEPENDENCYPART_ARC
(22,21),-1.67594 # DEPENDENCYPART_ARC
