# _root_ Σημειώνεται πάντως ότι το " νέο , ευέλικτο Σύμφωνο Σταθερότητας " δίνει μεγαλύτερη έμφαση στο δημόσιο χρέος , κάτι το οποίο δεν ευνοεί χώρες όπως η Ελλάδα .
#goldHeads=0,1,1,9,9,7,9,7,12,9,9,3,14,12,12,17,15,12,3,21,23,23,19,23,24,27,24,0,
#predictedHeads=0,1,1,9,6,7,12,9,7,9,12,3,14,12,12,17,15,23,23,21,23,23,14,23,24,27,23,0,
(0,1),0.446426 # DEPENDENCYPART_ARC
(0,2),-1.4135 # DEPENDENCYPART_ARC
(0,3),-1.50047 # DEPENDENCYPART_ARC
(0,5),-0.654135 # DEPENDENCYPART_ARC
(0,6),-2.0532 # DEPENDENCYPART_ARC
(0,7),-0.428742 # DEPENDENCYPART_ARC
(0,12),0.281816 # DEPENDENCYPART_ARC
(0,18),-0.692269 # DEPENDENCYPART_ARC
(0,19),-2.40546 # DEPENDENCYPART_ARC
(0,23),-1.5385 # DEPENDENCYPART_ARC
(0,24),-1.82769 # DEPENDENCYPART_ARC
(0,28),3.24523 # DEPENDENCYPART_ARC
(1,2),1.66593 # DEPENDENCYPART_ARC
(1,3),1.2945 # DEPENDENCYPART_ARC
(1,5),0.194971 # DEPENDENCYPART_ARC
(1,6),0.541668 # DEPENDENCYPART_ARC
(1,7),0.150567 # DEPENDENCYPART_ARC
(1,8),-1.83916 # DEPENDENCYPART_ARC
(1,9),-0.869917 # DEPENDENCYPART_ARC
(1,10),-1.88522 # DEPENDENCYPART_ARC
(1,11),0.0645057 # DEPENDENCYPART_ARC
(1,12),-3.1119 # DEPENDENCYPART_ARC
(1,14),-1.22123 # DEPENDENCYPART_ARC
(1,15),-1.39695 # DEPENDENCYPART_ARC
(1,17),-2.25284 # DEPENDENCYPART_ARC
(1,18),-0.790438 # DEPENDENCYPART_ARC
(1,24),-3.00715 # DEPENDENCYPART_ARC
(1,25),-1.65269 # DEPENDENCYPART_ARC
(1,27),-2.40449 # DEPENDENCYPART_ARC
(2,1),-0.271073 # DEPENDENCYPART_ARC
(2,3),0.148116 # DEPENDENCYPART_ARC
(2,5),-0.663404 # DEPENDENCYPART_ARC
(2,12),-1.65977 # DEPENDENCYPART_ARC
(3,2),-0.246528 # DEPENDENCYPART_ARC
