# _root_ Μιλώντας στην 46η επέτειο από την εξέγερση των κατοίκων του Θιβέτ , ο Δαλάι Λάμα είπε ότι η εικόνα της Κίνας δέχεται πλήγματα από αντιδημοκρατικές συμπεριφορές , καταπάτηση των ανθρωπίνων δικαιωμάτων και ανισότητες στον τρόπο μεταχείρισης των μειονοτήτων .
#goldHeads=16,1,4,2,4,7,5,9,7,11,9,16,15,15,16,0,16,19,22,21,19,17,22,23,26,32,32,32,31,31,28,24,32,33,34,35,38,36,0,
#predictedHeads=16,1,4,2,1,7,5,9,7,11,9,16,15,15,16,0,16,19,22,21,19,17,22,22,26,24,32,32,31,31,32,22,32,28,34,35,38,36,0,
(0,1),-1.16965 # DEPENDENCYPART_ARC
(0,2),-1.80251 # DEPENDENCYPART_ARC
(0,3),-1.36398 # DEPENDENCYPART_ARC
(0,4),-1.37513 # DEPENDENCYPART_ARC
(0,5),-1.48687 # DEPENDENCYPART_ARC
(0,11),-2.10343 # DEPENDENCYPART_ARC
(0,16),0.492522 # DEPENDENCYPART_ARC
(0,17),-3.28965 # DEPENDENCYPART_ARC
(0,22),0.164363 # DEPENDENCYPART_ARC
(0,39),4.82218 # DEPENDENCYPART_ARC
(1,2),2.45463 # DEPENDENCYPART_ARC
(1,3),0.47724 # DEPENDENCYPART_ARC
(1,4),1.49969 # DEPENDENCYPART_ARC
(1,5),0.764014 # DEPENDENCYPART_ARC
(1,7),-0.726195 # DEPENDENCYPART_ARC
(1,9),-3.85731 # DEPENDENCYPART_ARC
(1,12),0.386101 # DEPENDENCYPART_ARC
(1,14),-0.215435 # DEPENDENCYPART_ARC
(1,15),-1.99486 # DEPENDENCYPART_ARC
(1,16),-4.93603 # DEPENDENCYPART_ARC
(1,17),-1.52008 # DEPENDENCYPART_ARC
(1,24),-0.94521 # DEPENDENCYPART_ARC
(1,27),-0.40561 # DEPENDENCYPART_ARC
(2,3),1.05762 # DEPENDENCYPART_ARC
(2,4),2.49975 # DEPENDENCYPART_ARC
(2,5),-0.406299 # DEPENDENCYPART_ARC
(3,1),-1.03022 # DEPENDENCYPART_ARC
(3,4),0.377642 # DEPENDENCYPART_ARC
(3,5),-0.23076 # DEPENDENCYPART_ARC
(3,7),-0.401283 # DEPENDENCYPART_ARC
(4,1),-1.55641 # DEPENDENCYPART_ARC
(4,2),1.03669 # DEPENDENCYPART_ARC
(4,3),2.05642 # DEPENDENCYPART_ARC
(4,5),0.594843 # DEPENDENCYPART_ARC
(4,6),-0.0602765 # DEPENDENCYPART_ARC
(4,7),-0.707458 # DEPENDENCYPART_ARC
(4,9),0.0532273 # DEPENDENCYPART_ARC
(4,11),-0.748713 # DEPENDENCYPART_ARC
(4,14),-0.481147 # DEPENDENCYPART_ARC
(4,16),-0.861132 # DEPENDENCYPART_ARC
(5,4),-1.07308 # DEPENDENCYPART_ARC
(5,6),-0.0220814 # DEPENDENCYPART_ARC
(5,7),2.25027 # DEPENDENCYPART_ARC
(5,9),0.0581596 # DEPENDENCYPART_ARC
(5,12),-0.382878 # DEPENDENCYPART_ARC
(5,17),-1.26535 # DEPENDENCYPART_ARC
(7,4),-1.06739 # DEPENDENCYPART_ARC
(7,5),-0.240044 # DEPENDENCYPART_ARC
(7,6),3.06617 # DEPENDENCYPART_ARC
(7,8),0.352434 # DEPENDENCYPART_ARC
(7,9),2.36811 # DEPENDENCYPART_ARC
(7,11),0.217115 # DEPENDENCYPART_ARC
(7,12),-0.106085 # DEPENDENCYPART_ARC
