# _root_ Πιο μακροπρόθεσμα , όταν η νομοθεσία αρχίσει να γίνεται περισσότερο σεβαστή , θα μπορέσει ίσως να αρθεί αυτή η απαγόρευση .
#goldHeads=2,14,4,14,6,9,4,9,7,11,9,14,14,0,14,17,14,20,20,17,0,
#predictedHeads=2,7,7,0,6,7,4,9,7,11,9,14,14,9,14,17,14,20,20,17,0,
(0,1),-0.72225 # DEPENDENCYPART_ARC
(0,2),-0.563984 # DEPENDENCYPART_ARC
(0,3),0.0745687 # DEPENDENCYPART_ARC
(0,4),-0.460972 # DEPENDENCYPART_ARC
(0,6),-1.04027 # DEPENDENCYPART_ARC
(0,7),-0.23828 # DEPENDENCYPART_ARC
(0,9),-1.03086 # DEPENDENCYPART_ARC
(0,10),-0.926278 # DEPENDENCYPART_ARC
(0,11),-1.62683 # DEPENDENCYPART_ARC
(0,12),-0.462943 # DEPENDENCYPART_ARC
(0,14),-1.9827 # DEPENDENCYPART_ARC
(0,15),-1.02262 # DEPENDENCYPART_ARC
(0,17),-1.78979 # DEPENDENCYPART_ARC
(0,18),-1.96674 # DEPENDENCYPART_ARC
(0,20),-1.61549 # DEPENDENCYPART_ARC
(0,21),3.25801 # DEPENDENCYPART_ARC
(1,2),0.181017 # DEPENDENCYPART_ARC
(1,3),0.0205501 # DEPENDENCYPART_ARC
(1,6),-0.827013 # DEPENDENCYPART_ARC
(1,7),-0.987261 # DEPENDENCYPART_ARC
(1,9),-1.42407 # DEPENDENCYPART_ARC
(1,10),-1.37719 # DEPENDENCYPART_ARC
(1,12),-0.713851 # DEPENDENCYPART_ARC
(1,14),-1.60164 # DEPENDENCYPART_ARC
(1,15),-1.38483 # DEPENDENCYPART_ARC
(1,17),-1.73835 # DEPENDENCYPART_ARC
(2,1),1.19483 # DEPENDENCYPART_ARC
(2,3),0.21572 # DEPENDENCYPART_ARC
(2,6),-0.966765 # DEPENDENCYPART_ARC
(2,7),-1.14639 # DEPENDENCYPART_ARC
(2,9),-1.75794 # DEPENDENCYPART_ARC
(3,1),-0.373728 # DEPENDENCYPART_ARC
(3,2),0.194749 # DEPENDENCYPART_ARC
(3,4),-0.378604 # DEPENDENCYPART_ARC
(3,6),-0.813795 # DEPENDENCYPART_ARC
(3,7),-1.05193 # DEPENDENCYPART_ARC
(3,11),-1.7552 # DEPENDENCYPART_ARC
(4,2),-0.343927 # DEPENDENCYPART_ARC
(4,3),0.83355 # DEPENDENCYPART_ARC
(4,5),0.333506 # DEPENDENCYPART_ARC
(4,7),2.265 # DEPENDENCYPART_ARC
(4,9),0.229468 # DEPENDENCYPART_ARC
(4,12),0.450661 # DEPENDENCYPART_ARC
(4,14),-0.758695 # DEPENDENCYPART_ARC
(4,17),-1.46301 # DEPENDENCYPART_ARC
(4,21),0.0262552 # DEPENDENCYPART_ARC
(6,1),-1.03316 # DEPENDENCYPART_ARC
(6,2),-0.902047 # DEPENDENCYPART_ARC
(6,3),-0.808721 # DEPENDENCYPART_ARC
(6,5),2.83993 # DEPENDENCYPART_ARC
(6,7),-0.30153 # DEPENDENCYPART_ARC
(6,8),-1.1071 # DEPENDENCYPART_ARC
(6,9),-1.86183 # DEPENDENCYPART_ARC
(6,10),-1.15398 # DEPENDENCYPART_ARC
(6,11),-1.67382 # DEPENDENCYPART_ARC
(7,1),0.879303 # DEPENDENCYPART_ARC
(7,2),0.568853 # DEPENDENCYPART_ARC
(7,3),1.07722 # DEPENDENCYPART_ARC
(7,4),0.867586 # DEPENDENCYPART_ARC
(7,5),0.342247 # DEPENDENCYPART_ARC
(7,6),2.31453 # DEPENDENCYPART_ARC
(7,8),0.599126 # DEPENDENCYPART_ARC
(7,9),1.67039 # DEPENDENCYPART_ARC
(7,10),1.15514 # DEPENDENCYPART_ARC
(7,11),-1.15577 # DEPENDENCYPART_ARC
(7,12),0.459965 # DEPENDENCYPART_ARC
(7,14),-0.71798 # DEPENDENCYPART_ARC
(7,15),-0.224284 # DEPENDENCYPART_ARC
(7,17),-0.408383 # DEPENDENCYPART_ARC
(7,20),-0.964145 # DEPENDENCYPART_ARC
(7,21),0.518186 # DEPENDENCYPART_ARC
(8,9),0.121864 # DEPENDENCYPART_ARC
(9,1),0.133363 # DEPENDENCYPART_ARC
(9,2),-0.363659 # DEPENDENCYPART_ARC
(9,3),-0.262687 # DEPENDENCYPART_ARC
(9,4),0.344091 # DEPENDENCYPART_ARC
(9,5),-1.6558 # DEPENDENCYPART_ARC
(9,6),1.83355 # DEPENDENCYPART_ARC
(9,7),-2.89681 # DEPENDENCYPART_ARC
(9,8),2.59443 # DEPENDENCYPART_ARC
(9,10),1.45367 # DEPENDENCYPART_ARC
(9,11),2.07877 # DEPENDENCYPART_ARC
(9,12),0.119961 # DEPENDENCYPART_ARC
(9,13),-0.545887 # DEPENDENCYPART_ARC
(9,14),0.261323 # DEPENDENCYPART_ARC
(9,15),-0.492928 # DEPENDENCYPART_ARC
(9,17),-1.3083 # DEPENDENCYPART_ARC
(9,20),-0.855761 # DEPENDENCYPART_ARC
(9,21),0.163503 # DEPENDENCYPART_ARC
(10,1),0.401693 # DEPENDENCYPART_ARC
(10,2),0.32148 # DEPENDENCYPART_ARC
(10,3),-0.225355 # DEPENDENCYPART_ARC
(10,6),-0.602263 # DEPENDENCYPART_ARC
(10,7),-0.986315 # DEPENDENCYPART_ARC
(10,9),-0.161073 # DEPENDENCYPART_ARC
(10,11),-0.423621 # DEPENDENCYPART_ARC
(10,12),-0.240301 # DEPENDENCYPART_ARC
(10,14),-2.35204 # DEPENDENCYPART_ARC
(10,15),-1.4764 # DEPENDENCYPART_ARC
(10,17),-3.33022 # DEPENDENCYPART_ARC
(11,6),-1.16628 # DEPENDENCYPART_ARC
(11,10),3.00827 # DEPENDENCYPART_ARC
(11,12),0.211219 # DEPENDENCYPART_ARC
(11,14),-0.93629 # DEPENDENCYPART_ARC
(11,15),-0.90081 # DEPENDENCYPART_ARC
(11,20),-2.72413 # DEPENDENCYPART_ARC
(12,3),-0.831698 # DEPENDENCYPART_ARC
(12,7),-0.735679 # DEPENDENCYPART_ARC
(12,9),-0.530665 # DEPENDENCYPART_ARC
(12,10),-0.401534 # DEPENDENCYPART_ARC
(12,11),-0.0694509 # DEPENDENCYPART_ARC
(12,14),-0.947424 # DEPENDENCYPART_ARC
(12,15),-1.07975 # DEPENDENCYPART_ARC
(12,17),-1.87253 # DEPENDENCYPART_ARC
(12,20),-1.81423 # DEPENDENCYPART_ARC
(14,1),0.273254 # DEPENDENCYPART_ARC
(14,2),-0.242088 # DEPENDENCYPART_ARC
(14,3),0.032075 # DEPENDENCYPART_ARC
(14,4),0.867453 # DEPENDENCYPART_ARC
(14,6),1.37061 # DEPENDENCYPART_ARC
(14,7),-3.45112 # DEPENDENCYPART_ARC
(14,9),-2.4719 # DEPENDENCYPART_ARC
(14,10),0.411143 # DEPENDENCYPART_ARC
(14,11),-1.34607 # DEPENDENCYPART_ARC
(14,12),0.963811 # DEPENDENCYPART_ARC
