# _root_ Οι οδηγίες οφείλουν , όπως αναφέρθηκε , να συμφωνούν μεταξύ τους .
#goldHeads=2,3,0,6,6,3,6,9,3,9,10,0,
#predictedHeads=2,3,0,6,6,0,6,9,6,9,10,0,
(0,2),-1.06724 # DEPENDENCYPART_ARC
(0,3),0.755178 # DEPENDENCYPART_ARC
(0,4),-0.464177 # DEPENDENCYPART_ARC
(0,5),-1.48809 # DEPENDENCYPART_ARC
(0,6),-0.333907 # DEPENDENCYPART_ARC
(0,7),-0.252708 # DEPENDENCYPART_ARC
(0,9),-1.1464 # DEPENDENCYPART_ARC
(0,10),-1.23767 # DEPENDENCYPART_ARC
(0,12),2.15653 # DEPENDENCYPART_ARC
(1,2),-0.0970147 # DEPENDENCYPART_ARC
(2,1),3.89535 # DEPENDENCYPART_ARC
(2,3),-0.486364 # DEPENDENCYPART_ARC
(2,4),-0.550751 # DEPENDENCYPART_ARC
(2,5),-0.826132 # DEPENDENCYPART_ARC
(2,6),-2.44951 # DEPENDENCYPART_ARC
(2,7),-0.756608 # DEPENDENCYPART_ARC
(2,9),-2.77361 # DEPENDENCYPART_ARC
(2,10),-1.29054 # DEPENDENCYPART_ARC
(2,12),-0.872385 # DEPENDENCYPART_ARC
(3,1),0.0883059 # DEPENDENCYPART_ARC
(3,2),2.55656 # DEPENDENCYPART_ARC
(3,4),0.632104 # DEPENDENCYPART_ARC
(3,5),0.758726 # DEPENDENCYPART_ARC
(3,6),-1.2471 # DEPENDENCYPART_ARC
(3,7),-0.174041 # DEPENDENCYPART_ARC
(3,9),-1.73268 # DEPENDENCYPART_ARC
(3,10),-0.745018 # DEPENDENCYPART_ARC
(3,12),-0.07922 # DEPENDENCYPART_ARC
(4,2),-1.03245 # DEPENDENCYPART_ARC
(4,3),-0.214552 # DEPENDENCYPART_ARC
(4,5),-0.417031 # DEPENDENCYPART_ARC
(4,6),-0.611558 # DEPENDENCYPART_ARC
(4,7),-0.218015 # DEPENDENCYPART_ARC
(4,9),-1.68023 # DEPENDENCYPART_ARC
(4,10),-1.21245 # DEPENDENCYPART_ARC
(4,12),-0.760945 # DEPENDENCYPART_ARC
(5,2),-0.610721 # DEPENDENCYPART_ARC
(5,3),-0.604186 # DEPENDENCYPART_ARC
(5,4),0.45232 # DEPENDENCYPART_ARC
(5,6),0.0205009 # DEPENDENCYPART_ARC
(5,7),-0.319233 # DEPENDENCYPART_ARC
(5,9),-1.40816 # DEPENDENCYPART_ARC
(5,10),-1.61751 # DEPENDENCYPART_ARC
(5,12),-0.967493 # DEPENDENCYPART_ARC
(6,1),-2.33199 # DEPENDENCYPART_ARC
(6,2),0.813852 # DEPENDENCYPART_ARC
(6,3),0.573106 # DEPENDENCYPART_ARC
(6,4),1.36459 # DEPENDENCYPART_ARC
(6,5),2.25688 # DEPENDENCYPART_ARC
(6,7),1.00397 # DEPENDENCYPART_ARC
(6,8),-0.0235358 # DEPENDENCYPART_ARC
(6,9),-0.790938 # DEPENDENCYPART_ARC
(6,10),-0.390514 # DEPENDENCYPART_ARC
(6,11),-4.55428 # DEPENDENCYPART_ARC
(6,12),-0.0416686 # DEPENDENCYPART_ARC
(7,2),-1.38311 # DEPENDENCYPART_ARC
(7,3),-1.10941 # DEPENDENCYPART_ARC
(7,4),-0.53152 # DEPENDENCYPART_ARC
(7,5),-0.836671 # DEPENDENCYPART_ARC
(7,6),-0.44597 # DEPENDENCYPART_ARC
(7,9),-0.813838 # DEPENDENCYPART_ARC
(7,10),-0.892925 # DEPENDENCYPART_ARC
(7,12),-0.599299 # DEPENDENCYPART_ARC
(8,9),0.277536 # DEPENDENCYPART_ARC
(9,2),0.450133 # DEPENDENCYPART_ARC
(9,3),-2.71359 # DEPENDENCYPART_ARC
(9,4),-0.227323 # DEPENDENCYPART_ARC
(9,5),0.329832 # DEPENDENCYPART_ARC
(9,6),-3.09824 # DEPENDENCYPART_ARC
(9,7),0.196942 # DEPENDENCYPART_ARC
(9,8),2.34867 # DEPENDENCYPART_ARC
(9,10),1.66484 # DEPENDENCYPART_ARC
(9,11),-1.9418 # DEPENDENCYPART_ARC
(9,12),0.586091 # DEPENDENCYPART_ARC
(10,2),-1.18749 # DEPENDENCYPART_ARC
(10,3),-1.29529 # DEPENDENCYPART_ARC
(10,4),-0.468079 # DEPENDENCYPART_ARC
(10,5),-0.854936 # DEPENDENCYPART_ARC
(10,6),-1.54353 # DEPENDENCYPART_ARC
(10,7),-0.299463 # DEPENDENCYPART_ARC
(10,9),-0.421357 # DEPENDENCYPART_ARC
(10,11),2.27577 # DEPENDENCYPART_ARC
(10,12),-0.0672379 # DEPENDENCYPART_ARC
(12,2),-3.21634 # DEPENDENCYPART_ARC
(12,3),-2.52051 # DEPENDENCYPART_ARC
(12,4),-2.16639 # DEPENDENCYPART_ARC
(12,5),-2.01271 # DEPENDENCYPART_ARC
(12,6),-2.42856 # DEPENDENCYPART_ARC
(12,7),-2.12056 # DEPENDENCYPART_ARC
(12,9),-2.10426 # DEPENDENCYPART_ARC
(12,10),-1.90661 # DEPENDENCYPART_ARC
(12,11),-1.6988 # DEPENDENCYPART_ARC
