# _root_ Ανησυχώ μήπως η διακρατική συνεργασία στον τομέα της εκπαίδευσης , δηλαδή η διακυβερνητική πτυχή , παραγκωνίσει την κοινοτική προσέγγιση .
#goldHeads=0,1,5,5,11,5,6,9,7,11,16,14,14,11,16,2,19,19,16,0,
#predictedHeads=0,1,5,5,1,5,6,9,7,11,16,14,14,16,16,7,19,19,16,0,
(0,1),0.240366 # DEPENDENCYPART_ARC
(0,2),-1.33613 # DEPENDENCYPART_ARC
(0,4),-1.52171 # DEPENDENCYPART_ARC
(0,6),-1.66649 # DEPENDENCYPART_ARC
(0,10),-0.687932 # DEPENDENCYPART_ARC
(0,15),-0.837527 # DEPENDENCYPART_ARC
(0,16),-1.28269 # DEPENDENCYPART_ARC
(0,20),2.9628 # DEPENDENCYPART_ARC
(1,2),1.7192 # DEPENDENCYPART_ARC
(1,3),-2.32349 # DEPENDENCYPART_ARC
(1,4),-0.0307075 # DEPENDENCYPART_ARC
(1,5),1.15595 # DEPENDENCYPART_ARC
(1,6),0.23249 # DEPENDENCYPART_ARC
(1,7),-0.819827 # DEPENDENCYPART_ARC
(1,9),-2.55268 # DEPENDENCYPART_ARC
(1,10),0.359759 # DEPENDENCYPART_ARC
(1,11),0.957502 # DEPENDENCYPART_ARC
(1,14),-1.42179 # DEPENDENCYPART_ARC
(1,15),0.226122 # DEPENDENCYPART_ARC
(1,16),-3.44173 # DEPENDENCYPART_ARC
(1,19),-1.84014 # DEPENDENCYPART_ARC
(1,20),-0.28284 # DEPENDENCYPART_ARC
(2,1),-0.50305 # DEPENDENCYPART_ARC
(2,3),-0.0602958 # DEPENDENCYPART_ARC
(2,4),-0.359676 # DEPENDENCYPART_ARC
(2,5),-0.158399 # DEPENDENCYPART_ARC
(2,6),-0.423459 # DEPENDENCYPART_ARC
(2,7),-1.09844 # DEPENDENCYPART_ARC
(2,10),-0.467294 # DEPENDENCYPART_ARC
(2,11),-0.917817 # DEPENDENCYPART_ARC
(2,15),-0.558988 # DEPENDENCYPART_ARC
(2,16),-1.555 # DEPENDENCYPART_ARC
(4,2),-0.512769 # DEPENDENCYPART_ARC
(4,3),0.780786 # DEPENDENCYPART_ARC
(4,5),-0.329225 # DEPENDENCYPART_ARC
(4,6),-0.367999 # DEPENDENCYPART_ARC
(4,7),-1.28982 # DEPENDENCYPART_ARC
(4,9),-0.907163 # DEPENDENCYPART_ARC
(4,11),-0.957932 # DEPENDENCYPART_ARC
(5,1),-2.58713 # DEPENDENCYPART_ARC
(5,2),-0.166191 # DEPENDENCYPART_ARC
(5,3),3.28278 # DEPENDENCYPART_ARC
(5,4),3.36441 # DEPENDENCYPART_ARC
(5,6),1.47778 # DEPENDENCYPART_ARC
(5,7),-0.24783 # DEPENDENCYPART_ARC
(5,9),0.315913 # DEPENDENCYPART_ARC
(5,10),0.148842 # DEPENDENCYPART_ARC
(5,11),-0.384567 # DEPENDENCYPART_ARC
(5,15),0.0739205 # DEPENDENCYPART_ARC
(5,16),-1.03313 # DEPENDENCYPART_ARC
(6,4),-1.0711 # DEPENDENCYPART_ARC
(6,7),2.85183 # DEPENDENCYPART_ARC
(6,9),-0.966385 # DEPENDENCYPART_ARC
(6,10),-0.146389 # DEPENDENCYPART_ARC
(7,2),-1.58178 # DEPENDENCYPART_ARC
(7,3),-0.200597 # DEPENDENCYPART_ARC
(7,4),-1.54068 # DEPENDENCYPART_ARC
(7,5),-1.25253 # DEPENDENCYPART_ARC
(7,6),-0.285801 # DEPENDENCYPART_ARC
(7,8),0.0160323 # DEPENDENCYPART_ARC
(7,9),2.14404 # DEPENDENCYPART_ARC
(7,10),0.135531 # DEPENDENCYPART_ARC
(7,11),-0.155599 # DEPENDENCYPART_ARC
(7,13),-0.71751 # DEPENDENCYPART_ARC
(7,14),-1.04813 # DEPENDENCYPART_ARC
(7,15),-0.337887 # DEPENDENCYPART_ARC
(7,16),-0.544805 # DEPENDENCYPART_ARC
(7,19),-2.28108 # DEPENDENCYPART_ARC
(9,2),-1.13225 # DEPENDENCYPART_ARC
(9,3),-0.892307 # DEPENDENCYPART_ARC
(9,4),-1.40776 # DEPENDENCYPART_ARC
(9,5),-1.9527 # DEPENDENCYPART_ARC
(9,7),-1.27016 # DEPENDENCYPART_ARC
(9,8),3.29132 # DEPENDENCYPART_ARC
(9,10),-0.0605625 # DEPENDENCYPART_ARC
(9,11),-0.331367 # DEPENDENCYPART_ARC
(9,13),-0.856928 # DEPENDENCYPART_ARC
(9,14),-0.88247 # DEPENDENCYPART_ARC
(9,16),-1.51548 # DEPENDENCYPART_ARC
(10,1),-0.600778 # DEPENDENCYPART_ARC
(10,2),-0.172355 # DEPENDENCYPART_ARC
(10,4),-0.233341 # DEPENDENCYPART_ARC
(10,5),-0.276712 # DEPENDENCYPART_ARC
(10,6),0.0993363 # DEPENDENCYPART_ARC
(10,7),0.00916621 # DEPENDENCYPART_ARC
(10,9),-0.162424 # DEPENDENCYPART_ARC
