# _root_ Πρότεινα να ξεκινήσει ο Πρόεδρός μας , παράλληλα με τις εργασίες της Συνέλευσης και σε συνεργασία με τα εθνικά κοινοβούλια , εκστρατεία με θέμα " Ας μιλήσουμε ανοιχτά " .
#goldHeads=0,3,1,5,3,5,14,14,8,11,9,13,11,3,14,15,16,20,20,17,14,3,22,23,27,27,24,27,27,0,
#predictedHeads=0,3,1,5,3,5,8,3,8,11,9,13,11,11,14,15,16,20,20,17,3,17,22,23,22,27,22,27,27,0,
(0,1),0.292744 # DEPENDENCYPART_ARC
(0,3),-1.34542 # DEPENDENCYPART_ARC
(0,7),-0.478716 # DEPENDENCYPART_ARC
(0,8),-1.62075 # DEPENDENCYPART_ARC
(0,9),-2.29678 # DEPENDENCYPART_ARC
(0,27),-2.84983 # DEPENDENCYPART_ARC
(0,30),3.29952 # DEPENDENCYPART_ARC
(1,2),0.677018 # DEPENDENCYPART_ARC
(1,3),3.07351 # DEPENDENCYPART_ARC
(1,5),0.178631 # DEPENDENCYPART_ARC
(1,7),0.318925 # DEPENDENCYPART_ARC
(1,8),0.0809595 # DEPENDENCYPART_ARC
(1,9),-0.41331 # DEPENDENCYPART_ARC
(1,11),-2.4046 # DEPENDENCYPART_ARC
(1,14),-0.0595139 # DEPENDENCYPART_ARC
(1,15),-0.779062 # DEPENDENCYPART_ARC
(1,17),-0.861237 # DEPENDENCYPART_ARC
(1,21),-0.325391 # DEPENDENCYPART_ARC
(1,25),-0.0331038 # DEPENDENCYPART_ARC
(1,28),-0.841665 # DEPENDENCYPART_ARC
(1,29),-0.0721612 # DEPENDENCYPART_ARC
(1,30),-0.10137 # DEPENDENCYPART_ARC
(2,3),0.0758445 # DEPENDENCYPART_ARC
(2,5),-0.846377 # DEPENDENCYPART_ARC
(3,1),-2.2954 # DEPENDENCYPART_ARC
(3,2),2.28749 # DEPENDENCYPART_ARC
(3,4),-1.53116 # DEPENDENCYPART_ARC
(3,5),2.62992 # DEPENDENCYPART_ARC
(3,7),0.613405 # DEPENDENCYPART_ARC
(3,8),0.349538 # DEPENDENCYPART_ARC
(3,9),0.445 # DEPENDENCYPART_ARC
(3,11),-0.350831 # DEPENDENCYPART_ARC
(3,13),-2.61238 # DEPENDENCYPART_ARC
(3,14),0.209809 # DEPENDENCYPART_ARC
(3,15),0.0128514 # DEPENDENCYPART_ARC
(3,16),-1.60335 # DEPENDENCYPART_ARC
(3,17),-0.260669 # DEPENDENCYPART_ARC
(3,21),0.104797 # DEPENDENCYPART_ARC
