# _root_ Ακόμη και σε μια μικρή κοινότητα όπως η δική μου , που βρίσκεται σε μια χώρα όπου η οικοδόμηση έχει υψηλό κόστος για κλιματικούς λόγους , σήμερα η απλή κατασκευή ενός σχολικού κτιρίου βρίσκεται ήδη πάνω από την τιμή κατωφλίου .
#goldHeads=6,6,34,6,6,3,6,9,6,9,13,13,6,13,16,14,20,19,20,16,22,20,20,25,23,34,34,30,30,34,33,33,30,0,34,34,36,39,37,39,0,
#predictedHeads=2,20,2,6,6,3,6,9,6,9,13,13,6,13,16,14,16,19,20,0,22,20,22,25,23,13,34,30,30,34,33,33,30,26,36,34,36,39,37,39,0,
(0,1),-0.64058 # DEPENDENCYPART_ARC
(0,2),-0.628783 # DEPENDENCYPART_ARC
(0,3),-0.928839 # DEPENDENCYPART_ARC
(0,5),-0.863422 # DEPENDENCYPART_ARC
(0,6),-0.793452 # DEPENDENCYPART_ARC
(0,7),-0.901654 # DEPENDENCYPART_ARC
(0,9),-1.26207 # DEPENDENCYPART_ARC
(0,11),-0.535239 # DEPENDENCYPART_ARC
(0,13),-0.543313 # DEPENDENCYPART_ARC
(0,20),-0.459331 # DEPENDENCYPART_ARC
(0,21),-2.01101 # DEPENDENCYPART_ARC
(0,34),-1.43396 # DEPENDENCYPART_ARC
(0,41),4.41452 # DEPENDENCYPART_ARC
(1,2),0.0440891 # DEPENDENCYPART_ARC
(1,3),-0.256475 # DEPENDENCYPART_ARC
(1,6),-1.26244 # DEPENDENCYPART_ARC
(2,1),0.800667 # DEPENDENCYPART_ARC
(2,3),0.711039 # DEPENDENCYPART_ARC
(2,5),-0.0762718 # DEPENDENCYPART_ARC
(2,6),-0.177927 # DEPENDENCYPART_ARC
(2,7),-0.66157 # DEPENDENCYPART_ARC
(2,9),-0.893504 # DEPENDENCYPART_ARC
(2,11),-0.561435 # DEPENDENCYPART_ARC
(2,13),-0.722058 # DEPENDENCYPART_ARC
(2,14),-1.02554 # DEPENDENCYPART_ARC
(3,1),-0.320067 # DEPENDENCYPART_ARC
(3,2),0.361054 # DEPENDENCYPART_ARC
(3,4),0.160584 # DEPENDENCYPART_ARC
(3,5),0.915648 # DEPENDENCYPART_ARC
(3,6),1.88906 # DEPENDENCYPART_ARC
(3,7),0.193798 # DEPENDENCYPART_ARC
(3,11),0.0676189 # DEPENDENCYPART_ARC
(5,1),-0.779186 # DEPENDENCYPART_ARC
(5,4),0.449115 # DEPENDENCYPART_ARC
(5,6),-0.0292681 # DEPENDENCYPART_ARC
(5,7),-0.191715 # DEPENDENCYPART_ARC
(5,13),-1.44751 # DEPENDENCYPART_ARC
(6,1),-0.463182 # DEPENDENCYPART_ARC
(6,2),0.00726372 # DEPENDENCYPART_ARC
(6,3),-0.194129 # DEPENDENCYPART_ARC
(6,4),3.16404 # DEPENDENCYPART_ARC
(6,5),3.43283 # DEPENDENCYPART_ARC
(6,7),1.1088 # DEPENDENCYPART_ARC
(6,8),-0.24826 # DEPENDENCYPART_ARC
(6,9),-0.19627 # DEPENDENCYPART_ARC
(6,11),-0.19121 # DEPENDENCYPART_ARC
(6,13),0.92937 # DEPENDENCYPART_ARC
(6,14),-1.50371 # DEPENDENCYPART_ARC
(6,20),-1.4861 # DEPENDENCYPART_ARC
(7,1),-0.694728 # DEPENDENCYPART_ARC
(7,2),-0.440198 # DEPENDENCYPART_ARC
(7,3),-0.588566 # DEPENDENCYPART_ARC
(7,5),-0.576075 # DEPENDENCYPART_ARC
(7,6),-0.514101 # DEPENDENCYPART_ARC
(7,8),-0.673604 # DEPENDENCYPART_ARC
(7,9),-0.74018 # DEPENDENCYPART_ARC
(7,11),-0.696574 # DEPENDENCYPART_ARC
(7,13),-1.67279 # DEPENDENCYPART_ARC
(7,14),-1.52835 # DEPENDENCYPART_ARC
(9,7),-0.51711 # DEPENDENCYPART_ARC
(9,8),1.06092 # DEPENDENCYPART_ARC
(9,10),-0.56958 # DEPENDENCYPART_ARC
(9,11),0.00767827 # DEPENDENCYPART_ARC
(9,13),-0.912578 # DEPENDENCYPART_ARC
(9,14),-0.751741 # DEPENDENCYPART_ARC
(9,16),-2.18033 # DEPENDENCYPART_ARC
(11,1),-0.49798 # DEPENDENCYPART_ARC
(11,2),0.200712 # DEPENDENCYPART_ARC
(11,3),-0.282259 # DEPENDENCYPART_ARC
(11,5),-0.438237 # DEPENDENCYPART_ARC
(11,6),-0.632429 # DEPENDENCYPART_ARC
(11,7),-0.36397 # DEPENDENCYPART_ARC
(11,9),-0.220154 # DEPENDENCYPART_ARC
(11,12),-0.387729 # DEPENDENCYPART_ARC
(11,13),-0.210417 # DEPENDENCYPART_ARC
(11,14),-0.671796 # DEPENDENCYPART_ARC
(11,16),-0.950646 # DEPENDENCYPART_ARC
(11,20),-0.893517 # DEPENDENCYPART_ARC
(11,21),-0.97779 # DEPENDENCYPART_ARC
(12,11),0.0709992 # DEPENDENCYPART_ARC
(12,13),-1.74763 # DEPENDENCYPART_ARC
(13,1),-0.783029 # DEPENDENCYPART_ARC
(13,2),-0.738955 # DEPENDENCYPART_ARC
(13,3),-0.0154376 # DEPENDENCYPART_ARC
(13,5),-1.55354 # DEPENDENCYPART_ARC
(13,6),-2.36376 # DEPENDENCYPART_ARC
(13,7),-0.679722 # DEPENDENCYPART_ARC
(13,8),-2.22307 # DEPENDENCYPART_ARC
(13,9),-0.92237 # DEPENDENCYPART_ARC
(13,11),0.89507 # DEPENDENCYPART_ARC
(13,12),3.26528 # DEPENDENCYPART_ARC
(13,14),1.49627 # DEPENDENCYPART_ARC
(13,16),-0.34961 # DEPENDENCYPART_ARC
(13,17),-0.171967 # DEPENDENCYPART_ARC
(13,19),-1.33756 # DEPENDENCYPART_ARC
(13,20),-3.96054 # DEPENDENCYPART_ARC
(13,21),-2.79346 # DEPENDENCYPART_ARC
(13,22),-2.21199 # DEPENDENCYPART_ARC
(13,23),-0.533237 # DEPENDENCYPART_ARC
(13,26),0.203839 # DEPENDENCYPART_ARC
(13,27),-0.636364 # DEPENDENCYPART_ARC
(13,35),-1.34082 # DEPENDENCYPART_ARC
(13,36),-1.12942 # DEPENDENCYPART_ARC
