# _root_ " Βάζουμε τον εξεταζόμενο στην εξεταστική τράπεζα , με τη βοήθεια των τριών κεφαλών παίρνουμε λήψη σπεκτ , δηλαδή λήψη σε τρία επίπεδα .
#goldHeads=8,8,4,2,2,7,5,0,15,11,9,14,14,11,8,19,16,19,15,19,20,23,21,0,
#predictedHeads=2,0,4,2,2,7,5,2,2,11,9,14,14,11,13,15,16,19,15,19,20,23,21,0,
(0,1),-0.18116 # DEPENDENCYPART_ARC
(0,2),0.583764 # DEPENDENCYPART_ARC
(0,4),-1.89345 # DEPENDENCYPART_ARC
(0,5),-1.75357 # DEPENDENCYPART_ARC
(0,8),-0.285723 # DEPENDENCYPART_ARC
(0,15),-0.263437 # DEPENDENCYPART_ARC
(0,17),-1.47498 # DEPENDENCYPART_ARC
(0,18),-0.816259 # DEPENDENCYPART_ARC
(0,20),-1.39278 # DEPENDENCYPART_ARC
(0,23),-1.05948 # DEPENDENCYPART_ARC
(0,24),2.74913 # DEPENDENCYPART_ARC
(1,2),-1.12554 # DEPENDENCYPART_ARC
(1,4),-2.00597 # DEPENDENCYPART_ARC
(1,5),-2.00974 # DEPENDENCYPART_ARC
(2,1),1.08681 # DEPENDENCYPART_ARC
(2,3),-1.02918 # DEPENDENCYPART_ARC
(2,4),0.168263 # DEPENDENCYPART_ARC
(2,5),0.987373 # DEPENDENCYPART_ARC
(2,6),-1.54626 # DEPENDENCYPART_ARC
(2,7),0.968475 # DEPENDENCYPART_ARC
(2,8),1.20331 # DEPENDENCYPART_ARC
(2,9),0.750341 # DEPENDENCYPART_ARC
(2,11),-1.02733 # DEPENDENCYPART_ARC
(2,14),-3.03385 # DEPENDENCYPART_ARC
(2,15),-3.1866 # DEPENDENCYPART_ARC
(2,16),-1.91029 # DEPENDENCYPART_ARC
(2,18),0.185202 # DEPENDENCYPART_ARC
(2,19),0.4816 # DEPENDENCYPART_ARC
(2,20),-2.14205 # DEPENDENCYPART_ARC
(2,21),-0.147922 # DEPENDENCYPART_ARC
(2,23),-3.40272 # DEPENDENCYPART_ARC
(2,24),0.0451525 # DEPENDENCYPART_ARC
(4,1),-0.542208 # DEPENDENCYPART_ARC
(4,3),0.952436 # DEPENDENCYPART_ARC
(4,5),0.621215 # DEPENDENCYPART_ARC
(4,6),-0.975132 # DEPENDENCYPART_ARC
(4,7),-0.440682 # DEPENDENCYPART_ARC
(4,8),0.0389756 # DEPENDENCYPART_ARC
(4,9),-0.155591 # DEPENDENCYPART_ARC
(4,11),-1.59577 # DEPENDENCYPART_ARC
(4,15),-2.13392 # DEPENDENCYPART_ARC
(5,4),-0.120147 # DEPENDENCYPART_ARC
(5,6),0.899248 # DEPENDENCYPART_ARC
(5,7),3.0095 # DEPENDENCYPART_ARC
(5,8),0.200724 # DEPENDENCYPART_ARC
(6,3),-0.494768 # DEPENDENCYPART_ARC
(6,4),-0.947306 # DEPENDENCYPART_ARC
(6,7),0.00738469 # DEPENDENCYPART_ARC
(6,8),-0.491425 # DEPENDENCYPART_ARC
(6,9),-0.646025 # DEPENDENCYPART_ARC
(6,11),-1.91493 # DEPENDENCYPART_ARC
(6,14),-1.03215 # DEPENDENCYPART_ARC
(7,1),-0.351807 # DEPENDENCYPART_ARC
(7,2),-3.52797 # DEPENDENCYPART_ARC
(7,3),0.631126 # DEPENDENCYPART_ARC
(7,4),-0.027248 # DEPENDENCYPART_ARC
(7,5),0.657912 # DEPENDENCYPART_ARC
(7,6),3.06738 # DEPENDENCYPART_ARC
(7,8),0.105112 # DEPENDENCYPART_ARC
(7,9),-0.15577 # DEPENDENCYPART_ARC
(7,11),-1.23103 # DEPENDENCYPART_ARC
(7,13),-1.93391 # DEPENDENCYPART_ARC
(7,15),-1.75864 # DEPENDENCYPART_ARC
(8,1),-0.392984 # DEPENDENCYPART_ARC
(8,2),-0.756009 # DEPENDENCYPART_ARC
(8,4),-0.67408 # DEPENDENCYPART_ARC
(8,5),-0.126372 # DEPENDENCYPART_ARC
(8,6),-0.288308 # DEPENDENCYPART_ARC
(8,7),-0.26053 # DEPENDENCYPART_ARC
(8,9),-0.328441 # DEPENDENCYPART_ARC
(8,11),-0.156676 # DEPENDENCYPART_ARC
(8,14),-0.924062 # DEPENDENCYPART_ARC
(8,15),-0.933364 # DEPENDENCYPART_ARC
(8,17),-1.00202 # DEPENDENCYPART_ARC
(9,7),-1.32196 # DEPENDENCYPART_ARC
(9,8),0.316119 # DEPENDENCYPART_ARC
(9,10),-0.0418832 # DEPENDENCYPART_ARC
(9,11),2.1993 # DEPENDENCYPART_ARC
(9,14),0.194264 # DEPENDENCYPART_ARC
(9,15),-1.25079 # DEPENDENCYPART_ARC
(9,16),-1.74754 # DEPENDENCYPART_ARC
(9,18),-0.199476 # DEPENDENCYPART_ARC
(9,24),-0.483131 # DEPENDENCYPART_ARC
(11,1),-1.1436 # DEPENDENCYPART_ARC
(11,2),-4.25344 # DEPENDENCYPART_ARC
(11,3),-1.40099 # DEPENDENCYPART_ARC
(11,6),-0.16441 # DEPENDENCYPART_ARC
(11,7),-1.44128 # DEPENDENCYPART_ARC
(11,8),-0.820679 # DEPENDENCYPART_ARC
(11,10),3.17908 # DEPENDENCYPART_ARC
(11,12),0.851124 # DEPENDENCYPART_ARC
(11,13),-0.549593 # DEPENDENCYPART_ARC
(11,14),1.60034 # DEPENDENCYPART_ARC
(11,15),-0.989966 # DEPENDENCYPART_ARC
(11,16),-1.3531 # DEPENDENCYPART_ARC
(11,17),-0.443089 # DEPENDENCYPART_ARC
(11,19),-0.613025 # DEPENDENCYPART_ARC
(11,20),-2.26114 # DEPENDENCYPART_ARC
(11,21),-0.696488 # DEPENDENCYPART_ARC
(11,23),-2.44047 # DEPENDENCYPART_ARC
(13,9),-0.252624 # DEPENDENCYPART_ARC
(13,12),0.59695 # DEPENDENCYPART_ARC
(13,15),-0.185472 # DEPENDENCYPART_ARC
(14,2),-2.76618 # DEPENDENCYPART_ARC
(14,7),-3.24822 # DEPENDENCYPART_ARC
(14,9),-0.254137 # DEPENDENCYPART_ARC
(14,10),-0.517421 # DEPENDENCYPART_ARC
(14,11),-2.15021 # DEPENDENCYPART_ARC
(14,12),3.30877 # DEPENDENCYPART_ARC
(14,13),2.50132 # DEPENDENCYPART_ARC
(14,15),-0.311053 # DEPENDENCYPART_ARC
(14,16),-0.984275 # DEPENDENCYPART_ARC
(14,17),-1.04862 # DEPENDENCYPART_ARC
(14,19),-1.29662 # DEPENDENCYPART_ARC
(15,1),-0.00392497 # DEPENDENCYPART_ARC
(15,2),-2.31831 # DEPENDENCYPART_ARC
(15,4),-1.14367 # DEPENDENCYPART_ARC
(15,5),-0.359705 # DEPENDENCYPART_ARC
(15,6),-1.54593 # DEPENDENCYPART_ARC
(15,7),-1.33141 # DEPENDENCYPART_ARC
(15,8),0.78059 # DEPENDENCYPART_ARC
(15,9),0.394829 # DEPENDENCYPART_ARC
(15,10),-0.399431 # DEPENDENCYPART_ARC
(15,11),-0.239434 # DEPENDENCYPART_ARC
(15,12),-0.746207 # DEPENDENCYPART_ARC
(15,13),-1.97133 # DEPENDENCYPART_ARC
(15,14),0.0133046 # DEPENDENCYPART_ARC
(15,16),2.28847 # DEPENDENCYPART_ARC
(15,17),0.491651 # DEPENDENCYPART_ARC
(15,18),0.716238 # DEPENDENCYPART_ARC
(15,19),0.676189 # DEPENDENCYPART_ARC
(15,20),0.237994 # DEPENDENCYPART_ARC
(15,21),0.848326 # DEPENDENCYPART_ARC
(15,23),-1.70748 # DEPENDENCYPART_ARC
