# _root_ Λυπάμαι πολύ , κύριε Ύπατε Εκπρόσωπε , που δεν μπορώ να συμμεριστώ ούτε καν τη μετριασμένη αισιοδοξία σας .
#goldHeads=0,1,6,6,6,1,6,1,10,8,12,10,12,12,17,17,12,17,0,
#predictedHeads=0,1,1,6,6,1,10,10,10,13,12,10,1,12,17,17,12,17,0,
(0,1),0.416024 # DEPENDENCYPART_ARC
(0,2),-1.22919 # DEPENDENCYPART_ARC
(0,3),-0.245983 # DEPENDENCYPART_ARC
(0,4),-1.05924 # DEPENDENCYPART_ARC
(0,5),-2.06986 # DEPENDENCYPART_ARC
(0,6),-1.7393 # DEPENDENCYPART_ARC
(0,7),-0.491114 # DEPENDENCYPART_ARC
(0,10),-0.723657 # DEPENDENCYPART_ARC
(0,12),-1.29097 # DEPENDENCYPART_ARC
(0,13),-0.891745 # DEPENDENCYPART_ARC
(0,14),-1.17654 # DEPENDENCYPART_ARC
(0,16),-2.02536 # DEPENDENCYPART_ARC
(0,17),-2.06436 # DEPENDENCYPART_ARC
(0,19),2.64382 # DEPENDENCYPART_ARC
(1,2),1.88843 # DEPENDENCYPART_ARC
(1,3),0.566821 # DEPENDENCYPART_ARC
(1,4),0.599881 # DEPENDENCYPART_ARC
(1,5),-0.202564 # DEPENDENCYPART_ARC
(1,6),0.340975 # DEPENDENCYPART_ARC
(1,7),0.285285 # DEPENDENCYPART_ARC
(1,10),-1.93475 # DEPENDENCYPART_ARC
(1,12),-2.45253 # DEPENDENCYPART_ARC
(1,13),-0.206791 # DEPENDENCYPART_ARC
(1,14),-0.933424 # DEPENDENCYPART_ARC
(1,17),-1.75512 # DEPENDENCYPART_ARC
(1,19),0.181492 # DEPENDENCYPART_ARC
(2,1),-0.209767 # DEPENDENCYPART_ARC
(2,3),-0.291723 # DEPENDENCYPART_ARC
(2,4),-0.456823 # DEPENDENCYPART_ARC
(2,5),-1.28801 # DEPENDENCYPART_ARC
(2,6),-1.42839 # DEPENDENCYPART_ARC
(2,10),-2.03023 # DEPENDENCYPART_ARC
(3,1),-0.00541329 # DEPENDENCYPART_ARC
(3,2),0.415488 # DEPENDENCYPART_ARC
(3,4),0.187313 # DEPENDENCYPART_ARC
(3,5),-0.307672 # DEPENDENCYPART_ARC
(3,6),-0.1861 # DEPENDENCYPART_ARC
(3,7),0.129381 # DEPENDENCYPART_ARC
(3,16),-1.299 # DEPENDENCYPART_ARC
(4,1),-1.88169 # DEPENDENCYPART_ARC
(4,2),-0.118678 # DEPENDENCYPART_ARC
(4,3),0.173607 # DEPENDENCYPART_ARC
(4,5),-0.0737312 # DEPENDENCYPART_ARC
(4,6),-0.376304 # DEPENDENCYPART_ARC
(4,7),0.346922 # DEPENDENCYPART_ARC
(4,10),-2.21773 # DEPENDENCYPART_ARC
(4,12),-3.41308 # DEPENDENCYPART_ARC
(4,13),-0.81581 # DEPENDENCYPART_ARC
(4,14),-1.11527 # DEPENDENCYPART_ARC
(4,17),-2.92242 # DEPENDENCYPART_ARC
(4,19),-0.0900363 # DEPENDENCYPART_ARC
(5,2),-0.0912036 # DEPENDENCYPART_ARC
(5,3),0.0554086 # DEPENDENCYPART_ARC
(5,4),0.553068 # DEPENDENCYPART_ARC
(5,6),0.21213 # DEPENDENCYPART_ARC
(5,7),-0.2764 # DEPENDENCYPART_ARC
(5,10),-1.74824 # DEPENDENCYPART_ARC
(5,13),-0.853271 # DEPENDENCYPART_ARC
(6,1),-1.18632 # DEPENDENCYPART_ARC
(6,2),-0.0921459 # DEPENDENCYPART_ARC
(6,3),0.402179 # DEPENDENCYPART_ARC
(6,4),1.70811 # DEPENDENCYPART_ARC
(6,5),2.24801 # DEPENDENCYPART_ARC
(6,7),0.210944 # DEPENDENCYPART_ARC
(6,8),-0.955553 # DEPENDENCYPART_ARC
(6,10),-1.61541 # DEPENDENCYPART_ARC
(6,12),-3.07446 # DEPENDENCYPART_ARC
(6,13),-0.608436 # DEPENDENCYPART_ARC
(6,14),-1.41006 # DEPENDENCYPART_ARC
(7,1),-0.926857 # DEPENDENCYPART_ARC
(7,2),-0.490598 # DEPENDENCYPART_ARC
(7,3),0.0474455 # DEPENDENCYPART_ARC
(7,4),-0.168735 # DEPENDENCYPART_ARC
