# _root_ Ωστόσο , έχουμε παράλληλα επίγνωση του γεγονότος ότι η παρούσα οδηγία είναι μεν σημαντική και ενδιαφέρουσα , αλλά δεν λύνει δυστυχώς ακόμα όλα τα προβλήματα .
#goldHeads=0,3,1,3,3,7,5,7,11,11,12,18,12,15,12,15,18,8,20,18,20,20,25,25,20,0,
#predictedHeads=0,1,1,3,3,7,5,5,11,11,12,8,14,15,18,15,18,12,20,18,20,23,25,25,20,0,
(0,1),0.588048 # DEPENDENCYPART_ARC
(0,2),-0.634407 # DEPENDENCYPART_ARC
(0,3),0.934181 # DEPENDENCYPART_ARC
(0,5),-1.20334 # DEPENDENCYPART_ARC
(0,8),-2.09966 # DEPENDENCYPART_ARC
(0,12),-0.305946 # DEPENDENCYPART_ARC
(0,14),-1.72971 # DEPENDENCYPART_ARC
(0,16),-2.02761 # DEPENDENCYPART_ARC
(0,17),-0.657951 # DEPENDENCYPART_ARC
(0,18),-0.679469 # DEPENDENCYPART_ARC
(0,20),-1.62876 # DEPENDENCYPART_ARC
(0,23),-2.29587 # DEPENDENCYPART_ARC
(0,26),3.62478 # DEPENDENCYPART_ARC
(1,2),1.23363 # DEPENDENCYPART_ARC
(1,3),1.95099 # DEPENDENCYPART_ARC
(1,4),-0.492003 # DEPENDENCYPART_ARC
(1,5),-0.843135 # DEPENDENCYPART_ARC
(1,7),-1.64033 # DEPENDENCYPART_ARC
(1,8),-0.388305 # DEPENDENCYPART_ARC
(1,12),0.404109 # DEPENDENCYPART_ARC
(1,17),-0.602049 # DEPENDENCYPART_ARC
(1,18),-0.938443 # DEPENDENCYPART_ARC
(1,20),-0.455428 # DEPENDENCYPART_ARC
(2,1),-0.6218 # DEPENDENCYPART_ARC
(2,3),-0.735171 # DEPENDENCYPART_ARC
(2,5),-1.31042 # DEPENDENCYPART_ARC
(2,14),-1.85144 # DEPENDENCYPART_ARC
(2,16),-1.77123 # DEPENDENCYPART_ARC
(3,1),0.603412 # DEPENDENCYPART_ARC
(3,2),1.01753 # DEPENDENCYPART_ARC
(3,4),1.56795 # DEPENDENCYPART_ARC
(3,5),1.68375 # DEPENDENCYPART_ARC
(3,7),-1.42694 # DEPENDENCYPART_ARC
(3,8),0.128176 # DEPENDENCYPART_ARC
(3,10),-2.06184 # DEPENDENCYPART_ARC
(3,11),-1.42393 # DEPENDENCYPART_ARC
(3,12),-4.88433 # DEPENDENCYPART_ARC
(3,13),-0.680025 # DEPENDENCYPART_ARC
(3,15),-0.807001 # DEPENDENCYPART_ARC
(3,17),0.137285 # DEPENDENCYPART_ARC
(3,18),-0.637592 # DEPENDENCYPART_ARC
(3,21),-1.5201 # DEPENDENCYPART_ARC
(3,22),-1.67773 # DEPENDENCYPART_ARC
(3,25),-2.11222 # DEPENDENCYPART_ARC
(3,26),0.0839494 # DEPENDENCYPART_ARC
(4,1),-0.580715 # DEPENDENCYPART_ARC
(4,2),-0.518 # DEPENDENCYPART_ARC
(4,3),-0.533342 # DEPENDENCYPART_ARC
(4,5),0.533695 # DEPENDENCYPART_ARC
(4,7),-0.306493 # DEPENDENCYPART_ARC
(5,1),-0.492866 # DEPENDENCYPART_ARC
(5,2),-0.443446 # DEPENDENCYPART_ARC
(5,3),-2.38797 # DEPENDENCYPART_ARC
(5,4),0.992473 # DEPENDENCYPART_ARC
(5,6),0.0906095 # DEPENDENCYPART_ARC
