# _root_ Psaní je pro mne paralelní život - i když hlubší než můj život veřejný , a navíc si myslím , že být spisovatelem z povolání je nebezpečné . . .
#goldHeads=2,16,2,3,6,2,9,9,5,9,10,13,11,13,16,0,19,19,16,21,19,26,22,23,24,21,26,0,0,0,
#predictedHeads=2,16,2,3,6,2,9,9,2,9,10,13,16,16,16,0,19,19,16,21,19,26,22,23,24,21,26,0,0,0,
(0,1),-1.54027 # DEPENDENCYPART_ARC
(0,2),0.0313216 # DEPENDENCYPART_ARC
(0,3),-1.54746 # DEPENDENCYPART_ARC
(0,4),-2.10855 # DEPENDENCYPART_ARC
(0,5),-1.56452 # DEPENDENCYPART_ARC
(0,6),-1.11818 # DEPENDENCYPART_ARC
(0,7),-0.835022 # DEPENDENCYPART_ARC
(0,8),-1.90409 # DEPENDENCYPART_ARC
(0,9),-2.64702 # DEPENDENCYPART_ARC
(0,10),-2.88357 # DEPENDENCYPART_ARC
(0,11),-3.20601 # DEPENDENCYPART_ARC
(0,13),-2.31159 # DEPENDENCYPART_ARC
(0,14),-3.08539 # DEPENDENCYPART_ARC
(0,15),-1.71544 # DEPENDENCYPART_ARC
(0,16),-1.43881 # DEPENDENCYPART_ARC
(0,17),-3.01586 # DEPENDENCYPART_ARC
(0,19),-1.61814 # DEPENDENCYPART_ARC
(0,20),-2.18189 # DEPENDENCYPART_ARC
(0,21),-4.08566 # DEPENDENCYPART_ARC
(0,22),-3.49812 # DEPENDENCYPART_ARC
(0,23),-4.94299 # DEPENDENCYPART_ARC
(0,24),-6.20039 # DEPENDENCYPART_ARC
(0,25),-6.5314 # DEPENDENCYPART_ARC
(0,26),-1.94458 # DEPENDENCYPART_ARC
(0,27),-4.82773 # DEPENDENCYPART_ARC
(0,28),2.3244 # DEPENDENCYPART_ARC
(0,29),2.50384 # DEPENDENCYPART_ARC
(0,30),4.49873 # DEPENDENCYPART_ARC
(1,2),-0.541004 # DEPENDENCYPART_ARC
(1,3),0.0561917 # DEPENDENCYPART_ARC
(1,4),-0.00666677 # DEPENDENCYPART_ARC
(1,5),-1.09754 # DEPENDENCYPART_ARC
(1,6),-1.48852 # DEPENDENCYPART_ARC
(1,7),-0.654925 # DEPENDENCYPART_ARC
(1,8),-0.779034 # DEPENDENCYPART_ARC
(1,9),-1.15733 # DEPENDENCYPART_ARC
(1,10),-2.69787 # DEPENDENCYPART_ARC
(1,11),-1.70968 # DEPENDENCYPART_ARC
(1,12),-1.14388 # DEPENDENCYPART_ARC
(1,13),-2.63771 # DEPENDENCYPART_ARC
(1,14),-3.04412 # DEPENDENCYPART_ARC
(1,15),-1.06375 # DEPENDENCYPART_ARC
(1,16),-0.996636 # DEPENDENCYPART_ARC
(1,17),-1.36009 # DEPENDENCYPART_ARC
(1,18),-2.0745 # DEPENDENCYPART_ARC
(1,19),-3.23327 # DEPENDENCYPART_ARC
(1,20),-1.43897 # DEPENDENCYPART_ARC
(1,21),-3.72349 # DEPENDENCYPART_ARC
(1,22),-4.91341 # DEPENDENCYPART_ARC
(1,23),-7.11267 # DEPENDENCYPART_ARC
(1,24),-3.88085 # DEPENDENCYPART_ARC
(1,25),-5.74331 # DEPENDENCYPART_ARC
(1,26),-6.56446 # DEPENDENCYPART_ARC
(1,27),-5.8365 # DEPENDENCYPART_ARC
(1,28),-9.12921 # DEPENDENCYPART_ARC
(1,29),-9.7175 # DEPENDENCYPART_ARC
(1,30),-9.84445 # DEPENDENCYPART_ARC
(2,1),2.81415 # DEPENDENCYPART_ARC
(2,3),2.79242 # DEPENDENCYPART_ARC
(2,4),1.49765 # DEPENDENCYPART_ARC
(2,5),1.34297 # DEPENDENCYPART_ARC
(2,6),2.50192 # DEPENDENCYPART_ARC
(2,7),0.404405 # DEPENDENCYPART_ARC
(2,8),0.412878 # DEPENDENCYPART_ARC
(2,9),1.58308 # DEPENDENCYPART_ARC
(2,10),0.279248 # DEPENDENCYPART_ARC
(2,11),-1.28563 # DEPENDENCYPART_ARC
(2,12),-4.12252 # DEPENDENCYPART_ARC
(2,13),-0.516808 # DEPENDENCYPART_ARC
(2,14),0.365045 # DEPENDENCYPART_ARC
(2,15),0.462762 # DEPENDENCYPART_ARC
(2,16),-0.324133 # DEPENDENCYPART_ARC
(2,17),-1.54437 # DEPENDENCYPART_ARC
(2,18),-5.18432 # DEPENDENCYPART_ARC
(2,19),-1.0616 # DEPENDENCYPART_ARC
(2,20),0.337644 # DEPENDENCYPART_ARC
(2,21),-2.48672 # DEPENDENCYPART_ARC
(2,22),-1.55921 # DEPENDENCYPART_ARC
(2,23),-4.60628 # DEPENDENCYPART_ARC
(2,24),-2.05691 # DEPENDENCYPART_ARC
(2,25),-8.11982 # DEPENDENCYPART_ARC
(2,26),-4.81175 # DEPENDENCYPART_ARC
(2,27),-2.74915 # DEPENDENCYPART_ARC
(2,28),-1.00318 # DEPENDENCYPART_ARC
(2,29),-0.846455 # DEPENDENCYPART_ARC
(2,30),-1.22693 # DEPENDENCYPART_ARC
(3,1),-2.88646 # DEPENDENCYPART_ARC
(3,2),-2.13317 # DEPENDENCYPART_ARC
(3,4),3.75928 # DEPENDENCYPART_ARC
(3,5),-1.11999 # DEPENDENCYPART_ARC
(3,6),-0.815519 # DEPENDENCYPART_ARC
(3,7),0.119545 # DEPENDENCYPART_ARC
(3,8),-0.518906 # DEPENDENCYPART_ARC
(3,9),-0.551995 # DEPENDENCYPART_ARC
(3,10),-2.86123 # DEPENDENCYPART_ARC
(3,11),-1.78613 # DEPENDENCYPART_ARC
(3,12),-4.15999 # DEPENDENCYPART_ARC
(3,13),-3.32093 # DEPENDENCYPART_ARC
(3,14),-3.4254 # DEPENDENCYPART_ARC
(3,15),-1.4559 # DEPENDENCYPART_ARC
(3,16),-2.28548 # DEPENDENCYPART_ARC
(3,17),-1.65488 # DEPENDENCYPART_ARC
(3,19),-1.49333 # DEPENDENCYPART_ARC
(3,20),-2.63992 # DEPENDENCYPART_ARC
(3,21),-4.52402 # DEPENDENCYPART_ARC
(3,23),-7.26086 # DEPENDENCYPART_ARC
(3,24),-2.46491 # DEPENDENCYPART_ARC
(3,25),-7.60618 # DEPENDENCYPART_ARC
(3,26),-1.25735 # DEPENDENCYPART_ARC
(3,27),-4.3793 # DEPENDENCYPART_ARC
(3,28),-4.63471 # DEPENDENCYPART_ARC
(3,29),-4.80178 # DEPENDENCYPART_ARC
(3,30),-5.26752 # DEPENDENCYPART_ARC
(4,1),-1.47871 # DEPENDENCYPART_ARC
(4,2),-0.492333 # DEPENDENCYPART_ARC
(4,3),0.110768 # DEPENDENCYPART_ARC
(4,5),0.0372049 # DEPENDENCYPART_ARC
(4,6),-0.692405 # DEPENDENCYPART_ARC
(4,7),-0.595237 # DEPENDENCYPART_ARC
(4,8),-0.96524 # DEPENDENCYPART_ARC
(4,9),-1.14297 # DEPENDENCYPART_ARC
(4,10),-2.13582 # DEPENDENCYPART_ARC
(4,11),-1.6886 # DEPENDENCYPART_ARC
(4,12),-1.76386 # DEPENDENCYPART_ARC
(4,13),-1.39968 # DEPENDENCYPART_ARC
(4,14),-2.18087 # DEPENDENCYPART_ARC
(4,15),-1.40593 # DEPENDENCYPART_ARC
(4,16),-1.80292 # DEPENDENCYPART_ARC
(4,17),-2.19206 # DEPENDENCYPART_ARC
(4,19),-4.49599 # DEPENDENCYPART_ARC
(4,20),-1.68576 # DEPENDENCYPART_ARC
(4,21),-3.30528 # DEPENDENCYPART_ARC
(4,22),-5.32705 # DEPENDENCYPART_ARC
(4,23),-2.00065 # DEPENDENCYPART_ARC
(4,24),-2.72277 # DEPENDENCYPART_ARC
(4,25),-2.13491 # DEPENDENCYPART_ARC
(4,26),-8.59598 # DEPENDENCYPART_ARC
(4,27),-3.71606 # DEPENDENCYPART_ARC
(4,28),-2.83988 # DEPENDENCYPART_ARC
(4,29),-3.08758 # DEPENDENCYPART_ARC
(4,30),-3.28446 # DEPENDENCYPART_ARC
(5,1),-2.54577 # DEPENDENCYPART_ARC
(5,2),-3.07186 # DEPENDENCYPART_ARC
(5,3),0.660516 # DEPENDENCYPART_ARC
(5,4),0.382633 # DEPENDENCYPART_ARC
(5,6),-0.567879 # DEPENDENCYPART_ARC
(5,7),-0.146215 # DEPENDENCYPART_ARC
(5,8),-0.0187255 # DEPENDENCYPART_ARC
(5,9),0.257196 # DEPENDENCYPART_ARC
(5,10),-3.17198 # DEPENDENCYPART_ARC
(5,11),0.483464 # DEPENDENCYPART_ARC
(5,12),-3.715 # DEPENDENCYPART_ARC
(5,13),-4.02308 # DEPENDENCYPART_ARC
(5,14),-3.49512 # DEPENDENCYPART_ARC
(5,15),-0.739238 # DEPENDENCYPART_ARC
(5,16),-1.14718 # DEPENDENCYPART_ARC
(5,17),-1.76429 # DEPENDENCYPART_ARC
(5,18),-2.55113 # DEPENDENCYPART_ARC
(5,19),-2.92027 # DEPENDENCYPART_ARC
(5,20),-1.26162 # DEPENDENCYPART_ARC
(5,21),-1.5361 # DEPENDENCYPART_ARC
(5,22),-2.42103 # DEPENDENCYPART_ARC
(5,23),-3.87499 # DEPENDENCYPART_ARC
(5,24),-3.42318 # DEPENDENCYPART_ARC
(5,25),-5.8139 # DEPENDENCYPART_ARC
(5,26),-4.13334 # DEPENDENCYPART_ARC
(5,27),-4.70141 # DEPENDENCYPART_ARC
(5,28),-4.18127 # DEPENDENCYPART_ARC
(5,29),-4.38655 # DEPENDENCYPART_ARC
(5,30),-4.91404 # DEPENDENCYPART_ARC
(6,1),-2.19273 # DEPENDENCYPART_ARC
