# _root_ Jestliže rada jednou jmenovala komisi a schválila její závěr , nemůže se zříci odpovědnosti , trvá na svém ředitel Sadil .
#goldHeads=11,6,4,6,4,1,6,9,7,1,15,13,11,13,0,15,16,17,20,16,0,
#predictedHeads=11,4,4,6,4,1,6,9,7,1,0,13,11,13,1,15,16,17,20,16,0,
(0,1),-0.16547 # DEPENDENCYPART_ARC
(0,2),-1.44696 # DEPENDENCYPART_ARC
(0,3),-0.0651545 # DEPENDENCYPART_ARC
(0,4),0.0232245 # DEPENDENCYPART_ARC
(0,5),-2.58593 # DEPENDENCYPART_ARC
(0,6),-0.502607 # DEPENDENCYPART_ARC
(0,7),-1.11109 # DEPENDENCYPART_ARC
(0,9),-3.37313 # DEPENDENCYPART_ARC
(0,10),-0.818967 # DEPENDENCYPART_ARC
(0,11),0.0191712 # DEPENDENCYPART_ARC
(0,13),-2.36323 # DEPENDENCYPART_ARC
(0,14),-5.46276 # DEPENDENCYPART_ARC
(0,15),-1.08722 # DEPENDENCYPART_ARC
(0,16),-1.31301 # DEPENDENCYPART_ARC
(0,17),-6.21413 # DEPENDENCYPART_ARC
(0,18),-2.2542 # DEPENDENCYPART_ARC
(0,19),-5.04885 # DEPENDENCYPART_ARC
(0,20),-5.10332 # DEPENDENCYPART_ARC
(0,21),4.5255 # DEPENDENCYPART_ARC
(1,2),0.518092 # DEPENDENCYPART_ARC
(1,3),-0.149888 # DEPENDENCYPART_ARC
(1,4),1.73834 # DEPENDENCYPART_ARC
(1,5),-0.952835 # DEPENDENCYPART_ARC
(1,6),0.739392 # DEPENDENCYPART_ARC
(1,7),-0.0223069 # DEPENDENCYPART_ARC
(1,9),-2.63859 # DEPENDENCYPART_ARC
(1,10),2.44865 # DEPENDENCYPART_ARC
(1,11),0.0966318 # DEPENDENCYPART_ARC
(1,13),-1.59579 # DEPENDENCYPART_ARC
(1,14),-4.05966 # DEPENDENCYPART_ARC
(1,15),1.93494 # DEPENDENCYPART_ARC
(1,16),-2.17533 # DEPENDENCYPART_ARC
(1,17),-3.4786 # DEPENDENCYPART_ARC
(1,18),-2.57855 # DEPENDENCYPART_ARC
(1,19),-5.73483 # DEPENDENCYPART_ARC
(1,20),-5.40411 # DEPENDENCYPART_ARC
(1,21),-2.45336 # DEPENDENCYPART_ARC
(2,1),0.310634 # DEPENDENCYPART_ARC
(2,3),0.591784 # DEPENDENCYPART_ARC
(2,4),-0.585014 # DEPENDENCYPART_ARC
(2,5),-3.64543 # DEPENDENCYPART_ARC
(2,6),-0.0814258 # DEPENDENCYPART_ARC
(2,7),-2.80218 # DEPENDENCYPART_ARC
(2,8),-2.69728 # DEPENDENCYPART_ARC
(2,9),-5.77567 # DEPENDENCYPART_ARC
(2,10),-1.02272 # DEPENDENCYPART_ARC
(2,11),-4.54154 # DEPENDENCYPART_ARC
(2,12),-1.93575 # DEPENDENCYPART_ARC
(2,13),-2.72188 # DEPENDENCYPART_ARC
(2,14),-4.41373 # DEPENDENCYPART_ARC
(2,15),-1.63889 # DEPENDENCYPART_ARC
(2,16),-6.19197 # DEPENDENCYPART_ARC
(2,17),-3.9123 # DEPENDENCYPART_ARC
(2,18),-2.26559 # DEPENDENCYPART_ARC
(2,19),-6.45524 # DEPENDENCYPART_ARC
(2,20),-6.72406 # DEPENDENCYPART_ARC
(2,21),-6.89368 # DEPENDENCYPART_ARC
(3,1),-0.573794 # DEPENDENCYPART_ARC
(3,2),-0.920421 # DEPENDENCYPART_ARC
(3,4),-0.959305 # DEPENDENCYPART_ARC
(3,5),-1.29485 # DEPENDENCYPART_ARC
(3,6),-0.9698 # DEPENDENCYPART_ARC
(3,7),-2.17665 # DEPENDENCYPART_ARC
(3,8),-2.14564 # DEPENDENCYPART_ARC
(3,9),-3.1468 # DEPENDENCYPART_ARC
(3,10),-1.61452 # DEPENDENCYPART_ARC
(3,11),-2.65902 # DEPENDENCYPART_ARC
(3,13),-2.7593 # DEPENDENCYPART_ARC
(3,14),-4.24194 # DEPENDENCYPART_ARC
(3,15),-2.06876 # DEPENDENCYPART_ARC
(3,16),-3.28135 # DEPENDENCYPART_ARC
(3,17),-3.07485 # DEPENDENCYPART_ARC
(3,18),-2.94892 # DEPENDENCYPART_ARC
(3,19),-5.39196 # DEPENDENCYPART_ARC
(3,20),-5.35464 # DEPENDENCYPART_ARC
(3,21),-3.95505 # DEPENDENCYPART_ARC
(4,1),1.50117 # DEPENDENCYPART_ARC
(4,2),3.3528 # DEPENDENCYPART_ARC
(4,3),2.93754 # DEPENDENCYPART_ARC
(4,5),3.57746 # DEPENDENCYPART_ARC
(4,6),0.957604 # DEPENDENCYPART_ARC
(4,7),-2.86648 # DEPENDENCYPART_ARC
(4,8),-3.92982 # DEPENDENCYPART_ARC
(4,9),0.625332 # DEPENDENCYPART_ARC
(4,10),0.79853 # DEPENDENCYPART_ARC
(4,11),-4.11309 # DEPENDENCYPART_ARC
(4,12),-1.71652 # DEPENDENCYPART_ARC
(4,13),-1.49263 # DEPENDENCYPART_ARC
(4,14),-3.54255 # DEPENDENCYPART_ARC
(4,15),0.14243 # DEPENDENCYPART_ARC
(4,16),-4.82602 # DEPENDENCYPART_ARC
(4,17),-2.08906 # DEPENDENCYPART_ARC
(4,18),-4.76025 # DEPENDENCYPART_ARC
(4,19),-4.80572 # DEPENDENCYPART_ARC
(4,20),-3.9699 # DEPENDENCYPART_ARC
(4,21),-1.49221 # DEPENDENCYPART_ARC
(5,1),-0.749567 # DEPENDENCYPART_ARC
(5,2),-2.53879 # DEPENDENCYPART_ARC
(5,3),0.13669 # DEPENDENCYPART_ARC
(5,4),-1.44218 # DEPENDENCYPART_ARC
(5,6),-0.232287 # DEPENDENCYPART_ARC
(5,7),-1.96527 # DEPENDENCYPART_ARC
(5,8),-2.97845 # DEPENDENCYPART_ARC
(5,9),-2.68526 # DEPENDENCYPART_ARC
(5,10),-1.79106 # DEPENDENCYPART_ARC
(5,11),-3.72546 # DEPENDENCYPART_ARC
(5,12),-2.75901 # DEPENDENCYPART_ARC
(5,13),-1.38583 # DEPENDENCYPART_ARC
(5,14),-4.25746 # DEPENDENCYPART_ARC
(5,15),-2.17011 # DEPENDENCYPART_ARC
(5,16),-5.62165 # DEPENDENCYPART_ARC
(5,17),-3.70722 # DEPENDENCYPART_ARC
(5,18),-3.69212 # DEPENDENCYPART_ARC
(5,19),-6.77153 # DEPENDENCYPART_ARC
(5,20),-6.85965 # DEPENDENCYPART_ARC
(5,21),-6.59037 # DEPENDENCYPART_ARC
(6,1),1.13046 # DEPENDENCYPART_ARC
(6,2),1.79738 # DEPENDENCYPART_ARC
(6,3),0.526491 # DEPENDENCYPART_ARC
(6,4),2.71764 # DEPENDENCYPART_ARC
(6,5),1.06129 # DEPENDENCYPART_ARC
(6,7),2.73208 # DEPENDENCYPART_ARC
(6,8),-0.00891014 # DEPENDENCYPART_ARC
(6,9),0.539357 # DEPENDENCYPART_ARC
(6,10),0.987195 # DEPENDENCYPART_ARC
(6,11),0.440179 # DEPENDENCYPART_ARC
(6,12),-1.77989 # DEPENDENCYPART_ARC
(6,13),-0.552278 # DEPENDENCYPART_ARC
(6,14),-2.53295 # DEPENDENCYPART_ARC
(6,15),0.750402 # DEPENDENCYPART_ARC
(6,16),-1.76964 # DEPENDENCYPART_ARC
(6,17),-2.43017 # DEPENDENCYPART_ARC
(6,18),-1.85885 # DEPENDENCYPART_ARC
(6,19),-3.80793 # DEPENDENCYPART_ARC
(6,20),-4.11126 # DEPENDENCYPART_ARC
(6,21),-2.04633 # DEPENDENCYPART_ARC
(7,1),0.41077 # DEPENDENCYPART_ARC
(7,2),0.524425 # DEPENDENCYPART_ARC
(7,3),-0.109754 # DEPENDENCYPART_ARC
(7,4),-2.19222 # DEPENDENCYPART_ARC
(7,5),-0.185405 # DEPENDENCYPART_ARC
(7,6),0.175954 # DEPENDENCYPART_ARC
(7,8),-0.877836 # DEPENDENCYPART_ARC
(7,9),3.48162 # DEPENDENCYPART_ARC
(7,10),0.420223 # DEPENDENCYPART_ARC
(7,11),-1.58319 # DEPENDENCYPART_ARC
(7,12),0.504868 # DEPENDENCYPART_ARC
(7,13),0.544628 # DEPENDENCYPART_ARC
(7,14),-2.50038 # DEPENDENCYPART_ARC
(7,15),-0.224885 # DEPENDENCYPART_ARC
(7,16),-2.97813 # DEPENDENCYPART_ARC
(7,17),-1.33783 # DEPENDENCYPART_ARC
(7,18),-3.44456 # DEPENDENCYPART_ARC
(7,19),-2.7277 # DEPENDENCYPART_ARC
(7,20),-2.48569 # DEPENDENCYPART_ARC
(7,21),-1.4815 # DEPENDENCYPART_ARC
(8,6),-1.44696 # DEPENDENCYPART_ARC
(8,10),-1.14261 # DEPENDENCYPART_ARC
(8,15),-1.07664 # DEPENDENCYPART_ARC
(8,21),-2.10857 # DEPENDENCYPART_ARC
(9,1),-1.88027 # DEPENDENCYPART_ARC
(9,2),-5.15875 # DEPENDENCYPART_ARC
(9,3),-1.09608 # DEPENDENCYPART_ARC
(9,4),-2.94965 # DEPENDENCYPART_ARC
(9,5),-1.77868 # DEPENDENCYPART_ARC
(9,6),-0.620485 # DEPENDENCYPART_ARC
(9,7),-2.06771 # DEPENDENCYPART_ARC
(9,8),5.23453 # DEPENDENCYPART_ARC
(9,10),-0.712354 # DEPENDENCYPART_ARC
(9,11),-1.71997 # DEPENDENCYPART_ARC
(9,12),-2.26216 # DEPENDENCYPART_ARC
(9,13),1.13607 # DEPENDENCYPART_ARC
(9,14),-2.34156 # DEPENDENCYPART_ARC
(9,15),-1.19274 # DEPENDENCYPART_ARC
(9,16),-3.38558 # DEPENDENCYPART_ARC
(9,17),-3.20038 # DEPENDENCYPART_ARC
(9,18),-2.9637 # DEPENDENCYPART_ARC
(9,19),-5.8279 # DEPENDENCYPART_ARC
(9,20),-5.09263 # DEPENDENCYPART_ARC
(9,21),-4.79083 # DEPENDENCYPART_ARC
(10,1),0.343564 # DEPENDENCYPART_ARC
(10,2),-0.99165 # DEPENDENCYPART_ARC
(10,3),-0.57444 # DEPENDENCYPART_ARC
(10,4),0.436899 # DEPENDENCYPART_ARC
(10,5),-0.112432 # DEPENDENCYPART_ARC
(10,6),0.201223 # DEPENDENCYPART_ARC
(10,7),0.776277 # DEPENDENCYPART_ARC
(10,8),0.305794 # DEPENDENCYPART_ARC
(10,9),-0.0848305 # DEPENDENCYPART_ARC
(10,11),0.501077 # DEPENDENCYPART_ARC
(10,12),-0.372171 # DEPENDENCYPART_ARC
(10,13),-0.260036 # DEPENDENCYPART_ARC
(10,14),-1.20625 # DEPENDENCYPART_ARC
(10,15),0.269901 # DEPENDENCYPART_ARC
(10,16),-1.63591 # DEPENDENCYPART_ARC
(10,17),-2.11085 # DEPENDENCYPART_ARC
(10,19),-3.00178 # DEPENDENCYPART_ARC
(10,20),-2.9241 # DEPENDENCYPART_ARC
(10,21),-0.237399 # DEPENDENCYPART_ARC
(11,1),2.13923 # DEPENDENCYPART_ARC
(11,2),0.457073 # DEPENDENCYPART_ARC
(11,3),-0.612238 # DEPENDENCYPART_ARC
(11,4),-1.43758 # DEPENDENCYPART_ARC
(11,5),-1.20431 # DEPENDENCYPART_ARC
(11,6),0.201844 # DEPENDENCYPART_ARC
(11,7),-0.333889 # DEPENDENCYPART_ARC
(11,8),-2.21146 # DEPENDENCYPART_ARC
(11,9),0.344171 # DEPENDENCYPART_ARC
(11,10),0.328053 # DEPENDENCYPART_ARC
(11,12),2.66177 # DEPENDENCYPART_ARC
(11,13),3.08532 # DEPENDENCYPART_ARC
(11,14),0.307217 # DEPENDENCYPART_ARC
(11,15),0.766448 # DEPENDENCYPART_ARC
(11,16),-1.30171 # DEPENDENCYPART_ARC
(11,17),-0.0811081 # DEPENDENCYPART_ARC
(11,18),-2.5906 # DEPENDENCYPART_ARC
(11,19),-1.5123 # DEPENDENCYPART_ARC
(11,20),-0.994606 # DEPENDENCYPART_ARC
(11,21),-0.532179 # DEPENDENCYPART_ARC
(13,1),1.03597 # DEPENDENCYPART_ARC
(13,2),-0.879732 # DEPENDENCYPART_ARC
(13,3),-0.915587 # DEPENDENCYPART_ARC
(13,4),-4.70981 # DEPENDENCYPART_ARC
(13,5),-0.156896 # DEPENDENCYPART_ARC
(13,6),-0.23886 # DEPENDENCYPART_ARC
(13,7),-3.06475 # DEPENDENCYPART_ARC
(13,9),1.27277 # DEPENDENCYPART_ARC
(13,10),-0.202805 # DEPENDENCYPART_ARC
(13,11),-1.38425 # DEPENDENCYPART_ARC
(13,12),2.73387 # DEPENDENCYPART_ARC
(13,14),1.75415 # DEPENDENCYPART_ARC
(13,15),1.21389 # DEPENDENCYPART_ARC
(13,16),-1.02574 # DEPENDENCYPART_ARC
(13,17),-0.191678 # DEPENDENCYPART_ARC
(13,19),-3.77804 # DEPENDENCYPART_ARC
(13,20),-3.25817 # DEPENDENCYPART_ARC
(13,21),-0.794386 # DEPENDENCYPART_ARC
(14,1),-3.91164 # DEPENDENCYPART_ARC
(14,2),-6.06983 # DEPENDENCYPART_ARC
(14,3),-3.1157 # DEPENDENCYPART_ARC
(14,4),-3.68779 # DEPENDENCYPART_ARC
(14,5),-5.01636 # DEPENDENCYPART_ARC
(14,6),-3.27963 # DEPENDENCYPART_ARC
(14,7),-3.34526 # DEPENDENCYPART_ARC
(14,8),-1.58899 # DEPENDENCYPART_ARC
(14,9),-4.20516 # DEPENDENCYPART_ARC
(14,10),-1.84013 # DEPENDENCYPART_ARC
(14,11),-1.80069 # DEPENDENCYPART_ARC
(14,12),-1.76327 # DEPENDENCYPART_ARC
(14,13),0.404707 # DEPENDENCYPART_ARC
(14,15),-0.685567 # DEPENDENCYPART_ARC
(14,16),-0.735177 # DEPENDENCYPART_ARC
(14,17),-1.17167 # DEPENDENCYPART_ARC
(14,18),-2.64754 # DEPENDENCYPART_ARC
(14,19),-2.78926 # DEPENDENCYPART_ARC
(14,20),-3.07894 # DEPENDENCYPART_ARC
(14,21),-2.50933 # DEPENDENCYPART_ARC
(15,1),0.789101 # DEPENDENCYPART_ARC
(15,2),-1.89694 # DEPENDENCYPART_ARC
(15,3),-1.03977 # DEPENDENCYPART_ARC
(15,4),0.0835503 # DEPENDENCYPART_ARC
(15,5),-0.821251 # DEPENDENCYPART_ARC
(15,6),0.015653 # DEPENDENCYPART_ARC
(15,7),0.243422 # DEPENDENCYPART_ARC
(15,8),0.199048 # DEPENDENCYPART_ARC
(15,9),-0.692006 # DEPENDENCYPART_ARC
(15,10),0.437064 # DEPENDENCYPART_ARC
(15,11),1.09148 # DEPENDENCYPART_ARC
(15,12),0.380521 # DEPENDENCYPART_ARC
(15,13),0.579224 # DEPENDENCYPART_ARC
(15,14),0.276452 # DEPENDENCYPART_ARC
(15,16),0.0858216 # DEPENDENCYPART_ARC
(15,17),-0.613232 # DEPENDENCYPART_ARC
(15,19),-0.871741 # DEPENDENCYPART_ARC
(15,20),-0.883845 # DEPENDENCYPART_ARC
(15,21),-0.00613903 # DEPENDENCYPART_ARC
(16,1),2.30927 # DEPENDENCYPART_ARC
(16,2),0.00549081 # DEPENDENCYPART_ARC
(16,3),-1.55304 # DEPENDENCYPART_ARC
