# _root_ Mezi pašeráky byli v Průhonicích u Prahy zadrženi i dva policisté z Bratislavy , kteří - jak se po prvním výslechu ukázalo - nepřísluší ke kriminální , ale k dopravní policii .
#goldHeads=8,1,8,8,4,5,6,0,11,11,8,11,12,24,24,22,22,22,22,21,19,24,22,11,28,25,28,24,28,31,29,0,
#predictedHeads=3,1,8,3,4,8,6,0,11,11,8,11,12,22,24,22,22,22,22,21,19,13,22,28,28,25,28,22,28,31,29,0,
(0,1),-0.14731 # DEPENDENCYPART_ARC
(0,2),-1.3894 # DEPENDENCYPART_ARC
(0,3),0.716227 # DEPENDENCYPART_ARC
(0,4),-1.05304 # DEPENDENCYPART_ARC
(0,5),-1.02118 # DEPENDENCYPART_ARC
(0,6),-0.472687 # DEPENDENCYPART_ARC
(0,7),-1.9075 # DEPENDENCYPART_ARC
(0,8),0.639201 # DEPENDENCYPART_ARC
(0,9),-2.27404 # DEPENDENCYPART_ARC
(0,10),-2.15367 # DEPENDENCYPART_ARC
(0,11),-1.96532 # DEPENDENCYPART_ARC
(0,12),-3.10437 # DEPENDENCYPART_ARC
(0,13),-2.07916 # DEPENDENCYPART_ARC
(0,14),-0.0904427 # DEPENDENCYPART_ARC
(0,15),-2.10293 # DEPENDENCYPART_ARC
(0,16),-0.826501 # DEPENDENCYPART_ARC
(0,17),-3.02686 # DEPENDENCYPART_ARC
(0,18),-3.2862 # DEPENDENCYPART_ARC
(0,19),-3.65555 # DEPENDENCYPART_ARC
(0,20),-3.18849 # DEPENDENCYPART_ARC
(0,21),-3.13621 # DEPENDENCYPART_ARC
(0,22),-0.504059 # DEPENDENCYPART_ARC
(0,23),-1.22388 # DEPENDENCYPART_ARC
(0,24),-0.353276 # DEPENDENCYPART_ARC
(0,25),-6.00387 # DEPENDENCYPART_ARC
(0,26),-3.26806 # DEPENDENCYPART_ARC
(0,27),-0.92993 # DEPENDENCYPART_ARC
(0,28),-0.49176 # DEPENDENCYPART_ARC
(0,29),-5.80129 # DEPENDENCYPART_ARC
(0,30),-3.72721 # DEPENDENCYPART_ARC
(0,31),-3.60933 # DEPENDENCYPART_ARC
(0,32),5.02517 # DEPENDENCYPART_ARC
(1,2),4.00011 # DEPENDENCYPART_ARC
(1,3),-1.23606 # DEPENDENCYPART_ARC
(1,4),-1.69417 # DEPENDENCYPART_ARC
(1,5),-1.58478 # DEPENDENCYPART_ARC
(1,6),-1.82435 # DEPENDENCYPART_ARC
(1,7),-4.15112 # DEPENDENCYPART_ARC
(1,8),-2.1225 # DEPENDENCYPART_ARC
(1,9),-1.75339 # DEPENDENCYPART_ARC
(1,10),-3.43098 # DEPENDENCYPART_ARC
(1,11),-7.85058 # DEPENDENCYPART_ARC
(1,12),-2.4858 # DEPENDENCYPART_ARC
(1,13),-7.93378 # DEPENDENCYPART_ARC
(1,14),-2.08696 # DEPENDENCYPART_ARC
(1,15),-5.13005 # DEPENDENCYPART_ARC
(1,16),-2.21879 # DEPENDENCYPART_ARC
(1,17),-2.30224 # DEPENDENCYPART_ARC
(1,18),-4.65785 # DEPENDENCYPART_ARC
(1,19),-3.14017 # DEPENDENCYPART_ARC
(1,20),-3.65467 # DEPENDENCYPART_ARC
(1,21),-8.72802 # DEPENDENCYPART_ARC
(1,22),-3.15152 # DEPENDENCYPART_ARC
(1,23),-3.23818 # DEPENDENCYPART_ARC
(1,24),-2.7541 # DEPENDENCYPART_ARC
(1,25),-3.47375 # DEPENDENCYPART_ARC
(1,26),-3.68912 # DEPENDENCYPART_ARC
(1,27),-3.84676 # DEPENDENCYPART_ARC
(1,28),-2.61212 # DEPENDENCYPART_ARC
(1,29),-3.89158 # DEPENDENCYPART_ARC
(1,30),-4.12198 # DEPENDENCYPART_ARC
(1,31),-13.3438 # DEPENDENCYPART_ARC
(1,32),-5.25662 # DEPENDENCYPART_ARC
(2,1),-0.172522 # DEPENDENCYPART_ARC
(2,3),-0.0500482 # DEPENDENCYPART_ARC
(2,4),-1.11542 # DEPENDENCYPART_ARC
(2,5),-1.6274 # DEPENDENCYPART_ARC
(2,6),-0.277614 # DEPENDENCYPART_ARC
(2,7),-0.832869 # DEPENDENCYPART_ARC
(2,8),-1.2387 # DEPENDENCYPART_ARC
(2,9),-1.19148 # DEPENDENCYPART_ARC
(2,10),-2.58839 # DEPENDENCYPART_ARC
(2,11),-5.68561 # DEPENDENCYPART_ARC
(2,12),-1.34415 # DEPENDENCYPART_ARC
(2,13),-3.05267 # DEPENDENCYPART_ARC
(2,14),-1.54777 # DEPENDENCYPART_ARC
(2,15),-3.2612 # DEPENDENCYPART_ARC
(2,16),-2.24964 # DEPENDENCYPART_ARC
(2,17),-1.3012 # DEPENDENCYPART_ARC
(2,18),-3.82277 # DEPENDENCYPART_ARC
(2,19),-2.55047 # DEPENDENCYPART_ARC
(2,20),-4.17466 # DEPENDENCYPART_ARC
(2,21),-5.59546 # DEPENDENCYPART_ARC
(2,22),-4.47794 # DEPENDENCYPART_ARC
(2,23),-3.32722 # DEPENDENCYPART_ARC
(2,24),-5.17961 # DEPENDENCYPART_ARC
(2,25),-6.36572 # DEPENDENCYPART_ARC
(2,26),-6.93792 # DEPENDENCYPART_ARC
(2,27),-2.17446 # DEPENDENCYPART_ARC
(2,28),-1.55729 # DEPENDENCYPART_ARC
(2,29),-6.98593 # DEPENDENCYPART_ARC
(2,30),-7.91472 # DEPENDENCYPART_ARC
(2,31),-9.41119 # DEPENDENCYPART_ARC
(2,32),-11.5089 # DEPENDENCYPART_ARC
(3,1),2.44251 # DEPENDENCYPART_ARC
(3,2),1.66736 # DEPENDENCYPART_ARC
(3,4),2.79934 # DEPENDENCYPART_ARC
(3,5),-0.917538 # DEPENDENCYPART_ARC
(3,6),1.71034 # DEPENDENCYPART_ARC
(3,7),-3.21292 # DEPENDENCYPART_ARC
(3,8),0.824655 # DEPENDENCYPART_ARC
(3,9),-0.27326 # DEPENDENCYPART_ARC
(3,10),-0.635633 # DEPENDENCYPART_ARC
(3,11),-0.299562 # DEPENDENCYPART_ARC
(3,12),-0.243831 # DEPENDENCYPART_ARC
(3,13),-4.97002 # DEPENDENCYPART_ARC
(3,14),0.293419 # DEPENDENCYPART_ARC
(3,15),-2.11543 # DEPENDENCYPART_ARC
(3,16),-0.62878 # DEPENDENCYPART_ARC
(3,17),-1.34747 # DEPENDENCYPART_ARC
(3,18),-1.79662 # DEPENDENCYPART_ARC
(3,19),-0.596978 # DEPENDENCYPART_ARC
(3,20),-3.79196 # DEPENDENCYPART_ARC
