# _root_ Tím , že Schumpeter opouští abstraktní schéma tržní ekonomiky a zkoumá kapitalistický systém , je blíž klasické škole a Marxovi než Marshallovi a Walrasovi .
#goldHeads=15,3,1,10,10,7,5,9,7,3,10,13,11,3,0,15,18,19,16,19,16,23,21,23,0,
#predictedHeads=16,3,1,5,10,7,5,9,7,3,10,13,11,11,0,15,18,19,15,19,16,21,21,23,0,
(0,1),-0.941925 # DEPENDENCYPART_ARC
(0,2),-0.113663 # DEPENDENCYPART_ARC
(0,3),-0.987874 # DEPENDENCYPART_ARC
(0,4),-1.91553 # DEPENDENCYPART_ARC
(0,5),-0.0993387 # DEPENDENCYPART_ARC
(0,6),-2.21952 # DEPENDENCYPART_ARC
(0,7),-3.02554 # DEPENDENCYPART_ARC
(0,8),-2.60004 # DEPENDENCYPART_ARC
(0,9),-3.74762 # DEPENDENCYPART_ARC
(0,10),-0.839801 # DEPENDENCYPART_ARC
(0,11),-1.70765 # DEPENDENCYPART_ARC
(0,12),-3.30399 # DEPENDENCYPART_ARC
(0,13),-4.55299 # DEPENDENCYPART_ARC
(0,14),-1.07106 # DEPENDENCYPART_ARC
(0,15),0.0895696 # DEPENDENCYPART_ARC
(0,16),-2.53241 # DEPENDENCYPART_ARC
(0,17),-3.31919 # DEPENDENCYPART_ARC
(0,18),-4.9103 # DEPENDENCYPART_ARC
(0,19),-2.18462 # DEPENDENCYPART_ARC
(0,20),-5.19533 # DEPENDENCYPART_ARC
(0,21),-6.4003 # DEPENDENCYPART_ARC
(0,22),-5.04574 # DEPENDENCYPART_ARC
(0,23),-2.90632 # DEPENDENCYPART_ARC
(0,24),-4.6897 # DEPENDENCYPART_ARC
(0,25),4.53888 # DEPENDENCYPART_ARC
(1,2),-0.0484444 # DEPENDENCYPART_ARC
(1,3),2.14808 # DEPENDENCYPART_ARC
(1,4),-1.44491 # DEPENDENCYPART_ARC
(1,5),-0.30438 # DEPENDENCYPART_ARC
(1,6),-0.879136 # DEPENDENCYPART_ARC
(1,7),-1.32326 # DEPENDENCYPART_ARC
(1,8),-1.98626 # DEPENDENCYPART_ARC
(1,9),-2.11287 # DEPENDENCYPART_ARC
(1,10),-0.275956 # DEPENDENCYPART_ARC
(1,11),-3.43332 # DEPENDENCYPART_ARC
(1,12),-2.52669 # DEPENDENCYPART_ARC
(1,13),-1.63201 # DEPENDENCYPART_ARC
(1,14),-0.251639 # DEPENDENCYPART_ARC
(1,15),-6.32626 # DEPENDENCYPART_ARC
(1,16),-2.17453 # DEPENDENCYPART_ARC
(1,17),-2.56715 # DEPENDENCYPART_ARC
(1,18),-2.56818 # DEPENDENCYPART_ARC
(1,19),-1.7437 # DEPENDENCYPART_ARC
(1,20),-2.53013 # DEPENDENCYPART_ARC
(1,21),-2.38713 # DEPENDENCYPART_ARC
(1,22),-2.59945 # DEPENDENCYPART_ARC
(1,23),-2.20076 # DEPENDENCYPART_ARC
(1,24),-2.68773 # DEPENDENCYPART_ARC
(1,25),-1.85231 # DEPENDENCYPART_ARC
(2,1),-0.52742 # DEPENDENCYPART_ARC
(2,3),-0.124589 # DEPENDENCYPART_ARC
(2,4),-1.22308 # DEPENDENCYPART_ARC
(2,5),-0.19547 # DEPENDENCYPART_ARC
(2,6),-1.23713 # DEPENDENCYPART_ARC
(2,7),-2.40891 # DEPENDENCYPART_ARC
(2,8),-1.76325 # DEPENDENCYPART_ARC
(2,9),-2.74539 # DEPENDENCYPART_ARC
(2,10),-1.30871 # DEPENDENCYPART_ARC
