# _root_ Obávám se , že Ivanu Hlinkovi a Stanislavu Neveselému zbyla už právě jen ta slepá víra v boží zázrak , který se nepochybně sám od sebe nedostaví .
#goldHeads=0,1,4,1,6,7,10,9,7,4,10,16,16,16,16,10,16,19,17,27,27,27,27,21,27,25,19,0,
#predictedHeads=0,1,4,1,6,7,4,7,7,4,10,16,16,16,16,10,16,19,17,27,27,27,27,27,27,25,19,0,
(0,1),0.0792937 # DEPENDENCYPART_ARC
(0,3),-0.50243 # DEPENDENCYPART_ARC
(0,4),-2.14419 # DEPENDENCYPART_ARC
(0,5),-2.85653 # DEPENDENCYPART_ARC
(0,6),-2.32676 # DEPENDENCYPART_ARC
(0,7),-1.74818 # DEPENDENCYPART_ARC
(0,8),-3.56508 # DEPENDENCYPART_ARC
(0,9),-3.03268 # DEPENDENCYPART_ARC
(0,10),-1.21092 # DEPENDENCYPART_ARC
(0,11),-2.68071 # DEPENDENCYPART_ARC
(0,12),-2.54595 # DEPENDENCYPART_ARC
(0,13),-2.92597 # DEPENDENCYPART_ARC
(0,14),-2.21027 # DEPENDENCYPART_ARC
(0,15),-3.37768 # DEPENDENCYPART_ARC
(0,16),-3.79115 # DEPENDENCYPART_ARC
(0,17),-3.84771 # DEPENDENCYPART_ARC
(0,18),-4.22909 # DEPENDENCYPART_ARC
(0,19),-3.74382 # DEPENDENCYPART_ARC
(0,20),-1.92039 # DEPENDENCYPART_ARC
(0,21),-3.08084 # DEPENDENCYPART_ARC
(0,23),-3.88506 # DEPENDENCYPART_ARC
(0,24),-3.1043 # DEPENDENCYPART_ARC
(0,25),-5.74681 # DEPENDENCYPART_ARC
(0,27),-3.06027 # DEPENDENCYPART_ARC
(0,28),4.40211 # DEPENDENCYPART_ARC
(1,2),3.70045 # DEPENDENCYPART_ARC
(1,3),0.470067 # DEPENDENCYPART_ARC
(1,4),2.09728 # DEPENDENCYPART_ARC
(1,5),-2.29165 # DEPENDENCYPART_ARC
(1,6),-1.03389 # DEPENDENCYPART_ARC
(1,7),0.620122 # DEPENDENCYPART_ARC
(1,8),-3.04225 # DEPENDENCYPART_ARC
(1,9),-2.1745 # DEPENDENCYPART_ARC
(1,10),-3.30424 # DEPENDENCYPART_ARC
(1,11),-0.349922 # DEPENDENCYPART_ARC
(1,12),-1.09205 # DEPENDENCYPART_ARC
(1,13),-1.34577 # DEPENDENCYPART_ARC
(1,14),-2.54093 # DEPENDENCYPART_ARC
(1,15),-3.79817 # DEPENDENCYPART_ARC
(1,16),-1.65383 # DEPENDENCYPART_ARC
(1,17),-1.59333 # DEPENDENCYPART_ARC
(1,18),-5.45331 # DEPENDENCYPART_ARC
(1,19),-1.77298 # DEPENDENCYPART_ARC
(1,20),-0.423152 # DEPENDENCYPART_ARC
(1,21),-4.57382 # DEPENDENCYPART_ARC
(1,22),-3.48553 # DEPENDENCYPART_ARC
(1,23),-1.21313 # DEPENDENCYPART_ARC
(1,24),-4.61521 # DEPENDENCYPART_ARC
(1,25),-1.15866 # DEPENDENCYPART_ARC
(1,26),-6.3261 # DEPENDENCYPART_ARC
(1,27),-2.90056 # DEPENDENCYPART_ARC
(1,28),-0.545847 # DEPENDENCYPART_ARC
(3,1),-0.944467 # DEPENDENCYPART_ARC
(3,2),-0.274034 # DEPENDENCYPART_ARC
(3,4),-0.0879375 # DEPENDENCYPART_ARC
(3,5),-0.986168 # DEPENDENCYPART_ARC
(3,6),-1.15968 # DEPENDENCYPART_ARC
(3,7),-1.04394 # DEPENDENCYPART_ARC
(3,8),-2.09618 # DEPENDENCYPART_ARC
(3,9),-2.0074 # DEPENDENCYPART_ARC
(3,10),-1.17016 # DEPENDENCYPART_ARC
(3,11),-1.90093 # DEPENDENCYPART_ARC
(3,12),-1.88318 # DEPENDENCYPART_ARC
(3,13),-2.1828 # DEPENDENCYPART_ARC
(3,14),-2.74017 # DEPENDENCYPART_ARC
(3,15),-2.0397 # DEPENDENCYPART_ARC
(3,16),-3.64227 # DEPENDENCYPART_ARC
(3,17),-3.61774 # DEPENDENCYPART_ARC
(3,18),-2.44294 # DEPENDENCYPART_ARC
(3,19),-3.8799 # DEPENDENCYPART_ARC
(3,20),-1.5256 # DEPENDENCYPART_ARC
(3,21),-3.46925 # DEPENDENCYPART_ARC
(3,22),-4.25904 # DEPENDENCYPART_ARC
(3,23),-3.1377 # DEPENDENCYPART_ARC
(3,24),-3.63004 # DEPENDENCYPART_ARC
(3,25),-4.21612 # DEPENDENCYPART_ARC
(3,26),-3.68818 # DEPENDENCYPART_ARC
(3,27),-2.66027 # DEPENDENCYPART_ARC
(3,28),-1.91561 # DEPENDENCYPART_ARC
(4,1),-1.88368 # DEPENDENCYPART_ARC
(4,3),2.38749 # DEPENDENCYPART_ARC
(4,5),-0.428277 # DEPENDENCYPART_ARC
(4,6),-0.551391 # DEPENDENCYPART_ARC
(4,7),0.931687 # DEPENDENCYPART_ARC
(4,8),-1.75974 # DEPENDENCYPART_ARC
(4,9),-1.57533 # DEPENDENCYPART_ARC
(4,10),1.82061 # DEPENDENCYPART_ARC
(4,11),-0.990153 # DEPENDENCYPART_ARC
(4,12),-1.0397 # DEPENDENCYPART_ARC
(4,13),-1.32266 # DEPENDENCYPART_ARC
(4,14),-1.99278 # DEPENDENCYPART_ARC
(4,15),-2.36946 # DEPENDENCYPART_ARC
(4,16),-3.58623 # DEPENDENCYPART_ARC
(4,17),-2.28344 # DEPENDENCYPART_ARC
(4,18),-2.88683 # DEPENDENCYPART_ARC
(4,19),-3.61741 # DEPENDENCYPART_ARC
(4,20),-0.0164518 # DEPENDENCYPART_ARC
(4,23),-1.07075 # DEPENDENCYPART_ARC
(4,25),-3.02675 # DEPENDENCYPART_ARC
(4,26),-3.76767 # DEPENDENCYPART_ARC
(4,27),-0.0269565 # DEPENDENCYPART_ARC
(4,28),-1.79981 # DEPENDENCYPART_ARC
(5,1),-4.72212 # DEPENDENCYPART_ARC
(5,2),-5.73108 # DEPENDENCYPART_ARC
(5,3),-1.00719 # DEPENDENCYPART_ARC
(5,4),-1.71849 # DEPENDENCYPART_ARC
(5,6),-1.20314 # DEPENDENCYPART_ARC
(5,7),1.85591 # DEPENDENCYPART_ARC
(5,8),-4.3153 # DEPENDENCYPART_ARC
(5,9),-1.12719 # DEPENDENCYPART_ARC
(5,10),-2.855 # DEPENDENCYPART_ARC
(5,11),-0.266225 # DEPENDENCYPART_ARC
(5,12),-0.299065 # DEPENDENCYPART_ARC
(5,13),-0.409096 # DEPENDENCYPART_ARC
(5,14),-1.79455 # DEPENDENCYPART_ARC
(5,15),-4.55439 # DEPENDENCYPART_ARC
(5,16),-4.55316 # DEPENDENCYPART_ARC
(5,17),-1.99116 # DEPENDENCYPART_ARC
(5,18),-4.4623 # DEPENDENCYPART_ARC
(5,19),-7.519 # DEPENDENCYPART_ARC
(5,20),-0.463583 # DEPENDENCYPART_ARC
(5,21),-3.3923 # DEPENDENCYPART_ARC
(5,22),-3.45483 # DEPENDENCYPART_ARC
(5,23),-2.61665 # DEPENDENCYPART_ARC
(5,24),-1.16809 # DEPENDENCYPART_ARC
(5,25),-2.75729 # DEPENDENCYPART_ARC
(5,26),-0.893035 # DEPENDENCYPART_ARC
(5,27),-2.96999 # DEPENDENCYPART_ARC
(5,28),-6.6435 # DEPENDENCYPART_ARC
(6,1),-3.86276 # DEPENDENCYPART_ARC
(6,2),-5.19927 # DEPENDENCYPART_ARC
(6,3),-0.973922 # DEPENDENCYPART_ARC
(6,4),-1.28264 # DEPENDENCYPART_ARC
(6,5),6.76674 # DEPENDENCYPART_ARC
(6,7),-0.362957 # DEPENDENCYPART_ARC
(6,8),-3.19773 # DEPENDENCYPART_ARC
(6,9),-1.88031 # DEPENDENCYPART_ARC
(6,10),-3.58868 # DEPENDENCYPART_ARC
(6,11),-1.85554 # DEPENDENCYPART_ARC
(6,12),-1.84609 # DEPENDENCYPART_ARC
(6,13),-2.05466 # DEPENDENCYPART_ARC
(6,14),-3.69337 # DEPENDENCYPART_ARC
(6,15),-5.29614 # DEPENDENCYPART_ARC
