# _root_ Strana demokratické levice po přehodnocení faktu , že vedoucí silou SNP byla komunistická strana , se jednoznačně staví za antifašistický a demokratický odkaz povstání .
#goldHeads=18,3,1,18,4,5,8,6,10,12,10,8,14,12,8,18,18,0,18,21,23,21,19,23,0,
#predictedHeads=18,3,1,0,4,5,8,6,10,12,10,8,14,12,18,18,18,14,18,21,23,21,19,23,0,
(0,1),-0.490062 # DEPENDENCYPART_ARC
(0,2),-1.04799 # DEPENDENCYPART_ARC
(0,3),-1.18451 # DEPENDENCYPART_ARC
(0,4),-0.215365 # DEPENDENCYPART_ARC
(0,5),-1.67984 # DEPENDENCYPART_ARC
(0,6),-1.15898 # DEPENDENCYPART_ARC
(0,7),-0.534562 # DEPENDENCYPART_ARC
(0,8),-2.66394 # DEPENDENCYPART_ARC
(0,9),-2.33522 # DEPENDENCYPART_ARC
(0,10),-2.09851 # DEPENDENCYPART_ARC
(0,11),-3.1296 # DEPENDENCYPART_ARC
(0,12),-0.060422 # DEPENDENCYPART_ARC
(0,13),-2.82151 # DEPENDENCYPART_ARC
(0,14),-3.22495 # DEPENDENCYPART_ARC
(0,15),-0.954926 # DEPENDENCYPART_ARC
(0,16),-4.47426 # DEPENDENCYPART_ARC
(0,17),-2.24776 # DEPENDENCYPART_ARC
(0,18),-0.719169 # DEPENDENCYPART_ARC
(0,19),-3.88305 # DEPENDENCYPART_ARC
(0,20),-3.71218 # DEPENDENCYPART_ARC
(0,21),-1.8059 # DEPENDENCYPART_ARC
(0,22),-3.98874 # DEPENDENCYPART_ARC
(0,23),-4.30066 # DEPENDENCYPART_ARC
(0,24),-4.0953 # DEPENDENCYPART_ARC
(0,25),3.76736 # DEPENDENCYPART_ARC
(1,2),1.65457 # DEPENDENCYPART_ARC
(1,3),3.35237 # DEPENDENCYPART_ARC
(1,4),1.30716 # DEPENDENCYPART_ARC
(1,5),-0.142432 # DEPENDENCYPART_ARC
(1,6),0.94488 # DEPENDENCYPART_ARC
(1,7),0.0733648 # DEPENDENCYPART_ARC
(1,8),0.575389 # DEPENDENCYPART_ARC
(1,9),-0.182571 # DEPENDENCYPART_ARC
(1,10),-0.972377 # DEPENDENCYPART_ARC
(1,11),0.813308 # DEPENDENCYPART_ARC
(1,12),-1.7439 # DEPENDENCYPART_ARC
(1,13),-0.563175 # DEPENDENCYPART_ARC
(1,14),-0.952048 # DEPENDENCYPART_ARC
(1,15),-0.623422 # DEPENDENCYPART_ARC
(1,16),-3.06728 # DEPENDENCYPART_ARC
(1,17),-1.37683 # DEPENDENCYPART_ARC
(1,18),-1.98605 # DEPENDENCYPART_ARC
(1,19),-2.33413 # DEPENDENCYPART_ARC
(1,20),-4.82275 # DEPENDENCYPART_ARC
(1,21),-0.672983 # DEPENDENCYPART_ARC
(1,22),-5.2408 # DEPENDENCYPART_ARC
(1,23),-5.31419 # DEPENDENCYPART_ARC
(1,24),-2.42277 # DEPENDENCYPART_ARC
(1,25),-9.22545 # DEPENDENCYPART_ARC
(2,1),-1.37732 # DEPENDENCYPART_ARC
(2,3),1.15436 # DEPENDENCYPART_ARC
(2,4),0.522132 # DEPENDENCYPART_ARC
(2,5),-1.64756 # DEPENDENCYPART_ARC
(2,6),-2.35484 # DEPENDENCYPART_ARC
(2,7),-0.564405 # DEPENDENCYPART_ARC
(2,8),-0.254514 # DEPENDENCYPART_ARC
(2,9),-2.98258 # DEPENDENCYPART_ARC
(2,10),-2.48792 # DEPENDENCYPART_ARC
(2,11),-3.49174 # DEPENDENCYPART_ARC
(2,12),-3.35429 # DEPENDENCYPART_ARC
(2,13),-4.58842 # DEPENDENCYPART_ARC
(2,14),-4.91838 # DEPENDENCYPART_ARC
(2,15),-1.1598 # DEPENDENCYPART_ARC
(2,16),-3.27113 # DEPENDENCYPART_ARC
(2,17),-1.75804 # DEPENDENCYPART_ARC
(2,18),-4.25304 # DEPENDENCYPART_ARC
(2,19),-3.12645 # DEPENDENCYPART_ARC
(2,20),-6.12329 # DEPENDENCYPART_ARC
(2,21),-2.10745 # DEPENDENCYPART_ARC
(2,22),-6.2118 # DEPENDENCYPART_ARC
(2,23),-6.95113 # DEPENDENCYPART_ARC
(2,24),-7.20727 # DEPENDENCYPART_ARC
(2,25),-5.00878 # DEPENDENCYPART_ARC
(3,1),-1.37296 # DEPENDENCYPART_ARC
(3,2),5.22137 # DEPENDENCYPART_ARC
(3,4),1.59252 # DEPENDENCYPART_ARC
(3,5),-0.424414 # DEPENDENCYPART_ARC
(3,6),0.604657 # DEPENDENCYPART_ARC
(3,7),-0.447175 # DEPENDENCYPART_ARC
(3,8),-0.106976 # DEPENDENCYPART_ARC
(3,9),-0.957492 # DEPENDENCYPART_ARC
(3,10),-2.81389 # DEPENDENCYPART_ARC
(3,11),-0.195738 # DEPENDENCYPART_ARC
(3,12),-2.26389 # DEPENDENCYPART_ARC
(3,13),-2.44014 # DEPENDENCYPART_ARC
(3,14),-2.89083 # DEPENDENCYPART_ARC
(3,15),-1.24135 # DEPENDENCYPART_ARC
(3,16),-3.97155 # DEPENDENCYPART_ARC
(3,17),-1.5852 # DEPENDENCYPART_ARC
(3,18),-3.13484 # DEPENDENCYPART_ARC
(3,19),-2.8842 # DEPENDENCYPART_ARC
(3,20),-5.54547 # DEPENDENCYPART_ARC
(3,21),-1.84044 # DEPENDENCYPART_ARC
(3,22),-5.72718 # DEPENDENCYPART_ARC
(3,23),-7.36577 # DEPENDENCYPART_ARC
(3,24),-3.20863 # DEPENDENCYPART_ARC
(3,25),-9.42442 # DEPENDENCYPART_ARC
(4,1),-3.29631 # DEPENDENCYPART_ARC
(4,2),-1.56594 # DEPENDENCYPART_ARC
(4,3),-2.08575 # DEPENDENCYPART_ARC
(4,5),4.25427 # DEPENDENCYPART_ARC
(4,6),-0.932828 # DEPENDENCYPART_ARC
(4,7),-0.0492261 # DEPENDENCYPART_ARC
(4,8),-0.705738 # DEPENDENCYPART_ARC
(4,9),-2.60949 # DEPENDENCYPART_ARC
(4,10),-3.43533 # DEPENDENCYPART_ARC
(4,11),-1.31647 # DEPENDENCYPART_ARC
(4,12),-2.70227 # DEPENDENCYPART_ARC
(4,13),-3.87753 # DEPENDENCYPART_ARC
(4,14),-6.84587 # DEPENDENCYPART_ARC
(4,15),-1.82548 # DEPENDENCYPART_ARC
(4,16),-4.29576 # DEPENDENCYPART_ARC
(4,17),-2.50438 # DEPENDENCYPART_ARC
(4,18),-2.63958 # DEPENDENCYPART_ARC
(4,19),-2.8572 # DEPENDENCYPART_ARC
(4,20),-4.02531 # DEPENDENCYPART_ARC
(4,21),-3.21035 # DEPENDENCYPART_ARC
(4,22),-4.54288 # DEPENDENCYPART_ARC
(4,23),-9.05251 # DEPENDENCYPART_ARC
(4,24),-9.63046 # DEPENDENCYPART_ARC
(4,25),-4.40696 # DEPENDENCYPART_ARC
(5,1),-3.61714 # DEPENDENCYPART_ARC
(5,2),-2.30255 # DEPENDENCYPART_ARC
(5,3),-2.86785 # DEPENDENCYPART_ARC
(5,4),1.21547 # DEPENDENCYPART_ARC
(5,6),3.96323 # DEPENDENCYPART_ARC
(5,7),0.0850418 # DEPENDENCYPART_ARC
(5,8),1.57345 # DEPENDENCYPART_ARC
(5,9),-1.21441 # DEPENDENCYPART_ARC
(5,10),0.525091 # DEPENDENCYPART_ARC
(5,11),1.59894 # DEPENDENCYPART_ARC
(5,12),-1.64891 # DEPENDENCYPART_ARC
(5,13),-3.3191 # DEPENDENCYPART_ARC
(5,14),-1.85424 # DEPENDENCYPART_ARC
(5,15),-0.249391 # DEPENDENCYPART_ARC
(5,16),-1.99049 # DEPENDENCYPART_ARC
(5,17),-1.09193 # DEPENDENCYPART_ARC
(5,18),-1.93974 # DEPENDENCYPART_ARC
(5,19),-1.80113 # DEPENDENCYPART_ARC
(5,20),-4.1165 # DEPENDENCYPART_ARC
(5,21),-0.716486 # DEPENDENCYPART_ARC
(5,22),-4.66235 # DEPENDENCYPART_ARC
(5,23),-5.22512 # DEPENDENCYPART_ARC
(5,24),-1.5206 # DEPENDENCYPART_ARC
(5,25),-7.67388 # DEPENDENCYPART_ARC
(6,1),-3.06049 # DEPENDENCYPART_ARC
(6,2),0.0989477 # DEPENDENCYPART_ARC
(6,3),-2.09789 # DEPENDENCYPART_ARC
(6,4),-0.682102 # DEPENDENCYPART_ARC
(6,5),-1.00025 # DEPENDENCYPART_ARC
(6,7),0.146361 # DEPENDENCYPART_ARC
(6,8),1.75563 # DEPENDENCYPART_ARC
(6,9),-2.03323 # DEPENDENCYPART_ARC
(6,10),-1.10617 # DEPENDENCYPART_ARC
(6,11),1.10263 # DEPENDENCYPART_ARC
(6,12),-1.00728 # DEPENDENCYPART_ARC
(6,13),-4.23125 # DEPENDENCYPART_ARC
(6,14),-1.77626 # DEPENDENCYPART_ARC
(6,15),-0.890222 # DEPENDENCYPART_ARC
(6,16),-3.72214 # DEPENDENCYPART_ARC
(6,17),-1.42523 # DEPENDENCYPART_ARC
(6,18),-2.20878 # DEPENDENCYPART_ARC
(6,19),-2.44003 # DEPENDENCYPART_ARC
(6,20),-3.77602 # DEPENDENCYPART_ARC
(6,21),-0.66546 # DEPENDENCYPART_ARC
(6,22),-4.40483 # DEPENDENCYPART_ARC
(6,23),-5.80609 # DEPENDENCYPART_ARC
(6,24),-2.03762 # DEPENDENCYPART_ARC
(6,25),-7.6606 # DEPENDENCYPART_ARC
(7,1),-0.920259 # DEPENDENCYPART_ARC
(7,2),-1.01804 # DEPENDENCYPART_ARC
(7,3),-0.539501 # DEPENDENCYPART_ARC
(7,4),-0.327807 # DEPENDENCYPART_ARC
(7,5),0.115314 # DEPENDENCYPART_ARC
(7,6),-0.348488 # DEPENDENCYPART_ARC
(7,8),0.0924315 # DEPENDENCYPART_ARC
(7,9),-0.711201 # DEPENDENCYPART_ARC
(7,10),-0.396288 # DEPENDENCYPART_ARC
(7,11),-1.05755 # DEPENDENCYPART_ARC
(7,12),-0.0374093 # DEPENDENCYPART_ARC
(7,13),-2.05599 # DEPENDENCYPART_ARC
(7,14),-1.87161 # DEPENDENCYPART_ARC
(7,15),-0.786597 # DEPENDENCYPART_ARC
(7,16),-2.40596 # DEPENDENCYPART_ARC
(7,17),-1.854 # DEPENDENCYPART_ARC
(7,18),-1.60874 # DEPENDENCYPART_ARC
(7,19),-2.54087 # DEPENDENCYPART_ARC
(7,20),-2.91815 # DEPENDENCYPART_ARC
(7,21),-1.43164 # DEPENDENCYPART_ARC
(7,22),-2.75144 # DEPENDENCYPART_ARC
(7,23),-3.73007 # DEPENDENCYPART_ARC
(7,24),-3.55148 # DEPENDENCYPART_ARC
(7,25),-1.92092 # DEPENDENCYPART_ARC
(8,1),-1.44051 # DEPENDENCYPART_ARC
(8,2),-1.66143 # DEPENDENCYPART_ARC
(8,3),-0.860624 # DEPENDENCYPART_ARC
(8,4),-1.49758 # DEPENDENCYPART_ARC
(8,5),0.113647 # DEPENDENCYPART_ARC
(8,6),-0.259209 # DEPENDENCYPART_ARC
(8,7),2.60016 # DEPENDENCYPART_ARC
(8,9),1.26252 # DEPENDENCYPART_ARC
(8,10),-0.548459 # DEPENDENCYPART_ARC
(8,11),-1.79867 # DEPENDENCYPART_ARC
(8,12),1.814 # DEPENDENCYPART_ARC
(8,13),-1.06519 # DEPENDENCYPART_ARC
(8,14),-2.32623 # DEPENDENCYPART_ARC
(8,15),0.559456 # DEPENDENCYPART_ARC
(8,16),-2.15892 # DEPENDENCYPART_ARC
(8,17),-1.23401 # DEPENDENCYPART_ARC
(8,18),0.45768 # DEPENDENCYPART_ARC
(8,19),-2.01476 # DEPENDENCYPART_ARC
(8,20),-3.11649 # DEPENDENCYPART_ARC
(8,21),0.0299402 # DEPENDENCYPART_ARC
(8,22),-2.68494 # DEPENDENCYPART_ARC
(8,23),-4.14491 # DEPENDENCYPART_ARC
(8,24),-4.0064 # DEPENDENCYPART_ARC
(8,25),-1.43549 # DEPENDENCYPART_ARC
(9,1),-5.79788 # DEPENDENCYPART_ARC
(9,2),-5.37412 # DEPENDENCYPART_ARC
(9,3),-6.01692 # DEPENDENCYPART_ARC
(9,4),-1.70239 # DEPENDENCYPART_ARC
(9,5),-5.18866 # DEPENDENCYPART_ARC
(9,6),-4.8621 # DEPENDENCYPART_ARC
(9,7),-0.92956 # DEPENDENCYPART_ARC
(9,8),-0.565179 # DEPENDENCYPART_ARC
(9,10),0.538419 # DEPENDENCYPART_ARC
(9,11),-0.783275 # DEPENDENCYPART_ARC
(9,12),-1.02508 # DEPENDENCYPART_ARC
(9,13),-2.92389 # DEPENDENCYPART_ARC
(9,14),-3.60396 # DEPENDENCYPART_ARC
(9,15),-0.728649 # DEPENDENCYPART_ARC
(9,16),0.509896 # DEPENDENCYPART_ARC
(9,17),-0.389065 # DEPENDENCYPART_ARC
(9,18),-2.12449 # DEPENDENCYPART_ARC
(9,19),-1.85162 # DEPENDENCYPART_ARC
(9,20),-3.88586 # DEPENDENCYPART_ARC
(9,21),-1.36667 # DEPENDENCYPART_ARC
(9,22),-3.98748 # DEPENDENCYPART_ARC
(9,23),-3.51065 # DEPENDENCYPART_ARC
(9,24),-5.31567 # DEPENDENCYPART_ARC
(9,25),-3.1021 # DEPENDENCYPART_ARC
(10,1),-4.99376 # DEPENDENCYPART_ARC
(10,2),-2.02081 # DEPENDENCYPART_ARC
(10,3),-5.36171 # DEPENDENCYPART_ARC
(10,4),-1.88382 # DEPENDENCYPART_ARC
(10,5),-4.17715 # DEPENDENCYPART_ARC
(10,6),-4.61366 # DEPENDENCYPART_ARC
(10,7),0.194978 # DEPENDENCYPART_ARC
(10,8),0.150041 # DEPENDENCYPART_ARC
(10,9),4.5088 # DEPENDENCYPART_ARC
(10,11),3.16448 # DEPENDENCYPART_ARC
(10,12),-1.10338 # DEPENDENCYPART_ARC
(10,13),-1.32532 # DEPENDENCYPART_ARC
(10,14),-1.94535 # DEPENDENCYPART_ARC
(10,15),-1.02953 # DEPENDENCYPART_ARC
(10,16),-2.96086 # DEPENDENCYPART_ARC
(10,17),-1.48253 # DEPENDENCYPART_ARC
(10,18),-1.89565 # DEPENDENCYPART_ARC
(10,19),-2.07756 # DEPENDENCYPART_ARC
(10,20),-4.32565 # DEPENDENCYPART_ARC
(10,21),-1.15645 # DEPENDENCYPART_ARC
(10,22),-4.8866 # DEPENDENCYPART_ARC
(10,23),-5.95721 # DEPENDENCYPART_ARC
(10,24),-2.51732 # DEPENDENCYPART_ARC
(10,25),-5.98465 # DEPENDENCYPART_ARC
(11,1),-6.59519 # DEPENDENCYPART_ARC
(11,2),-3.24797 # DEPENDENCYPART_ARC
(11,3),-7.73254 # DEPENDENCYPART_ARC
(11,4),-3.45758 # DEPENDENCYPART_ARC
(11,5),-3.82064 # DEPENDENCYPART_ARC
(11,6),-5.20733 # DEPENDENCYPART_ARC
(11,7),-0.738256 # DEPENDENCYPART_ARC
(11,8),-1.22922 # DEPENDENCYPART_ARC
(11,9),-0.657679 # DEPENDENCYPART_ARC
(11,10),-3.2394 # DEPENDENCYPART_ARC
(11,12),-3.15057 # DEPENDENCYPART_ARC
(11,13),-3.19685 # DEPENDENCYPART_ARC
(11,14),-1.08281 # DEPENDENCYPART_ARC
(11,15),-0.868898 # DEPENDENCYPART_ARC
