# _root_ Povstání zkomplikovalo plány nacistů na obranu Karpat , připoutalo nemalé nacistické jednotky na Slovensko , rozrušilo komunikační systém v týlu fronty a vytvořilo nebezpečné ohnisko nepokojů .
#goldHeads=22,22,2,3,3,5,6,22,22,12,12,9,9,13,22,22,18,16,18,19,20,0,22,25,23,25,0,
#predictedHeads=2,15,2,3,3,5,6,2,22,12,12,9,12,13,22,22,18,16,18,19,20,0,22,25,23,25,0,
(0,1),-1.36744 # DEPENDENCYPART_ARC
(0,2),0.168768 # DEPENDENCYPART_ARC
(0,3),-1.77082 # DEPENDENCYPART_ARC
(0,4),-2.18993 # DEPENDENCYPART_ARC
(0,5),-1.2472 # DEPENDENCYPART_ARC
(0,6),-2.16997 # DEPENDENCYPART_ARC
(0,7),-1.37486 # DEPENDENCYPART_ARC
(0,8),-0.526137 # DEPENDENCYPART_ARC
(0,9),0.917651 # DEPENDENCYPART_ARC
(0,10),-2.93221 # DEPENDENCYPART_ARC
(0,11),-3.12543 # DEPENDENCYPART_ARC
(0,12),-3.35307 # DEPENDENCYPART_ARC
(0,13),-3.46486 # DEPENDENCYPART_ARC
(0,14),-3.37967 # DEPENDENCYPART_ARC
(0,15),-0.885731 # DEPENDENCYPART_ARC
(0,16),0.573922 # DEPENDENCYPART_ARC
(0,17),-3.75046 # DEPENDENCYPART_ARC
(0,18),-4.7883 # DEPENDENCYPART_ARC
(0,19),-3.95276 # DEPENDENCYPART_ARC
(0,20),-5.0864 # DEPENDENCYPART_ARC
(0,21),-4.83526 # DEPENDENCYPART_ARC
(0,22),-0.326319 # DEPENDENCYPART_ARC
(0,23),-1.76491 # DEPENDENCYPART_ARC
(0,24),-4.44709 # DEPENDENCYPART_ARC
(0,25),-5.5387 # DEPENDENCYPART_ARC
(0,26),-5.76646 # DEPENDENCYPART_ARC
(0,27),3.42776 # DEPENDENCYPART_ARC
(1,2),-0.118868 # DEPENDENCYPART_ARC
(1,3),-3.03509 # DEPENDENCYPART_ARC
(1,4),-0.189929 # DEPENDENCYPART_ARC
(1,5),0.210931 # DEPENDENCYPART_ARC
(1,6),-4.77312 # DEPENDENCYPART_ARC
(1,7),-0.975465 # DEPENDENCYPART_ARC
(1,8),-1.15368 # DEPENDENCYPART_ARC
(1,9),-2.74681 # DEPENDENCYPART_ARC
(1,10),-5.52687 # DEPENDENCYPART_ARC
(1,11),-4.96817 # DEPENDENCYPART_ARC
(1,12),-5.53337 # DEPENDENCYPART_ARC
(1,13),-1.06217 # DEPENDENCYPART_ARC
(1,14),-6.67852 # DEPENDENCYPART_ARC
(1,15),-1.59687 # DEPENDENCYPART_ARC
(1,16),-4.42594 # DEPENDENCYPART_ARC
(1,17),-4.83504 # DEPENDENCYPART_ARC
(1,18),-7.18599 # DEPENDENCYPART_ARC
(1,19),-2.31024 # DEPENDENCYPART_ARC
(1,20),-5.88859 # DEPENDENCYPART_ARC
(1,21),-4.94898 # DEPENDENCYPART_ARC
(1,22),-1.81483 # DEPENDENCYPART_ARC
(1,23),-6.42808 # DEPENDENCYPART_ARC
(1,24),-5.68759 # DEPENDENCYPART_ARC
(1,25),-9.37112 # DEPENDENCYPART_ARC
(1,26),-6.43127 # DEPENDENCYPART_ARC
(1,27),-12.5688 # DEPENDENCYPART_ARC
(2,1),3.81519 # DEPENDENCYPART_ARC
(2,3),2.74344 # DEPENDENCYPART_ARC
(2,4),-0.807065 # DEPENDENCYPART_ARC
(2,5),1.4642 # DEPENDENCYPART_ARC
(2,6),0.288832 # DEPENDENCYPART_ARC
(2,7),-1.92321 # DEPENDENCYPART_ARC
(2,8),0.979068 # DEPENDENCYPART_ARC
(2,9),-2.78636 # DEPENDENCYPART_ARC
(2,10),-3.96054 # DEPENDENCYPART_ARC
(2,11),-5.00126 # DEPENDENCYPART_ARC
(2,12),-1.29769 # DEPENDENCYPART_ARC
(2,13),0.0439381 # DEPENDENCYPART_ARC
(2,14),-1.99866 # DEPENDENCYPART_ARC
(2,15),0.440495 # DEPENDENCYPART_ARC
(2,16),-3.99905 # DEPENDENCYPART_ARC
(2,17),-5.19752 # DEPENDENCYPART_ARC
(2,18),-1.72051 # DEPENDENCYPART_ARC
(2,19),-1.24203 # DEPENDENCYPART_ARC
(2,20),-4.01081 # DEPENDENCYPART_ARC
(2,21),-4.14449 # DEPENDENCYPART_ARC
(2,22),-0.937552 # DEPENDENCYPART_ARC
(2,23),-5.29561 # DEPENDENCYPART_ARC
(2,24),-5.38377 # DEPENDENCYPART_ARC
(2,25),-3.42473 # DEPENDENCYPART_ARC
(2,26),-5.56395 # DEPENDENCYPART_ARC
(2,27),-1.6526 # DEPENDENCYPART_ARC
(3,1),-3.47043 # DEPENDENCYPART_ARC
(3,2),-2.23083 # DEPENDENCYPART_ARC
(3,4),3.58232 # DEPENDENCYPART_ARC
(3,5),1.68118 # DEPENDENCYPART_ARC
(3,6),-1.28323 # DEPENDENCYPART_ARC
(3,7),1.19351 # DEPENDENCYPART_ARC
(3,8),-0.651101 # DEPENDENCYPART_ARC
(3,9),-1.21755 # DEPENDENCYPART_ARC
(3,10),-2.70228 # DEPENDENCYPART_ARC
(3,11),-1.97847 # DEPENDENCYPART_ARC
(3,12),-2.87223 # DEPENDENCYPART_ARC
(3,13),0.368022 # DEPENDENCYPART_ARC
(3,14),-3.30053 # DEPENDENCYPART_ARC
(3,15),-1.11691 # DEPENDENCYPART_ARC
(3,16),-2.96452 # DEPENDENCYPART_ARC
(3,17),-2.61606 # DEPENDENCYPART_ARC
(3,18),-4.08609 # DEPENDENCYPART_ARC
(3,19),-1.05247 # DEPENDENCYPART_ARC
(3,20),-4.17536 # DEPENDENCYPART_ARC
(3,21),-3.01399 # DEPENDENCYPART_ARC
(3,22),-0.920455 # DEPENDENCYPART_ARC
(3,23),-4.76857 # DEPENDENCYPART_ARC
(3,24),-5.75601 # DEPENDENCYPART_ARC
(3,25),-6.39372 # DEPENDENCYPART_ARC
(3,26),-4.51346 # DEPENDENCYPART_ARC
(3,27),-11.5157 # DEPENDENCYPART_ARC
(4,1),-4.73507 # DEPENDENCYPART_ARC
(4,2),-2.57916 # DEPENDENCYPART_ARC
(4,3),-1.19862 # DEPENDENCYPART_ARC
(4,5),1.35564 # DEPENDENCYPART_ARC
(4,6),-3.07472 # DEPENDENCYPART_ARC
(4,7),1.01955 # DEPENDENCYPART_ARC
(4,8),-0.554384 # DEPENDENCYPART_ARC
(4,9),-1.93003 # DEPENDENCYPART_ARC
(4,10),-3.71381 # DEPENDENCYPART_ARC
(4,11),-3.95315 # DEPENDENCYPART_ARC
(4,12),-5.24102 # DEPENDENCYPART_ARC
(4,13),-0.576609 # DEPENDENCYPART_ARC
(4,14),-6.66473 # DEPENDENCYPART_ARC
(4,15),-1.13968 # DEPENDENCYPART_ARC
(4,16),-3.62851 # DEPENDENCYPART_ARC
(4,17),-5.80926 # DEPENDENCYPART_ARC
(4,18),-6.53816 # DEPENDENCYPART_ARC
(4,19),-1.66075 # DEPENDENCYPART_ARC
(4,20),-5.70494 # DEPENDENCYPART_ARC
(4,21),-3.02907 # DEPENDENCYPART_ARC
(4,22),-1.37614 # DEPENDENCYPART_ARC
(4,23),-5.28955 # DEPENDENCYPART_ARC
(4,24),-6.62174 # DEPENDENCYPART_ARC
(4,25),-8.48203 # DEPENDENCYPART_ARC
(4,26),-4.72701 # DEPENDENCYPART_ARC
(4,27),-11.1266 # DEPENDENCYPART_ARC
(5,1),-2.86537 # DEPENDENCYPART_ARC
(5,2),-2.13995 # DEPENDENCYPART_ARC
(5,3),-1.52716 # DEPENDENCYPART_ARC
(5,4),-1.14845 # DEPENDENCYPART_ARC
(5,6),3.98513 # DEPENDENCYPART_ARC
(5,7),-1.83634 # DEPENDENCYPART_ARC
(5,8),-0.173339 # DEPENDENCYPART_ARC
(5,9),-1.57751 # DEPENDENCYPART_ARC
(5,10),-1.66457 # DEPENDENCYPART_ARC
(5,11),-1.58531 # DEPENDENCYPART_ARC
(5,12),-1.9508 # DEPENDENCYPART_ARC
(5,13),-2.09931 # DEPENDENCYPART_ARC
(5,14),-3.03322 # DEPENDENCYPART_ARC
(5,15),-1.1202 # DEPENDENCYPART_ARC
(5,16),-2.51278 # DEPENDENCYPART_ARC
(5,17),-2.06725 # DEPENDENCYPART_ARC
(5,18),-5.15043 # DEPENDENCYPART_ARC
(5,19),-2.60518 # DEPENDENCYPART_ARC
(5,20),-7.43235 # DEPENDENCYPART_ARC
(5,21),-11.0139 # DEPENDENCYPART_ARC
(5,22),-3.74236 # DEPENDENCYPART_ARC
(5,23),-3.07976 # DEPENDENCYPART_ARC
(5,24),-2.738 # DEPENDENCYPART_ARC
(5,25),-9.7515 # DEPENDENCYPART_ARC
(5,26),-13.663 # DEPENDENCYPART_ARC
(5,27),-3.57378 # DEPENDENCYPART_ARC
(6,1),-5.47868 # DEPENDENCYPART_ARC
(6,2),-2.82786 # DEPENDENCYPART_ARC
(6,3),-2.65993 # DEPENDENCYPART_ARC
(6,4),-4.08115 # DEPENDENCYPART_ARC
(6,5),1.07369 # DEPENDENCYPART_ARC
(6,7),4.27411 # DEPENDENCYPART_ARC
(6,8),-0.392769 # DEPENDENCYPART_ARC
(6,9),-0.538064 # DEPENDENCYPART_ARC
(6,10),-0.158096 # DEPENDENCYPART_ARC
(6,11),-0.166736 # DEPENDENCYPART_ARC
(6,12),-1.96013 # DEPENDENCYPART_ARC
(6,13),0.543332 # DEPENDENCYPART_ARC
(6,14),-2.24879 # DEPENDENCYPART_ARC
(6,15),-0.64954 # DEPENDENCYPART_ARC
(6,16),-2.16762 # DEPENDENCYPART_ARC
(6,17),-2.44006 # DEPENDENCYPART_ARC
(6,18),-3.12447 # DEPENDENCYPART_ARC
(6,19),-0.923632 # DEPENDENCYPART_ARC
(6,20),-3.39308 # DEPENDENCYPART_ARC
(6,21),-1.90096 # DEPENDENCYPART_ARC
(6,22),-0.663381 # DEPENDENCYPART_ARC
(6,23),-4.12157 # DEPENDENCYPART_ARC
(6,24),-3.39026 # DEPENDENCYPART_ARC
(6,25),-5.6103 # DEPENDENCYPART_ARC
(6,26),-3.62007 # DEPENDENCYPART_ARC
(6,27),-9.69826 # DEPENDENCYPART_ARC
(7,1),-4.77044 # DEPENDENCYPART_ARC
(7,2),-4.17103 # DEPENDENCYPART_ARC
(7,3),-1.68904 # DEPENDENCYPART_ARC
(7,4),-0.380982 # DEPENDENCYPART_ARC
(7,5),-0.599129 # DEPENDENCYPART_ARC
(7,6),-1.48822 # DEPENDENCYPART_ARC
(7,8),-0.844238 # DEPENDENCYPART_ARC
(7,9),-1.82024 # DEPENDENCYPART_ARC
(7,10),-5.80822 # DEPENDENCYPART_ARC
(7,11),-5.59044 # DEPENDENCYPART_ARC
(7,12),-5.80846 # DEPENDENCYPART_ARC
(7,13),-2.05512 # DEPENDENCYPART_ARC
(7,14),-6.87783 # DEPENDENCYPART_ARC
(7,15),-1.36757 # DEPENDENCYPART_ARC
(7,16),-3.31598 # DEPENDENCYPART_ARC
(7,17),-6.03506 # DEPENDENCYPART_ARC
(7,18),-7.30246 # DEPENDENCYPART_ARC
(7,19),-2.91714 # DEPENDENCYPART_ARC
(7,20),-5.2615 # DEPENDENCYPART_ARC
(7,21),-4.42303 # DEPENDENCYPART_ARC
(7,22),-1.26306 # DEPENDENCYPART_ARC
(7,23),-5.27767 # DEPENDENCYPART_ARC
(7,24),-9.06319 # DEPENDENCYPART_ARC
(7,25),-9.71928 # DEPENDENCYPART_ARC
(7,26),-5.93491 # DEPENDENCYPART_ARC
(7,27),-10.1746 # DEPENDENCYPART_ARC
(8,1),0.454533 # DEPENDENCYPART_ARC
(8,2),1.23085 # DEPENDENCYPART_ARC
(8,3),0.554221 # DEPENDENCYPART_ARC
(8,4),0.384065 # DEPENDENCYPART_ARC
(8,5),-0.0375974 # DEPENDENCYPART_ARC
(8,6),0.849514 # DEPENDENCYPART_ARC
(8,7),0.12994 # DEPENDENCYPART_ARC
(8,9),0.246589 # DEPENDENCYPART_ARC
(8,10),-0.786976 # DEPENDENCYPART_ARC
(8,11),-0.843836 # DEPENDENCYPART_ARC
(8,12),-0.893076 # DEPENDENCYPART_ARC
(8,13),-1.07244 # DEPENDENCYPART_ARC
(8,14),-1.43741 # DEPENDENCYPART_ARC
(8,15),-0.0406985 # DEPENDENCYPART_ARC
(8,16),-1.34037 # DEPENDENCYPART_ARC
(8,17),-2.18253 # DEPENDENCYPART_ARC
(8,18),-2.72478 # DEPENDENCYPART_ARC
(8,19),-2.22949 # DEPENDENCYPART_ARC
(8,20),-3.16298 # DEPENDENCYPART_ARC
(8,21),-2.7117 # DEPENDENCYPART_ARC
(8,22),-0.94432 # DEPENDENCYPART_ARC
(8,23),-2.48582 # DEPENDENCYPART_ARC
(8,24),-3.24852 # DEPENDENCYPART_ARC
(8,25),-4.30466 # DEPENDENCYPART_ARC
(8,26),-4.038 # DEPENDENCYPART_ARC
